project_id;project_name
758;adonthell
584;alfresco
3178;allacrost
172;amsn
232;AndroMDA
244;anjuta
126;aolserver
72;apache
162;Apache-OFBiz
255;appfuse
169;aqsis
321;ardour
96;asterisk
59;audacity
716;avidemux
372;bacula
563;bibdesk
3206;bioclipse
64;blender
203670;bti
189;bzflag
3176;cakephp
10;camino
587405;candy-plugins
1003;cardinal
310785;ccf
380;cdk
263;CEGUI
3172;cgru
387;cheetah
639;classpath
767;config
700;coreutils
459;crossfire
322;cruisecontrol
3194;dasBlog
513;deinterlace
975;denemo
229;dia
143;dillo
417;djvu
1072;dmidecode
230;docbook
608;dolibarr
124;dosbox
18;drjava
3189;drupal
809;duplicity
52;e107
312;expat
455;ffdshow
360;findbugs
606;findutils
9;firefox
114;flac
198;fltk
170;fluxbox
116;freemind
123;freenet
3080;freeorion
846;freetype
348327;funtoo
161;gajim
86;ganglia
15;gcc
902;ghostscript
43;gimp
1657;glibc
2914;gluegen
766;gnokii
3760;gnome
838;gnome-commander
625;gnubg
1237;gnulib
165;gnuplot
1895;gobolinux
607;gpu
635;grep
284;grisbi
1428;groff
613;grub
505;gthumb
491;gtk-gnutella
210;gutenprint
739;gv
223;gwenview
55;hibernate
762;hudson
395;hugin
76;imagemagick
69;inkscape
597604;introcsharpbook
208;ipcop
355;IrrlichtEngine
353;jack
3510;jasig_uportal
481;javaserverfaces
630;jax-ws
480;jboss
486;jbpm
1022;jchart2d
17;jedit
187;jetty
313;jfreechart
402;jgroups
3163;jinja
797;Jitsi
3179;jmol
3115;jmonkeyengine
559;jogl
810;jrawio
423;jruby
88;junit
112;jython
272;kde
3188;kdevelop
1541;koha
160;kopete
282;krusader
403;kstars
155;lame
470;latex-beamer
764;libcdio
775;libtool
343;licq
153;liferea
579;lilypond
270;limesurvey
584554;litotex
51;lodel
428;macgpg1
3169;magnolia
49;mailman
172844;man-pages
47;mantis
531;matplotlib
302;maxima
661;mc
188;MediaPortal
22;mediawiki
3166;mediboard
379;ming
94;miranda
974;mobicents
3212;modx
25;moodle
4;mozilla
433;mrbs
110;mythtv
48;nant
465;nasm
220;ndiswrapper
449;netdragon
176;netsnmp
175;nhibernate
243;nltk
159;nunit
144;octave
392;openbabel
568;Openfire
158;openvpn
257549;opscode-cookbooks
1095;paparazzi
571;pcgen
28;php
30;phpbb
91;phpwiki
63;pidgin
26990;pkg-perl
70;plone
26506;plone-i18n
256;pmd
569;pnotepad
27;postgres
3123;ppl
3182;prado
106;prototype
537;PyDev
3962;pylons
26;python
761;qemu
178;quartz
585;quilt
34;rails
747;rake
3225;reactos
240;roundcube
488;roundup
3809;rubinius
32;ruby
475;sc2
246;scintilla
408;scons
897;screen
99;scribus
3213;scriptaculous
111;sdl
3165;seamonkey
1984;sed
44;shareaza
2867;sitemesh
239;smart
117;songbird
627;Spark
41;spring
3969;squirrel-sql
93;squirrelmail
163;stellarium
5163;strigi
1;subversion
1916;swftools
154;swig
733;swingx
1027;tar
166;tcpdump
36;thunderbird
1233;tinycc
1322;tinymce
3180;tortoisesvn
3209;tracks
58;typo3
308;umbrello
341;vegastrike
37;viewvc
983;vim-ruby
38;webcalendar
103;WebGUI
815;weechat
3175;wesnoth
3207;wheelmud
45;wikka
74;wine
225;winmerge
344;wix
3192;wordpress
333;workrave
156;wxpython
3187;xapian
765;xboard
659;xhtmlrenderer
609;xiphos
3085;xith-tk
650;xith3d
5574;xoopscube
82;yaf
192;zabbix
71;zikula
67;zope
481802;zopeskel
16;zsh
