project_id;project_name;data_size;sample_size;relative_size
758;adonthell;163;147;0,9018404908
584;alfresco;81;80;0,9876543210
3178;allacrost;109;101;0,9266055046
172;amsn;135;134;0,9925925926
232;AndroMDA;126;125;0,9920634921
244;anjuta;148;123;0,8310810811
126;aolserver;159;134;0,8427672956
72;apache;205;200;0,9756097561
162;Apache-OFBiz;85;84;0,9882352941
255;appfuse;114;103;0,9035087719
169;aqsis;72;45;0,6250000000
321;ardour;99;81;0,8181818182
96;asterisk;166;165;0,9939759036
59;audacity;141;139;0,9858156028
716;avidemux;115;96;0,8347826087
372;bacula;136;128;0,9411764706
563;bibdesk;131;130;0,9923664122
3206;bioclipse;65;6;0,0923076923
64;blender;130;129;0,9923076923
203670;bti;63;45;0,7142857143
189;bzflag;161;160;0,9937888199
3176;cakephp;99;45;0,4545454545
10;camino;139;136;0,9784172662
587405;candy-plugins;25;19;0,7600000000
1003;cardinal;85;78;0,9176470588
310785;ccf;66;65;0,9848484848
380;cdk;154;111;0,7207792208
263;CEGUI;113;29;0,2566371681
3172;cgru;41;18;0,4390243902
387;cheetah;146;131;0,8972602740
639;classpath;183;175;0,9562841530
767;config;257;256;0,9961089494
700;coreutils;250;245;0,9800000000
459;crossfire;83;82;0,9879518072
322;cruisecontrol;124;102;0,8225806452
3194;dasBlog;103;102;0,9902912621
513;deinterlace;158;157;0,9936708861
975;denemo;122;61;0,5000000000
229;dia;199;197;0,9899497487
143;dillo;70;28;0,4000000000
417;djvu;175;169;0,9657142857
1072;dmidecode;127;126;0,9921259843
230;docbook;155;154;0,9935483871
608;dolibarr;136;113;0,8308823529
124;dosbox;133;131;0,9849624060
18;drjava;146;145;0,9931506849
3189;drupal;159;132;0,8301886792
809;duplicity;130;92;0,7076923077
52;e107;107;106;0,9906542056
312;expat;189;188;0,9947089947
455;ffdshow;135;134;0,9925925926
360;findbugs;125;124;0,9920000000
606;findutils;210;205;0,9761904762
9;firefox;136;61;0,4485294118
114;flac;152;149;0,9802631579
198;fltk;178;174;0,9775280899
170;fluxbox;140;119;0,8500000000
116;freemind;30;10;0,3333333333
123;freenet;154;85;0,5519480519
3080;freeorion;125;123;0,9840000000
846;freetype;191;185;0,9685863874
348327;funtoo;197;139;0,7055837563
161;gajim;118;30;0,2542372881
86;ganglia;134;115;0,8582089552
15;gcc;297;296;0,9966329966
902;ghostscript;197;41;0,2081218274
43;gimp;199;182;0,9145728643
1657;glibc;222;16;0,0720720721
2914;gluegen;91;70;0,7692307692
766;gnokii;173;165;0,9537572254
3760;gnome;199;75;0,3768844221
838;gnome-commander;144;133;0,9236111111
625;gnubg;164;163;0,9939024390
1237;gnulib;251;242;0,9641434263
165;gnuplot;184;183;0,9945652174
1895;gobolinux;96;73;0,7604166667
607;gpu;131;129;0,9847328244
635;grep;177;175;0,9887005650
284;grisbi;139;117;0,8417266187
1428;groff;162;161;0,9938271605
613;grub;128;95;0,7421875000
505;gthumb;130;106;0,8153846154
491;gtk-gnutella;159;144;0,9056603774
210;gutenprint;167;160;0,9580838323
739;gv;105;104;0,9904761905
223;gwenview;78;50;0,6410256410
55;hibernate;127;106;0,8346456693
762;hudson;81;14;0,1728395062
395;hugin;124;74;0,5967741935
76;imagemagick;47;46;0,9787234043
69;inkscape;91;54;0,5934065934
597604;introcsharpbook;45;15;0,3333333333
208;ipcop;141;140;0,9929078014
355;IrrlichtEngine;92;91;0,9891304348
353;jack;141;140;0,9929078014
3510;jasig_uportal;161;128;0,7950310559
481;javaserverfaces;70;69;0,9857142857
630;jax-ws;99;88;0,8888888889
480;jboss;85;84;0,9882352941
486;jbpm;62;33;0,5322580645
1022;jchart2d;30;22;0,7333333333
17;jedit;163;161;0,9877300613
187;jetty;180;114;0,6333333333
313;jfreechart;124;103;0,8306451613
402;jgroups;119;10;0,0840336134
3163;jinja;78;43;0,5512820513
797;Jitsi;97;93;0,9587628866
3179;jmol;165;164;0,9939393939
3115;jmonkeyengine;122;121;0,9918032787
559;jogl;122;74;0,6065573770
810;jrawio;81;73;0,9012345679
423;jruby;143;93;0,6503496503
88;junit;152;108;0,7105263158
112;jython;188;109;0,5797872340
272;kde;196;10;0,0510204082
3188;kdevelop;175;116;0,6628571429
1541;koha;166;109;0,6566265060
160;kopete;139;77;0,5539568345
282;krusader;136;130;0,9558823529
403;kstars;149;107;0,7181208054
155;lame;165;164;0,9939393939
470;latex-beamer;118;114;0,9661016949
764;libcdio;125;42;0,3360000000
775;libtool;196;182;0,9285714286
343;licq;168;141;0,8392857143
153;liferea;121;99;0,8181818182
579;lilypond;202;99;0,4900990099
270;limesurvey;125;60;0,4800000000
584554;litotex;37;22;0,5945945946
51;lodel;126;125;0,9920634921
428;macgpg1;30;28;0,9333333333
3169;magnolia;105;31;0,2952380952
49;mailman;215;148;0,6883720930
172844;man-pages;105;104;0,9904761905
47;mantis;152;119;0,7828947368
531;matplotlib;123;53;0,4308943089
302;maxima;159;133;0,8364779874
661;mc;199;143;0,7185929648
188;MediaPortal;112;69;0,6160714286
22;mediawiki;124;105;0,8467741935
3166;mediboard;87;86;0,9885057471
379;ming;150;126;0,8400000000
94;miranda;150;148;0,9866666667
974;mobicents;122;102;0,8360655738
3212;modx;100;45;0,4500000000
25;moodle;141;91;0,6453900709
4;mozilla;185;109;0,5891891892
433;mrbs;159;158;0,9937106918
110;mythtv;135;72;0,5333333333
48;nant;144;129;0,8958333333
465;nasm;136;113;0,8308823529
220;ndiswrapper;118;117;0,9915254237
449;netdragon;95;71;0,7473684211
176;netsnmp;226;100;0,4424778761
175;nhibernate;126;102;0,8095238095
243;nltk;149;128;0,8590604027
159;nunit;155;120;0,7741935484
144;octave;240;183;0,7625000000
392;openbabel;141;140;0,9929078014
568;Openfire;76;75;0,9868421053
158;openvpn;137;114;0,8321167883
257549;opscode-cookbooks;55;9;0,1636363636
1095;paparazzi;103;70;0,6796116505
571;pcgen;148;146;0,9864864865
28;php;189;93;0,4920634921
30;phpbb;150;80;0,5333333333
91;phpwiki;158;157;0,9936708861
63;pidgin;161;77;0,4782608696
26990;pkg-perl;91;11;0,1208791209
70;plone;138;12;0,0869565217
26506;plone-i18n;129;115;0,8914728682
256;pmd;134;121;0,9029850746
569;pnotepad;138;44;0,3188405797
27;postgres;205;204;0,9951219512
3123;ppl;142;111;0,7816901408
3182;prado;93;92;0,9892473118
106;prototype;79;50;0,6329113924
537;PyDev;121;34;0,2809917355
3962;pylons;90;24;0,2666666667
26;python;276;126;0,4565217391
761;qemu;126;73;0,5793650794
178;quartz;115;113;0,9826086957
585;quilt;127;124;0,9763779528
34;rails;105;39;0,3714285714
747;rake;126;81;0,6428571429
3225;reactos;211;210;0,9952606635
240;roundcube;95;80;0,8421052632
488;roundup;145;87;0,6000000000
3809;rubinius;85;18;0,2117647059
32;ruby;187;186;0,9946524064
475;sc2;131;130;0,9923664122
246;scintilla;161;153;0,9503105590
408;scons;145;126;0,8689655172
897;screen;124;85;0,6854838710
99;scribus;123;122;0,9918699187
3213;scriptaculous;98;93;0,9489795918
111;sdl;148;70;0,4729729730
3165;seamonkey;170;141;0,8294117647
1984;sed;106;105;0,9905660377
44;shareaza;110;109;0,9909090909
2867;sitemesh;119;112;0,9411764706
239;smart;130;129;0,9923076923
117;songbird;89;82;0,9213483146
627;Spark;85;84;0,9882352941
41;spring;113;72;0,6371681416
3969;squirrel-sql;146;138;0,9452054795
93;squirrelmail;165;164;0,9939393939
163;stellarium;133;95;0,7142857143
5163;strigi;88;87;0,9886363636
1;subversion;161;159;0,9875776398
1916;swftools;142;126;0,8873239437
154;swig;168;90;0,5357142857
733;swingx;101;85;0,8415841584
1027;tar;273;271;0,9926739927
166;tcpdump;166;131;0,7891566265
36;thunderbird;185;156;0,8432432432
1233;tinycc;142;136;0,9577464789
1322;tinymce;86;47;0,5465116279
3180;tortoisesvn;124;123;0,9919354839
3209;tracks;103;46;0,4466019417
58;typo3;118;45;0,3813559322
308;umbrello;127;121;0,9527559055
341;vegastrike;150;149;0,9933333333
