"";"seq.id";"seq.type";"pids"
"1";"1172";"AB";"3187|3352|3744|4021|4137|4325|4411|4590|4936|5385|5732|5999|6368|6559|8391|8576|342092|8713|8765|10782|11082|11261|11615|12421|13079|14564|14984|15403|15549|15707|16025|16423|18515|19012|20605|25972|26779|27332|28127|29531|30763|34435|34455|5888|46139|48544|50140|81033|84878|132021|139581|155830|264758|309336|322065|307140|325178|342423|342504|350740|371810|373943|381685"
"2";"1176";"AB";"9630|9646|10782|11992|18515|19012|34455|46139|46370|48277|82358|89864|292974|342423|350148"
"3";"1177";"AB";"13137|14984|46370|132068"
"4";"1178";"AB";"3085|3187|3352|3366|3584|3592|3744|3923|4059|4137|4325|4359|4411|4445|4590|4614|4733|4867|4875|4936|5002|5147|5163|5561|5732|5950|5999|6368|6491|6559|7299|8391|8576|8630|8713|8765|8891|9630|9646|9673|10733|10782|11082|11187|11261|11615|11992|12421|12678|13044|13079|14564|14886|15309|15314|15549|15700|16329|16423|16493|17088|19012|19596|19893|19983|20605|22716|25676|26779|27656|28127|28161|29531|30763|10372|37487|40548|43572|46139|46370|48277|48544|71024|81033|89461|89864|116294|132021|132068|139581|264758|292974|301544|309336|325178|327153|339127|342423|342504|348235|349024|371810|373943|428793"
"5";"1179";"AB";"3187|3352|3366|3584|3923|4059|4137|4590|4733|4867|4875|5385|5732|5950|6368|6491|6559|6869|7299|8391|8576|8713|8765|9673|10782|10822|11082|11164|11261|12421|12678|13079|14984|15309|15549|16423|16493|18515|19012|19983|20605|23964|25972|27332|27656|28127|28161|29531|30763|34455|36952|37487|40548|41745|46139|46370|89864|132021|132068|139581|155830|264758|308924|325178|327153|342423|350740|371810|428793"
"6";"1180";"AB";"3187|3584|4733|4875|5732|5950|6368|6491|7299|8391|8576|8713|10782|11261|12421|12678|15309|15549|16493|19012|19983|20605|28127|28161|29531|37487|40548|46139|46370|132021|132068|139581|327153|342423|371810|428793"
"7";"1181";"AB";"3187|3352|3366|3584|3592|3744|3923|4059|4137|4325|4359|4411|4445|4590|4614|4733|4867|4875|4936|5002|5147|5163|5561|5732|5950|5999|6368|6491|6559|7299|8391|8576|8630|8713|8765|8891|9630|9646|9673|10733|10782|11082|11187|11261|11615|11992|12421|12678|13044|13079|14564|14886|15309|15314|15549|15700|16329|16423|16493|17088|19012|19596|19893|19983|20605|22716|25676|26779|27656|28127|28161|29531|30763|10372|37487|40548|43572|46139|46370|48277|48544|71024|81033|89461|89864|116294|132021|132068|139581|264758|292974|301544|309336|325178|327153|339127|342423|342504|348235|349024|371810|373943|428793"
"8";"1182";"AB";"3187|3352|3402|3923|4021|4059|4137|4325|4733|4875|4936|5002|5147|5385|5732|6368|6491|6559|7198|7299|7329|8391|8576|8615|8687|342092|8713|8765|9673|10022|10782|10822|11082|11164|11261|11992|12421|12547|12678|13044|13079|13939|14564|14886|15700|16234|16423|16493|16527|17088|19012|19596|19983|20605|22716|23964|25037|25676|27049|27332|27656|28127|28161|28868|31992|34435|34455|5888|10372|40548|41745|43572|48277|81033|82358|84878|89461|89864|116294|132021|155830|301544|308924|322065|307140|325178|347856|347925|349663|350148|350866|371810|373943|428793"
"9";"1183";"AB";"3187|3366|3923|4137|4445|4875|5002|5385|5999|6491|7299|8630|11082|12421|12678|13079|15309|15549|15707|16527|20605|26779|28127|29531|10372|40548|50140|82358|89461|139581|301544|309336|327153|342423|342504|348235|377597"
"10";"1184";"AB";"3352|3366|4021|4325|4733|4875|5561|5732|5999|6559|8258|8713|8765|9904|10782|12547|13044|14886|15314|15549|15700|15707|16329|16527|19596|19893|23964|28868|29531|30763|34455|35799|48277|50140|71024|81033|89864|116294|132021|308924|309336|315771|322065|325178|327153|339127|350148|371810|408980|149338|428793"
"11";"1188";"AB";"3430|4590|5147|8615|10733|11261|11615|12421|15549|16234|16423|19012|29402|30763|34435|34455|40548|48544|84878|139581|325178|339127|347856|350866|381685"
"12";"1189";"AB";"3592|3923|4021|4137|4445|4867|4936|5002|5561|6491|7299|8391|8576|8630|8765|9646|10782|12547|12678|15309|25037|26779|27656|34435|35799|264758|292974|325178|342504|348235|349663|358104|377597"
"13";"1191";"AB";"3923|4733|4875|5385|8713|10822|11082|11261|12678|15403|15549|15700|16329|17088|18515|25676|28127|34455|37487|46139|50140|89461|132021|350740"
"14";"1192";"AB";"4021|4137|4411|5002|11187|16329|17088|27656|41745"
"15";"1193";"AB";"4021|8258|8615|9904|13137|17088|18515|29531|10372|35799|50140|89864|339127|342423|347925"
"16";"1194";"AB";"4137|4359|4867|5999|7198|8615|8687|8713|10782|13939|15309|21585|34455|345897|132068|139581|308924|325178|349663"
"17";"1195";"AB";"4137|5385|5732|9646|9673|10782|11992|12547|13044|15309|16025|25037|27332|29402|34455|40548|46139|116294|292974|309336|315771|327153|339127|371810|7903|408169"
"18";"1512";"AB";"4021|4590|5732|5999|6491|8630|8765|9673|11082|12678|13939|16329|16423|28127|10372|35799|132021|347925|350866|371810|408980"
"19";"1515";"AB";"4359|5999|8576|8687|8765|9904|11261|12053|14564|21585|29402|34455|46139|46370|301544|342423|347925|371810|408980|117623"
"20";"1516";"AB";"4445|4867|4875|5385|5561|5732|5950|8258|8576|8713|10022|10782|11164|11187|11615|12678|13044|13079|15549|16055|16493|20605|23964|26779|28868|30763|35799|40548|46139|48277|71024|89461|89864|116294|132021|264758|292974|339127|358104|149338"
"21";"1519";"AB";"8391|34455|82358|350148|343974"
"22";"1842";"AB";"4733|4867|4875|4936|5002|5147|5163|5561|5732|5950|5999|6368|6491|6559|7299|8391|8576|8630|8713|8765|8891|9630|9646|9673|10733|10782|11082|11187|11261|11615|11992|12421|12678|13044|13079|14564|14886|15309|15314|15549|15700|16329|16423|16493|17088|19012|19596|19893|19983|20605|22716|25676|26779|27656|28127|28161|29531|30763|10372|37487|40548|43572|46139|46370|48277|48544|71024|81033|89461|89864|116294|132021|132068|139581|264758|292974|301544|309336|325178|327153|339127|342423|342504|348235|349024|371810|373943|428793"
"23";"221";"AB";"4031|585079|76|51|3085|3923|4733|4875|5385|8713|10822|11082|11261|12678|15403|15549|15700|16329|17088|18515|25676|28127|34455|37487|46139|50140|89461|132021|350740"
"24";"3277";"AB";"11615|22716|34455|408980"
"25";"3278";"AB";"12053|15309|27332|28127|34455|46370|139581|292974|350740"
"26";"3350";"AB";"14564|14886|22716|28868|34455|40548|309336|327153|339052|350740|408980|428793"
"27";"3352";"AB";"16025|16423|16493|20605|10372|35799|40548|116294|155830|350866"
"28";"3357";"AB";"12421|12678|13044|16423|27332|28127|28868|34455|50140|89461|132021|292974|347925|350740|117623"
"29";"3358";"AB";"12547|12678|21585|25037|28868|40548|46139|89461|339052|117623"
"30";"3359";"AB";"12547|16025|16234|16493|27656|37487|139581|342423"
"31";"3360";"AB";"12547|12678|13044|13079|14886|15549|16025|19893|27049|28868|34455|10372|71024|89864|139581|292974|308924|327153|348235"
"32";"3362";"AB";"14564|21585|29402|34455|46139|46370|301544|342423|347925|371810|408980|117623"
"33";"3363";"AB";"15309|27332|28127|34455|46370|139581|292974|350740"
"34";"3409";"AB";"12678|21585|25037|28868|40548|46139|89461|339052|117623"
"35";"3410";"AB";"12678|13044|13939|14564|14886|15403|15549|15700|15707|16055|16234|16329|16423|16493|19012|19893|19983|21585|23964|25037|25676|584|26779|27332|27656|28868|29402|29531|30763|31794|31992|34435|34455|35799|37487|40548|41745|43572|46139|48277|81033|84878|132021|139581|155830|292974|308924|318015|339127|342423|342504|347856|349663|350866|358104|373943|377597|381685|408169|408980|149338|428793"
"36";"3411";"AB";"13044|15309|16025|25037|27332|29402|34455|40548|46139|116294|292974|309336|315771|327153|339127|371810|7903|408169"
"37";"3412";"AB";"15309|19012|10372|408980"
"38";"3413";"AB";"12678|13044|13079|14886|15549|16025|19893|27049|28868|34455|10372|71024|89864|139581|292974|308924|327153|348235"
"39";"3414";"AB";"12678|13044|13079|13939|14564|14886|15700|16234|16423|16493|16527|17088|19012|19596|19983|20605|22716|23964|25037|25676|27049|27332|27656|28127|28161|28868|31992|34435|34455|5888|10372|40548|41745|43572|48277|81033|82358|84878|89461|89864|116294|132021|155830|301544|308924|322065|307140|325178|347856|347925|349663|350148|350866|371810|373943|428793"
"40";"3415";"AB";"12678|15309|25037|26779|27656|34435|35799|264758|292974|325178|342504|348235|349663|358104|377597"
"41";"3416";"AB";"13044|13079|15309|15314|16025|16423|19596|19983|25037|27332|27656|29402|30763|46139|48544|292974|308442|308924|309336|315771|325178|347925|348235|149338|428793"
"42";"3417";"AB";"13044|13079|13939|15309|15549|16329|16423|16493|17088|19596|25037|27332|28127|29531|10372|40548|48544|345897|116294|132021|139581|307140|325178|408980"
"43";"3418";"AB";"13044|14886|15314|15549|15700|15707|16329|16527|19596|19893|23964|28868|29531|30763|34455|35799|48277|50140|71024|81033|89864|116294|132021|308924|309336|315771|322065|325178|327153|339127|350148|371810|408980|149338|428793"
"44";"3422";"AB";"16025|16234|16493|27656|37487|139581|342423"
"45";"3751";"AB";"15707|16329|22716|25528|26779|48277|342423|349024|350148"
"46";"3752";"AB";"15707|16025|16329|17088|18515|19983|28868|30763|34455|10372|50140"
"47";"3753";"AB";"16329|17088|18515|50140"
"48";"3754";"AB";"16329|17088|18515|25676|28127|34455|37487|46139|50140|89461|132021|350740"
"49";"3755";"AB";"15700|15707|16055|16234|16329|16423|16493|19012|19893|19983|21585|23964|25037|25676|584|26779|27332|27656|28868|29402|29531|30763|31794|31992|34435|34455|35799|37487|40548|41745|43572|46139|48277|81033|84878|132021|139581|155830|292974|308924|318015|339127|342423|342504|347856|349663|350866|358104|373943|377597|381685|408169|408980|149338|428793"
"50";"3756";"AB";"15700|16329|16423|16493|17088|19012|19596|19893|19983|20605|22716|25676|26779|27656|28127|28161|29531|30763|10372|37487|40548|43572|46139|46370|48277|48544|71024|81033|89461|89864|116294|132021|132068|139581|264758|292974|301544|309336|325178|327153|339127|342423|342504|348235|349024|371810|373943|428793"
"51";"3757";"AB";"15707|16329|16527|19596|19893|23964|28868|29531|30763|34455|35799|48277|50140|71024|81033|89864|116294|132021|308924|309336|315771|322065|325178|327153|339127|350148|371810|408980|149338|428793"
"52";"3759";"AB";"16423|23964|25037|29402|31794|34455|46139|48544|60399|89864|155830|292974|301544|339127|342423|349663|408980"
"53";"3760";"AB";"15700|15707|16055|16234|16329|16423|16493|19012|19893|19983|21585|23964|25037|25676|584|26779|27332|27656|28868|29402|29531|30763|31794|31992|34435|34455|35799|37487|40548|41745|43572|46139|48277|81033|84878|132021|139581|155830|292974|308924|318015|339127|342423|342504|347856|349663|350866|358104|373943|377597|381685|408169|408980|149338|428793"
"54";"3761";"AB";"15700|16329|16423|16493|17088|19012|19596|19893|19983|20605|22716|25676|26779|27656|28127|28161|29531|30763|10372|37487|40548|43572|46139|46370|48277|48544|71024|81033|89461|89864|116294|132021|132068|139581|264758|292974|301544|309336|325178|327153|339127|342423|342504|348235|349024|371810|373943|428793"
"55";"3762";"AB";"15700|16329|16423|16493|17088|19012|19596|19893|19983|20605|22716|25676|26779|27656|28127|28161|29531|30763|10372|37487|40548|43572|46139|46370|48277|48544|71024|81033|89461|89864|116294|132021|132068|139581|264758|292974|301544|309336|325178|327153|339127|342423|342504|348235|349024|371810|373943|428793"
"56";"3763";"AB";"15700|16234|16423|16493|16527|17088|19012|19596|19983|20605|22716|23964|25037|25676|27049|27332|27656|28127|28161|28868|31992|34435|34455|5888|10372|40548|41745|43572|48277|81033|82358|84878|89461|89864|116294|132021|155830|301544|308924|322065|307140|325178|347856|347925|349663|350148|350866|371810|373943|428793"
"57";"3764";"AB";"15700|16423|19596|19983|27332|28127|28161|28868|34435|34455|10372|40548|41745|48277|81033|116294|132021|325178|347925|371810|373943|428793"
"58";"3765";"AB";"15707|16527|28127|28161|81033|139581"
"59";"3766";"AB";"16234|16423|19012|19983|23964|25676|27332|28868|34435|40548|41745|84878|132021|308924|347856|349663|350866|373943|428793"
"60";"3767";"AB";"16234|16423|16493|16527|17088|19012|19596|19983|20605|22716|23964|25037|25676|27049|27332|27656|28127|28161|28868|31992|34435|34455|5888|10372|40548|41745|43572|48277|81033|82358|84878|89461|89864|116294|132021|155830|301544|308924|322065|307140|325178|347856|347925|349663|350148|350866|371810|373943|428793"
"61";"3768";"AB";"16423|19983|27332|28868|34435|40548|41745|132021|373943|428793"
"62";"3769";"AB";"16423|19596|19983|27332|28127|28161|28868|34435|34455|10372|40548|41745|48277|81033|116294|132021|325178|347925|371810|373943|428793"
"63";"3770";"AB";"16423|27332|28127|28868|48277|132021|325178|347925|373943|428793"
"64";"3775";"AB";"27332|28868|132021|373943|428793"
"65";"4647";"AB";"41745|43572|46139|48277|81033|84878|132021|139581|155830|292974|308924|318015|339127|342423|342504|347856|349663|350866|358104|373943|377597|381685|408169|408980|149338|428793"
"66";"4648";"AB";"46370|48277|60399|71024|84878|89461|132021|132068|139581|301544|315771|318015|325178|339127|349024|350148|371810|7903|381685"
"67";"4650";"AB";"345897|89864|132068|264758"
"68";"4651";"AB";"41745|43572|46139|48277|81033|84878|132021|139581|155830|292974|308924|318015|339127|342423|342504|347856|349663|350866|358104|373943|377597|381685|408169|408980|149338|428793"
"69";"4653";"AB";"46139|46370|89864|132021|132068|139581|155830|264758|308924|325178|327153|342423|350740|371810|428793"
"70";"4654";"AB";"46370|48277|82358|84878|116294|132068|292974|322065|325178|349024|350866|371810"
