"";"seq.id";"seq.type";"pids"
"1";"15796";"A";"348235|350740|360279|408169"
"2";"10000";"AB";"12053|12421|12547|12678|13044|13079|13137|13939|14564|14886|14984|15309|15314|15403|15700|15707|16025|16055|16234|16329|16423|16493|16527|19012|19893|19983|20605|21585|22716|23964|25528|25676|25972|584|26779|27049|27656|28127|28161|29402|29531|30763|31794|31992|34455|5888|10372|35799|36952|37487|40548|41745|43572|46139|46370|48277|48544|50140|60399|71024|81033|82358|83356|84878|89461|116294|132021|132068|155830|264758|292974|308442|308924|309336|315771|318015|322065|307140|325178|327153|339052|339127|342423|348235|349024|349663|350148|350740|350866|358104|360279|7903|373943|377597|381685|408169|408980"
"3";"10001";"AB";"12053|12547|12678|13079|13137|13939|14564|14886|14984|15309|15314|15403|15700|15707|16025|16055|16329|16423|16493|16527|19012|19893|19983|21585|22716|23964|25528|25676|25972|584|26779|27049|27656|28127|28161|29402|29531|30763|31794|31992|34455|5888|10372|35799|36952|37487|40548|41745|43572|46370|48277|48544|50140|60399|71024|81033|82358|83356|84878|89461|116294|132021|132068|155830|264758|308442|308924|309336|318015|322065|307140|325178|339052|342423|348235|349024|349663|350148|350740|350866|358104|360279|7903|373943|381685|408169|408980"
"4";"10002";"AB";"12053|12547|12678|13044|13079|13137|13939|14564|14984|15314|15403|15700|15707|16025|16055|16234|16423|16493|16527|18515|19893|21585|22716|23964|25037|25676|25972|584|26779|27049|27332|28127|28161|28868|29402|29531|30763|31794|31992|5888|10372|35799|36952|37487|40548|41745|43572|46139|46370|48277|48544|50140|60399|71024|81033|82358|83356|84878|89461|116294|132068|155830|264758|301544|308442|308924|309336|318015|322065|307140|325178|339052|342423|348235|349024|349663|350148|350740|350866|360279|7903|373943|381685|408169|408980"
"5";"10003";"AB";"12053|12547|12678|13079|13137|13939|14564|14886|14984|15309|15314|15403|15700|15707|16025|16055|16234|16329|16423|16493|16527|18515|19012|19596|19893|19983|21585|22716|23964|25037|25528|25676|25972|584|26779|27049|27332|27656|28127|28161|28868|29402|29531|30763|31794|31992|34455|5888|10372|35799|36952|37487|40548|41745|43572|46139|46370|48277|48544|50140|60399|71024|81033|82358|83356|84878|89461|116294|132021|132068|155830|264758|292974|301544|308442|308924|309336|315771|318015|322065|307140|325178|327153|339052|339127|342423|348235|349024|349663|350148|350740|350866|358104|360279|7903|373943|381685|408169|408980"
"6";"10004";"AB";"12053|12547|12678|13044|13079|14564|14886|15309|15403|15549|16329|16423|17088|22716|23964|25037|25528|584|26779|27049|28127|29402|29531|30763|31992|34435|34455|5888|10372|40548|48277|345897|84878|89864|132021|132068|139581|264758|292974|308924|4361|307140|325178|339127|348235|408980|260364"
"7";"10005";"AB";"12053|12678|13044|13079|14564|14886|15309|15314|15403|15549|15707|16025|16329|16493|16527|17088|19596|19983|25528|25676|25972|584|26779|27332|27656|28127|28868|29402|29531|30763|34435|34455|5888|35799|40548|46139|46370|48277|345897|82358|84878|132021|132068|155830|292974|308924|309336|307140|325178|339127|342423|342504|347925|7903|373943|381685|149338"
"8";"10006";"AB";"12053|15314|16493|17088|25528|25676|46370|48277|308924|325178|342504"
"9";"10007";"AB";"12053|12547|12678|13137|13939|14564|15403|15700|16025|16055|16493|16527|19893|21585|22716|25037|25676|25972|26779|28127|28161|29402|29531|30763|31794|31992|35799|36952|37487|41745|43572|48544|60399|82358|83356|89461|132021|132068|155830|308442|308924|309336|318015|322065|307140|325178|342423|348235|349663|350740|350866|358104|360279|381685|408169"
"10";"10008";"AB";"12053|12547|12678|13079|13137|14564|14886|15309|15314|15403|15700|15707|16025|16055|16234|16329|16493|16527|19012|19893|19983|21585|22716|23964|25528|25676|25972|584|26779|27049|27656|28127|28161|29402|29531|30763|31794|31992|34455|5888|35799|36952|37487|40548|41745|43572|46370|48277|48544|50140|60399|71024|81033|82358|83356|84878|89461|132021|132068|155830|264758|292974|308442|308924|309336|318015|322065|307140|325178|342423|348235|349024|349663|350148|350740|350866|358104|360279|373943|377597|381685|408169|408980"
