"";"pid";"end.date";"by.loc";"by.churn";"by.devs"
"1";"585077";"2013-06-01";"TRUE";"TRUE";"TRUE"
"2";"589515";"2013-06-01";"TRUE";"TRUE";"TRUE"
"3";"586805";"2013-06-01";"TRUE";"TRUE";"TRUE"
"4";"587198";"2013-06-01";"TRUE";"TRUE";"TRUE"
"5";"587204";"2013-06-01";"TRUE";"TRUE";"TRUE"
"6";"587571";"2013-06-01";"TRUE";"TRUE";"TRUE"
"7";"588411";"2013-06-01";"TRUE";"TRUE";"TRUE"
"8";"589091";"2013-06-01";"TRUE";"FALSE";"FALSE"
"9";"475";"2013-06-01";"TRUE";"TRUE";"TRUE"
"10";"3927";"2013-06-01";"TRUE";"FALSE";"FALSE"
"11";"3085";"2013-06-01";"TRUE";"TRUE";"TRUE"
"12";"3584";"2013-06-01";"TRUE";"TRUE";"TRUE"
"13";"4007";"2013-05-01";"TRUE";"TRUE";"TRUE"
"14";"4445";"2013-06-01";"TRUE";"TRUE";"TRUE"
"15";"4614";"2013-06-01";"TRUE";"TRUE";"TRUE"
"16";"4867";"2013-06-01";"TRUE";"TRUE";"TRUE"
"17";"4936";"2013-06-01";"TRUE";"TRUE";"TRUE"
"18";"7858";"2013-06-01";"TRUE";"TRUE";"TRUE"
"19";"11187";"2013-06-01";"TRUE";"TRUE";"TRUE"
"20";"11389";"2013-06-01";"TRUE";"TRUE";"TRUE"
"21";"12053";"2013-06-01";"TRUE";"TRUE";"TRUE"
"22";"12547";"2013-06-01";"TRUE";"TRUE";"TRUE"
"23";"13079";"2013-06-01";"TRUE";"TRUE";"TRUE"
"24";"15700";"2013-06-01";"TRUE";"TRUE";"TRUE"
"25";"16025";"2013-06-01";"TRUE";"TRUE";"TRUE"
"26";"19596";"2013-06-01";"TRUE";"TRUE";"TRUE"
"27";"21585";"2013-06-01";"TRUE";"TRUE";"TRUE"
"28";"25037";"2013-06-01";"TRUE";"TRUE";"TRUE"
"29";"31992";"2013-06-01";"TRUE";"TRUE";"TRUE"
"30";"41745";"2013-06-01";"TRUE";"TRUE";"TRUE"
"31";"82358";"2013-06-01";"TRUE";"TRUE";"TRUE"
"32";"83356";"2012-09-01";"TRUE";"FALSE";"FALSE"
"33";"132068";"2013-06-01";"TRUE";"FALSE";"FALSE"
"34";"155830";"2013-06-01";"TRUE";"TRUE";"TRUE"
"35";"308924";"2013-06-01";"TRUE";"FALSE";"FALSE"
"36";"317799";"2013-06-01";"TRUE";"TRUE";"TRUE"
"37";"318015";"2013-06-01";"TRUE";"TRUE";"TRUE"
"38";"322065";"2013-06-01";"TRUE";"TRUE";"TRUE"
"39";"307140";"2013-06-01";"TRUE";"TRUE";"TRUE"
"40";"325178";"2013-06-01";"TRUE";"TRUE";"TRUE"
"41";"348235";"2012-12-01";"TRUE";"TRUE";"TRUE"
"42";"350148";"2013-06-01";"TRUE";"TRUE";"TRUE"
"43";"360279";"2013-06-01";"TRUE";"TRUE";"TRUE"
