;pid;end.date;by.loc;by.churn;by.devs;dead.date;latest.activity;latest.release;abandoned;migrated;merged.into;confirmed.dead;comments
1;585077;2013-06-01;TRUE;TRUE;TRUE;2012-03-01;2012-02-01;2011-10-01;TRUE;TRUE;598907;TRUE;
2;589515;2013-06-01;TRUE;TRUE;TRUE;2012-06-01;2013-11-01;2012-01-11;TRUE;FALSE;NA;TRUE;There were 2 commits, but did not change any code.
3;586805;2013-06-01;TRUE;TRUE;TRUE;2012-06-01;2012-05-01;2011-09-20;TRUE;FALSE;NA;TRUE;Repository was deleted in master, diverged from latest branch.
4;587198;2013-06-01;TRUE;TRUE;TRUE;2012-01-01;2011-12-06;NA;TRUE;FALSE;NA;TRUE;
5;587204;2013-06-01;TRUE;TRUE;TRUE;2012-07-01;2014-01-16;NA;FALSE;FALSE;NA;TRUE;Latest commits do not involve code.
6;587571;2013-06-01;TRUE;TRUE;TRUE;2012-07-01;2012-07-01;2013-03-01;TRUE;FALSE;NA;TRUE;Website is offline.
7;588411;2013-06-01;TRUE;TRUE;TRUE;2012-06-01;2012-05-01;2013-11-01;TRUE;FALSE;NA;TRUE;
8;589091;2013-06-01;TRUE;FALSE;FALSE;NA;2014-01-27;2013-07-11;FALSE;FALSE;NA;FALSE;Activity is decreasing by 50-66%.
9;475;2013-06-01;TRUE;TRUE;TRUE;NA;2013-09-01;NA;FALSE;TRUE;NA;FALSE;Repo moved from SVN to GIT.
10;3927;2013-06-01;TRUE;FALSE;FALSE;NA;2014-03-01;NA;FALSE;FALSE;NA;FALSE;There was just no measurable change in LOC.
11;3085;2013-06-01;TRUE;TRUE;TRUE;2012-04-01;2012-03-01;2010-09-06;TRUE;FALSE;NA;TRUE;
12;3584;2013-06-01;TRUE;TRUE;TRUE;NA;2014-03-01;2011-08-17;FALSE;FALSE;NA;FALSE;"Still active; activity increasing."
13;4007;2013-05-01;TRUE;TRUE;TRUE;2012-05-01;2012-04-01;2011-03-06;TRUE;FALSE;NA;TRUE;
14;4445;2013-06-01;TRUE;TRUE;TRUE;NA;2014-04-01;2012-12-11;FALSE;FALSE;NA;FALSE;Still active, although activity decreasing.
15;4614;2013-06-01;TRUE;TRUE;TRUE;2013-04-01;2013-03-01;NA;TRUE;FALSE;NA;TRUE;It is broken and development stopped.
16;4867;2013-06-01;TRUE;TRUE;TRUE;NA;2014-02-01;2006-03-28;FALSE;FALSE;NA;FALSE;Still active, although very low activity.
17;4936;2013-06-01;TRUE;TRUE;TRUE;NA;2014-04-01;NA;FALSE;FALSE;NA;FALSE;Activity is decreasing by 35-55%
18;7858;2013-06-01;TRUE;TRUE;TRUE;NA;2011-09-01;2014-03-09;FALSE;TRUE;NA;FALSE;Repo moved from SVN to GIT.
19;11187;2013-06-01;TRUE;TRUE;TRUE;NA;2013-07-01;NA;TRUE;FALSE;NA;FALSE;"Website is offline; but activity increasing. Looks like project will be resurrected."
20;11389;2013-06-01;TRUE;TRUE;TRUE;2011-11-01;2011-10-01;NA;TRUE;FALSE;NA;TRUE;
21;12053;2013-06-01;TRUE;TRUE;TRUE;2011-11-01;2011-10-01;NA;TRUE;FALSE;NA;TRUE;Website is offline.
22;12547;2013-06-01;TRUE;TRUE;TRUE;2012-03-01;2012-02-01;NA;TRUE;FALSE;NA;TRUE;No activity in the code base.
23;13079;2013-06-01;TRUE;TRUE;TRUE;NA;2014-03-01;2013-04-02;FALSE;FALSE;NA;FALSE;Still active, although activity decreasing.
24;15700;2013-06-01;TRUE;TRUE;TRUE;2012-03-01;2012-02-01;NA;TRUE;FALSE;NA;TRUE;Website is offline.
25;16025;2013-06-01;TRUE;TRUE;TRUE;NA;2012-03-01;2013-10-07;FALSE;TRUE;NA;FALSE;Repo moved from SVN to GIT.
26;19596;2013-06-01;TRUE;TRUE;TRUE;NA;2011-10-01;NA;FALSE;TRUE;NA;FALSE;Repo moved from SVN to GIT.
27;21585;2013-06-01;TRUE;TRUE;TRUE;NA;2014-02-01;NA;FALSE;FALSE;NA;FALSE;"Website is offline; but activity increasing. Looks like project will be resurrected."
28;25037;2013-06-01;TRUE;TRUE;TRUE;NA;2013-09-01;NA;FALSE;FALSE;NA;FALSE;Small fixes are still being made. Still active, although very low activity.
29;31992;2013-06-01;TRUE;TRUE;TRUE;NA;2013-09-01;2013-12-01;FALSE;FALSE;NA;FALSE;Still active, although low activity.
30;41745;2013-06-01;TRUE;TRUE;TRUE;2011-10-01;2014-03-01;2011-09-01;TRUE;FALSE;NA;TRUE;Latest commit was update for new OS support.
31;82358;2013-06-01;TRUE;TRUE;TRUE;NA;2011-11-01;2013-03-21;FALSE;TRUE;NA;FALSE;Repo moved to other location.
32;83356;2012-09-01;TRUE;FALSE;FALSE;NA;2014-01-01;NA;FALSE;FALSE;NA;FALSE;Still active, although low activity.
33;132068;2013-06-01;TRUE;FALSE;FALSE;NA;2014-02-01;2014-02-26;FALSE;FALSE;NA;FALSE;Still active, although low activity.
34;155830;2013-06-01;TRUE;TRUE;TRUE;2012-07-01;2012-06-01;2007-01-18;TRUE;FALSE;NA;TRUE;
35;308924;2013-06-01;TRUE;FALSE;FALSE;NA;2014-03-01;NA;TRUE;FALSE;NA;FALSE;Still active, although very low activity.
36;317799;2013-06-01;TRUE;TRUE;TRUE;2011-11-01;2011-10-01;NA;TRUE;FALSE;NA;TRUE;
37;318015;2013-06-01;TRUE;TRUE;TRUE;NA;2013-12-17;NA;FALSE;FALSE;NA;FALSE;Latest activity is too recent to call it dead.
38;322065;2013-06-01;TRUE;TRUE;TRUE;2012-04-01;2012-03-01;2012-03-01;TRUE;FALSE;NA;TRUE;
39;307140;2013-06-01;TRUE;TRUE;TRUE;2009-10-01;2009-09-01;NA;TRUE;FALSE;NA;TRUE;
40;325178;2013-06-01;TRUE;TRUE;TRUE;2011-12-01;2011-11-01;NA;TRUE;FALSE;NA;TRUE;
41;348235;2012-12-01;TRUE;TRUE;TRUE;NA;2014-03-01;2014-02-27;FALSE;FALSE;NA;FALSE;Still moderately active.
42;350148;2013-06-01;TRUE;TRUE;TRUE;NA;2014-01-01;2012-01-08;FALSE;FALSE;NA;FALSE;Still active, although very low activity.
43;360279;2013-06-01;TRUE;TRUE;TRUE;2012-01-01;2011-12-01;NA;TRUE;FALSE;NA;TRUE;Website is offline.
