"";"pid";"max.revlevel";"match.count"
"51";51;6;17
"93";93;6;46
"155";155;6;13
"232";232;6;25
"433";433;6;1
"480";480;6;3
"584";584;6;167
"625";625;6;22
"767";767;7;19
"1895";1895;6;83
"3187";3187;6;8
"3352";3352;6;106
"3366";3366;6;98
"3402";3402;5;71
"3430";3430;6;79
"3431";3431;6;133
"3744";3744;5;12
"3923";3923;6;89
"4021";4021;6;79
"4059";4059;6;64
"4137";4137;6;47
"4325";4325;6;32
"4359";4359;6;7
"4361";4361;6;23
"4411";4411;6;35
"4590";4590;6;14
"4673";4673;6;4
"4733";4733;6;115
"4875";4875;6;42
"5002";5002;6;84
"5147";5147;6;295
"5163";5163;6;84
"5385";5385;6;20
"5561";5561;6;1
"5732";5732;7;152
"5888";5888;6;194
"5950";5950;5;209
"5999";5999;6;201
"6056";6056;5;1
"6368";6368;6;5
"6491";6491;6;12
"6559";6559;6;144
"6869";6869;6;240
"7198";7198;6;44
"7299";7299;6;90
"7329";7329;6;68
"7903";7903;6;1
"8258";8258;6;85
"8391";8391;5;19
"8576";8576;6;241
"8615";8615;5;17
"8630";8630;6;14
"8687";8687;5;8
"8713";8713;6;140
"8765";8765;6;199
"8891";8891;6;23
"8957";8957;5;1
"9673";9673;5;1
"9904";9904;6;154
"10022";10022;6;139
"10372";10372;6;14
"10505";10505;6;25
"10733";10733;6;208
"10782";10782;6;30
"10822";10822;6;91
"11082";11082;6;254
"11164";11164;6;247
"11261";11261;6;55
"11615";11615;6;132
"11992";11992;6;140
"12421";12421;6;17
"12678";12678;6;375
"13044";13044;6;30
"13137";13137;6;319
"13939";13939;5;41
"14564";14564;6;98
"14886";14886;6;2
"14984";14984;4;237
"15309";15309;5;18
"15314";15314;6;227
"15403";15403;5;257
"15549";15549;6;13
"15707";15707;6;516
"16055";16055;3;3
"16234";16234;6;8
"16329";16329;6;468
"16423";16423;7;31
"16493";16493;6;120
"16527";16527;6;219
"16584";16584;5;3
"17088";17088;6;10
"18515";18515;4;8
"19012";19012;5;182
"19893";19893;5;179
"19983";19983;6;381
"22716";22716;6;91
"23964";23964;6;321
"25528";25528;6;389
"25676";25676;6;117
"25972";25972;5;2
"26779";26779;5;178
"27049";27049;5;9
"27332";27332;6;10
"27656";27656;6;103
"28127";28127;5;3
"28161";28161;6;190
"28868";28868;5;19
"29402";29402;6;45
"29531";29531;6;583
"30763";30763;6;94
"31794";31794;6;55
"34435";34435;5;34
"34455";34455;6;243
"35799";35799;6;168
"36952";36952;6;106
"37487";37487;6;234
"40548";40548;6;23
"43572";43572;6;57
"46139";46139;6;140
"46370";46370;5;133
"48277";48277;5;290
"48544";48544;5;483
"50140";50140;5;100
"60399";60399;5;69
"71024";71024;5;306
"81033";81033;6;320
"84878";84878;5;395
"89461";89461;6;1
"89864";89864;5;3
"116294";116294;5;7
"117623";117623;4;1
"132021";132021;6;248
"139581";139581;6;11
"149338";149338;6;50
"172844";172844;6;3
"260364";260364;5;18
"264758";264758;5;329
"292974";292974;6;110
"301544";301544;5;1
"308442";308442;5;211
"309336";309336;5;344
"315771";315771;5;171
"327153";327153;4;6
"339052";339052;4;384
"339127";339127;5;177
"342092";342092;5;3
"342423";342423;5;1
"342504";342504;5;45
"343974";343974;6;1
"345897";345897;5;49
"347925";347925;5;7
"349024";349024;5;535
"350740";350740;5;735
"350866";350866;5;1
"358104";358104;5;614
"373943";373943;5;42
"377597";377597;3;12
"381685";381685;5;32
"408169";408169;4;648
"408980";408980;6;326
"428793";428793;5;2
"487094";487094;4;1
"488862";488862;6;1
"528850";528850;4;3
"546760";546760;5;2
"585079";585079;5;2
"588202";588202;4;17
"588935";588935;4;25
