;pid;max.revlevel;dead.count;year.contributors;year.commits;month.contributors;month.commits;year.contributors.change;year.commits.change;comments
167;93;5;18;3;100;1;14;0;0,56;
313;232;6;18;3;85;0;0;-0,25;-0,12;
169;475;5;18;5;100;2;2;0,66;15,66;
315;475;6;18;5;100;2;2;0,66;15,66;
57;480;4;18;1;1;0;0;0;0;
170;480;5;18;1;1;0;0;0;0;
316;480;6;18;1;1;0;0;0;0;
317;584;6;18;35;2237;13;498;0,09;0,96;
171;1895;5;18;2;11;1;8;0;-0,5;
320;1895;6;18;2;11;1;8;0;-0,5;
322;3352;6;18;0;0;0;0;-1;-1;
173;3366;5;18;0;0;0;0;-1;-1;
60;3402;4;18;7;164;1;6;-0,12;-0,04;
174;3402;5;18;7;164;1;6;-0,12;-0,04;
61;3430;4;18;2;9;1;1;-0,33;0,12;
175;3430;5;18;2;9;1;1;-0,33;0,12;
176;3431;5;18;3;11;0;0;0,5;2,66;
325;3431;6;18;3;11;0;0;0,5;2,66;
326;3584;6;18;9;142;2;13;0,8;-0,45;
329;4021;6;18;2;3;0;0;-0,33;-0,88;
330;4059;6;18;2;131;2;29;-0,33;1,07;
67;4359;4;18;3;32;2;11;2;31;
185;4359;5;18;3;32;2;11;2;31;
335;4411;6;18;4;4;0;0;0,33;-0,84;
68;4445;4;18;10;88;3;10;-0,16;-0,56;
186;4445;5;18;10;88;3;10;-0,16;-0,56;
339;4733;6;18;2;290;1;1;NA;NA;The project stopped being analyzed
71;4867;4;18;3;9;0;0;2;2;
191;4936;5;18;11;962;6;64;-0,35;-0,55;
343;5002;6;18;1;51;0;0;-0,5;0,3;
192;5147;5;18;2;8;0;0;0;1,66;
344;5147;6;18;2;8;0;0;0;1,66;
345;5163;6;18;1;1;0;0;0;-0,75;
193;5561;5;18;1;14;0;0;-0,75;-0,85;
426;5732;7;18;1;1;0;0;0;-0,98;
348;5888;6;18;31;206;16;49;0,34;0,67;
75;5950;4;18;7;62;1;1;2,5;1,48;
194;5950;5;18;7;62;1;1;2,5;1,48;
76;5999;4;18;3;6;1;1;0,5;-0,75;
77;6559;4;18;1;1;0;0;-0,66;-0,9;
198;6559;5;18;1;1;0;0;-0,66;-0,9;
