;pid;max.revlevel;dead.count;year.contributors;year.commits;month.contributors;month.commits;year.contributors.change;year.commits.change;comments
310;51;6;16;2;79;0;0;-0,5;-0,64;
167;93;5;18;3;100;1;14;0;0,56;
312;155;6;15;3;12;0;0;0;-0,33;
313;232;6;18;3;85;0;0;-0,25;-0,12;
314;433;6;1;2;92;1;6;-0,33;-0,64;
315;475;6;18;5;100;2;2;0,66;15,66;
316;480;6;18;1;1;0;0;0;0;
317;584;6;18;35;2237;13;498;0,09;0,96;
318;625;6;16;3;377;2;14;-0,5;1,14;
425;767;7;16;14;41;3;5;-0,17;0,41;
320;1895;6;18;2;11;1;8;0;-0,5;
321;3187;6;7;2;539;2;32;0;0,25;
322;3352;6;18;0;0;0;0;-1;-1;
173;3366;5;18;0;0;0;0;-1;-1;
174;3402;5;18;7;164;1;6;-0,12;-0,04;
175;3430;5;18;2;9;1;1;-0,33;0,12;
325;3431;6;18;3;11;0;0;0,5;2,66;
326;3584;6;18;9;142;2;13;0,8;-0,45;
178;3744;5;14;1;3;0;0;-0,66;-0,85;
327;3923;6;16;2;182;2;8;0;-0,27;
180;3927;5;9;10;17;2;2;-0,58;-0,48;
329;4021;6;18;2;3;0;0;-0,33;-0,88;
330;4059;6;18;2;131;2;29;-0,33;1,07;
331;4137;6;17;2;179;2;10;-0,5;0,04;
184;4325;5;16;6;15;0;0;0;-0,66;
185;4359;5;18;3;32;2;11;2;31;
334;4361;6;7;130;8687;59;952;-0,03;0,13;
335;4411;6;18;4;4;0;0;0,33;-0,84;
186;4445;5;18;10;88;3;10;-0,16;-0,56;
187;4590;5;16;3;22;0;0;0;-0,37;
338;4673;6;8;36;1120;5;91;-0,2;0,32;
339;4733;6;18;2;290;1;1;NA;NA;The project stopped being analyzed
71;4867;4;18;3;9;0;0;2;2;
341;4875;6;16;3;136;1;3;0;-0,39;
191;4936;5;18;11;962;6;64;-0,35;-0,55;
343;5002;6;18;1;51;0;0;-0,5;0,3;
344;5147;6;18;2;8;0;0;0;1,66;
345;5163;6;18;1;1;0;0;0;-0,75;
346;5385;6;14;2;162;0;0;-0,33;-0,77;
193;5561;5;18;1;14;0;0;-0,75;-0,85;
426;5732;7;18;1;1;0;0;0;-0,98;
348;5888;6;18;31;206;16;49;0,34;0,67;
194;5950;5;18;7;62;1;1;2,5;1,48;
76;5999;4;18;3;6;1;1;0,5;-0,75;
196;6056;5;6;18;1550;5;68;-0,1;-0,28;
350;6368;6;6;1;175;0;0;-0,5;-0,65;
351;6491;6;10;1;592;1;23;0;0,94;
352;6559;6;18;1;1;0;0;-0,66;-0,9;
