;pid;max.revlevel;dead.count;deads
64;3187;6;1;3085
284;3187;4;1;3085
289;3352;5;5;3085|12053|41745|307140|325178
295;3430;6;1;3085
15;3923;5;4;3085|4614|15700|325178
43;3923;5;4;3085|4614|15700|325178
302;3923;3;1;3085
77;4021;5;3;3085|12547|325178
303;4021;5;1;3085
1;4031;5;3;589515|3085|15700
16;4137;6;4;3085|4614|15700|325178
44;4137;6;4;3085|4614|15700|325178
69;4325;5;5;3085|12547|15700|322065|325178
9;4411;6;5;3085|155830|322065|307140|325178
17;4590;4;4;3085|4614|15700|325178
45;4590;4;4;3085|4614|15700|325178
83;5002;5;2;3085|41745
18;6368;4;4;3085|4614|15700|325178
19;6368;5;4;3085|4614|15700|325178
31;6368;5;4;3085|41745|155830|325178
39;6368;5;1;3085
46;6368;4;4;3085|4614|15700|325178
47;6368;5;4;3085|4614|15700|325178
59;6368;6;8;3085|12547|15700|41745|155830|322065|307140|325178
97;6368;4;3;4614|15700|325178
98;6368;5;3;4614|15700|325178
20;6491;6;4;3085|4614|15700|325178
32;6491;6;4;3085|41745|155830|325178
40;6491;6;1;3085
48;6491;6;4;3085|4614|15700|325178
99;6491;6;3;4614|15700|325178
283;7329;5;1;3085
5;8258;6;3;587571|15700|155830
84;8258;6;1;3085
296;8258;3;1;3085
78;8391;4;3;3085|12547|325178
95;8391;3;1;4007
33;8576;5;4;3085|41745|155830|325178
60;8615;5;8;3085|12547|15700|41745|155830|322065|307140|325178
72;8615;3;2;3085|325178
85;8615;4;1;3085
21;8713;5;4;3085|4614|15700|325178
49;8713;5;4;3085|4614|15700|325178
100;8713;5;3;4614|15700|325178
304;8891;5;3;3085|155830|325178
311;8891;5;2;4007|325178
12;9646;6;1;3085
288;9646;6;2;3085|12053
297;9673;3;1;3085
66;10372;6;1;3085
61;10822;6;8;3085|12547|15700|41745|155830|322065|307140|325178
298;10822;6;1;3085
308;10822;6;1;3085
10;11261;5;5;3085|155830|322065|307140|325178
34;11261;4;4;3085|41745|155830|325178
305;11261;4;3;3085|155830|325178
94;12678;5;1;4007
316;12678;5;2;11389|155830
62;13044;5;8;3085|12547|15700|41745|155830|322065|307140|325178
115;13044;6;1;12053
122;13044;5;2;12053|12547
123;13044;6;2;12053|12547
142;13044;5;1;12547
143;13044;6;1;12547
144;13044;5;7;12547|15700|41745|155830|322065|307140|325178
130;13939;3;4;12547|15700|41745|155830
91;14564;4;2;4007|12053
124;14564;4;1;12053
88;15309;5;2;3085|12547
140;15309;5;1;12547
141;15309;4;1;12547
147;15309;5;2;12547|325178
299;15309;5;1;3085
306;15309;5;3;3085|155830|325178
309;15309;5;1;3085
340;15309;3;1;12547
312;15403;4;2;4614|12053
334;15403;4;1;12053
131;15707;6;4;12547|15700|41745|155830
163;15707;6;3;15700|41745|155830
186;15707;6;3;15700|41745|155830
307;15707;6;3;3085|155830|325178
323;15707;4;1;12053
63;16234;5;8;3085|12547|15700|41745|155830|322065|307140|325178
73;16234;4;2;3085|325178
145;16234;5;7;12547|15700|41745|155830|322065|307140|325178
213;16234;5;6;15700|41745|155830|322065|307140|325178
217;16234;5;2;15700|41745
218;16234;5;6;15700|41745|155830|322065|307140|325178
116;16423;7;1;12053
317;16423;5;1;12053
216;16527;5;1;15700
286;16527;3;2;3085|307140
287;16527;5;1;3085
150;17088;6;3;12547|307140|325178
324;17088;4;1;12053
335;17088;4;1;12053
132;19893;4;4;12547|15700|41745|155830
164;19893;4;3;15700|41745|155830
187;19893;4;3;15700|41745|155830
336;19893;4;1;12547
22;19983;6;4;3085|4614|15700|325178
50;19983;6;4;3085|4614|15700|325178
101;19983;6;3;4614|15700|325178
148;19983;5;2;12547|325178
172;19983;6;2;15700|325178
195;19983;6;2;15700|325178
204;19983;6;2;15700|325178
294;19983;5;2;3085|322065
346;20605;4;3;15700|322065|325178
157;22716;5;1;15700
337;23964;5;1;12547
343;23964;4;2;15700|325178
23;26779;4;4;3085|4614|15700|325178
51;26779;4;4;3085|4614|15700|325178
102;26779;4;3;4614|15700|325178
173;26779;4;2;15700|325178
196;26779;4;2;15700|325178
205;26779;4;2;15700|325178
319;26779;4;3;12053|41745|325178
111;27332;6;2;11389|12053
117;27332;6;1;12053
127;27332;6;1;12053
300;27332;5;1;3085
310;27332;5;1;3085
35;27656;6;4;3085|41745|155830|325178
313;27656;5;2;4614|12053
327;27656;5;1;12053
151;28127;5;3;12547|307140|325178
347;28127;6;3;15700|322065|325178
133;28868;5;4;12547|15700|41745|155830
165;28868;5;3;15700|41745|155830
188;28868;5;3;15700|41745|155830
214;28868;6;3;15700|41745|325178
219;28868;6;2;15700|41745
220;28868;6;3;15700|41745|325178
222;28868;6;2;15700|325178
223;28868;6;1;15700
65;29531;5;1;3085
152;29531;6;3;12547|307140|325178
314;29531;5;2;4614|12053
328;29531;5;1;12053
36;30763;4;4;3085|41745|155830|325178
320;30763;6;3;12053|41745|325178
348;34435;5;1;15700
96;34455;4;1;4007
70;35799;6;5;3085|12547|15700|322065|325178
134;35799;5;4;12547|15700|41745|155830
154;35799;6;4;12547|15700|322065|325178
166;35799;5;3;15700|41745|155830
181;35799;6;3;15700|322065|325178
189;35799;5;3;15700|41745|155830
114;40548;6;2;12053|155830
119;40548;5;2;12053|12547
128;40548;5;1;12547
153;40548;6;3;12547|307140|325178
339;40548;5;2;12547|41745
2;46139;5;3;589515|3085|15700
24;46139;6;4;3085|4614|15700|325178
37;46139;6;4;3085|41745|155830|325178
41;46139;6;1;3085
52;46139;6;4;3085|4614|15700|325178
