;pid;max.revlevel;dead.count;deads
603;51;6;16;587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1584;51;6;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1875;51;6;14;587571|588411|3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2048;51;6;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2903;51;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3119;51;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3303;51;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
61;93;5;18;589515|586805|587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
194;93;5;18;589515|586805|587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
287;93;5;18;589515|586805|587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
601;93;5;16;587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
738;93;5;16;587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
830;93;5;16;587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
934;93;5;16;587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1579;93;5;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1580;93;5;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1581;93;6;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1582;93;6;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1750;93;5;14;587571|588411|3085|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1819;93;5;14;587571|588411|3085|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1871;93;5;14;587571|588411|3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1872;93;6;14;587571|588411|3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1873;93;6;14;587571|588411|3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2042;93;5;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2043;93;5;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2044;93;6;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2045;93;6;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2226;93;5;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2227;93;6;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2228;93;6;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2417;93;6;14;587571|588411|3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2418;93;6;14;587571|588411|3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2526;93;6;13;587571|588411|3085|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2615;93;6;12;587571|588411|3085|11389|12053|12547|15700|41745|155830|322065|307140|325178
2616;93;6;12;587571|588411|3085|11389|12053|12547|15700|41745|155830|322065|307140|325178
2682;93;6;13;587571|588411|3085|4614|11389|12053|12547|41745|155830|322065|307140|325178|360279
2690;93;6;11;587571|588411|3085|11389|12053|12547|41745|155830|322065|307140|325178
2732;93;6;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2834;93;6;14;587571|588411|3085|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2835;93;6;14;587571|588411|3085|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2897;93;5;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2898;93;5;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2899;93;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2900;93;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3114;93;5;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3115;93;5;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3116;93;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3117;93;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3297;93;5;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
