Time col;DWT_var;Variable;pid0;pid0 revlevel;pid0 startseq;length;Max. deviation;occurrances;Project count;Project list;seq;Project id-ss-rl;HasDead;HasAlive;HasMixed;Seq Id
Age.Months;V;Active.Developers;4740;5;4;4;8,881784e-16;4;5;4740|6559|8576|10505|11615;6,5-5,0-4,5-7,0;6559-3-3|8576-5-5|10505-6-25|11615-6-35;0;1;FALSE;1
Age.Months;V;Active.Developers;4740;6;7;4;1,110223e-15;196;118;4740|346391|4673|584098|13726|546760|175|584795|585079|155|51|3927|767|1895|3085|3187|3352|3366|3584|3592|3744|3923|4059|4137|4325|4359|4411|4445|4590|4614|4733|4867|4875|4936|5002|5147|5163|5561|5732|5950|5999|6368|6491|6559|7299|8391|8576|8630|8713|8765|8891|9630|9646|9673|10733|10782|11082|11187|11261|11615|11992|12421|12678|13044|13079|14564|14886|15309|15314|15549|15700|16329|16423|16493|17088|19012|19596|19893|19983|20605|22716|25676|26779|27656|28127|28161|29531|30763|10372|37487|40548|43572|46139|46370|48277|48544|71024|81033|89461|89864|116294|132021|132068|139581|264758|292974|301544|309336|325178|327153|339127|342423|342504|348235|349024|371810|373943|428793;5,656854-3,535534-3,535534-3,535534;4740-6-16|346391-4-2|4673-6-3|584098-3-3|13726-5-1|546760-5-9|175-6-8|584795-5-12|585079-5-21|585079-6-22|155-5-9|51-5-14|51-6-23|51-6-30|51-6-38|51-6-42|3927-6-7|767-7-51|1895-5-4|1895-6-10|3085-6-1|3085-6-21|3187-5-12|3187-6-25|3352-6-16|3366-4-6|3366-5-12|3366-6-23|3584-6-20|3592-6-10|3744-5-1|3744-6-8|3923-5-13|4059-6-14|4137-6-51|4137-6-56|4325-6-39|4359-6-10|4411-6-7|4445-6-18|4445-6-41|4590-4-5|4590-6-22|4614-4-4|4733-6-22|4733-6-32|4867-6-30|4875-6-4|4875-6-30|4936-6-3|5002-5-3|5147-6-19|5147-6-30|5163-6-9|5561-6-6|5561-6-24|5732-6-11|5732-7-27|5732-7-34|5950-5-5|5950-5-11|5999-6-37|6368-4-7|6368-5-19|6368-6-29|6491-6-7|6491-6-33|6559-5-1|6559-6-11|7299-6-26|8391-5-20|8576-5-15|8576-6-31|8630-6-23|8630-6-41|8713-5-20|8713-5-25|8713-6-9|8713-6-21|8713-6-50|8765-5-4|8765-5-13|8765-6-26|8891-6-32|9630-6-15|9630-6-19|9646-6-33|9673-4-1|9673-5-3|9673-5-11|10733-6-34|10782-5-6|10782-5-12|10782-5-24|10782-6-13|10782-6-25|10782-6-57|11082-6-33|11187-6-5|11187-6-12|11261-6-9|11261-6-16|11261-6-24|11261-6-28|11615-6-1|11992-6-3|12421-6-9|12678-6-10|13044-6-9|13044-6-17|13079-5-7|13079-6-19|14564-5-10|14564-6-20|14886-6-14|14886-6-31|15309-5-7|15309-5-12|15314-6-20|15549-6-34|15700-5-8|15700-6-9|15700-6-16|16329-5-9|16329-6-15|16423-6-6|16493-6-25|17088-5-10|19012-5-5|19012-5-19|19596-4-1|19893-4-2|19893-4-8|19983-5-4|19983-6-8|19983-6-30|20605-5-9|20605-5-16|22716-6-1|22716-6-24|25676-6-3|26779-4-10|27656-6-21|28127-6-24|28127-6-37|28127-6-47|28161-5-8|28161-6-16|29531-6-22|29531-6-39|30763-5-15|30763-6-29|10372-6-7|37487-6-2|40548-5-1|40548-6-32|43572-4-5|43572-5-11|46139-6-36|46370-5-8|48277-5-17|48544-3-4|71024-5-2|81033-5-4|89461-6-17|89864-5-21|116294-4-11|132021-6-30|132068-4-8|132068-5-4|139581-6-9|139581-6-26|264758-4-3|264758-5-3|292974-6-26|301544-5-4|301544-5-21|301544-5-28|309336-5-2|325178-5-17|325178-6-22|327153-4-5|339127-5-9|342423-5-23|342504-4-3|342504-5-6|342504-5-18|348235-6-21|349024-4-5|349024-4-11|371810-6-1|371810-6-5|371810-6-28|373943-5-21|428793-5-12|428793-6-24;1;1;TRUE;2
Age.Months;V;Active.Developers;4740;6;23;4;Inf;37;35;4740|3429|49606|5730|480|585079|93|51|3431|4021|4059|4137|4875|4936|5732|6491|11082|11992|12678|13079|16025|16234|16423|16493|19983|20605|30763|34455|43572|155830|292974|308442|309336|325178|347925;6,363961-4,949747-5,656854-6,363961;3429-6-23|49606-6-3|5730-7-48|480-6-14|585079-6-19|93-6-9|51-6-50|3431-6-35|4021-5-7|4059-6-11|4137-6-37|4875-5-16|4875-6-33|4936-6-12|4936-6-33|5732-6-23|6491-6-20|11082-6-40|11992-5-3|12678-6-18|13079-6-34|16025-6-13|16234-6-24|16423-7-54|16493-6-3|19983-5-11|20605-4-4|30763-6-13|34455-5-12|34455-6-25|43572-6-35|155830-6-39|292974-6-17|308442-5-5|309336-5-6|325178-5-12|347925-5-11;1;1;TRUE;3
Age.Months;V;Active.Developers;4740;6;26;4;1,509903e-14;5;6;4740|3429|3352|7198|16234|81033;6,363961-4,949747-2,828427-4,949747;3429-6-20|3352-5-10|7198-5-3|16234-6-28|81033-4-2;0;1;FALSE;4
Age.Months;V;Active.Developers;4740;6;27;4;NaN;9;10;4740|3429|3923|11082|11992|13044|15309|34435|10372|36952;4,949747-2,828427-4,949747-3,535534;3429-6-21|3923-6-15|11082-6-2|11992-4-1|13044-5-14|15309-4-10|34435-5-17|10372-5-12|36952-6-3;0;1;FALSE;5
Age.Months;V;Active.Developers;4740;6;28;4;5,995204e-15;17;16;4740|3429|4031|585079|3584|3923|6559|7329|9673|13044|13079|16423|34455|26811|139581|348235;2,828427-4,949747-3,535534-4,242641;3429-6-22|3429-6-33|4031-5-10|585079-6-25|585079-6-51|3584-6-27|3923-6-16|6559-4-5|7329-6-1|9673-3-2|13044-5-15|13079-6-15|16423-7-53|34455-5-11|26811-4-4|139581-4-5|348235-5-2;0;1;FALSE;6
Age.Months;V;Active.Developers;4740;6;16;4;7,771561e-16;195;118;4740|346391|4673|584098|13726|546760|175|584795|585079|155|51|3927|767|1895|3085|3187|3352|3366|3584|3592|3744|3923|4059|4137|4325|4359|4411|4445|4590|4614|4733|4867|4875|4936|5002|5147|5163|5561|5732|5950|5999|6368|6491|6559|7299|8391|8576|8630|8713|8765|8891|9630|9646|9673|10733|10782|11082|11187|11261|11615|11992|12421|12678|13044|13079|14564|14886|15309|15314|15549|15700|16329|16423|16493|17088|19012|19596|19893|19983|20605|22716|25676|26779|27656|28127|28161|29531|30763|10372|37487|40548|43572|46139|46370|48277|48544|71024|81033|89461|89864|116294|132021|132068|139581|264758|292974|301544|309336|325178|327153|339127|342423|342504|348235|349024|371810|373943|428793;5,656854-2,828427-2,828427-2,828427;346391-4-2|4673-6-3|584098-3-3|13726-5-1|546760-5-9|175-6-8|584795-5-12|585079-5-21|585079-6-22|155-5-9|51-5-14|51-6-23|51-6-30|51-6-38|51-6-42|3927-6-7|767-7-51|1895-5-4|1895-6-10|3085-6-1|3085-6-21|3187-5-12|3187-6-25|3352-6-16|3366-4-6|3366-5-12|3366-6-23|3584-6-20|3592-6-10|3744-5-1|3744-6-8|3923-5-13|4059-6-14|4137-6-51|4137-6-56|4325-6-39|4359-6-10|4411-6-7|4445-6-18|4445-6-41|4590-4-5|4590-6-22|4614-4-4|4733-6-22|4733-6-32|4867-6-30|4875-6-4|4875-6-30|4936-6-3|5002-5-3|5147-6-19|5147-6-30|5163-6-9|5561-6-6|5561-6-24|5732-6-11|5732-7-27|5732-7-34|5950-5-5|5950-5-11|5999-6-37|6368-4-7|6368-5-19|6368-6-29|6491-6-7|6491-6-33|6559-5-1|6559-6-11|7299-6-26|8391-5-20|8576-5-15|8576-6-31|8630-6-23|8630-6-41|8713-5-20|8713-5-25|8713-6-9|8713-6-21|8713-6-50|8765-5-4|8765-5-13|8765-6-26|8891-6-32|9630-6-15|9630-6-19|9646-6-33|9673-4-1|9673-5-3|9673-5-11|10733-6-34|10782-5-6|10782-5-12|10782-5-24|10782-6-13|10782-6-25|10782-6-57|11082-6-33|11187-6-5|11187-6-12|11261-6-9|11261-6-16|11261-6-24|11261-6-28|11615-6-1|11992-6-3|12421-6-9|12678-6-10|13044-6-9|13044-6-17|13079-5-7|13079-6-19|14564-5-10|14564-6-20|14886-6-14|14886-6-31|15309-5-7|15309-5-12|15314-6-20|15549-6-34|15700-5-8|15700-6-9|15700-6-16|16329-5-9|16329-6-15|16423-6-6|16493-6-25|17088-5-10|19012-5-5|19012-5-19|19596-4-1|19893-4-2|19893-4-8|19983-5-4|19983-6-8|19983-6-30|20605-5-9|20605-5-16|22716-6-1|22716-6-24|25676-6-3|26779-4-10|27656-6-21|28127-6-24|28127-6-37|28127-6-47|28161-5-8|28161-6-16|29531-6-22|29531-6-39|30763-5-15|30763-6-29|10372-6-7|37487-6-2|40548-5-1|40548-6-32|43572-4-5|43572-5-11|46139-6-36|46370-5-8|48277-5-17|48544-3-4|71024-5-2|81033-5-4|89461-6-17|89864-5-21|116294-4-11|132021-6-30|132068-4-8|132068-5-4|139581-6-9|139581-6-26|264758-4-3|264758-5-3|292974-6-26|301544-5-4|301544-5-21|301544-5-28|309336-5-2|325178-5-17|325178-6-22|327153-4-5|339127-5-9|342423-5-23|342504-4-3|342504-5-6|342504-5-18|348235-6-21|349024-4-5|349024-4-11|371810-6-1|371810-6-5|371810-6-28|373943-5-21|428793-5-12|428793-6-24;1;1;TRUE;7
Age.Months;V;Active.Developers;4740;6;29;4;NaN;60;47;4740|472388|49606|584795|585079|38|360|433|767|3352|3584|3923|4021|4137|4590|4875|5732|6368|6559|7198|8615|8713|9646|9673|10782|11164|11992|12053|12547|12678|13044|13079|14886|15549|16025|19893|27049|28868|34455|10372|71024|89864|139581|292974|308924|327153|348235;4,949747-3,535534-4,242641-4,242641;472388-5-5|49606-6-37|584795-3-1|584795-5-6|585079-6-26|38-6-20|360-4-9|360-6-30|360-6-39|433-6-3|767-7-33|3352-6-25|3352-6-31|3584-6-4|3584-6-11|3923-5-1|4021-6-14|4137-6-20|4590-5-12|4875-5-2|5732-7-42|6368-6-39|6559-6-23|7198-6-8|8615-5-17|8713-5-14|8713-6-12|8713-6-29|9646-6-37|9673-5-16|10782-5-28|10782-6-52|11164-5-10|11164-6-2|11164-6-32|11992-6-39|12053-6-12|12547-6-5|12678-6-26|13044-5-16|13044-6-37|13079-6-16|14886-6-26|15549-6-26|16025-6-36|19893-5-17|27049-6-30|28868-6-18|28868-6-24|34455-6-38|10372-6-10|71024-4-1|89864-5-10|139581-5-4|139581-6-5|292974-6-14|308924-6-4|308924-6-13|327153-5-11|348235-5-11;1;1;TRUE;8
Age.Months;V;Active.Developers;4740;6;6;4;1,24345e-14;17;18;4740|484058|232|3927|4733|5147|6559|9630|11082|14886|15314|15700|15707|16527|28127|28161|81033|139581;4,242641-5,656854-3,535534-3,535534;484058-6-12|232-6-26|3927-5-2|4733-6-10|5147-6-18|6559-5-10|9630-6-14|11082-5-15|14886-6-13|15314-6-23|15700-6-8|15707-6-35|16527-5-14|28127-6-36|28161-5-3|81033-6-23|139581-6-8;1;1;TRUE;9
Age.Months;V;Active.Developers;4740;6;2;4;NaN;32;31;4740|49606|551576|175|51|3085|3430|4590|5147|8615|10733|11261|11615|12421|15549|16234|16423|19012|29402|30763|34435|34455|40548|48544|84878|139581|325178|339127|347856|350866|381685;0,7071068-2,1213203-1,4142136-2,1213203;49606-5-5|551576-4-9|175-6-13|51-6-9|3085-6-24|3430-5-12|4590-6-27|5147-6-35|8615-3-4|10733-6-12|11261-4-1|11615-6-51|12421-5-3|12421-6-32|15549-6-5|16234-4-5|16423-7-49|19012-5-9|29402-6-30|30763-6-9|34435-5-8|34455-4-3|34455-5-15|40548-6-43|48544-4-10|84878-4-4|139581-6-32|325178-4-6|339127-5-17|347856-3-2|350866-5-9|381685-5-20;1;1;TRUE;10
