"";"seq.id";"seq.type";"pids";"max.loc.diff";"max.ad.diff";"max.lc.diff";"has.dead";"has.alive";"has.mixed";"loc.seq";"ad.seq";"lc.seq"
"1";"1191";"A";"15700";"1093";"1";"7547";"TRUE";"TRUE";"TRUE";"66349|66353|66353|66391|66386|66386|66424|66424|66651|66651|66885|66885|67054|67097|67269|67502|68595|68595|68595|68595|68595|68595|68595|68565|68565|68565|68565|68565|68565|68565|68567|68756|68761|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794";"2|1|0|1|1|0|1|0|1|0|1|1|2|1|1|1|2|1|0|0|0|0|0|1|0|0|0|0|0|0|1|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"1359|18|0|220|7|0|136|0|227|0|636|2|1325|49|1428|3075|7559|12|0|0|0|0|0|396|0|0|0|0|0|0|8|219|5|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"2";"221";"AB";"3085|15700";"14";"1";"38";"TRUE";"TRUE";"TRUE";"219|225|225|239|243|249|249|249|249|249|249|249|249|249|249|249|249|249|249";"1|1|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0";"39|20|0|38|4|30|0|0|0|0|0|0|0|0|0|0|0|0|0"
"3";"1172";"B";"155830|322065|307140|325178";"228540";"2";"292594";"TRUE";"TRUE";"TRUE";"312395|262843|34303|37677|38193|40195|42761|49209|51635|55497|57267|57983|60705|62165|63255|63936|64093|64093|64532|65140|65127|66352|66349|66353|66353|66391|66386|66386|66424|66424|66651|66651|66885|66885|67054|67097|67269|67502|68595|68595|68595|68595|68595|68595|68595|68565|68565|68565|68565|68565|68565|68565|68567|68756|68761|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794";"4|4|3|2|2|3|3|4|2|3|5|3|3|2|2|1|1|0|2|2|1|1|2|1|0|1|1|0|1|0|1|0|1|1|2|1|1|1|2|1|0|0|0|0|0|1|0|0|0|0|0|0|1|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"51554|80960|305148|12554|6428|17158|4362|8516|3406|27570|4482|3768|7030|1652|1974|1379|157|0|639|802|2043|7049|1359|18|0|220|7|0|136|0|227|0|636|2|1325|49|1428|3075|7559|12|0|0|0|0|0|396|0|0|0|0|0|0|8|219|5|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"4";"1173";"B";"325178";"228540";"2";"292594";"TRUE";"TRUE";"TRUE";"266317|270425|273363|293233|312395|262843|34303|37677|38193|40195|42761|49209|51635|55497|57267|57983|60705|62165|63255|63936|64093|64093|64532|65140|65127|66352|66349|66353|66353|66391|66386|66386|66424|66424|66651|66651|66885|66885|67054|67097|67269|67502|68595|68595|68595|68595|68595|68595|68595|68565|68565|68565|68565|68565|68565|68565|68567|68756|68761|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794";"4|4|4|3|4|4|3|2|2|3|3|4|2|3|5|3|3|2|2|1|1|0|2|2|1|1|2|1|0|1|1|0|1|0|1|0|1|1|2|1|1|1|2|1|0|0|0|0|0|1|0|0|0|0|0|0|1|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"29656|21420|177114|25502|51554|80960|305148|12554|6428|17158|4362|8516|3406|27570|4482|3768|7030|1652|1974|1379|157|0|639|802|2043|7049|1359|18|0|220|7|0|136|0|227|0|636|2|1325|49|1428|3075|7559|12|0|0|0|0|0|396|0|0|0|0|0|0|8|219|5|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"5";"1178";"B";"3085|4614|15700|325178";"228540";"2";"292594";"TRUE";"TRUE";"TRUE";"91321|128765|137551|161065|187121|216429|238805|264885|275369|276301|266317|270425|273363|293233|312395|262843|34303|37677|38193|40195|42761|49209|51635|55497|57267|57983|60705|62165|63255|63936|64093|64093|64532|65140|65127|66352|66349|66353|66353|66391|66386|66386|66424|66424|66651|66651|66885|66885|67054|67097|67269|67502|68595|68595|68595|68595|68595|68595|68595|68565|68565|68565|68565|68565|68565|68565|68567|68756|68761|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794";"3|3|2|3|2|2|3|3|5|4|4|4|4|3|4|4|3|2|2|3|3|4|2|3|5|3|3|2|2|1|1|0|2|2|1|1|2|1|0|1|1|0|1|0|1|0|1|1|2|1|1|1|2|1|0|0|0|0|0|1|0|0|0|0|0|0|1|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"67318|79300|12250|37334|50544|179960|310988|163580|99012|110448|29656|21420|177114|25502|51554|80960|305148|12554|6428|17158|4362|8516|3406|27570|4482|3768|7030|1652|1974|1379|157|0|639|802|2043|7049|1359|18|0|220|7|0|136|0|227|0|636|2|1325|49|1428|3075|7559|12|0|0|0|0|0|396|0|0|0|0|0|0|8|219|5|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"6";"1179";"B";"41745|155830|325178";"1093";"1";"7547";"TRUE";"TRUE";"TRUE";"66353|66391|66386|66386|66424|66424|66651|66651|66885|66885|67054|67097|67269|67502|68595|68595|68595|68595|68595|68595|68595|68565|68565|68565|68565|68565|68565|68565|68567|68756|68761|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794";"0|1|1|0|1|0|1|0|1|1|2|1|1|1|2|1|0|0|0|0|0|1|0|0|0|0|0|0|1|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"0|220|7|0|136|0|227|0|636|2|1325|49|1428|3075|7559|12|0|0|0|0|0|396|0|0|0|0|0|0|8|219|5|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"7";"1181";"B";"4614|15700|325178";"1093";"1";"7547";"TRUE";"TRUE";"TRUE";"66386|66386|66424|66424|66651|66651|66885|66885|67054|67097|67269|67502|68595|68595|68595|68595|68595|68595|68595|68565|68565|68565|68565|68565|68565|68565|68567|68756|68761|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794";"1|0|1|0|1|0|1|1|2|1|1|1|2|1|0|0|0|0|0|1|0|0|0|0|0|0|1|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"7|0|136|0|227|0|636|2|1325|49|1428|3075|7559|12|0|0|0|0|0|396|0|0|0|0|0|0|8|219|5|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"8";"1182";"B";"12547|15700|41745|155830|322065|307140|325178";"228540";"2";"292594";"TRUE";"TRUE";"TRUE";"238805|264885|275369|276301|266317|270425|273363|293233|312395|262843|34303|37677|38193|40195|42761|49209|51635|55497|57267|57983|60705|62165|63255|63936|64093|64093|64532|65140|65127|66352|66349|66353|66353|66391|66386|66386|66424|66424|66651|66651|66885|66885|67054|67097|67269|67502|68595|68595|68595|68595|68595|68595|68595|68565|68565|68565|68565|68565|68565|68565|68567|68756|68761|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794";"3|3|5|4|4|4|4|3|4|4|3|2|2|3|3|4|2|3|5|3|3|2|2|1|1|0|2|2|1|1|2|1|0|1|1|0|1|0|1|0|1|1|2|1|1|1|2|1|0|0|0|0|0|1|0|0|0|0|0|0|1|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"310988|163580|99012|110448|29656|21420|177114|25502|51554|80960|305148|12554|6428|17158|4362|8516|3406|27570|4482|3768|7030|1652|1974|1379|157|0|639|802|2043|7049|1359|18|0|220|7|0|136|0|227|0|636|2|1325|49|1428|3075|7559|12|0|0|0|0|0|396|0|0|0|0|0|0|8|219|5|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"9";"1184";"B";"12547|15700|322065|325178";"6448";"2";"24164";"TRUE";"TRUE";"TRUE";"38193|40195|42761|49209|51635|55497|57267|57983|60705|62165|63255|63936|64093|64093|64532|65140|65127|66352|66349|66353|66353|66391|66386|66386|66424|66424|66651|66651|66885|66885|67054|67097|67269|67502|68595|68595|68595|68595|68595|68595|68595|68565|68565|68565|68565|68565|68565|68565|68567|68756|68761|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794";"2|3|3|4|2|3|5|3|3|2|2|1|1|0|2|2|1|1|2|1|0|1|1|0|1|0|1|0|1|1|2|1|1|1|2|1|0|0|0|0|0|1|0|0|0|0|0|0|1|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"6428|17158|4362|8516|3406|27570|4482|3768|7030|1652|1974|1379|157|0|639|802|2043|7049|1359|18|0|220|7|0|136|0|227|0|636|2|1325|49|1428|3075|7559|12|0|0|0|0|0|396|0|0|0|0|0|0|8|219|5|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"10";"1185";"B";"322065";"6448";"2";"24164";"TRUE";"TRUE";"TRUE";"38193|40195|42761|49209|51635|55497|57267|57983|60705|62165|63255|63936|64093|64093|64532|65140|65127|66352|66349|66353|66353|66391|66386|66386|66424|66424|66651|66651|66885|66885|67054|67097|67269|67502|68595|68595|68595|68595|68595|68595|68595|68565|68565|68565|68565|68565|68565|68565|68567|68756|68761|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794|68794";"2|3|3|4|2|3|5|3|3|2|2|1|1|0|2|2|1|1|2|1|0|1|1|0|1|0|1|0|1|1|2|1|1|1|2|1|0|0|0|0|0|1|0|0|0|0|0|0|1|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"6428|17158|4362|8516|3406|27570|4482|3768|7030|1652|1974|1379|157|0|639|802|2043|7049|1359|18|0|220|7|0|136|0|227|0|636|2|1325|49|1428|3075|7559|12|0|0|0|0|0|396|0|0|0|0|0|0|8|219|5|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
