"";"seq.id";"seq.type";"pids";"rel.loc.diff";"rel.ad.diff";"rel.lc.diff";"max.rel.loc.diff";"max.rel.ad.diff";"max.rel.lc.diff";"max.loc.diff";"max.ad.diff";"max.lc.diff";"has.dead";"has.alive";"has.mixed";"loc.seq";"ad.seq";"lc.seq"
"1";"10063";"A";"317799";"154";"3757";"4534";"116";"51";"163";"1242";"3";"16396";"TRUE";"TRUE";"TRUE";"533285|532043|532043|532043|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054";"0|3|1|0|2|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"0|2036|16396|0|659|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"2";"10064";"A";"317799";"154";"3757";"4534";"116";"51";"163";"1242";"3";"16396";"TRUE";"TRUE";"TRUE";"533285|532043|532043|532043|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054";"0|3|1|0|2|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"0|2036|16396|0|659|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"3";"10081";"A";"15700|155830";"4660";"2414";"3406";"416";"51";"163";"13193";"3";"44434";"TRUE";"TRUE";"TRUE";"509350|509350|522543|533285|533285|533285|533285|532043|532043|532043|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054|532054";"2|0|2|2|1|0|0|3|1|0|2|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"44434|0|13193|18468|2|0|0|2036|16396|0|659|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"4";"14165";"A";"360279";"298";"3752";"4561";"757";"51";"163";"11930";"2";"13418";"TRUE";"TRUE";"TRUE";"87001|85726|97656|97656|97656|97656|97656|97656|97656|97656|97656|97656|97656|97656|97656|97656|97656|97656|97656|97656|97656|97658|97658|97658|97658|97658|97658|97658|97658|97658|97658|97658|97658|97658|97658|97658|97658|97658|97658|97658|97658|97658|97658";"0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"0|4663|13418|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"5";"15138";"A";"322065|307140";"3961";"4215";"91";"653";"51";"163";"14112";"1";"34938";"TRUE";"TRUE";"TRUE";"159384|169732|173134|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|187556|189136|193926|196363|199030|200462|200462|200462|200462|201189|201778|201769|201769|201769|201769|201769|201769|201769|201769|201769|201769|201769|201769|201769";"1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0";"51426|16488|7106|894|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|15716|2686|6396|14445|5405|2796|0|0|0|1009|1129|45|0|0|0|0|0|0|0|0|0|0|0|0"
"6";"15139";"A";"322065|307140";"3961";"4215";"91";"653";"51";"163";"14112";"1";"34938";"TRUE";"TRUE";"TRUE";"159384|169732|173134|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|173444|187556|189136|193926|196363|199030|200462|200462|200462|200462|201189|201778|201769|201769|201769|201769|201769|201769|201769|201769|201769|201769|201769|201769|201769";"1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0";"51426|16488|7106|894|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|15716|2686|6396|14445|5405|2796|0|0|0|1009|1129|45|0|0|0|0|0|0|0|0|0|0|0|0"
"7";"15543";"A";"322065";"4223";"365";"711";"843";"51";"163";"4263";"1";"22162";"TRUE";"TRUE";"TRUE";"20008|24271|24415|24841|24841|24841|24841|24841|24841|24873|24873|24873|24873|24873|24873|24873|24873|24873|24873|24873|24873|24873|24873|24873|24873";"1|2|1|1|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"5|22167|924|1312|18|0|0|0|0|68|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"8";"15553";"A";"307140";"4039";"3585";"1345";"959";"51";"163";"5766";"1";"56769";"TRUE";"TRUE";"TRUE";"9843|10660|10711|10711|10723|10723|10723|10723|10723|10723|10869|10889|10889|10906|11424|11424|11425|17191|20009|20009|20008|24271|24415|24841|24841|24841|24841|24841|24841|24873|24873|24873|24873|24873|24873|24873|24873|24873|24873|24873|24873|24873|24873|24873|24873";"1|1|1|0|1|0|0|0|0|0|1|1|0|1|1|0|1|1|1|0|1|2|1|1|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"154|1015|125|0|12|0|0|0|0|0|192|86|0|25|564|0|19|56788|3738|0|5|22167|924|1312|18|0|0|0|0|68|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"9";"15790";"A";"325178|360279";"580";"99";"3139";"37";"51";"163";"487";"2";"2513";"TRUE";"TRUE";"TRUE";"1291570|1291781|1292268|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310";"1|2|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"2297|441|2643|130|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"10";"15795";"A";"360279";"5334";"2937";"3651";"1053";"51";"163";"42";"2";"2513";"TRUE";"TRUE";"TRUE";"1292268|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310|1292310";"3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"2643|130|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
