"";"seq.id";"seq.type";"pids"
"1";"1191";"A";"15700"
"2";"221";"AB";"3085|15700"
"3";"1172";"B";"155830|322065|307140|325178"
"4";"1173";"B";"325178"
"5";"1178";"B";"3085|4614|15700|325178"
"6";"1179";"B";"41745|155830|325178"
"7";"1181";"B";"4614|15700|325178"
"8";"1182";"B";"12547|15700|41745|155830|322065|307140|325178"
"9";"1184";"B";"12547|15700|322065|325178"
"10";"1185";"B";"322065"
"11";"1186";"B";"41745"
"12";"1187";"B";"325178"
"13";"1188";"B";"325178"
"14";"1189";"B";"12547|325178"
"15";"1192";"B";"41745"
"16";"1194";"B";"325178"
"17";"1195";"B";"12547"
"18";"1198";"B";"12053"
"19";"1200";"B";"325178"
"20";"1515";"B";"12053"
"21";"1842";"B";"15700|325178"
"22";"3276";"B";"41745"
"23";"3278";"B";"12053"
"24";"3349";"B";"12547"
"25";"3352";"B";"155830"
"26";"3355";"B";"325178"
"27";"3358";"B";"12547"
"28";"3359";"B";"12547"
"29";"3360";"B";"12547"
"30";"3410";"B";"15700|41745|155830"
"31";"3414";"B";"15700|41745|155830|322065|307140|325178"
"32";"3415";"B";"325178"
"33";"3416";"B";"325178"
"34";"3417";"B";"307140|325178"
"35";"3418";"B";"15700|322065|325178"
"36";"3419";"B";"325178"
"37";"3755";"B";"15700|41745|155830"
"38";"3756";"B";"15700|325178"
"39";"3757";"B";"322065|325178"
"40";"3759";"B";"155830"
"41";"3760";"B";"15700|41745|155830"
"42";"3761";"B";"15700|325178"
"43";"3762";"B";"15700|325178"
"44";"3763";"B";"15700|41745|155830|322065|307140|325178"
"45";"3764";"B";"15700|41745|325178"
"46";"3766";"B";"41745"
"47";"3767";"B";"41745|155830|322065|307140|325178"
"48";"3768";"B";"41745"
"49";"3769";"B";"41745|325178"
"50";"3770";"B";"325178"
"51";"4647";"B";"41745|155830"
"52";"4648";"B";"325178"
"53";"4649";"B";"360279"
"54";"4651";"B";"41745|155830"
"55";"4652";"B";"155830|322065|307140|325178"
"56";"4653";"B";"155830|325178"
"57";"4654";"B";"322065|325178"
"58";"4655";"B";"325178"
"59";"4920";"B";"322065"
"60";"4921";"B";"322065|307140|325178"
"61";"4922";"B";"325178"
"62";"4924";"B";"322065|325178"
"63";"4925";"B";"322065"
"64";"4927";"B";"325178"
"65";"4928";"B";"322065|307140|325178"
"66";"5009";"B";"307140|325178"
"67";"5010";"B";"307140|325178"
"68";"5011";"B";"325178"
"69";"5012";"B";"325178"
"70";"5013";"B";"325178"
"71";"5015";"B";"325178"
"72";"5018";"B";"325178"
"73";"5019";"B";"325178"
"74";"5022";"B";"325178"
"75";"5023";"B";"325178"
"76";"5026";"B";"325178"
"77";"5027";"B";"325178"
"78";"5028";"B";"325178"
"79";"5029";"B";"325178"
"80";"5030";"B";"325178"
"81";"5031";"B";"325178"
"82";"5032";"B";"325178"
"83";"5033";"B";"325178"
"84";"5041";"B";"360279"
"85";"5581";"B";"307140"
"86";"5583";"B";"12053"
"87";"5584";"B";"12053"
"88";"5585";"B";"12053|41745|307140|325178"
"89";"5586";"B";"12053|325178"
"90";"5587";"B";"322065"
"91";"5590";"B";"155830|325178"
"92";"5690";"B";"360279"
"93";"5691";"B";"325178"
"94";"5692";"B";"325178"
"95";"5814";"B";"12053"
"96";"5815";"B";"12053"
"97";"6256";"B";"155830"
"98";"6275";"B";"12053"
"99";"6276";"B";"41745|325178"
"100";"6277";"B";"12053"
"101";"6279";"B";"325178"
"102";"6282";"B";"41745|307140|325178"
"103";"6283";"B";"41745|307140|325178"
"104";"6306";"B";"41745"
"105";"6308";"B";"12547|155830"
"106";"6311";"B";"155830"
"107";"6393";"B";"325178"
"108";"6394";"B";"322065|325178"
"109";"6636";"B";"325178"
"110";"6637";"B";"325178"
"111";"6641";"B";"325178"
"112";"6642";"B";"307140|325178"
"113";"6643";"B";"307140|325178"
"114";"6702";"B";"325178"
"115";"6729";"B";"325178"
"116";"6730";"B";"325178"
"117";"6732";"B";"325178"
"118";"6734";"B";"325178"
"119";"6735";"B";"325178"
"120";"683";"B";"15700|155830"
