"";"seq.id";"seq.type";"pids"
"1";"10063";"A";"317799"
"2";"10064";"A";"317799"
"3";"10081";"A";"15700|155830"
"4";"14165";"A";"360279"
"5";"15138";"A";"322065|307140"
"6";"15139";"A";"322065|307140"
"7";"15543";"A";"322065"
"8";"15553";"A";"307140"
"9";"15790";"A";"325178|360279"
"10";"15795";"A";"360279"
"11";"15796";"A";"360279"
"12";"16002";"A";"360279"
"13";"1757";"A";"587571"
"14";"3256";"A";"3085|155830"
"15";"3257";"A";"3085|155830"
"16";"3384";"A";"4614"
"17";"3385";"A";"4614"
"18";"3397";"A";"307140|325178"
"19";"3398";"A";"307140|325178"
"20";"4168";"A";"325178"
"21";"4175";"A";"325178"
"22";"5194";"A";"12053"
"23";"9640";"A";"15700"
"24";"9641";"A";"15700"
"25";"9658";"A";"325178"
"26";"10000";"AB";"12053|12547|15700|41745|155830|322065|307140|325178|360279"
"27";"10001";"AB";"12053|12547|15700|41745|155830|322065|307140|325178|360279"
"28";"10002";"AB";"12053|12547|15700|41745|155830|322065|307140|325178|360279"
"29";"10003";"AB";"12053|12547|15700|41745|155830|322065|307140|325178|360279"
"30";"10007";"AB";"12053|12547|15700|41745|155830|322065|307140|325178|360279"
"31";"10008";"AB";"12053|12547|15700|41745|155830|322065|307140|325178|360279"
"32";"10012";"AB";"12053|12547|15700|41745|155830|322065|307140|325178|360279"
"33";"10013";"AB";"12053|15700|41745|155830|322065|307140|325178|360279"
"34";"10014";"AB";"12053|41745|155830|322065|307140|325178|360279"
"35";"10015";"AB";"12053|41745|155830|322065|307140|325178|360279"
"36";"10016";"AB";"12053|12547|41745|155830|317799"
"37";"10018";"AB";"12053|12547|41745|155830|317799"
"38";"10019";"AB";"12053|12547|41745|155830|317799"
"39";"10020";"AB";"12053|12547|15700|41745|155830|322065|307140|325178|360279"
"40";"10021";"AB";"12053|12547|15700|41745|155830|322065|307140|325178|360279"
"41";"10022";"AB";"12053|12547|15700|41745|155830|322065|307140|325178|360279"
"42";"10023";"AB";"12053|12547|15700|41745|155830|322065|307140|325178|360279"
"43";"10024";"AB";"12053|12547|15700|41745|155830|322065|307140|325178|360279"
"44";"10025";"AB";"12053|41745|155830|322065|307140|325178|360279"
"45";"10029";"AB";"12053|41745|155830|322065|307140|325178|360279"
"46";"10030";"AB";"12053|41745|155830|322065|307140|325178|360279"
"47";"10031";"AB";"12053|41745|155830|322065|307140|325178"
"48";"10032";"AB";"12053|41745|155830|322065|307140"
"49";"10033";"AB";"12053|12547|15700|41745|155830|322065|307140|325178|360279"
"50";"10034";"AB";"12053|12547|15700|41745|155830|322065|307140|325178"
"51";"10035";"AB";"12053|41745|155830|322065|307140|325178"
"52";"10036";"AB";"12053|41745|155830|307140|325178"
"53";"10037";"AB";"12053|41745|307140|325178"
"54";"10038";"AB";"12053|41745|307140|325178"
"55";"10041";"AB";"41745|155830|307140|325178|360279"
"56";"10047";"AB";"41745|307140"
"57";"10048";"AB";"41745|307140"
"58";"10054";"AB";"41745|155830|322065|307140|325178|360279"
"59";"10055";"AB";"41745|155830|322065|307140|325178|360279"
"60";"10067";"AB";"307140|325178"
"61";"10068";"AB";"41745|155830|322065|307140|325178"
"62";"10069";"AB";"41745|155830|322065|307140|325178"
"63";"10080";"AB";"15700|155830"
"64";"10121";"AB";"12547|15700|155830|322065"
"65";"10123";"AB";"12547|15700|155830|322065|307140|325178|360279"
"66";"10124";"AB";"12547|15700"
"67";"10125";"AB";"12547|15700|41745|155830|322065|307140|325178|360279"
"68";"10135";"AB";"12547|15700|41745|155830|322065|307140|325178"
"69";"10136";"AB";"12547|15700|41745|155830|322065|307140|325178|360279"
"70";"10137";"AB";"12547|15700|41745|155830|322065|307140|325178|360279"
"71";"10138";"AB";"12547|15700|41745|155830|322065|307140|325178|360279"
"72";"10139";"AB";"12547|15700|41745|155830|322065|307140|325178|360279"
"73";"10140";"AB";"12547|15700|41745|155830|322065|307140|325178|360279"
"74";"10141";"AB";"12547|15700|41745|155830|322065|307140|325178|360279"
"75";"10142";"AB";"12547|41745|155830|317799"
"76";"10143";"AB";"12547|15700|41745|155830|322065|307140|325178|360279"
"77";"10145";"AB";"12547|15700"
