"";"pid";"max.age";"seq.id";"seq.revlevel";"seq.start";"seq.end";"seq.length";"seq.start.rel";"seq.end.rel"
"1";589515;19;221;4;1;7;6;0,1;0,4
"2";587571;22;683;4;1;7;6;0,0909090909090909;0,363636363636364
"3";587571;22;684;4;1;9;8;0,0909090909090909;0,454545454545455
"4";475;129;828;5;32;56;24;0,25;0,4375
"5";475;129;829;5;40;64;24;0,3125;0,5
"6";475;129;830;6;40;52;12;0,3125;0,40625
"7";475;129;831;6;101;113;12;0,78125;0,875
"8";475;129;832;6;64;76;12;0,5;0,59375
"9";475;129;833;6;68;80;12;0,53125;0,625
"10";475;129;834;6;32;44;12;0,25;0,34375
"11";475;129;835;6;32;48;16;0,25;0,375
"12";475;129;836;6;36;48;12;0,28125;0,375
"13";475;129;837;6;60;72;12;0,46875;0,5625
"14";475;129;838;6;72;84;12;0,5625;0,65625
"15";475;129;839;6;27;40;13;0,21875;0,3125
"16";475;129;840;6;96;109;13;0,75;0,84375
"17";475;129;841;6;23;36;13;0,1875;0,28125
"18";475;129;842;6;44;56;12;0,34375;0,4375
"19";475;129;843;6;56;68;12;0,4375;0,53125
"20";475;129;844;6;27;44;17;0,21875;0,34375
"21";475;129;845;6;52;64;12;0,40625;0,5
"22";475;129;846;6;23;40;17;0,1875;0,3125
"23";475;129;847;6;40;56;16;0,3125;0,4375
"24";475;129;5435;5;48;72;24;0,375;0,5625
"25";475;129;5436;5;56;80;24;0,4375;0,625
"26";475;129;5437;6;23;36;13;0,1875;0,28125
"27";475;129;5438;6;76;88;12;0,59375;0,6875
"28";475;129;5439;6;36;48;12;0,28125;0,375
"29";475;129;5440;6;27;40;13;0,21875;0,3125
"30";475;129;5441;6;72;84;12;0,5625;0,65625
"31";475;129;5442;6;96;109;13;0,75;0,84375
"32";475;129;5443;6;32;44;12;0,25;0,34375
"33";475;129;5444;6;52;64;12;0,40625;0,5
"34";475;129;5445;6;56;68;12;0,4375;0,53125
"35";475;129;5446;6;60;72;12;0,46875;0,5625
"36";475;129;5447;6;32;48;16;0,25;0,375
"37";475;129;5448;6;36;52;16;0,28125;0,40625
"38";475;129;5449;6;101;113;12;0,78125;0,875
"39";475;129;5450;6;88;101;13;0,6875;0,78125
"40";3927;113;1041;4;72;97;25;0,642857142857143;0,857142857142857
"41";3927;113;1042;5;19;32;13;0,178571428571429;0,285714285714286
"42";3927;113;1043;5;76;89;13;0,678571428571429;0,785714285714286
"43";3927;113;1044;5;80;93;13;0,714285714285714;0,821428571428571
"44";3927;113;1045;5;11;23;12;0,107142857142857;0,214285714285714
"45";3927;113;1046;5;23;36;13;0,214285714285714;0,321428571428571
"46";3927;113;1047;5;3;15;12;0,0357142857142857;0,142857142857143
"47";3927;113;1048;5;68;80;12;0,607142857142857;0,714285714285714
"48";3927;113;1049;5;7;19;12;0,0714285714285714;0,178571428571429
"49";3927;113;1050;6;3;9;6;0,0350877192982456;0,087719298245614
"50";3927;113;1051;6;7;13;6;0,0701754385964912;0,12280701754386
"51";3927;113;1052;6;31;37;6;0,280701754385965;0,333333333333333
"52";3927;113;1053;6;5;11;6;0,0526315789473684;0,105263157894737
"53";3927;113;1054;6;5;13;8;0,0526315789473684;0,12280701754386
"54";3927;113;1055;6;13;19;6;0,12280701754386;0,175438596491228
"55";3927;113;1056;6;13;21;8;0,12280701754386;0,192982456140351
"56";3927;113;1057;6;13;23;10;0,12280701754386;0,210526315789474
"57";3927;113;1058;6;85;91;6;0,754385964912281;0,807017543859649
"58";3927;113;1059;6;37;43;6;0,333333333333333;0,385964912280702
"59";3927;113;1060;6;35;41;6;0,315789473684211;0,368421052631579
"60";3927;113;1061;6;7;15;8;0,0701754385964912;0,140350877192982
"61";3927;113;1062;6;11;17;6;0,105263157894737;0,157894736842105
"62";3927;113;1063;6;83;89;6;0,736842105263158;0,789473684210526
"63";3927;113;1064;6;69;75;6;0,614035087719298;0,666666666666667
"64";3927;113;1065;6;27;33;6;0,245614035087719;0,298245614035088
"65";3927;113;1066;6;23;29;6;0,210526315789474;0,263157894736842
"66";3927;113;1067;6;29;35;6;0,263157894736842;0,315789473684211
"67";3927;113;1068;6;3;11;8;0,0350877192982456;0,105263157894737
"68";3927;113;1069;6;83;91;8;0,736842105263158;0,807017543859649
"69";3927;113;1070;6;13;25;12;0,12280701754386;0,228070175438596
"70";3927;113;1071;6;11;19;8;0,105263157894737;0,175438596491228
"71";3927;113;1072;6;11;21;10;0,105263157894737;0,192982456140351
"72";3927;113;1073;6;85;93;8;0,754385964912281;0,824561403508772
"73";3927;113;1074;6;39;45;6;0,350877192982456;0,403508771929825
"74";3927;113;5531;4;72;97;25;0,642857142857143;0,857142857142857
"75";3927;113;5532;5;56;68;12;0,5;0,607142857142857
"76";3927;113;5533;5;48;60;12;0,428571428571429;0,535714285714286
"77";3927;113;5534;5;52;64;12;0,464285714285714;0,571428571428571
"78";3927;113;5535;5;19;32;13;0,178571428571429;0,285714285714286
"79";3927;113;5536;6;77;83;6;0,684210526315789;0,736842105263158
"80";3927;113;5537;6;5;11;6;0,0526315789473684;0,105263157894737
"81";3927;113;5538;6;65;71;6;0,578947368421053;0,631578947368421
"82";3927;113;5539;6;45;51;6;0,403508771929825;0,456140350877193
"83";3927;113;5540;6;59;65;6;0,526315789473684;0,578947368421053
"84";3927;113;5541;6;39;45;6;0,350877192982456;0,403508771929825
"85";3927;113;5542;6;83;89;6;0,736842105263158;0,789473684210526
"86";3927;113;5543;6;75;81;6;0,666666666666667;0,719298245614035
"87";3085;85;1172;5;15;28;13;0,19047619047619;0,333333333333333
"88";3085;85;1173;5;11;24;13;0,142857142857143;0,285714285714286
"89";3085;85;1174;5;24;36;12;0,285714285714286;0,428571428571429
"90";3085;85;1175;5;48;60;12;0,571428571428571;0,714285714285714
"91";3085;85;1176;5;40;52;12;0,476190476190476;0,619047619047619
"92";3085;85;1177;5;36;48;12;0,428571428571429;0,571428571428571
"93";3085;85;1178;6;1;7;6;0,0232558139534884;0,0930232558139535
"94";3085;85;1179;6;39;45;6;0,465116279069767;0,534883720930233
"95";3085;85;1180;6;39;47;8;0,465116279069767;0,558139534883721
"96";3085;85;1181;6;41;47;6;0,488372093023256;0,558139534883721
"97";3085;85;1182;6;7;13;6;0,0930232558139535;0,162790697674419
"98";3085;85;1183;6;23;29;6;0,27906976744186;0,348837209302326
"99";3085;85;1184;6;19;25;6;0,232558139534884;0,302325581395349
"100";3085;85;1185;6;19;27;8;0,232558139534884;0,325581395348837
"101";3085;85;1186;6;65;71;6;0,767441860465116;0,837209302325581
"102";3085;85;1187;6;49;55;6;0,581395348837209;0,651162790697674
"103";3085;85;1188;6;47;53;6;0,558139534883721;0,627906976744186
"104";3085;85;1189;6;27;33;6;0,325581395348837;0,395348837209302
"105";3085;85;1190;6;41;49;8;0,488372093023256;0,581395348837209
"106";3085;85;1191;6;37;43;6;0,441860465116279;0,511627906976744
"107";3085;85;1192;6;13;19;6;0,162790697674419;0,232558139534884
"108";3085;85;1193;6;17;23;6;0,209302325581395;0,27906976744186
"109";3085;85;1194;6;29;35;6;0,348837209302326;0,418604651162791
"110";3085;85;1195;6;33;39;6;0,395348837209302;0,465116279069767
"111";3085;85;1196;6;33;41;8;0,395348837209302;0,488372093023256
"112";3085;85;1197;6;37;45;8;0,441860465116279;0,534883720930233
"113";3085;85;1198;6;25;31;6;0,302325581395349;0,372093023255814
"114";3085;85;1199;6;23;31;8;0,27906976744186;0,372093023255814
"115";3085;85;1200;6;29;37;8;0,348837209302326;0,441860465116279
"116";3085;85;5579;4;25;51;26;0,3;0,6
"117";3085;85;5580;5;48;60;12;0,571428571428571;0,714285714285714
"118";3085;85;5581;5;15;28;13;0,19047619047619;0,333333333333333
"119";3085;85;5582;5;44;56;12;0,523809523809524;0,666666666666667
"120";3085;85;5583;5;40;52;12;0,476190476190476;0,619047619047619
"121";3085;85;5584;5;60;73;13;0,714285714285714;0,857142857142857
"122";3085;85;5585;6;1;7;6;0,0232558139534884;0,0930232558139535
"123";3085;85;5586;6;65;71;6;0,767441860465116;0,837209302325581
"124";3085;85;5587;6;49;55;6;0,581395348837209;0,651162790697674
"125";3085;85;5588;6;41;47;6;0,488372093023256;0,558139534883721
"126";3085;85;5589;6;33;39;6;0,395348837209302;0,465116279069767
"127";3085;85;5590;6;39;45;6;0,465116279069767;0,534883720930233
"128";3085;85;5591;6;39;47;8;0,465116279069767;0,558139534883721
"129";3085;85;5592;6;41;49;8;0,488372093023256;0,581395348837209
"130";3584;140;1384;5;74;99;25;0,529411764705882;0,705882352941177
"131";3584;140;1385;5;32;57;25;0,235294117647059;0,411764705882353
"132";3584;140;1386;5;107;132;25;0,764705882352941;0,941176470588235
"133";3584;140;1387;5;90;115;25;0,647058823529412;0,823529411764706
"134";3584;140;1388;5;40;65;25;0,294117647058824;0,470588235294118
"135";3584;140;1389;5;57;82;25;0,411764705882353;0,588235294117647
"136";3584;140;1390;5;99;123;24;0,705882352941177;0,882352941176471
"137";3584;140;1391;5;82;107;25;0,588235294117647;0,764705882352941
"138";3584;140;1392;6;15;27;12;0,114285714285714;0,2
"139";3584;140;1393;6;80;92;12;0,571428571428571;0,657142857142857
"140";3584;140;1394;6;43;55;12;0,314285714285714;0,4
"141";3584;140;1395;6;47;59;12;0,342857142857143;0,428571428571429
"142";3584;140;1396;6;76;88;12;0,542857142857143;0,628571428571429
"143";3584;140;1397;6;108;120;12;0,771428571428571;0,857142857142857
"144";3584;140;1398;6;63;76;13;0,457142857142857;0,542857142857143
"145";3584;140;1399;6;100;112;12;0,714285714285714;0,8
"146";3584;140;1400;6;31;43;12;0,228571428571429;0,314285714285714
"147";3584;140;1401;6;72;84;12;0,514285714285714;0,6
"148";3584;140;1402;6;80;96;16;0,571428571428571;0,685714285714286
"149";3584;140;1403;6;96;108;12;0,685714285714286;0,771428571428571
"150";3584;140;1404;6;104;116;12;0,742857142857143;0,828571428571429
"151";3584;140;1405;6;35;47;12;0,257142857142857;0,342857142857143
"152";3584;140;1406;6;92;104;12;0,657142857142857;0,742857142857143
"153";3584;140;1407;6;76;92;16;0,542857142857143;0,657142857142857
"154";3584;140;1408;6;72;88;16;0,514285714285714;0,628571428571429
"155";3584;140;1409;6;92;108;16;0,657142857142857;0,771428571428571
"156";3584;140;1410;6;112;124;12;0,8;0,885714285714286
"157";3584;140;1411;6;19;31;12;0,142857142857143;0,228571428571429
"158";3584;140;5638;4;70;122;52;0,5;0,875
"159";3584;140;5639;5;32;57;25;0,235294117647059;0,411764705882353
"160";3584;140;5640;5;82;107;25;0,588235294117647;0,764705882352941
"161";3584;140;5641;5;107;132;25;0,764705882352941;0,941176470588235
"162";3584;140;5642;6;11;23;12;0,0857142857142857;0,171428571428571
"163";3584;140;5643;6;108;120;12;0,771428571428571;0,857142857142857
"164";3584;140;5644;6;116;128;12;0,828571428571429;0,914285714285714
"165";3584;140;5645;6;35;47;12;0,257142857142857;0,342857142857143
"166";3584;140;5646;6;100;112;12;0,714285714285714;0,8
"167";3584;140;5647;6;100;116;16;0,714285714285714;0,828571428571429
"168";3584;140;5648;6;104;116;12;0,742857142857143;0,828571428571429
"169";3584;140;5649;6;3;15;12;0,0285714285714286;0,114285714285714
"170";3584;140;5650;6;72;84;12;0,514285714285714;0,6
"171";4007;132;1512;6;92;104;12;0,696969696969697;0,787878787878788
"172";4007;132;1513;6;68;80;12;0,515151515151515;0,606060606060606
"173";4007;132;1514;6;88;100;12;0,666666666666667;0,757575757575758
"174";4007;132;1515;6;76;88;12;0,575757575757576;0,666666666666667
"175";4007;132;1516;6;39;51;12;0,303030303030303;0,393939393939394
"176";4007;132;1517;6;84;96;12;0,636363636363636;0,727272727272727
"177";4007;132;1518;6;55;68;13;0,424242424242424;0,515151515151515
"178";4007;132;1519;6;35;47;12;0,272727272727273;0,363636363636364
"179";4007;132;5690;5;74;99;25;0,5625;0,75
"180";4007;132;5691;6;96;108;12;0,727272727272727;0,818181818181818
"181";4007;132;5692;6;84;96;12;0,636363636363636;0,727272727272727
"182";4007;132;5693;6;31;43;12;0,242424242424242;0,333333333333333
"183";4445;110;1774;4;59;84;25;0,538461538461538;0,769230769230769
"184";4445;110;1775;5;3;15;12;0,037037037037037;0,148148148148148
"185";4445;110;1776;5;20;32;12;0,185185185185185;0,296296296296296
"186";4445;110;1777;5;24;36;12;0,222222222222222;0,333333333333333
"187";4445;110;1778;5;28;40;12;0,259259259259259;0,37037037037037
"188";4445;110;1779;5;36;48;12;0,333333333333333;0,444444444444444
"189";4445;110;1780;5;7;20;13;0,0740740740740741;0,185185185185185
"190";4445;110;1781;5;32;44;12;0,296296296296296;0,407407407407407
"191";4445;110;1782;5;44;57;13;0,407407407407407;0,518518518518518
"192";4445;110;1783;5;40;52;12;0,37037037037037;0,481481481481481
"193";4445;110;1784;6;21;27;6;0,2;0,254545454545455
"194";4445;110;1785;6;31;37;6;0,290909090909091;0,345454545454545
"195";4445;110;1786;6;35;41;6;0,327272727272727;0,381818181818182
"196";4445;110;1787;6;82;88;6;0,745454545454545;0,8
"197";4445;110;1788;6;43;49;6;0,4;0,454545454545455
"198";4445;110;1789;6;27;33;6;0,254545454545455;0,309090909090909
"199";4445;110;1790;6;27;35;8;0,254545454545455;0,327272727272727
"200";4445;110;1791;6;29;35;6;0,272727272727273;0,327272727272727
"201";4445;110;1792;6;35;43;8;0,327272727272727;0,4
"202";4445;110;1793;6;62;68;6;0,563636363636364;0,618181818181818
"203";4445;110;1794;6;13;19;6;0,127272727272727;0,181818181818182
"204";4445;110;1795;6;80;86;6;0,727272727272727;0,781818181818182
"205";4445;110;1796;6;31;39;8;0,290909090909091;0,363636363636364
"206";4445;110;1797;6;31;41;10;0,290909090909091;0,381818181818182
"207";4445;110;1798;6;76;82;6;0,690909090909091;0,745454545454545
"208";4445;110;1799;6;47;53;6;0,436363636363636;0,490909090909091
"209";4445;110;1800;6;49;56;7;0,454545454545455;0,509090909090909
"210";4445;110;1801;6;11;17;6;0,109090909090909;0,163636363636364
"211";4445;110;1802;6;56;62;6;0,509090909090909;0,563636363636364
"212";4445;110;1803;6;29;37;8;0,272727272727273;0,345454545454545
"213";4445;110;1804;6;35;45;10;0,327272727272727;0,418181818181818
"214";4445;110;1805;6;35;47;12;0,327272727272727;0,436363636363636
"215";4445;110;1806;6;51;58;7;0,472727272727273;0,527272727272727
"216";4445;110;1807;6;25;31;6;0,236363636363636;0,290909090909091
"217";4445;110;1808;6;23;29;6;0,218181818181818;0,272727272727273
"218";4445;110;1809;6;3;9;6;0,0363636363636364;0,0909090909090909
"219";4445;110;1810;6;60;66;6;0,545454545454545;0,6
"220";4445;110;1811;6;47;56;9;0,436363636363636;0,509090909090909
"221";4445;110;1812;6;15;21;6;0,145454545454545;0,2
"222";4445;110;1813;6;43;51;8;0,4;0,472727272727273
"223";4445;110;1814;6;58;64;6;0,527272727272727;0,581818181818182
"224";4445;110;1815;6;5;11;6;0,0545454545454545;0,109090909090909
"225";4445;110;1816;6;80;88;8;0,727272727272727;0,8
"226";4445;110;5785;4;25;50;25;0,230769230769231;0,461538461538462
"227";4445;110;5786;5;36;48;12;0,333333333333333;0,444444444444444
"228";4445;110;5787;5;20;32;12;0,185185185185185;0,296296296296296
"229";4445;110;5788;5;11;24;13;0,111111111111111;0,222222222222222
"230";4445;110;5789;5;40;52;12;0,37037037037037;0,481481481481481
"231";4445;110;5790;5;52;65;13;0,481481481481481;0,592592592592593
"232";4445;110;5791;5;24;36;12;0,222222222222222;0,333333333333333
"233";4445;110;5792;5;20;36;16;0,185185185185185;0,333333333333333
"234";4445;110;5793;6;23;29;6;0,218181818181818;0,272727272727273
"235";4445;110;5794;6;29;35;6;0,272727272727273;0,327272727272727
"236";4445;110;5795;6;76;82;6;0,690909090909091;0,745454545454545
"237";4445;110;5796;6;82;88;6;0,745454545454545;0,8
"238";4445;110;5797;6;74;80;6;0,672727272727273;0,727272727272727
"239";4445;110;5798;6;43;49;6;0,4;0,454545454545455
"240";4445;110;5799;6;68;74;6;0,618181818181818;0,672727272727273
"241";4445;110;5800;6;3;9;6;0,0363636363636364;0,0909090909090909
