"";"pid";"max.age";"seq.id";"seq.revlevel";"seq.start";"seq.end";"seq.length";"seq.start.rel";"seq.end.rel"
"1";4740;63;1;4;39;63;24;0,625;1
"2";4740;63;2;5;27;39;12;0,4375;0,625
"3";4740;63;3;5;23;35;12;0,375;0,5625
"4";4740;63;4;5;7;19;12;0,125;0,3125
"5";4740;63;5;5;11;23;12;0,1875;0,375
"6";4740;63;6;5;43;55;12;0,6875;0,875
"7";4740;63;7;5;39;51;12;0,625;0,8125
"8";4740;63;8;5;47;59;12;0,75;0,9375
"9";4740;63;9;5;23;39;16;0,375;0,625
"10";4740;63;10;6;31;37;6;0,5;0,59375
"11";4740;63;11;6;41;47;6;0,65625;0,75
"12";4740;63;12;6;7;13;6;0,125;0,21875
"13";4740;63;13;6;11;17;6;0,1875;0,28125
"14";4740;63;14;6;13;19;6;0,21875;0,3125
"15";4740;63;15;6;13;21;8;0,21875;0,34375
"16";4740;63;16;6;15;21;6;0,25;0,34375
"17";4740;63;17;6;15;23;8;0,25;0,375
"18";4740;63;18;6;29;35;6;0,46875;0,5625
"19";4740;63;19;6;9;15;6;0,15625;0,25
"20";4740;63;20;6;9;17;8;0,15625;0,28125
"21";4740;63;21;6;25;31;6;0,40625;0,5
"22";4740;63;22;6;43;49;6;0,6875;0,78125
"23";4740;63;23;6;57;63;6;0,90625;1
"24";4740;63;24;6;17;23;6;0,28125;0,375
"25";4740;63;25;6;53;59;6;0,84375;0,9375
"26";4740;63;26;6;11;19;8;0,1875;0,3125
"27";4740;63;27;6;11;21;10;0,1875;0,34375
"28";4740;63;28;6;29;37;8;0,46875;0,59375
"29";4740;63;29;6;33;39;6;0,53125;0,625
"30";4740;63;30;6;27;33;6;0,4375;0,53125
"31";4740;63;31;6;9;19;10;0,15625;0,3125
"32";4740;63;32;6;27;35;8;0,4375;0,5625
"33";4740;63;33;6;39;45;6;0,625;0,71875
"34";4740;63;34;6;43;51;8;0,6875;0,8125
"35";4740;63;35;6;31;39;8;0,5;0,625
"36";4740;63;36;6;23;29;6;0,375;0,46875
"37";4740;63;37;6;7;15;8;0,125;0,25
"38";4740;63;38;6;41;49;8;0,65625;0,78125
"39";4740;63;39;6;45;51;6;0,71875;0,8125
"40";4740;63;40;6;5;11;6;0,09375;0,1875
"41";4740;63;41;6;25;33;8;0,40625;0,53125
"42";4740;63;42;6;25;35;10;0,40625;0,5625
"43";4740;63;43;6;29;39;10;0,46875;0,625
"44";4740;63;44;6;27;37;10;0,4375;0,59375
"45";4740;63;45;6;7;17;10;0,125;0,28125
"46";4740;63;46;6;7;19;12;0,125;0,3125
"47";4740;63;47;6;47;53;6;0,75;0,84375
