"";"pid";"seq.id";"max.loc.diff";"max.ad.diff";"max.lc.diff";"loc.seq";"ad.seq";"lc.seq"
"1";"589515";"221";"14";"1";"38";"219|225|225|239|243|249|249|249|249|249|249|249|249|249|249|249|249|249|249";"1|1|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0";"39|20|0|38|4|30|0|0|0|0|0|0|0|0|0|0|0|0|0"
"2";"587571";"683";"223157";"1";"210837";"1605125|1618694|1632898|1648440|1660854|1884011|1886030|1886833|1886921|1893689|1893689|1893689|1893689|1893689|1893689|1893689|1893689|1893689|1893689|1893689|1893689|1893689";"1|1|2|2|2|2|2|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0";"33237|36991|16328|20272|19192|230029|97247|825|10642|6860|0|0|0|0|0|0|0|0|0|0|0|0"
"3";"587571";"684";"223157";"1";"210837";"1605125|1618694|1632898|1648440|1660854|1884011|1886030|1886833|1886921|1893689|1893689|1893689|1893689|1893689|1893689|1893689|1893689|1893689|1893689|1893689|1893689|1893689";"1|1|2|2|2|2|2|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0";"33237|36991|16328|20272|19192|230029|97247|825|10642|6860|0|0|0|0|0|0|0|0|0|0|0|0"
"4";"475";"828";"28944";"3";"412762";"195978|196003|196306|196803|197071|198080|201563|204543|205724|214068|214696|215492|205237|205033|205691|220991|221522|232405|233757|234706|234309|233880|233998|235643|237551|240049|240823|241248|241291|241290|241494|241264|241487|242481|243078|242932|243145|243336|243336|272280|272274|272778|273024|273024|273044|272929|272929|272929|272935|273035|273096|273096|273148|273786|276535|274767|276034|276052|276111|276194|276229|276274|276362|276362|276362|276362|276362|276362|276362|276396|276396|276108|278543|278543|280525|281376|281241|281352|281352|281535|282113|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612";"3|2|1|2|3|3|3|4|3|3|3|3|3|2|2|3|2|2|3|4|3|3|1|3|3|2|4|2|3|1|2|2|3|2|1|2|3|2|0|2|1|3|2|0|1|1|0|0|1|1|2|0|1|3|3|2|2|2|2|1|2|1|1|0|0|0|0|0|0|3|0|3|1|1|2|3|1|1|0|2|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"1503|59|1313|1355|720|1573|12599|8168|4085|8430|2102|5954|11927|986|1400|15954|1077|14461|3012|2735|7059|7173|150|2307|2986|6086|4496|1381|425|27|266|1472|3829|4560|1427|3638|1153|1151|0|29156|24|850|458|0|70|663|0|0|8|832|553|0|430|413192|26083|28758|16969|56|123|999|49|361|190|0|0|0|0|0|0|450|0|3450|5129|2|3770|1245|2137|161|0|1715|2554|1845|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"5";"475";"829";"28944";"3";"412762";"205724|214068|214696|215492|205237|205033|205691|220991|221522|232405|233757|234706|234309|233880|233998|235643|237551|240049|240823|241248|241291|241290|241494|241264|241487|242481|243078|242932|243145|243336|243336|272280|272274|272778|273024|273024|273044|272929|272929|272929|272935|273035|273096|273096|273148|273786|276535|274767|276034|276052|276111|276194|276229|276274|276362|276362|276362|276362|276362|276362|276362|276396|276396|276108|278543|278543|280525|281376|281241|281352|281352|281535|282113|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612";"3|3|3|3|3|2|2|3|2|2|3|4|3|3|1|3|3|2|4|2|3|1|2|2|3|2|1|2|3|2|0|2|1|3|2|0|1|1|0|0|1|1|2|0|1|3|3|2|2|2|2|1|2|1|1|0|0|0|0|0|0|3|0|3|1|1|2|3|1|1|0|2|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"4085|8430|2102|5954|11927|986|1400|15954|1077|14461|3012|2735|7059|7173|150|2307|2986|6086|4496|1381|425|27|266|1472|3829|4560|1427|3638|1153|1151|0|29156|24|850|458|0|70|663|0|0|8|832|553|0|430|413192|26083|28758|16969|56|123|999|49|361|190|0|0|0|0|0|0|450|0|3450|5129|2|3770|1245|2137|161|0|1715|2554|1845|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"6";"475";"830";"28944";"3";"412762";"205724|214068|214696|215492|205237|205033|205691|220991|221522|232405|233757|234706|234309|233880|233998|235643|237551|240049|240823|241248|241291|241290|241494|241264|241487|242481|243078|242932|243145|243336|243336|272280|272274|272778|273024|273024|273044|272929|272929|272929|272935|273035|273096|273096|273148|273786|276535|274767|276034|276052|276111|276194|276229|276274|276362|276362|276362|276362|276362|276362|276362|276396|276396|276108|278543|278543|280525|281376|281241|281352|281352|281535|282113|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612";"3|3|3|3|3|2|2|3|2|2|3|4|3|3|1|3|3|2|4|2|3|1|2|2|3|2|1|2|3|2|0|2|1|3|2|0|1|1|0|0|1|1|2|0|1|3|3|2|2|2|2|1|2|1|1|0|0|0|0|0|0|3|0|3|1|1|2|3|1|1|0|2|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"4085|8430|2102|5954|11927|986|1400|15954|1077|14461|3012|2735|7059|7173|150|2307|2986|6086|4496|1381|425|27|266|1472|3829|4560|1427|3638|1153|1151|0|29156|24|850|458|0|70|663|0|0|8|832|553|0|430|413192|26083|28758|16969|56|123|999|49|361|190|0|0|0|0|0|0|450|0|3450|5129|2|3770|1245|2137|161|0|1715|2554|1845|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"7";"475";"831";"2435";"3";"5127";"276396|276396|276108|278543|278543|280525|281376|281241|281352|281352|281535|282113|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612";"3|0|3|1|1|2|3|1|1|0|2|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"450|0|3450|5129|2|3770|1245|2137|161|0|1715|2554|1845|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"8";"475";"832";"28944";"3";"412762";"241487|242481|243078|242932|243145|243336|243336|272280|272274|272778|273024|273024|273044|272929|272929|272929|272935|273035|273096|273096|273148|273786|276535|274767|276034|276052|276111|276194|276229|276274|276362|276362|276362|276362|276362|276362|276362|276396|276396|276108|278543|278543|280525|281376|281241|281352|281352|281535|282113|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612";"3|2|1|2|3|2|0|2|1|3|2|0|1|1|0|0|1|1|2|0|1|3|3|2|2|2|2|1|2|1|1|0|0|0|0|0|0|3|0|3|1|1|2|3|1|1|0|2|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"3829|4560|1427|3638|1153|1151|0|29156|24|850|458|0|70|663|0|0|8|832|553|0|430|413192|26083|28758|16969|56|123|999|49|361|190|0|0|0|0|0|0|450|0|3450|5129|2|3770|1245|2137|161|0|1715|2554|1845|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"9";"475";"833";"28944";"3";"412762";"243145|243336|243336|272280|272274|272778|273024|273024|273044|272929|272929|272929|272935|273035|273096|273096|273148|273786|276535|274767|276034|276052|276111|276194|276229|276274|276362|276362|276362|276362|276362|276362|276362|276396|276396|276108|278543|278543|280525|281376|281241|281352|281352|281535|282113|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612";"3|2|0|2|1|3|2|0|1|1|0|0|1|1|2|0|1|3|3|2|2|2|2|1|2|1|1|0|0|0|0|0|0|3|0|3|1|1|2|3|1|1|0|2|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"1153|1151|0|29156|24|850|458|0|70|663|0|0|8|832|553|0|430|413192|26083|28758|16969|56|123|999|49|361|190|0|0|0|0|0|0|450|0|3450|5129|2|3770|1245|2137|161|0|1715|2554|1845|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"10";"475";"834";"28944";"3";"412762";"195978|196003|196306|196803|197071|198080|201563|204543|205724|214068|214696|215492|205237|205033|205691|220991|221522|232405|233757|234706|234309|233880|233998|235643|237551|240049|240823|241248|241291|241290|241494|241264|241487|242481|243078|242932|243145|243336|243336|272280|272274|272778|273024|273024|273044|272929|272929|272929|272935|273035|273096|273096|273148|273786|276535|274767|276034|276052|276111|276194|276229|276274|276362|276362|276362|276362|276362|276362|276362|276396|276396|276108|278543|278543|280525|281376|281241|281352|281352|281535|282113|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612|281612";"3|2|1|2|3|3|3|4|3|3|3|3|3|2|2|3|2|2|3|4|3|3|1|3|3|2|4|2|3|1|2|2|3|2|1|2|3|2|0|2|1|3|2|0|1|1|0|0|1|1|2|0|1|3|3|2|2|2|2|1|2|1|1|0|0|0|0|0|0|3|0|3|1|1|2|3|1|1|0|2|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0";"1503|59|1313|1355|720|1573|12599|8168|4085|8430|2102|5954|11927|986|1400|15954|1077|14461|3012|2735|7059|7173|150|2307|2986|6086|4496|1381|425|27|266|1472|3829|4560|1427|3638|1153|1151|0|29156|24|850|458|0|70|663|0|0|8|832|553|0|430|413192|26083|28758|16969|56|123|999|49|361|190|0|0|0|0|0|0|450|0|3450|5129|2|3770|1245|2137|161|0|1715|2554|1845|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
