"";"pid";"seq.id";"max.loc.diff";"max.ad.diff";"max.lc.diff"
"1";585077;49;213878;3;220220
"2";585077;50;213878;3;220220
"3";585077;51;213878;3;220220
"4";585077;52;213878;3;220220
"5";585077;53;213878;3;220220
"6";585077;54;213878;3;220220
"7";585077;55;213878;3;220220
"8";585077;56;213878;3;220220
"9";589515;662;0;0;0
"10";589515;663;14;1;38
"11";589515;664;14;1;38
"12";589515;665;6;1;30
"13";589515;666;14;1;38
"14";589515;667;6;1;30
"15";589515;668;6;1;30
"16";589515;669;6;1;30
"17";589515;670;6;1;30
"18";589515;671;14;1;38
"19";589515;672;14;1;38
"20";589515;673;14;1;38
"21";589515;674;14;1;38
"22";586805;1711;1545;1;4405
"23";586805;1712;1545;1;4405
"24";586805;1713;1545;1;4405
"25";586805;1714;1545;1;4405
"26";586805;1715;1545;1;4405
"27";586805;1716;1545;1;4405
"28";586805;1717;2655;1;4803
"29";587198;1718;0;0;0
"30";587198;1719;0;0;0
"31";587198;1720;85;2;2865
"32";587198;1721;85;2;2865
"33";587198;1722;85;2;2865
"34";587198;1723;85;2;2865
"35";587198;1724;85;2;2865
"36";587198;1725;85;2;2865
"37";587198;1726;85;2;2865
"38";587204;1727;8;1;14
"39";587204;1728;8;1;14
"40";587204;1729;0;1;14
"41";587204;1730;8;1;13323
"42";587204;1731;8;1;13323
"43";587204;1732;8;1;14
"44";587204;1733;0;1;14
"45";587204;1734;0;1;14
"46";587204;1735;8;1;13323
"47";587204;1736;8;1;13323
"48";587204;1737;8;1;14
"49";587204;1738;8;1;14
"50";587204;1739;8;1;14
"51";587204;1740;0;1;14
"52";587204;1741;0;1;14
"53";587204;1742;8;1;14
"54";587204;1743;8;1;13323
"55";587204;1744;8;1;13323
"56";587204;1745;8;1;13323
"57";587571;1746;223157;1;210837
"58";587571;1747;223157;1;210837
"59";587571;1748;6768;1;9817
"60";587571;1749;223157;1;210837
"61";587571;1750;223157;1;210837
"62";587571;1751;6768;1;96422
"63";587571;1752;6768;1;6860
"64";587571;1753;6768;1;6860
"65";587571;1754;223157;1;210837
"66";587571;1755;223157;1;210837
"67";587571;1756;223157;1;210837
"68";587571;1757;223157;1;210837
"69";587571;1758;223157;1;210837
"70";587571;1759;223157;1;210837
"71";587571;1760;6768;1;96422
"72";587571;1761;6768;1;96422
"73";587571;1762;6768;1;96422
"74";587571;1763;223157;1;210837
"75";587571;1764;223157;1;210837
"76";587571;1765;6768;1;96422
"77";587571;1766;6768;1;6860
"78";587571;1767;6768;1;6860
"79";587571;1768;223157;1;210837
"80";588411;1774;0;1;14
"81";588411;1775;12;1;875
"82";588411;1776;0;1;20
"83";588411;1777;12;1;875
"84";588411;1778;12;1;875
"85";588411;1779;12;1;875
"86";588411;1780;12;1;875
"87";588411;1781;0;1;20
"88";588411;1782;0;1;20
"89";588411;1783;0;1;20
"90";588411;1784;12;1;875
"91";588411;1785;0;1;20
"92";589091;1792;301;1;541
"93";589091;1793;301;1;541
"94";589091;1794;301;1;541
"95";589091;1795;301;1;541
"96";475;2101;28944;3;412762
"97";475;2102;28944;3;412762
"98";475;2103;2749;3;412762
"99";475;2104;28944;3;412762
"100";475;2105;28944;3;412762
"101";475;2106;28944;3;412762
"102";475;2107;28944;3;412762
"103";475;2108;28944;3;412762
"104";475;2109;2749;3;412762
"105";475;2110;2749;3;412762
"106";475;2111;2435;3;5127
"107";475;2112;2435;3;5127
"108";475;2113;1982;2;3768
"109";475;2114;28944;3;412762
"110";475;2115;2749;3;412762
"111";475;2116;2749;3;412762
"112";475;2117;28944;3;412762
"113";475;2118;2435;3;16913
"114";475;2119;28944;3;412762
"115";475;2120;28944;3;412762
"116";475;2121;2435;3;16913
"117";475;2122;28944;3;412762
"118";475;2123;2435;3;16913
"119";475;2124;28944;3;412762
"120";475;2125;28944;3;412762
"121";475;2126;28944;3;412762
"122";475;2127;28944;3;412762
"123";475;2128;2749;3;412762
"124";475;2129;2749;3;412762
"125";475;2130;28944;3;412762
"126";475;2131;2749;3;412762
"127";475;2132;2749;3;412762
"128";475;2133;2749;3;412762
"129";475;2134;2749;3;412762
"130";475;2135;2749;3;412762
"131";475;2136;1982;2;3768
"132";475;2137;578;2;1845
"133";475;2138;28944;3;412762
"134";475;2139;28944;3;412762
"135";475;2140;2749;3;412762
"136";475;2141;2435;3;16913
"137";475;2142;1982;2;3768
"138";475;2143;1982;2;3768
"139";475;2144;28944;3;412762
"140";475;2145;28944;3;412762
"141";475;2146;28944;3;412762
"142";475;2147;28944;3;412762
"143";475;2148;2435;3;16913
"144";475;2149;2435;3;5127
"145";475;2150;578;2;1845
"146";475;2151;578;2;1845
"147";475;2152;28944;3;412762
"148";475;2153;28944;3;412762
"149";475;2154;28944;3;412762
"150";475;2155;28944;3;412762
"151";475;2156;0;2;1845
"152";475;2157;28944;3;412762
"153";475;2158;2749;3;412762
"154";475;2159;28944;3;412762
"155";475;2160;2749;3;412762
"156";475;2161;2749;3;412762
"157";475;2162;2435;3;5127
"158";475;2163;2435;3;5127
"159";475;2164;2435;3;5127
"160";475;2165;2435;3;5127
"161";475;2166;0;2;1845
"162";475;2167;28944;3;412762
"163";475;2168;2749;3;412762
"164";475;2169;2749;3;412762
"165";475;2170;2435;3;16913
"166";475;2171;2435;3;5127
"167";475;2172;1982;2;3768
"168";475;2173;28944;3;412762
"169";475;2174;28944;3;412762
"170";475;2175;2749;3;412762
"171";475;2176;28944;3;412762
"172";475;2177;28944;3;412762
"173";475;2178;2435;3;16913
"174";475;2179;28944;3;412762
"175";475;2180;28944;3;412762
"176";475;2181;2749;3;412762
"177";475;2182;2749;3;412762
"178";475;2183;2435;3;5127
"179";475;2184;2435;3;5127
"180";475;2185;28944;3;412762
"181";475;2186;2435;3;5127
"182";475;2187;28944;3;412762
"183";475;2188;2435;3;5127
"184";3927;2694;3994;6;4226
"185";3927;2695;3994;6;4226
"186";3927;2696;3994;6;135764
"187";3927;2697;3994;6;5745
"188";3927;2698;2137;6;4226
"189";3927;2699;3994;6;5745
"190";3927;2700;3994;6;4226
"191";3927;2701;3994;6;135764
"192";3927;2702;3994;6;135764
"193";3927;2703;3994;6;135764
"194";3927;2704;3994;6;4226
"195";3927;2705;3994;6;4226
"196";3927;2706;3994;6;135764
"197";3927;2707;3994;6;135764
"198";3927;2708;3994;6;135764
"199";3927;2709;3994;6;5468
"200";3927;2710;2137;6;4226
"201";3927;2711;3994;6;5468
"202";3927;2712;3994;6;5468
"203";3927;2713;3994;6;4226
"204";3927;2714;3994;6;4226
"205";3927;2715;2137;4;3029
"206";3927;2716;2137;4;3029
"207";3927;2717;3994;6;5745
"208";3927;2718;3994;6;4226
"209";3927;2719;2137;6;4226
"210";3927;2720;2137;6;4226
"211";3927;2721;2137;6;4226
"212";3927;2722;2137;4;3029
"213";3927;2723;2137;4;3029
"214";3927;2724;2137;4;3029
"215";3927;2725;2137;4;3029
"216";3927;2726;2137;4;3029
"217";3927;2727;0;3;3029
"218";3927;2728;3994;6;135764
"219";3927;2729;3994;6;135764
"220";3927;2730;3994;6;135764
"221";3927;2731;3994;6;135764
"222";3927;2732;3994;6;5745
"223";3927;2733;3994;6;5468
"224";3927;2734;3994;6;4226
"225";3927;2735;3994;6;4226
"226";3927;2736;3994;6;4226
"227";3927;2737;3994;6;4226
"228";3927;2738;3994;6;4226
"229";3927;2739;3994;6;5745
"230";3927;2740;3994;6;5745
"231";3927;2741;3994;6;5745
"232";3927;2742;3994;6;135764
"233";3927;2743;3994;6;135764
"234";3927;2744;3994;6;4226
"235";3927;2745;3994;6;135764
"236";3927;2746;3994;6;135764
