"";"time";"var";"coef";"pid";"pid.revlevel";"pid.startseq";"length";"count";"issub"
"1";"Age.Months";"Active.Developers";"V";"4740";"5";"4";"4";"4";"0"
"2";"Age.Months";"Active.Developers";"V";"4740";"6";"7";"4";"196";"0.5"
"3";"Age.Months";"Active.Developers";"V";"4740";"6";"23";"4";"37";"0"
"4";"Age.Months";"Active.Developers";"V";"4740";"6";"26";"4";"5";"0"
"5";"Age.Months";"Active.Developers";"V";"4740";"6";"27";"4";"9";"0"
"6";"Age.Months";"Active.Developers";"V";"4740";"6";"28";"4";"17";"0"
"7";"Age.Months";"Active.Developers";"V";"4740";"6";"16";"4";"195";"0"
"8";"Age.Months";"Active.Developers";"V";"4740";"6";"29";"4";"60";"0"
"9";"Age.Months";"Active.Developers";"V";"4740";"6";"6";"4";"17";"0.5"
"10";"Age.Months";"Active.Developers";"V";"4740";"6";"2";"4";"32";"0"
"11";"Age.Months";"Active.Developers";"V";"4740";"6";"3";"4";"11";"0"
"12";"Age.Months";"Active.Developers";"V";"4740";"6";"15";"4";"35";"0.5"
"13";"Age.Months";"Active.Developers";"V";"4740";"6";"24";"4";"33";"0"
"14";"Age.Months";"Active.Developers";"V";"4740";"6";"15";"5";"10";"0"
"15";"Age.Months";"Active.Developers";"V";"4740";"6";"13";"4";"5";"0"
"16";"Age.Months";"Active.Developers";"V";"4740";"6";"14";"4";"7";"0"
"17";"Age.Months";"Active.Developers";"V";"4740";"6";"12";"4";"4";"0"
"18";"Age.Months";"Active.Developers";"V";"4740";"6";"21";"4";"7";"0"
"19";"Age.Months";"Active.Developers";"V";"4740";"6";"6";"5";"6";"0"
"20";"Age.Months";"Active.Developers";"V";"4740";"6";"7";"5";"4";"0"
"21";"Age.Months";"Active.Developers";"V";"3429";"5";"15";"4";"19";"0"
"22";"Age.Months";"Active.Developers";"V";"3429";"5";"1";"4";"8";"0"
"23";"Age.Months";"Active.Developers";"V";"3429";"5";"5";"4";"16";"0"
"24";"Age.Months";"Active.Developers";"V";"3429";"6";"6";"4";"15";"0"
