"";"time";"var";"coef";"pid";"pid.revlevel";"pid.startseq";"length";"count";"issub"
"1";"Age.Months";"LOC";"V";"4740";"4";"5";"4";"10";"0"
"2";"Age.Months";"LOC";"V";"4740";"5";"7";"4";"87";"0"
"3";"Age.Months";"LOC";"V";"4740";"5";"6";"4";"18";"0.5"
"4";"Age.Months";"LOC";"V";"4740";"5";"2";"4";"21";"0"
"5";"Age.Months";"LOC";"V";"4740";"5";"3";"4";"111";"0"
"6";"Age.Months";"LOC";"V";"4740";"5";"11";"4";"56";"0"
"7";"Age.Months";"LOC";"V";"4740";"5";"10";"4";"9";"0"
"8";"Age.Months";"LOC";"V";"4740";"5";"12";"4";"9";"0"
"9";"Age.Months";"LOC";"V";"4740";"5";"6";"5";"4";"0"
"10";"Age.Months";"LOC";"V";"4740";"6";"16";"4";"347";"0.5"
"11";"Age.Months";"LOC";"V";"4740";"6";"21";"4";"184";"0.5"
"12";"Age.Months";"LOC";"V";"4740";"6";"4";"4";"185";"0.5"
"13";"Age.Months";"LOC";"V";"4740";"6";"6";"4";"218";"0.5"
"14";"Age.Months";"LOC";"V";"4740";"6";"7";"4";"192";"0.5"
"15";"Age.Months";"LOC";"V";"4740";"6";"7";"5";"53";"0.5"
"16";"Age.Months";"LOC";"V";"4740";"6";"8";"4";"385";"0.5"
"17";"Age.Months";"LOC";"V";"4740";"6";"8";"5";"21";"0"
"18";"Age.Months";"LOC";"V";"4740";"6";"15";"4";"226";"0.5"
"19";"Age.Months";"LOC";"V";"4740";"6";"5";"4";"143";"0.5"
"20";"Age.Months";"LOC";"V";"4740";"6";"5";"5";"28";"0.5"
"21";"Age.Months";"LOC";"V";"4740";"6";"13";"4";"120";"0.5"
"22";"Age.Months";"LOC";"V";"4740";"6";"22";"4";"215";"0.5"
"23";"Age.Months";"LOC";"V";"4740";"6";"29";"4";"12";"0"
"24";"Age.Months";"LOC";"V";"4740";"6";"9";"4";"91";"0"
