Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Age.Months;LOC.Churn;3429;4;5;28868;6;4;4;0,003660255;205524,8-274636,4-238338,1-218709,5;87,89433;-44818,11
Age.Months;LOC.Churn;23897;5;16;6491;6;12;4;0,003958689;1477911,2-5566264,0-1799380,3- 538692,3;105,9214;-233566,2
Age.Months;LOC.Churn;7203;6;15;16423;7;14;4;0,003933714; 56205,80-131881,07- 85612,95- 91832,66;217,5224;-1934,963
Age.Months;LOC.Churn;327948;3;4;10372;5;19;4;0,004730823;1010801,5-1647728,5- 866594,5- 495487,0;47,55671;-397138,6
Age.Months;LOC.Churn;5730;5;4;12421;4;2;4;0,004571756;1120,057-6398,963-3084,400-9552,306;0,262842;-135,2232
Age.Months;LOC.Churn;6056;6;42;10022;4;5;4;0,002777118;1268435,5- 558690,5-1244594,0-1882777,5;559,4933;-964848
Age.Months;LOC.Churn;3225;6;10;3564;5;11;4;0,003071724;83802-47700-43932-49174;0,3198453;19530,95
Age.Months;LOC.Churn;5455;5;14;38;4;6;4;0,00359353; 21668,0- 36824,0- 41694,5-243807,5;2,552482;13149,09
Age.Months;LOC.Churn;5455;6;40;4590;6;5;4;0,0031948;30462,87-12112,03-19125,82-20205,58;10,12959;11904,31
Age.Months;LOC.Churn;38;6;15;17088;5;12;4;0,004828599;28388,5-13403,5-22030,0-12764,0;0,6867584;8038,221
Age.Months;LOC.Churn;155;6;14;27049;6;27;4;Inf;3307,5- 414,0-4387,0-2680,0;31,7967;414
Age.Months;LOC.Churn;360;6;54;9673;5;17;4;0,002480006; 3894,7442-10772,7718-  473,7615-  829,4363;4,756479;-6,728752
Age.Months;LOC.Churn;232;3;3;325178;6;31;4;0,003200697; 34676,25- 57995,00-266029,00- 63844,50;1,854659;5328,801
Age.Months;LOC.Churn;5580;5;8;10782;5;27;4;0,004031916; 99229,71-160473,29- 99638,77-140814,66;18,34464;6910,311
Age.Months;LOC.Churn;5580;6;25;11082;5;2;4;0,000857277;223627,5-187743,0-248773,5-202972,0;2,491028;182964
Age.Months;LOC.Churn;1895;6;18;13137;4;3;4;0,004369666; 328,8047-1611,4964-2437,3971-1134,1993;0,04713959;316,8666
Age.Months;LOC.Churn;1895;6;4;48277;5;11;4;0,001784102;51748,903- 4927,120- 9903,738- 9599,682;2,966667;4457,224
Age.Months;LOC.Churn;3366;6;27;28868;6;29;4;0,004124869; 49,49747- 66,46804-190,91883-235,46656;0,01654032;-61,03925
Age.Months;LOC.Churn;3431;6;2;342092;5;13;4;0,004662832;14819,5- 5030,5-10951,0-12288,0;0,4102334;-804,7256
Age.Months;LOC.Churn;3584;6;12;10733;6;34;4;0,0009147849;4579,0-2272,5-4795,5-2829,5;2,983829;1724,967
Age.Months;LOC.Churn;3584;6;12;117623;3;2;4;0,003105243;4579,0-2272,5-4795,5-2829,5;0,2316228;-2045,876
Age.Months;LOC.Churn;4137;4;10;13079;5;9;4;0,004087114; 4580,284- 6522,353-15584,280- 9997,783;0,3719369;-1106,074
Age.Months;LOC.Churn;5385;5;11;8713;5;11;4;0,002018671;47215,29-28919,25-48125,69-28228,06;2,281586;1782,075
Age.Months;LOC.Churn;5385;5;2;15309;5;1;4;0,00439449;173755,94- 51521,92- 63588,70- 45433,73;9,14146;-7668,817
Age.Months;LOC.Churn;5561;6;6;139581;6;17;4;0,002723886;14988-32548-41834-37422;1,092403;10395,04
Age.Months;LOC.Churn;5732;5;6;19012;5;13;4;0,004732338; 3927,271- 9644,229- 6716,807-15268,203;0,6002227;2160,829
Age.Months;LOC.Churn;5732;5;8;7903;5;16;4;0,001658827; 6716,807-15268,203-10836,765-14621,908;0,3235794;-4509,458
Age.Months;LOC.Churn;6368;6;36;10782;6;55;4;0,004337064; 3649,378-14165,470-13903,134-11306,637;2,36176;37,13304
Age.Months;LOC.Churn;8258;5;5;5888;6;9;4;0,003030362; 5513,0-34977,5-10930,0-34778,0;10,8425;324,8626
Age.Months;LOC.Churn;8713;4;1;8891;3;1;4;0,0008829009;14516,549-24511,857- 8621,753-25434,984;1,436754;-2085,659
Age.Months;LOC.Churn;8713;6;19;27656;6;11;4;0,002894201;12498,11-38377,51-19559,28-22570,14;0,580002;7495,305
Age.Months;LOC.Churn;11164;6;21;373943;5;18;4;0,002593963;12783,076- 4720,645- 7296,635-14279,314;0,3505827;1665,285
Age.Months;LOC.Churn;12421;6;27;358104;5;8;4;0,003316115; 3761,1010- 1368,9587-  571,3423-42705,7140;8,832898;-623,4522
Age.Months;LOC.Churn;13044;5;5;139581;4;6;4;0,004167031; 5384,5- 8006,0-10743,5-13970,0;0,077637;1264,486
Age.Months;LOC.Churn;16234;6;13;17088;6;22;4;0,003803248;  828,0- 4372,0-25632,0- 5632,5;1,062669;-6689,849
Age.Months;LOC.Churn;16423;6;3;89461;6;26;4;0,003124235;2208,0-2707,5-3875,5-5478,0;0,1950303;1255,613
Age.Months;LOC.Churn;19983;5;11;301544;5;15;4;0,004489304; 959,0-1619,5- 687,0- 720,5;0,02387629;466,8581
Age.Months;LOC.Churn;23964;6;14;343974;5;11;4;0,002627594;45314,231- 5743,121-12857,323-87491,736;5,321916;3161,992
Age.Months;LOC.Churn;40548;5;25;301544;5;16;4;0,001700523;22747- 7941- 8458- 7615;0,3795057;4426,138
Age.Months;LOC.Churn;5423;5;8;117623;4;1;4;0,004492542;1334223,9- 466236,5- 326305,4- 413197,8;29,01457;-216549,3
