Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Age.Months;Active.Developers;4740;4;3;475;6;22;4;NaN;-0,3535534- 0,0000000--0,3535534- 1,0606602;0,7071068;0
Age.Months;Active.Developers;4740;4;3;8891;6;15;4;NaN;-0,3535534- 0,0000000--0,3535534- 1,0606602;0,7071068;0
Age.Months;Active.Developers;4740;4;3;15309;5;4;4;Inf;-0,3535534- 0,0000000--0,3535534- 1,0606602;0,5;-5,551115e-17
Age.Months;Active.Developers;4740;4;3;15549;4;2;4;NaN;-0,3535534- 0,0000000--0,3535534- 1,0606602;1;-0,7071068
Age.Months;Active.Developers;4740;4;3;358104;5;8;4;NaN;-0,3535534- 0,0000000--0,3535534- 1,0606602;0,5;0,3535534
Age.Months;Active.Developers;4740;5;11;13726;4;7;4;NaN;-1,5--1,0- 0,5--1,5;1;-1
Age.Months;Active.Developers;4740;5;1;22149;5;1;4;NaN; 0,0--0,5- 1,5--1,5;0,7071068;1
Age.Months;Active.Developers;4740;5;11;175;5;7;4;NaN;-1,5--1,0- 0,5--1,5;1;-1
Age.Months;Active.Developers;4740;5;5;586397;3;1;4;NaN; 0,0- 0,5--2,0- 1,0;1;0,5
Age.Months;Active.Developers;4740;5;8;4021;5;17;4;NaN; 1,0- 0,0--0,5--1,5;1;0
Age.Months;Active.Developers;4740;5;9;4021;6;30;4;NaN; 0,0--0,5--1,5--1,0;0,7071068;-0,5
Age.Months;Active.Developers;4740;5;5;4059;4;6;4;NaN; 0,0- 0,5--2,0- 1,0;2;0,5
Age.Months;Active.Developers;4740;5;9;4411;6;27;4;NaN; 0,0--0,5--1,5--1,0;0,5;-0,75
Age.Months;Active.Developers;4740;5;1;4936;6;8;4;NaN; 0,0--0,5- 1,5--1,5;0,7071068;0
Age.Months;Active.Developers;4740;5;10;5950;4;7;4;NaN;-0,5--1,5--1,0- 0,5;1;-0,5
Age.Months;Active.Developers;4740;5;12;7329;6;29;4;0;-1,0- 0,5--1,5--1,0;1;-0,5
Age.Months;Active.Developers;4740;5;11;8891;6;12;4;NaN;-1,5--1,0- 0,5--1,5;1;-1
Age.Months;Active.Developers;4740;5;5;8957;5;2;4;NaN; 0,0- 0,5--2,0- 1,0;1,414214;0
Age.Months;Active.Developers;4740;5;10;10822;4;1;4;NaN;-0,5--1,5--1,0- 0,5;1,414214;-1,5
Age.Months;Active.Developers;4740;5;9;11082;5;21;4;NaN; 0,0--0,5--1,5--1,0;1;-0,5
Age.Months;Active.Developers;4740;5;11;11187;5;12;4;NaN;-1,5--1,0- 0,5--1,5;1;-1
Age.Months;Active.Developers;4740;5;12;11992;5;21;4;0;-1,0- 0,5--1,5--1,0;1;-0,5
Age.Months;Active.Developers;4740;5;10;14564;6;40;4;NaN;-0,5--1,5--1,0- 0,5;0,7071068;-0,5
Age.Months;Active.Developers;4740;5;11;20605;4;8;4;NaN;-1,5--1,0- 0,5--1,5;1;-1
Age.Months;Active.Developers;4740;5;12;26779;4;2;4;0;-1,0- 0,5--1,5--1,0;1;-0,5
Age.Months;Active.Developers;4740;5;12;46370;4;9;4;0;-1,0- 0,5--1,5--1,0;1;-0,5
Age.Months;Active.Developers;4740;5;8;48277;3;2;4;NaN; 1,0- 0,0--0,5--1,5;1,414214;0,5
Age.Months;Active.Developers;4740;5;10;116294;5;10;4;NaN;-0,5--1,5--1,0- 0,5;0,7071068;-0,5
Age.Months;Active.Developers;4740;5;5;139581;5;7;4;NaN; 0,0- 0,5--2,0- 1,0;1;0
Age.Months;Active.Developers;4740;5;11;264758;4;2;4;NaN;-1,5--1,0- 0,5--1,5;1;-1
Age.Months;Active.Developers;4740;5;9;358104;5;3;4;NaN; 0,0--0,5--1,5--1,0;0,7071068;-0,5
Age.Months;Active.Developers;4740;5;4;260364;4;4;4;NaN;-1,5- 0,0- 0,5--2,0;1;-1,5
Age.Months;Active.Developers;4740;6;24;4740;6;27;4;NaN;-0,7071068- 1,4142136--0,7071068--0,7071068;3;1,414214
