Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Age.Months;LOC;23897;5;3;4411;6;20;4;NaN; 678,1154-2029,3965-5489,9770-3202,4866;2,707978;678,1154
Age.Months;LOC;7278;6;17;16234;4;5;4;0,004519087;16254,5-23817,5-23116,5-17135,0;0,6490035;14293,7
Age.Months;LOC;5730;7;40;4137;6;28;4;2,611914e-05;  53,03301-4487,29963- 766,50375-5292,69426;10,84948;-967,3086
Age.Months;LOC;6056;6;12;9132;6;9;4;0,004204654;329639,0- 16574,0- 92450,5-171893,5;7,003176;-19278,43
Age.Months;LOC;488862;6;8;14886;6;7;4;0,00379875;11018- 6913- 8562-10303;2,344375;3573,438
Age.Months;LOC;433;5;6;347856;4;1;4;0,004480656;3638,41794-  28,63782- 272,23611- 407,64706;0,07694163;-56,12664
Age.Months;LOC;76;5;7;28127;4;3;4;NaN;1033,083-1769,888-8736,304-3288,047;0,6452012;1033,083
Age.Months;LOC;3927;5;4;28127;4;10;4;0,004000166;402,5-758,0-796,0-722,5;0,1628613;319,8149
Age.Months;LOC;3592;5;7;27049;6;22;4;0,00353319; 21032,18-310576,85-105918,23- 47661,12;310,3373;20877,02
Age.Months;LOC;5002;5;7;371810;5;10;4;0,003675326;4088,5-1304,0-1590,5-1985,0;0,03926413;967,2929
Age.Months;LOC;5561;6;18;8576;6;10;4;0,003002327; 451,0-1408,5-3695,0-1336,0;0,5668102;418,9364
Age.Months;LOC;5561;6;12;8765;4;4;4;0,00169556;3999,0-2951,5-3246,0-6206,0;2,329228;2945,735
Age.Months;LOC;6869;6;22;29531;6;39;4;5,145329e-12;2,1213203-0,7071068-0,7071068-0,7071068;0,4;0,4242641
Age.Months;LOC;15549;6;36;22716;4;2;4;0,002887465;374,76659- 27,57716- 84,14571-115,25841;0,02399511;16,83699
Age.Months;LOC;16234;6;2;343974;6;3;4;0,002981126; 2610,5--1160,5- 1377,0-  256,0;1,649551;-1708,712
Age.Months;LOC;27332;5;1;46139;5;13;4;0,002181855;5776,0-  41,0-3604,0-2167,5;2,055187;-5877,939
