"";"X";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;1;"LOC.Churn";4740;"haar";1;57943,1580775504;6
"2";2;2;"LOC.Churn";4740;"haar";1;43438,2766750708;6
"3";3;3;"LOC.Churn";4740;"haar";1;227015,217886379;6
"4";4;4;"LOC.Churn";4740;"haar";1;113163,247940751;6
"5";5;5;"LOC.Churn";4740;"haar";1;1500,48058967785;6
"6";6;6;"LOC.Churn";4740;"haar";1;1774,13091399705;6
"7";7;7;"LOC.Churn";4740;"haar";1;2158,79700296253;6
"8";8;8;"LOC.Churn";4740;"haar";1;717,006276123159;6
"9";9;9;"LOC.Churn";4740;"haar";1;3131,77593387522;6
"10";10;10;"LOC.Churn";4740;"haar";1;1695,64206128534;6
"11";11;11;"LOC.Churn";4740;"haar";1;1001,26320216015;6
"12";12;12;"LOC.Churn";4740;"haar";1;9972,32693507388;6
"13";13;13;"LOC.Churn";4740;"haar";1;162281,006282313;6
"14";14;14;"LOC.Churn";4740;"haar";1;5687,96694786459;6
"15";15;15;"LOC.Churn";4740;"haar";1;1505,43033714616;6
"16";16;16;"LOC.Churn";4740;"haar";1;11998,1878631733;6
"17";17;17;"LOC.Churn";4740;"haar";1;1148,34141264695;6
"18";18;18;"LOC.Churn";4740;"haar";1;2673,57073966634;6
"19";19;19;"LOC.Churn";4740;"haar";1;1728,16897321992;6
"20";20;20;"LOC.Churn";4740;"haar";1;3169,95970005929;6
"21";21;21;"LOC.Churn";4740;"haar";1;34438,2215641284;6
"22";22;22;"LOC.Churn";4740;"haar";1;3735,64512500853;6
"23";23;23;"LOC.Churn";4740;"haar";1;9895,95940270573;6
"24";24;24;"LOC.Churn";4740;"haar";1;2242,94270992373;6
"25";25;25;"LOC.Churn";4740;"haar";1;3020,76016922893;6
"26";26;26;"LOC.Churn";4740;"haar";1;17319,8734983833;6
"27";27;27;"LOC.Churn";4740;"haar";1;32013,5524114397;6
"28";28;28;"LOC.Churn";4740;"haar";1;28103,9590182593;6
"29";29;29;"LOC.Churn";4740;"haar";1;2014,54721960047;6
"30";30;30;"LOC.Churn";4740;"haar";1;3585,0313806158;6
"31";31;31;"LOC.Churn";4740;"haar";1;40576,6155316088;6
"32";32;32;"LOC.Churn";4740;"haar";1;1359,05923344054;6
"33";33;1;"LOC.Churn";4740;"haar";2;71687,5;5
"34";34;2;"LOC.Churn";4740;"haar";2;240542,5;5
"35";35;3;"LOC.Churn";4740;"haar";2;2315,5;5
"36";36;4;"LOC.Churn";4740;"haar";2;2033,5;5
"37";37;5;"LOC.Churn";4740;"haar";2;3413,5;5
"38";38;6;"LOC.Churn";4740;"haar";2;7759,5;5
"39";39;7;"LOC.Churn";4740;"haar";2;118772;5
"40";40;8;"LOC.Churn";4740;"haar";2;9548,5;5
"41";41;9;"LOC.Churn";4740;"haar";2;2702,5;5
"42";42;10;"LOC.Churn";4740;"haar";2;3463,5;5
"43";43;11;"LOC.Churn";4740;"haar";2;26993;5
"44";44;12;"LOC.Churn";4740;"haar";2;8583,5;5
"45";45;13;"LOC.Churn";4740;"haar";2;14383;5
"46";46;14;"LOC.Churn";4740;"haar";2;42509,5;5
"47";47;15;"LOC.Churn";4740;"haar";2;3959,5;5
"48";48;16;"LOC.Churn";4740;"haar";2;29653;5
"49";49;1;"LOC.Churn";4740;"haar";3;220779,950289876;4
"50";50;2;"LOC.Churn";4740;"haar";3;3075,20739138029;4
"51";51;3;"LOC.Churn";4740;"haar";3;7900,50406619729;4
"52";52;4;"LOC.Churn";4740;"haar";3;90736,2957152484;4
"53";53;5;"LOC.Churn";4740;"haar";3;4360,02041279625;4
"54";54;6;"LOC.Churn";4740;"haar";3;25156,3844008832;4
"55";55;7;"LOC.Churn";4740;"haar";3;40229,0725486556;4
"56";56;8;"LOC.Churn";4740;"haar";3;23767,6266826328;4
"57";57;1;"LOC.Churn";4740;"haar";4;158289,5;3
"58";58;2;"LOC.Churn";4740;"haar";4;69746,75;3
"59";59;3;"LOC.Churn";4740;"haar";4;20871,25;3
"60";60;4;"LOC.Churn";4740;"haar";4;45252,5;3
"61";1;1;"LOC.Churn";585077;"haar";1;12734,9931291697;4
"62";2;2;"LOC.Churn";585077;"haar";1;3237,8419510532;4
"63";3;3;"LOC.Churn";585077;"haar";1;152112,103662069;4
"64";4;4;"LOC.Churn";585077;"haar";1;167464,806095191;4
"65";5;5;"LOC.Churn";585077;"haar";1;0;4
"66";6;6;"LOC.Churn";585077;"haar";1;0;4
"67";7;7;"LOC.Churn";585077;"haar";1;0;4
"68";8;8;"LOC.Churn";585077;"haar";1;0;4
"69";9;9;"LOC.Churn";585077;"haar";1;0;4
"70";10;10;"LOC.Churn";585077;"haar";1;0;4
"71";11;11;"LOC.Churn";585077;"haar";1;0;4
"72";12;12;"LOC.Churn";585077;"haar";1;0;4
"73";13;1;"LOC.Churn";585077;"haar";2;11294,5;3
"74";14;2;"LOC.Churn";585077;"haar";2;225975;3
"75";15;3;"LOC.Churn";585077;"haar";2;0;3
"76";16;4;"LOC.Churn";585077;"haar";2;0;3
"77";17;5;"LOC.Churn";585077;"haar";2;0;3
"78";18;6;"LOC.Churn";585077;"haar";2;0;3
"79";19;1;"LOC.Churn";585077;"haar";3;167774,872418741;2
"80";20;2;"LOC.Churn";585077;"haar";3;0;2
"81";21;3;"LOC.Churn";585077;"haar";3;0;2
"82";1;1;"LOC.Churn";3429;"haar";1;210024,856148028;6
"83";2;2;"LOC.Churn";3429;"haar";1;103821,660254496;6
"84";3;3;"LOC.Churn";3429;"haar";1;116158,552265858;6
"85";4;4;"LOC.Churn";3429;"haar";1;83758,9195518901;6
"86";5;5;"LOC.Churn";3429;"haar";1;58566,1191517758;6
"87";6;6;"LOC.Churn";3429;"haar";1;64880,5827077717;6
"88";7;7;"LOC.Churn";3429;"haar";1;100098,035944768;6
"89";8;8;"LOC.Churn";3429;"haar";1;63747,0905375296;6
"90";9;9;"LOC.Churn";3429;"haar";1;277407,182647638;6
"91";10;10;"LOC.Churn";3429;"haar";1;97065,2549602585;6
"92";11;11;"LOC.Churn";3429;"haar";1;510365,63302989;6
"93";12;12;"LOC.Churn";3429;"haar";1;662003,975148564;6
"94";13;13;"LOC.Churn";3429;"haar";1;2994813,59300007;6
"95";14;14;"LOC.Churn";3429;"haar";1;9770735,03439828;6
"96";15;15;"LOC.Churn";3429;"haar";1;542454,845866916;6
"97";16;16;"LOC.Churn";3429;"haar";1;51650,6148317714;6
"98";17;17;"LOC.Churn";3429;"haar";1;210059,504380306;6
"99";18;18;"LOC.Churn";3429;"haar";1;163251,863892882;6
"100";19;19;"LOC.Churn";3429;"haar";1;378992,264153241;6
"101";20;20;"LOC.Churn";3429;"haar";1;70783,510117117;6
"102";21;21;"LOC.Churn";3429;"haar";1;110884,242784987;6
"103";22;22;"LOC.Churn";3429;"haar";1;126367,052865848;6
"104";23;23;"LOC.Churn";3429;"haar";1;103014,851417162;6
"105";24;24;"LOC.Churn";3429;"haar";1;50901,7887504948;6
"106";25;25;"LOC.Churn";3429;"haar";1;100716,047271525;6
"107";26;26;"LOC.Churn";3429;"haar";1;340102,098294762;6
"108";27;27;"LOC.Churn";3429;"haar";1;57552,8351343355;6
"109";28;28;"LOC.Churn";3429;"haar";1;184300,311448462;6
"110";29;29;"LOC.Churn";3429;"haar";1;171965,540757444;6
"111";30;30;"LOC.Churn";3429;"haar";1;90207,7333963114;6
"112";31;31;"LOC.Churn";3429;"haar";1;30202,651944821;6
"113";32;32;"LOC.Churn";3429;"haar";1;156390,099688248;6
"114";33;33;"LOC.Churn";3429;"haar";1;65841,5408234042;6
"115";34;34;"LOC.Churn";3429;"haar";1;170670,12113431;6
"116";35;35;"LOC.Churn";3429;"haar";1;44517,3216231615;6
"117";36;36;"LOC.Churn";3429;"haar";1;152019,472673733;6
"118";37;37;"LOC.Churn";3429;"haar";1;201830,195660857;6
"119";38;38;"LOC.Churn";3429;"haar";1;177495,822893104;6
"120";39;39;"LOC.Churn";3429;"haar";1;49991,7423231077;6
"121";40;40;"LOC.Churn";3429;"haar";1;21509,4811769136;6
"122";41;41;"LOC.Churn";3429;"haar";1;12854,4941751902;6
"123";42;42;"LOC.Churn";3429;"haar";1;8222,94475841836;6
"124";43;43;"LOC.Churn";3429;"haar";1;17521,3989310215;6
"125";44;44;"LOC.Churn";3429;"haar";1;5802,51824641681;6
"126";45;45;"LOC.Churn";3429;"haar";1;2823,47737727788;6
"127";46;46;"LOC.Churn";3429;"haar";1;8494,47376239399;6
"128";47;47;"LOC.Churn";3429;"haar";1;21855,2563929138;6
"129";48;48;"LOC.Churn";3429;"haar";1;21,2132034355964;6
"130";49;49;"LOC.Churn";3429;"haar";1;0;6
"131";50;50;"LOC.Churn";3429;"haar";1;354,26049737446;6
"132";51;51;"LOC.Churn";3429;"haar";1;0;6
"133";52;1;"LOC.Churn";3429;"haar";2;155549,5;5
"134";53;2;"LOC.Churn";3429;"haar";2;100639;5
"135";54;3;"LOC.Churn";3429;"haar";2;116657,5;5
"136";55;4;"LOC.Churn";3429;"haar";2;241232,5;5
"137";56;5;"LOC.Churn";3429;"haar";2;429518,5;5
"138";57;6;"LOC.Churn";3429;"haar";2;2585760,5;5
"139";58;7;"LOC.Churn";3429;"haar";2;7292526,5;5
"140";59;8;"LOC.Churn";3429;"haar";2;185057;5
"141";60;9;"LOC.Churn";3429;"haar";2;383424,5;5
"142";61;10;"LOC.Churn";3429;"haar";2;128458,5;5
"143";62;11;"LOC.Churn";3429;"haar";2;162197,5;5
"144";63;12;"LOC.Churn";3429;"haar";2;107210;5
"145";64;13;"LOC.Churn";3429;"haar";2;281184,5;5
"146";65;14;"LOC.Churn";3429;"haar";2;251918;5
"147";66;15;"LOC.Churn";3429;"haar";2;85143;5
"148";67;16;"LOC.Churn";3429;"haar";2;157141,5;5
"149";68;17;"LOC.Churn";3429;"haar";2;152160,5;5
"150";69;18;"LOC.Churn";3429;"haar";2;250209,5;5
"151";70;19;"LOC.Churn";3429;"haar";2;160858;5
"152";71;20;"LOC.Churn";3429;"haar";2;24299;5
"153";72;21;"LOC.Churn";3429;"haar";2;18204;5
"154";73;22;"LOC.Churn";3429;"haar";2;6099,5;5
"155";74;23;"LOC.Churn";3429;"haar";2;21460,5;5
"156";75;24;"LOC.Churn";3429;"haar";2;15;5
"157";76;25;"LOC.Churn";3429;"haar";2;250,5;5
"158";77;1;"LOC.Churn";3429;"haar";3;153651,828678103;4
"159";78;2;"LOC.Churn";3429;"haar";3;474292,580587658;4
"160";79;3;"LOC.Churn";3429;"haar";3;6985003,72420692;4
"161";80;4;"LOC.Churn";3429;"haar";3;401977,1236291;4
"162";81;5;"LOC.Churn";3429;"haar";3;205524,828592557;4
"163";82;6;"LOC.Churn";3429;"haar";3;274636,384725558;4
"164";83;7;"LOC.Churn";3429;"haar";3;238338,118773519;4
"165";84;8;"LOC.Churn";3429;"haar";3;218709,541634561;4
"166";85;9;"LOC.Churn";3429;"haar";3;290668,616775401;4
"167";86;10;"LOC.Churn";3429;"haar";3;30054,1595207718;4
"168";87;11;"LOC.Churn";3429;"haar";3;19487,8628895012;4
"169";88;12;"LOC.Churn";3429;"haar";3;187,736850405028;4
"170";89;1;"LOC.Churn";3429;"haar";4;444023,75;3
"171";90;2;"LOC.Churn";3429;"haar";4;5223384,25;3
"172";91;3;"LOC.Churn";3429;"haar";4;339525,25;3
"173";92;4;"LOC.Churn";3429;"haar";4;323181,5;3
"174";93;5;"LOC.Churn";3429;"haar";4;226785,25;3
"175";94;6;"LOC.Churn";3429;"haar";4;13912,75;3
"176";95;1;"LOC.Churn";3429;"haar";5;4007462,62855089;2
"177";96;2;"LOC.Churn";3429;"haar";5;468604,436863098;2
"178";97;3;"LOC.Churn";3429;"haar";5;170199,18801804;2
"179";1;1;"LOC.Churn";346391;"haar";1;0;5
"180";2;2;"LOC.Churn";346391;"haar";1;637,103209849079;5
"181";3;3;"LOC.Churn";346391;"haar";1;0;5
"182";4;4;"LOC.Churn";346391;"haar";1;1137,73481092915;5
"183";5;5;"LOC.Churn";346391;"haar";1;4,24264068711928;5
"184";6;6;"LOC.Churn";346391;"haar";1;0;5
"185";7;7;"LOC.Churn";346391;"haar";1;2,12132034355964;5
"186";8;8;"LOC.Churn";346391;"haar";1;0;5
"187";9;9;"LOC.Churn";346391;"haar";1;0;5
"188";10;10;"LOC.Churn";346391;"haar";1;2,12132034355964;5
"189";11;11;"LOC.Churn";346391;"haar";1;192,333044482741;5
"190";12;12;"LOC.Churn";346391;"haar";1;0;5
"191";13;13;"LOC.Churn";346391;"haar";1;110,308657865101;5
"192";14;14;"LOC.Churn";346391;"haar";1;0;5
"193";15;15;"LOC.Churn";346391;"haar";1;11,3137084989848;5
"194";16;16;"LOC.Churn";346391;"haar";1;0;5
"195";17;17;"LOC.Churn";346391;"haar";1;0;5
"196";18;18;"LOC.Churn";346391;"haar";1;0;5
"197";19;19;"LOC.Churn";346391;"haar";1;0;5
"198";20;20;"LOC.Churn";346391;"haar";1;0;5
"199";21;21;"LOC.Churn";346391;"haar";1;0;5
"200";22;22;"LOC.Churn";346391;"haar";1;0;5
"201";23;23;"LOC.Churn";346391;"haar";1;0;5
"202";24;24;"LOC.Churn";346391;"haar";1;81,317279836453;5
"203";25;1;"LOC.Churn";346391;"haar";2;450,5;4
"204";26;2;"LOC.Churn";346391;"haar";2;804,5;4
"205";27;3;"LOC.Churn";346391;"haar";2;3;4
"206";28;4;"LOC.Churn";346391;"haar";2;1,5;4
"207";29;5;"LOC.Churn";346391;"haar";2;1,5;4
"208";30;6;"LOC.Churn";346391;"haar";2;136;4
"209";31;7;"LOC.Churn";346391;"haar";2;78;4
"210";32;8;"LOC.Churn";346391;"haar";2;8;4
"211";33;9;"LOC.Churn";346391;"haar";2;0;4
"212";34;10;"LOC.Churn";346391;"haar";2;0;4
"213";35;11;"LOC.Churn";346391;"haar";2;0;4
"214";36;12;"LOC.Churn";346391;"haar";2;57,5;4
"215";37;1;"LOC.Churn";346391;"haar";3;887,419010389117;3
"216";38;2;"LOC.Churn";346391;"haar";3;3,18198051533946;3
"217";39;3;"LOC.Churn";346391;"haar";3;97,2271824131502;3
"218";40;4;"LOC.Churn";346391;"haar";3;60,8111831820431;3
"219";41;5;"LOC.Churn";346391;"haar";3;0;3
"220";42;6;"LOC.Churn";346391;"haar";3;40,6586399182265;3
"221";43;1;"LOC.Churn";346391;"haar";4;629,75;2
"222";44;2;"LOC.Churn";346391;"haar";4;111,75;2
"223";45;3;"LOC.Churn";346391;"haar";4;28,75;2
"224";1;1;"LOC.Churn";4673;"haar";1;10197,8939982724;6
"225";2;2;"LOC.Churn";4673;"haar";1;34934,6105245214;6
"226";3;3;"LOC.Churn";4673;"haar";1;5132,18101785196;6
"227";4;4;"LOC.Churn";4673;"haar";1;767,917964368591;6
"228";5;5;"LOC.Churn";4673;"haar";1;6475,6839021064;6
"229";6;6;"LOC.Churn";4673;"haar";1;524,673231640418;6
"230";7;7;"LOC.Churn";4673;"haar";1;20,5060966544099;6
"231";8;8;"LOC.Churn";4673;"haar";1;631,446355599587;6
"232";9;9;"LOC.Churn";4673;"haar";1;1538,66435586193;6
"233";10;10;"LOC.Churn";4673;"haar";1;2943,6855300796;6
"234";11;11;"LOC.Churn";4673;"haar";1;4902,37131396633;6
"235";12;12;"LOC.Churn";4673;"haar";1;3045,50890657046;6
"236";13;13;"LOC.Churn";4673;"haar";1;5308,25060636741;6
"237";14;14;"LOC.Churn";4673;"haar";1;1485,63134727294;6
"238";15;15;"LOC.Churn";4673;"haar";1;640,638743755012;6
"239";16;16;"LOC.Churn";4673;"haar";1;0;6
"240";17;17;"LOC.Churn";4673;"haar";1;0;6
"241";18;18;"LOC.Churn";4673;"haar";1;0;6
"242";19;19;"LOC.Churn";4673;"haar";1;0;6
"243";20;20;"LOC.Churn";4673;"haar";1;0;6
"244";21;21;"LOC.Churn";4673;"haar";1;0;6
"245";22;22;"LOC.Churn";4673;"haar";1;0;6
"246";23;23;"LOC.Churn";4673;"haar";1;81,317279836453;6
"247";24;24;"LOC.Churn";4673;"haar";1;1884,43957186215;6
"248";25;25;"LOC.Churn";4673;"haar";1;1434,7196590275;6
"249";26;26;"LOC.Churn";4673;"haar";1;164,048773235279;6
"250";27;27;"LOC.Churn";4673;"haar";1;0;6
"251";28;28;"LOC.Churn";4673;"haar";1;0;6
"252";29;29;"LOC.Churn";4673;"haar";1;0;6
"253";30;30;"LOC.Churn";4673;"haar";1;0;6
"254";31;31;"LOC.Churn";4673;"haar";1;0;6
"255";32;32;"LOC.Churn";4673;"haar";1;0;6
"256";33;33;"LOC.Churn";4673;"haar";1;0;6
"257";34;34;"LOC.Churn";4673;"haar";1;0;6
"258";35;35;"LOC.Churn";4673;"haar";1;0;6
"259";36;36;"LOC.Churn";4673;"haar";1;392,444263558534;6
"260";37;37;"LOC.Churn";4673;"haar";1;3407,54757853797;6
"261";38;38;"LOC.Churn";4673;"haar";1;0;6
"262";39;39;"LOC.Churn";4673;"haar";1;4,24264068711928;6
"263";40;40;"LOC.Churn";4673;"haar";1;0;6
"264";41;41;"LOC.Churn";4673;"haar";1;0;6
"265";42;1;"LOC.Churn";4673;"haar";2;28331,5;5
"266";43;2;"LOC.Churn";4673;"haar";2;5122;5
"267";44;3;"LOC.Churn";4673;"haar";2;385,5;5
"268";45;4;"LOC.Churn";4673;"haar";2;1534,5;5
"269";46;5;"LOC.Churn";4673;"haar";2;5548;5
"270";47;6;"LOC.Churn";4673;"haar";2;5907;5
"271";48;7;"LOC.Churn";4673;"haar";2;1503,5;5
"272";49;8;"LOC.Churn";4673;"haar";2;0;5
"273";50;9;"LOC.Churn";4673;"haar";2;0;5
"274";51;10;"LOC.Churn";4673;"haar";2;0;5
"275";52;11;"LOC.Churn";4673;"haar";2;57,5;5
"276";53;12;"LOC.Churn";4673;"haar";2;2347;5
"277";54;13;"LOC.Churn";4673;"haar";2;116;5
"278";55;14;"LOC.Churn";4673;"haar";2;0;5
"279";56;15;"LOC.Churn";4673;"haar";2;0;5
"280";57;16;"LOC.Churn";4673;"haar";2;0;5
"281";58;17;"LOC.Churn";4673;"haar";2;0;5
"282";59;18;"LOC.Churn";4673;"haar";2;2687;5
"283";60;19;"LOC.Churn";4673;"haar";2;3;5
"284";61;20;"LOC.Churn";4673;"haar";2;0;5
"285";62;1;"LOC.Churn";4673;"haar";3;23655,1967044242;4
"286";63;2;"LOC.Churn";4673;"haar";3;1357,64501987817;4
"287";64;3;"LOC.Churn";4673;"haar";3;8099,9081784919;4
"288";65;4;"LOC.Churn";4673;"haar";3;1063,13504551397;4
"289";66;5;"LOC.Churn";4673;"haar";3;0;4
"290";67;6;"LOC.Churn";4673;"haar";3;1700,23825536305;4
"291";68;7;"LOC.Churn";4673;"haar";3;82,0243866176395;4
"292";69;8;"LOC.Churn";4673;"haar";3;0;4
"293";70;9;"LOC.Churn";4673;"haar";3;1899,99592104825;4
"294";71;10;"LOC.Churn";4673;"haar";3;2,12132034355964;4
"295";72;1;"LOC.Churn";4673;"haar";4;17686,75;3
"296";73;2;"LOC.Churn";4673;"haar";4;6479,25;3
"297";74;3;"LOC.Churn";4673;"haar";4;1202,25;3
"298";75;4;"LOC.Churn";4673;"haar";4;58;3
"299";76;5;"LOC.Churn";4673;"haar";4;1345;3
"300";1;1;"LOC.Churn";472388;"haar";1;211801,108382369;5
"301";2;2;"LOC.Churn";472388;"haar";1;26846,0160545285;5
"302";3;3;"LOC.Churn";472388;"haar";1;27455,5420999113;5
"303";4;4;"LOC.Churn";472388;"haar";1;19727,5720883235;5
"304";5;5;"LOC.Churn";472388;"haar";1;24925,5140368258;5
"305";6;6;"LOC.Churn";472388;"haar";1;18410,9392617541;5
"306";7;7;"LOC.Churn";472388;"haar";1;22147,998600325;5
"307";8;8;"LOC.Churn";472388;"haar";1;36198,2103425017;5
"308";9;9;"LOC.Churn";472388;"haar";1;38870,3668686057;5
