"";"X";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;1;"LOC";4740;"haar";1;71604,4610900745;6
"2";2;2;"LOC";4740;"haar";1;42274,3789132377;6
"3";3;3;"LOC";4740;"haar";1;74027,7160292008;6
"4";4;4;"LOC";4740;"haar";1;119945,816185893;6
"5";5;5;"LOC";4740;"haar";1;121278,005361648;6
"6";6;6;"LOC";4740;"haar";1;122345,73660124;6
"7";7;7;"LOC";4740;"haar";1;124136,130971204;6
"8";8;8;"LOC";4740;"haar";1;125415,994245152;6
"9";9;9;"LOC";4740;"haar";1;127005,570289259;6
"10";10;10;"LOC";4740;"haar";1;128343,416319264;6
"11";11;11;"LOC";4740;"haar";1;128716,768699731;6
"12";12;12;"LOC";4740;"haar";1;131322,457188403;6
"13";13;13;"LOC";4740;"haar";1;169216,30959219;6
"14";14;14;"LOC";4740;"haar";1;175583,099049994;6
"15";15;15;"LOC";4740;"haar";1;178100,399191018;6
"16";16;16;"LOC";4740;"haar";1;181096,410622905;6
"17";17;17;"LOC";4740;"haar";1;183685,128548829;6
"18";18;18;"LOC";4740;"haar";1;185428,146764454;6
"19";19;19;"LOC";4740;"haar";1;186884,079626917;6
"20";20;20;"LOC";4740;"haar";1;190244,958157897;6
"21";21;21;"LOC";4740;"haar";1;252764,511323287;6
"22";22;22;"LOC";4740;"haar";1;258739,563624313;6
"23";23;23;"LOC";4740;"haar";1;263242,419606909;6
"24";24;24;"LOC";4740;"haar";1;265575,871984825;6
"25";25;25;"LOC";4740;"haar";1;268747,953005227;6
"26";26;26;"LOC";4740;"haar";1;284310,666152362;6
"27";27;27;"LOC";4740;"haar";1;286255,209800625;6
"28";28;28;"LOC";4740;"haar";1;269652,342578365;6
"29";29;29;"LOC";4740;"haar";1;268055,695466446;6
"30";30;30;"LOC";4740;"haar";1;269655,17100549;6
"31";31;31;"LOC";4740;"haar";1;281579,81976342;6
"32";32;32;"LOC";4740;"haar";1;283576,689313491;6
"33";33;1;"LOC";4740;"haar";2;80524,5;5
"34";34;2;"LOC";4740;"haar";2;137160;5
"35";35;3;"LOC";4740;"haar";2;172268;5
"36";36;4;"LOC";4740;"haar";2;176460;5
"37";37;5;"LOC";4740;"haar";2;180559;5
"38";38;6;"LOC";4740;"haar";2;183875,5;5
"39";39;7;"LOC";4740;"haar";2;243810;5
"40";40;8;"LOC";4740;"haar";2;253990,5;5
"41";41;9;"LOC";4740;"haar";2;261002,5;5
"42";42;10;"LOC";4740;"haar";2;266670,5;5
"43";43;11;"LOC";4740;"haar";2;361688;5
"44";44;12;"LOC";4740;"haar";2;373931;5
"45";45;13;"LOC";4740;"haar";2;391071,5;5
"46";46;14;"LOC";4740;"haar";2;393086;5
"47";47;15;"LOC";4740;"haar";2;380219;5
"48";48;16;"LOC";4740;"haar";2;399626;5
"49";49;1;"LOC";4740;"haar";3;153926,186109203;4
"50";50;2;"LOC";4740;"haar";3;246587,933589622;4
"51";51;3;"LOC";4740;"haar";3;257694,106248329;4
"52";52;4;"LOC";4740;"haar";3;351998,109228054;4
"53";53;5;"LOC";4740;"haar";3;373121,156549049;4
"54";54;6;"LOC";4740;"haar";3;520161,183269667;4
"55";55;7;"LOC";4740;"haar";3;554483,08576829;4
"56";56;8;"LOC";4740;"haar";3;551433,687774423;4
"57";57;1;"LOC";4740;"haar";4;283206,25;3
"58";58;2;"LOC";4740;"haar";4;431117,5;3
"59";59;3;"LOC";4740;"haar";4;631646;3
"60";60;4;"LOC";4740;"haar";4;782001,25;3
"61";1;1;"LOC";585077;"haar";1;10948,1342931113;4
"62";2;2;"LOC";585077;"haar";1;12994,5013178652;4
"63";3;3;"LOC";585077;"haar";1;164012,003682657;4
"64";4;4;"LOC";585077;"haar";1;168828,8150761;4
"65";5;5;"LOC";585077;"haar";1;17594,2309294837;4
"66";6;6;"LOC";585077;"haar";1;17594,2309294837;4
"67";7;7;"LOC";585077;"haar";1;17594,2309294837;4
"68";8;8;"LOC";585077;"haar";1;17594,2309294837;4
"69";9;9;"LOC";585077;"haar";1;17594,2309294837;4
"70";10;10;"LOC";585077;"haar";1;17594,2309294837;4
"71";11;11;"LOC";585077;"haar";1;17594,2309294837;4
"72";12;12;"LOC";585077;"haar";1;17594,2309294837;4
"73";13;1;"LOC";585077;"haar";2;16930;3
"74";14;2;"LOC";585077;"haar";2;235354;3
"75";15;3;"LOC";585077;"haar";2;24882;3
"76";16;4;"LOC";585077;"haar";2;24882;3
"77";17;5;"LOC";585077;"haar";2;24882;3
"78";18;6;"LOC";585077;"haar";2;24882;3
"79";19;1;"LOC";585077;"haar";3;178391,727184867;2
"80";20;2;"LOC";585077;"haar";3;35188,4618589673;2
"81";21;3;"LOC";585077;"haar";3;35188,4618589673;2
"82";1;1;"LOC";3429;"haar";1;241021,589008122;6
"83";2;2;"LOC";3429;"haar";1;361603,801297083;6
"84";3;3;"LOC";3429;"haar";1;238082,146118729;6
"85";4;4;"LOC";3429;"haar";1;275590,62532677;6
"86";5;5;"LOC";3429;"haar";1;358218,174028761;6
"87";6;6;"LOC";3429;"haar";1;473181,008727633;6
"88";7;7;"LOC";3429;"haar";1;608231,332866451;6
"89";8;8;"LOC";3429;"haar";1;625776,773428033;6
"90";9;9;"LOC";3429;"haar";1;642190,843139716;6
"91";10;10;"LOC";3429;"haar";1;670617,949956978;6
"92";11;11;"LOC";3429;"haar";1;835419,084807439;6
"93";12;12;"LOC";3429;"haar";1;1018247,90704425;6
"94";13;13;"LOC";3429;"haar";1;3514686,9838098;6
"95";14;14;"LOC";3429;"haar";1;829434,840118258;6
