"";"X";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;1;"Active.Developers";4740;"haar";1;-0,707106781186547;6
"2";2;2;"Active.Developers";4740;"haar";1;0,707106781186547;6
"3";3;3;"Active.Developers";4740;"haar";1;0,707106781186547;6
"4";4;4;"Active.Developers";4740;"haar";1;0;6
"5";5;5;"Active.Developers";4740;"haar";1;-0,707106781186547;6
"6";6;6;"Active.Developers";4740;"haar";1;0;6
"7";7;7;"Active.Developers";4740;"haar";1;1,41421356237309;6
"8";8;8;"Active.Developers";4740;"haar";1;-2,12132034355964;6
"9";9;9;"Active.Developers";4740;"haar";1;0,707106781186547;6
"10";10;10;"Active.Developers";4740;"haar";1;-0,707106781186547;6
"11";11;11;"Active.Developers";4740;"haar";1;0;6
"12";12;12;"Active.Developers";4740;"haar";1;0,707106781186547;6
"13";13;13;"Active.Developers";4740;"haar";1;-0,707106781186547;6
"14";14;14;"Active.Developers";4740;"haar";1;-0,707106781186547;6
"15";15;15;"Active.Developers";4740;"haar";1;0;6
"16";16;16;"Active.Developers";4740;"haar";1;0;6
"17";17;17;"Active.Developers";4740;"haar";1;0;6
"18";18;18;"Active.Developers";4740;"haar";1;0;6
"19";19;19;"Active.Developers";4740;"haar";1;0;6
"20";20;20;"Active.Developers";4740;"haar";1;0,707106781186547;6
"21";21;21;"Active.Developers";4740;"haar";1;1,41421356237309;6
"22";22;22;"Active.Developers";4740;"haar";1;0,707106781186547;6
"23";23;23;"Active.Developers";4740;"haar";1;-0,707106781186547;6
"24";24;24;"Active.Developers";4740;"haar";1;-0,707106781186547;6
"25";25;25;"Active.Developers";4740;"haar";1;1,41421356237309;6
"26";26;26;"Active.Developers";4740;"haar";1;-0,707106781186547;6
"27";27;27;"Active.Developers";4740;"haar";1;-0,707106781186547;6
"28";28;28;"Active.Developers";4740;"haar";1;0;6
"29";29;29;"Active.Developers";4740;"haar";1;-0,707106781186547;6
"30";30;30;"Active.Developers";4740;"haar";1;-0,707106781186547;6
"31";31;31;"Active.Developers";4740;"haar";1;1,41421356237309;6
"32";32;32;"Active.Developers";4740;"haar";1;0;6
"33";33;1;"Active.Developers";4740;"haar";2;0;5
"34";34;2;"Active.Developers";4740;"haar";2;-0,5;5
"35";35;3;"Active.Developers";4740;"haar";2;1,5;5
"36";36;4;"Active.Developers";4740;"haar";2;-1,5;5
"37";37;5;"Active.Developers";4740;"haar";2;0;5
"38";38;6;"Active.Developers";4740;"haar";2;0,5;5
"39";39;7;"Active.Developers";4740;"haar";2;-2;5
"40";40;8;"Active.Developers";4740;"haar";2;1;5
"41";41;9;"Active.Developers";4740;"haar";2;0;5
"42";42;10;"Active.Developers";4740;"haar";2;-0,5;5
"43";43;11;"Active.Developers";4740;"haar";2;-1,5;5
"44";44;12;"Active.Developers";4740;"haar";2;-1;5
"45";45;13;"Active.Developers";4740;"haar";2;0,5;5
"46";46;14;"Active.Developers";4740;"haar";2;-1,5;5
"47";47;15;"Active.Developers";4740;"haar";2;-1;5
"48";48;16;"Active.Developers";4740;"haar";2;0;5
"49";49;1;"Active.Developers";4740;"haar";3;1,06066017177982;4
"50";50;2;"Active.Developers";4740;"haar";3;1,41421356237309;4
"51";51;3;"Active.Developers";4740;"haar";3;-0,353553390593274;4
"52";52;4;"Active.Developers";4740;"haar";3;0;4
