"";"X";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;1;"LOC.Churn";4740;"haar";1;-57943,1580775504;6
"2";2;2;"LOC.Churn";4740;"haar";1;43438,2766750708;6
"3";3;3;"LOC.Churn";4740;"haar";1;208911,870074441;6
"4";4;4;"LOC.Churn";4740;"haar";1;-113079,809340571;6
"5";5;5;"LOC.Churn";4740;"haar";1;-752,361615182487;6
"6";6;6;"LOC.Churn";4740;"haar";1;269,407683632075;6
"7";7;7;"LOC.Churn";4740;"haar";1;987,828173317607;6
"8";8;8;"LOC.Churn";4740;"haar";1;-195,161471607487;6
"9";9;9;"LOC.Churn";4740;"haar";1;-1167,43329573899;6
"10";10;10;"LOC.Churn";4740;"haar";1;-1281,27748751002;6
"11";11;11;"LOC.Churn";4740;"haar";1;547,300648638388;6
"12";12;12;"LOC.Churn";4740;"haar";1;8316,28285353499;6
"13";13;13;"LOC.Churn";4740;"haar";1;-155679,457373155;6
"14";14;14;"LOC.Churn";4740;"haar";1;1120,05714139949;6
"15";15;15;"LOC.Churn";4740;"haar";1;-931,259630822683;6
"16";16;16;"LOC.Churn";4740;"haar";1;-7355,32473790247;6
"17";17;17;"LOC.Churn";4740;"haar";1;305,470129472589;6
"18";18;18;"LOC.Churn";4740;"haar";1;-2312,9462812612;6
"19";19;19;"LOC.Churn";4740;"haar";1;1018,23376490863;6
"20";20;20;"LOC.Churn";4740;"haar";1;-51,6187950266178;6
"21";21;21;"LOC.Churn";4740;"haar";1;-26121,2316038123;6
"22";22;22;"LOC.Churn";4740;"haar";1;2643,8722548565;6
"23";23;23;"LOC.Churn";4740;"haar";1;7208,95363419685;6
"24";24;24;"LOC.Churn";4740;"haar";1;-289,913780286484;6
"25";25;25;"LOC.Churn";4740;"haar";1;1616,44610179245;6
"26";26;26;"LOC.Churn";4740;"haar";1;12290,9300705846;6
"27";27;27;"LOC.Churn";4740;"haar";1;3870,70252021516;6
"28";28;28;"LOC.Churn";4740;"haar";1;26433,7728010967;6
"29";29;29;"LOC.Churn";4740;"haar";1;-934,088057947429;6
"30";30;30;"LOC.Churn";4740;"haar";1;2538,51334445971;6
"31";31;31;"LOC.Churn";4740;"haar";1;-36353,7738343628;6
"32";32;32;"LOC.Churn";4740;"haar";1;-91,9238815542512;6
"33";33;1;"LOC.Churn";4740;"haar";2;-10256,5;5
"34";34;2;"LOC.Churn";4740;"haar";2;-80505,5;5
"35";35;3;"LOC.Churn";4740;"haar";2;193,5;5
"36";36;4;"LOC.Churn";4740;"haar";2;-1019,5;5
"37";37;5;"LOC.Churn";4740;"haar";2;-1015,5;5
"38";38;6;"LOC.Churn";4740;"haar";2;6343,5;5
"39";39;7;"LOC.Churn";4740;"haar";2;-110728;5
"40";40;8;"LOC.Churn";4740;"haar";2;7419,5;5
"41";41;9;"LOC.Churn";4740;"haar";2;1078,5;5
"42";42;10;"LOC.Churn";4740;"haar";2;1019,5;5
"43";43;11;"LOC.Churn";4740;"haar";2;-21710;5
"44";44;12;"LOC.Churn";4740;"haar";2;-5411,5;5
"45";45;13;"LOC.Churn";4740;"haar";2;10111;5
"46";46;14;"LOC.Churn";4740;"haar";2;-2764,5;5
"47";47;15;"LOC.Churn";4740;"haar";2;1110,5;5
"48";48;16;"LOC.Churn";4740;"haar";2;-27731;5
"49";49;1;"LOC.Churn";4740;"haar";3;119398,515537254;4
"50";50;2;"LOC.Churn";4740;"haar";3;-199,404112294606;4
"51";51;3;"LOC.Churn";4740;"haar";3;3073,08607103674;4
"52";52;4;"LOC.Churn";4740;"haar";3;-77232,6775149289;4
"53";53;5;"LOC.Churn";4740;"haar";3;538,108260482962;4
"54";54;6;"LOC.Churn";4740;"haar";3;-13017,4822882537;4
"55";55;7;"LOC.Churn";4740;"haar";3;19888,4388810434;4
"56";56;8;"LOC.Churn";4740;"haar";3;18168,0480824166;4
"57";57;1;"LOC.Churn";4740;"haar";4;-153940,5;3
"58";58;2;"LOC.Churn";4740;"haar";4;58573,75;3
"59";59;3;"LOC.Churn";4740;"haar";4;14705,25;3
"60";60;4;"LOC.Churn";4740;"haar";4;-11640;3
"61";1;1;"LOC.Churn";585077;"haar";1;-11242,9978208661;4
"62";2;2;"LOC.Churn";585077;"haar";1;2963,48451995282;4
"63";3;3;"LOC.Churn";585077;"haar";1;145735,414709329;4
"64";4;4;"LOC.Churn";585077;"haar";1;143973,304610612;4
"65";5;5;"LOC.Churn";585077;"haar";1;0;4
"66";6;6;"LOC.Churn";585077;"haar";1;0;4
"67";7;7;"LOC.Churn";585077;"haar";1;0;4
"68";8;8;"LOC.Churn";585077;"haar";1;0;4
"69";9;9;"LOC.Churn";585077;"haar";1;0;4
"70";10;10;"LOC.Churn";585077;"haar";1;0;4
"71";11;11;"LOC.Churn";585077;"haar";1;0;4
"72";12;12;"LOC.Churn";585077;"haar";1;0;4
"73";13;1;"LOC.Churn";585077;"haar";2;-6715,5;3
"74";14;2;"LOC.Churn";585077;"haar";2;10856;3
"75";15;3;"LOC.Churn";585077;"haar";2;0;3
"76";16;4;"LOC.Churn";585077;"haar";2;0;3
"77";17;5;"LOC.Churn";585077;"haar";2;0;3
"78";18;6;"LOC.Churn";585077;"haar";2;0;3
"79";19;1;"LOC.Churn";585077;"haar";3;151802,037338519;2
"80";20;2;"LOC.Churn";585077;"haar";3;0;2
"81";21;3;"LOC.Churn";585077;"haar";3;0;2
"82";1;1;"LOC.Churn";3429;"haar";1;9248,95669792003;6
"83";2;2;"LOC.Churn";3429;"haar";1;-15796,7654917075;6
"84";3;3;"LOC.Churn";3429;"haar";1;-110916,062590141;6
"85";4;4;"LOC.Churn";3429;"haar";1;57150,4913758403;6
"86";5;5;"LOC.Churn";3429;"haar";1;43043,7110911687;6
"87";6;6;"LOC.Churn";3429;"haar";1;-41284,4294195766;6
"88";7;7;"LOC.Churn";3429;"haar";1;-41321,9060789795;6
"89";8;8;"LOC.Churn";3429;"haar";1;-16648,1220562561;6
"90";9;9;"LOC.Churn";3429;"haar";1;-107471,0383522;6
"91";10;10;"LOC.Churn";3429;"haar";1;-17947,0772132958;6
"92";11;11;"LOC.Churn";3429;"haar";1;49579,499069676;6
"93";12;12;"LOC.Churn";3429;"haar";1;-492960,199610983;6
"94";13;13;"LOC.Churn";3429;"haar";1;2612118,91774054;6
"95";14;14;"LOC.Churn";3429;"haar";1;-9278945,09651016;6
"96";15;15;"LOC.Churn";3429;"haar";1;-285698,716763831;6
"97";16;16;"LOC.Churn";3429;"haar";1;4039,70104091874;6
"98";17;17;"LOC.Churn";3429;"haar";1;-85267,8854229422;6
"99";18;18;"LOC.Churn";3429;"haar";1;-99923,3805698146;6
"100";19;19;"LOC.Churn";3429;"haar";1;-303179,103501544;6
"101";20;20;"LOC.Churn";3429;"haar";1;22384,8793720225;6
"102";21;21;"LOC.Churn";3429;"haar";1;36411,7565904201;6
"103";22;22;"LOC.Churn";3429;"haar";1;94509,0639462692;6
"104";23;23;"LOC.Churn";3429;"haar";1;10388,1057224116;6
"105";24;24;"LOC.Churn";3429;"haar";1;-2105,76399437354;6
"106";25;25;"LOC.Churn";3429;"haar";1;-47328,071078378;6
"107";26;26;"LOC.Churn";3429;"haar";1;-76238,13182719;6
"108";27;27;"LOC.Churn";3429;"haar";1;-14355,6818716493;6
"109";28;28;"LOC.Churn";3429;"haar";1;-73642,3428334542;6
"110";29;29;"LOC.Churn";3429;"haar";1;-63219,5888787645;6
"111";30;30;"LOC.Churn";3429;"haar";1;-46396,8114475553;6
"112";31;31;"LOC.Churn";3429;"haar";1;2464,26713243512;6
"113";32;32;"LOC.Churn";3429;"haar";1;-104513,917793278;6
"114";33;33;"LOC.Churn";3429;"haar";1;38861,1744804503;6
"115";34;34;"LOC.Churn";3429;"haar";1;-75657,5971598358;6
"116";35;35;"LOC.Churn";3429;"haar";1;-19569,1801693377;6
"117";36;36;"LOC.Churn";3429;"haar";1;-34478,5266506561;6
"118";37;37;"LOC.Churn";3429;"haar";1;-57327,268071137;6
"119";38;38;"LOC.Churn";3429;"haar";1;-20785,4038329786;6
"120";39;39;"LOC.Churn";3429;"haar";1;-15209,1597565414;6
"121";40;40;"LOC.Churn";3429;"haar";1;14972,9860916251;6
"122";41;41;"LOC.Churn";3429;"haar";1;4500,73466225237;6
"123";42;42;"LOC.Churn";3429;"haar";1;-4923,58451740193;6
"124";43;43;"LOC.Churn";3429;"haar";1;-13533,3166851293;6
"125";44;44;"LOC.Churn";3429;"haar";1;-4415,1747417288;6
"126";45;45;"LOC.Churn";3429;"haar";1;-2823,47737727788;6
"127";46;46;"LOC.Churn";3429;"haar";1;-3711,60349444819;6
"128";47;47;"LOC.Churn";3429;"haar";1;-21855,2563929138;6
"129";48;48;"LOC.Churn";3429;"haar";1;-21,2132034355964;6
"130";49;49;"LOC.Churn";3429;"haar";1;0;6
"131";50;50;"LOC.Churn";3429;"haar";1;-340,118361750729;6
"132";51;51;"LOC.Churn";3429;"haar";1;0;6
"133";52;1;"LOC.Churn";3429;"haar";2;8723,5;5
"134";53;2;"LOC.Churn";3429;"haar";2;-17814;5
"135";54;3;"LOC.Churn";3429;"haar";2;24902,5;5
"136";55;4;"LOC.Churn";3429;"haar";2;151080,5;5
"137";56;5;"LOC.Churn";3429;"haar";2;292247,5;5
"138";57;6;"LOC.Churn";3429;"haar";2;1649545,5;5
"139";58;7;"LOC.Churn";3429;"haar";2;-6525379,5;5
"140";59;8;"LOC.Churn";3429;"haar";2;112012;5
"141";60;9;"LOC.Churn";3429;"haar";2;152551,5;5
"142";61;10;"LOC.Churn";3429;"haar";2;28355,5;5
"143";62;11;"LOC.Churn";3429;"haar";2;-16512,5;5
"144";63;12;"LOC.Churn";3429;"haar";2;35224;5
"145";64;13;"LOC.Churn";3429;"haar";2;-199792,5;5
"146";65;14;"LOC.Churn";3429;"haar";2;-8722;5
"147";66;15;"LOC.Churn";3429;"haar";2;-42430;5
"148";67;16;"LOC.Churn";3429;"haar";2;-64027,5;5
"149";68;17;"LOC.Churn";3429;"haar";2;-89203,5;5
"150";69;18;"LOC.Churn";3429;"haar";2;35221,5;5
"151";70;19;"LOC.Churn";3429;"haar";2;-90159;5
"152";71;20;"LOC.Churn";3429;"haar";2;-6120;5
"153";72;21;"LOC.Churn";3429;"haar";2;6575;5
"154";73;22;"LOC.Churn";3429;"haar";2;-2106,5;5
"155";74;23;"LOC.Churn";3429;"haar";2;9447,5;5
"156";75;24;"LOC.Churn";3429;"haar";2;-15;5
"157";76;25;"LOC.Churn";3429;"haar";2;-250,5;5
"158";77;1;"LOC.Churn";3429;"haar";3;11326,7899744367;4
"159";78;2;"LOC.Churn";3429;"haar";3;133138,30740249;4
"160";79;3;"LOC.Churn";3429;"haar";3;3328186,15605828;4
"161";80;4;"LOC.Churn";3429;"haar";3;140267,004417022;4
"162";81;5;"LOC.Churn";3429;"haar";3;23857,0756904529;4
"163";82;6;"LOC.Churn";3429;"haar";3;123018,548703539;4
"164";83;7;"LOC.Churn";3429;"haar";3;-117927,733432386;4
"165";84;8;"LOC.Churn";3429;"haar";3;-3522,0988770902;4
"166";85;9;"LOC.Churn";3429;"haar";3;-63181,0515591898;4
"167";86;10;"LOC.Churn";3429;"haar";3;-4309,815831332;4
"168";87;11;"LOC.Churn";3429;"haar";3;10861,8672658066;4
"169";88;12;"LOC.Churn";3429;"haar";3;166,523646969432;4
"170";89;1;"LOC.Churn";3429;"haar";4;226727,25;3
"171";90;2;"LOC.Churn";3429;"haar";4;-4654902,75;3
"172";91;3;"LOC.Churn";3429;"haar";4;48869,25;3
"173";92;4;"LOC.Churn";3429;"haar";4;-13879,5;3
"174";93;5;"LOC.Churn";3429;"haar";4;-184282,25;3
"175";94;6;"LOC.Churn";3429;"haar";4;-13647,25;3
"176";95;1;"LOC.Churn";3429;"haar";5;3379518,21928513;2
"177";96;2;"LOC.Churn";3429;"haar";5;-11556,7764550177;2
"178";97;3;"LOC.Churn";3429;"haar";5;-150523,588278133;2
"179";1;1;"LOC.Churn";346391;"haar";1;0;5
"180";2;2;"LOC.Churn";346391;"haar";1;-637,103209849079;5
"181";3;3;"LOC.Churn";346391;"haar";1;0;5
"182";4;4;"LOC.Churn";346391;"haar";1;1122,17846174305;5
"183";5;5;"LOC.Churn";346391;"haar";1;-4,24264068711928;5
"184";6;6;"LOC.Churn";346391;"haar";1;0;5
"185";7;7;"LOC.Churn";346391;"haar";1;-2,12132034355964;5
"186";8;8;"LOC.Churn";346391;"haar";1;0;5
"187";9;9;"LOC.Churn";346391;"haar";1;0;5
"188";10;10;"LOC.Churn";346391;"haar";1;2,12132034355964;5
"189";11;11;"LOC.Churn";346391;"haar";1;192,333044482741;5
"190";12;12;"LOC.Churn";346391;"haar";1;0;5
"191";13;13;"LOC.Churn";346391;"haar";1;-110,308657865101;5
"192";14;14;"LOC.Churn";346391;"haar";1;0;5
"193";15;15;"LOC.Churn";346391;"haar";1;-11,3137084989848;5
"194";16;16;"LOC.Churn";346391;"haar";1;0;5
"195";17;17;"LOC.Churn";346391;"haar";1;0;5
"196";18;18;"LOC.Churn";346391;"haar";1;0;5
"197";19;19;"LOC.Churn";346391;"haar";1;0;5
"198";20;20;"LOC.Churn";346391;"haar";1;0;5
"199";21;21;"LOC.Churn";346391;"haar";1;0;5
"200";22;22;"LOC.Churn";346391;"haar";1;0;5
"201";23;23;"LOC.Churn";346391;"haar";1;0;5
"202";24;24;"LOC.Churn";346391;"haar";1;81,317279836453;5
"203";25;1;"LOC.Churn";346391;"haar";2;450,5;4
"204";26;2;"LOC.Churn";346391;"haar";2;804,5;4
"205";27;3;"LOC.Churn";346391;"haar";2;-3;4
"206";28;4;"LOC.Churn";346391;"haar";2;-1,5;4
"207";29;5;"LOC.Churn";346391;"haar";2;1,5;4
"208";30;6;"LOC.Churn";346391;"haar";2;-136;4
"209";31;7;"LOC.Churn";346391;"haar";2;-78;4
"210";32;8;"LOC.Churn";346391;"haar";2;-8;4
"211";33;9;"LOC.Churn";346391;"haar";2;0;4
"212";34;10;"LOC.Churn";346391;"haar";2;0;4
"213";35;11;"LOC.Churn";346391;"haar";2;0;4
"214";36;12;"LOC.Churn";346391;"haar";2;57,5;4
"215";37;1;"LOC.Churn";346391;"haar";3;250,315800540038;3
"216";38;2;"LOC.Churn";346391;"haar";3;-1,06066017177982;3
"217";39;3;"LOC.Churn";346391;"haar";3;95,1058620695906;3
"218";40;4;"LOC.Churn";346391;"haar";3;-49,4974746830583;3
"219";41;5;"LOC.Churn";346391;"haar";3;0;3
"220";42;6;"LOC.Churn";346391;"haar";3;40,6586399182265;3
"221";43;1;"LOC.Churn";346391;"haar";4;-625,25;2
"222";44;2;"LOC.Churn";346391;"haar";4;-25,75;2
"223";45;3;"LOC.Churn";346391;"haar";4;28,75;2
"224";1;1;"LOC.Churn";4673;"haar";1;-5620,08469687068;6
"225";2;2;"LOC.Churn";4673;"haar";1;34896,4267583373;6
"226";3;3;"LOC.Churn";4673;"haar";1;651,952452253997;6
"227";4;4;"LOC.Churn";4673;"haar";1;-767,917964368591;6
"228";5;5;"LOC.Churn";4673;"haar";1;6475,6839021064;6
"229";6;6;"LOC.Churn";4673;"haar";1;524,673231640418;6
"230";7;7;"LOC.Churn";4673;"haar";1;20,5060966544099;6
"231";8;8;"LOC.Churn";4673;"haar";1;385,373195746668;6
"232";9;9;"LOC.Churn";4673;"haar";1;1091,77287015203;6
"233";10;10;"LOC.Churn";4673;"haar";1;-2239,4071760178;6
"234";11;11;"LOC.Churn";4673;"haar";1;4475,27881812966;6
"235";12;12;"LOC.Churn";4673;"haar";1;1197,13178054882;6
"236";13;13;"LOC.Churn";4673;"haar";1;-4492,24938087814;6
"237";14;14;"LOC.Churn";4673;"haar";1;1485,63134727294;6
"238";15;15;"LOC.Churn";4673;"haar";1;-616,597113194669;6
"239";16;16;"LOC.Churn";4673;"haar";1;0;6
"240";17;17;"LOC.Churn";4673;"haar";1;0;6
"241";18;18;"LOC.Churn";4673;"haar";1;0;6
"242";19;19;"LOC.Churn";4673;"haar";1;0;6
"243";20;20;"LOC.Churn";4673;"haar";1;0;6
"244";21;21;"LOC.Churn";4673;"haar";1;0;6
"245";22;22;"LOC.Churn";4673;"haar";1;0;6
"246";23;23;"LOC.Churn";4673;"haar";1;81,317279836453;6
"247";24;24;"LOC.Churn";4673;"haar";1;-1781,20198180891;6
"248";25;25;"LOC.Churn";4673;"haar";1;-1434,7196590275;6
"249";26;26;"LOC.Churn";4673;"haar";1;164,048773235279;6
"250";27;27;"LOC.Churn";4673;"haar";1;0;6
"251";28;28;"LOC.Churn";4673;"haar";1;0;6
"252";29;29;"LOC.Churn";4673;"haar";1;0;6
"253";30;30;"LOC.Churn";4673;"haar";1;0;6
"254";31;31;"LOC.Churn";4673;"haar";1;0;6
"255";32;32;"LOC.Churn";4673;"haar";1;0;6
"256";33;33;"LOC.Churn";4673;"haar";1;0;6
"257";34;34;"LOC.Churn";4673;"haar";1;0;6
"258";35;35;"LOC.Churn";4673;"haar";1;0;6
"259";36;36;"LOC.Churn";4673;"haar";1;-130,814754519511;6
"260";37;37;"LOC.Churn";4673;"haar";1;3403,30493785085;6
"261";38;38;"LOC.Churn";4673;"haar";1;0;6
"262";39;39;"LOC.Churn";4673;"haar";1;-4,24264068711928;6
"263";40;40;"LOC.Churn";4673;"haar";1;0;6
"264";41;41;"LOC.Churn";4673;"haar";1;0;6
"265";42;1;"LOC.Churn";4673;"haar";2;-21073,5;5
"266";43;2;"LOC.Churn";4673;"haar";2;4036;5
"267";44;3;"LOC.Churn";4673;"haar";2;-356,5;5
"268";45;4;"LOC.Churn";4673;"haar";2;641,5;5
"269";46;5;"LOC.Churn";4673;"haar";2;1385;5
"270";47;6;"LOC.Churn";4673;"haar";2;1600;5
"271";48;7;"LOC.Churn";4673;"haar";2;-597,5;5
"272";49;8;"LOC.Churn";4673;"haar";2;0;5
"273";50;9;"LOC.Churn";4673;"haar";2;0;5
"274";51;10;"LOC.Churn";4673;"haar";2;0;5
"275";52;11;"LOC.Churn";4673;"haar";2;57,5;5
"276";53;12;"LOC.Churn";4673;"haar";2;-318;5
"277";54;13;"LOC.Churn";4673;"haar";2;-116;5
"278";55;14;"LOC.Churn";4673;"haar";2;0;5
"279";56;15;"LOC.Churn";4673;"haar";2;0;5
"280";57;16;"LOC.Churn";4673;"haar";2;0;5
"281";58;17;"LOC.Churn";4673;"haar";2;0;5
"282";59;18;"LOC.Churn";4673;"haar";2;2132;5
"283";60;19;"LOC.Churn";4673;"haar";2;3;5
"284";61;20;"LOC.Churn";4673;"haar";2;0;5
"285";62;1;"LOC.Churn";4673;"haar";3;-16411,5948379492;4
"286";63;2;"LOC.Churn";4673;"haar";3;812,465691583343;4
"287";64;3;"LOC.Churn";4673;"haar";3;253,851334445971;4
"288";65;4;"LOC.Churn";4673;"haar";3;-1063,13504551397;4
"289";66;5;"LOC.Churn";4673;"haar";3;0;4
"290";67;6;"LOC.Churn";4673;"haar";3;1618,9209755266;4
"291";68;7;"LOC.Churn";4673;"haar";3;-82,0243866176395;4
"292";69;8;"LOC.Churn";4673;"haar";3;0;4
"293";70;9;"LOC.Churn";4673;"haar";3;1899,99592104825;4
"294";71;10;"LOC.Churn";4673;"haar";3;-2,12132034355964;4
"295";72;1;"LOC.Churn";4673;"haar";4;-15766,75;3
"296";73;2;"LOC.Churn";4673;"haar";4;-4975,75;3
"297";74;3;"LOC.Churn";4673;"haar";4;1202,25;3
"298";75;4;"LOC.Churn";4673;"haar";4;-58;3
"299";76;5;"LOC.Churn";4673;"haar";4;-1342;3
"300";1;1;"LOC.Churn";472388;"haar";1;-169896,546315692;5
"301";2;2;"LOC.Churn";472388;"haar";1;-7526,44457894961;5
"302";3;3;"LOC.Churn";472388;"haar";1;5840,70201260088;5
"303";4;4;"LOC.Churn";472388;"haar";1;-4108,99750547503;5
"304";5;5;"LOC.Churn";472388;"haar";1;-2337,69501860273;5
