"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Active.Developers";3187;"haar";1;2,82842712474619;7
"2";2;"Active.Developers";3187;"haar";1;1,41421356237309;7
"3";3;"Active.Developers";3187;"haar";1;3,53553390593274;7
"4";4;"Active.Developers";3187;"haar";1;3,53553390593274;7
"5";5;"Active.Developers";3187;"haar";1;4,24264068711928;7
"6";6;"Active.Developers";3187;"haar";1;4,94974746830583;7
"7";7;"Active.Developers";3187;"haar";1;5,65685424949238;7
"8";8;"Active.Developers";3187;"haar";1;4,94974746830583;7
"9";9;"Active.Developers";3187;"haar";1;9,19238815542512;7
"10";10;"Active.Developers";3187;"haar";1;7,77817459305202;7
"11";11;"Active.Developers";3187;"haar";1;7,07106781186547;7
"12";12;"Active.Developers";3187;"haar";1;2,12132034355964;7
"13";13;"Active.Developers";3187;"haar";1;2,12132034355964;7
"14";14;"Active.Developers";3187;"haar";1;4,24264068711928;7
"15";15;"Active.Developers";3187;"haar";1;2,12132034355964;7
"16";16;"Active.Developers";3187;"haar";1;4,24264068711928;7
"17";17;"Active.Developers";3187;"haar";1;5,65685424949238;7
"18";18;"Active.Developers";3187;"haar";1;3,53553390593274;7
"19";19;"Active.Developers";3187;"haar";1;2,82842712474619;7
"20";20;"Active.Developers";3187;"haar";1;2,12132034355964;7
"21";21;"Active.Developers";3187;"haar";1;2,82842712474619;7
"22";22;"Active.Developers";3187;"haar";1;2,82842712474619;7
"23";23;"Active.Developers";3187;"haar";1;3,53553390593274;7
"24";24;"Active.Developers";3187;"haar";1;3,53553390593274;7
"25";25;"Active.Developers";3187;"haar";1;1,41421356237309;7
"26";26;"Active.Developers";3187;"haar";1;2,12132034355964;7
"27";27;"Active.Developers";3187;"haar";1;2,12132034355964;7
"28";28;"Active.Developers";3187;"haar";1;2,12132034355964;7
"29";29;"Active.Developers";3187;"haar";1;3,53553390593274;7
"30";30;"Active.Developers";3187;"haar";1;1,41421356237309;7
"31";31;"Active.Developers";3187;"haar";1;2,12132034355964;7
"32";32;"Active.Developers";3187;"haar";1;2,12132034355964;7
"33";33;"Active.Developers";3187;"haar";1;2,12132034355964;7
"34";34;"Active.Developers";3187;"haar";1;2,82842712474619;7
"35";35;"Active.Developers";3187;"haar";1;2,82842712474619;7
"36";36;"Active.Developers";3187;"haar";1;2,82842712474619;7
"37";37;"Active.Developers";3187;"haar";1;2,12132034355964;7
"38";38;"Active.Developers";3187;"haar";1;1,41421356237309;7
"39";39;"Active.Developers";3187;"haar";1;1,41421356237309;7
"40";40;"Active.Developers";3187;"haar";1;2,12132034355964;7
"41";41;"Active.Developers";3187;"haar";1;2,12132034355964;7
"42";42;"Active.Developers";3187;"haar";1;1,41421356237309;7
"43";43;"Active.Developers";3187;"haar";1;2,12132034355964;7
"44";44;"Active.Developers";3187;"haar";1;2,82842712474619;7
"45";45;"Active.Developers";3187;"haar";1;2,82842712474619;7
"46";46;"Active.Developers";3187;"haar";1;2,82842712474619;7
"47";47;"Active.Developers";3187;"haar";1;2,82842712474619;7
"48";48;"Active.Developers";3187;"haar";1;2,82842712474619;7
"49";49;"Active.Developers";3187;"haar";1;2,82842712474619;7
"50";50;"Active.Developers";3187;"haar";1;2,82842712474619;7
"51";51;"Active.Developers";3187;"haar";1;3,53553390593274;7
"52";52;"Active.Developers";3187;"haar";1;2,82842712474619;7
"53";53;"Active.Developers";3187;"haar";1;2,82842712474619;7
"54";54;"Active.Developers";3187;"haar";1;2,82842712474619;7
"55";55;"Active.Developers";3187;"haar";1;2,82842712474619;7
"56";56;"Active.Developers";3187;"haar";1;3,53553390593274;7
"57";57;"Active.Developers";3187;"haar";1;2,12132034355964;7
"58";58;"Active.Developers";3187;"haar";1;2,82842712474619;7
"59";59;"Active.Developers";3187;"haar";1;2,82842712474619;7
"60";60;"Active.Developers";3187;"haar";1;2,82842712474619;7
"61";61;"Active.Developers";3187;"haar";1;2,82842712474619;7
"62";62;"Active.Developers";3187;"haar";1;2,82842712474619;7
"63";63;"Active.Developers";3187;"haar";1;2,82842712474619;7
"64";64;"Active.Developers";3187;"haar";1;2,82842712474619;7
"65";65;"Active.Developers";3187;"haar";1;2,82842712474619;7
"66";66;"Active.Developers";3187;"haar";1;1,41421356237309;7
"67";67;"Active.Developers";3187;"haar";1;2,82842712474619;7
"68";68;"Active.Developers";3187;"haar";1;2,82842712474619;7
"69";69;"Active.Developers";3187;"haar";1;1,41421356237309;7
"70";70;"Active.Developers";3187;"haar";1;2,82842712474619;7
"71";71;"Active.Developers";3187;"haar";1;4,24264068711928;7
"72";72;"Active.Developers";3187;"haar";1;1,41421356237309;7
"73";73;"Active.Developers";3187;"haar";1;2,12132034355964;7
"74";74;"Active.Developers";3187;"haar";1;2,12132034355964;7
"75";75;"Active.Developers";3187;"haar";1;1,41421356237309;7
"76";76;"Active.Developers";3187;"haar";1;2,12132034355964;7
"77";77;"Active.Developers";3187;"haar";1;2,12132034355964;7
"78";78;"Active.Developers";3187;"haar";1;2,12132034355964;7
"79";79;"Active.Developers";3187;"haar";1;1,41421356237309;7
"80";80;"Active.Developers";3187;"haar";1;1,41421356237309;7
"81";81;"Active.Developers";3187;"haar";1;1,41421356237309;7
"82";82;"Active.Developers";3187;"haar";1;2,12132034355964;7
"83";83;"Active.Developers";3187;"haar";1;1,41421356237309;7
"84";1;"Active.Developers";3187;"haar";2;3,5;6
"85";2;"Active.Developers";3187;"haar";2;5,5;6
"86";3;"Active.Developers";3187;"haar";2;7,5;6
"87";4;"Active.Developers";3187;"haar";2;10;6
"88";5;"Active.Developers";3187;"haar";2;10,5;6
"89";6;"Active.Developers";3187;"haar";2;3;6
"90";7;"Active.Developers";3187;"haar";2;4,5;6
"91";8;"Active.Developers";3187;"haar";2;7;6
"92";9;"Active.Developers";3187;"haar";2;4,5;6
"93";10;"Active.Developers";3187;"haar";2;3,5;6
"94";11;"Active.Developers";3187;"haar";2;4,5;6
"95";12;"Active.Developers";3187;"haar";2;3,5;6
"96";13;"Active.Developers";3187;"haar";2;3;6
"97";14;"Active.Developers";3187;"haar";2;4;6
"98";15;"Active.Developers";3187;"haar";2;2,5;6
"99";16;"Active.Developers";3187;"haar";2;3;6
"100";17;"Active.Developers";3187;"haar";2;4;6
"101";18;"Active.Developers";3187;"haar";2;3,5;6
"102";19;"Active.Developers";3187;"haar";2;2;6
"103";20;"Active.Developers";3187;"haar";2;3;6
"104";21;"Active.Developers";3187;"haar";2;2,5;6
"105";22;"Active.Developers";3187;"haar";2;4;6
"106";23;"Active.Developers";3187;"haar";2;4;6
"107";24;"Active.Developers";3187;"haar";2;4;6
"108";25;"Active.Developers";3187;"haar";2;4,5;6
"109";26;"Active.Developers";3187;"haar";2;4;6
"110";27;"Active.Developers";3187;"haar";2;4;6
"111";28;"Active.Developers";3187;"haar";2;4;6
"112";29;"Active.Developers";3187;"haar";2;4;6
"113";30;"Active.Developers";3187;"haar";2;4;6
"114";31;"Active.Developers";3187;"haar";2;4;6
"115";32;"Active.Developers";3187;"haar";2;4;6
"116";33;"Active.Developers";3187;"haar";2;3;6
"117";34;"Active.Developers";3187;"haar";2;3;6
"118";35;"Active.Developers";3187;"haar";2;5;6
"119";36;"Active.Developers";3187;"haar";2;2,5;6
"120";37;"Active.Developers";3187;"haar";2;2,5;6
"121";38;"Active.Developers";3187;"haar";2;3;6
"122";39;"Active.Developers";3187;"haar";2;2,5;6
"123";40;"Active.Developers";3187;"haar";2;2;6
"124";41;"Active.Developers";3187;"haar";2;2,5;6
"125";1;"Active.Developers";3187;"haar";3;9,19238815542512;5
"126";2;"Active.Developers";3187;"haar";3;14,4956890143242;5
"127";3;"Active.Developers";3187;"haar";3;5,3033008588991;5
"128";4;"Active.Developers";3187;"haar";3;8,13172798364529;5
"129";5;"Active.Developers";3187;"haar";3;5,65685424949238;5
"130";6;"Active.Developers";3187;"haar";3;4,59619407771256;5
"131";7;"Active.Developers";3187;"haar";3;4,59619407771256;5
"132";8;"Active.Developers";3187;"haar";3;4,94974746830583;5
"133";9;"Active.Developers";3187;"haar";3;3,88908729652601;5
"134";10;"Active.Developers";3187;"haar";3;3,88908729652601;5
"135";11;"Active.Developers";3187;"haar";3;5,65685424949238;5
"136";12;"Active.Developers";3187;"haar";3;6,01040764008565;5
"137";13;"Active.Developers";3187;"haar";3;5,65685424949238;5
"138";14;"Active.Developers";3187;"haar";3;5,65685424949238;5
"139";15;"Active.Developers";3187;"haar";3;5,65685424949238;5
"140";16;"Active.Developers";3187;"haar";3;4,94974746830583;5
"141";17;"Active.Developers";3187;"haar";3;5,65685424949238;5
"142";18;"Active.Developers";3187;"haar";3;3,53553390593274;5
"143";19;"Active.Developers";3187;"haar";3;3,88908729652601;5
"144";20;"Active.Developers";3187;"haar";3;3,18198051533946;5
"145";1;"Active.Developers";3187;"haar";4;16,75;4
"146";2;"Active.Developers";3187;"haar";4;9,5;4
"147";3;"Active.Developers";3187;"haar";4;7,25;4
"148";4;"Active.Developers";3187;"haar";4;6,75;4
"149";5;"Active.Developers";3187;"haar";4;5,5;4
"150";6;"Active.Developers";3187;"haar";4;8,25;4
"151";7;"Active.Developers";3187;"haar";4;8;4
"152";8;"Active.Developers";3187;"haar";4;7,5;4
"153";9;"Active.Developers";3187;"haar";4;6,5;4
"154";10;"Active.Developers";3187;"haar";4;5;4
"155";1;"Active.Developers";3187;"haar";5;18,5615530061469;3
"156";2;"Active.Developers";3187;"haar";5;9,89949493661166;3
"157";3;"Active.Developers";3187;"haar";5;9,72271824131503;3
"158";4;"Active.Developers";3187;"haar";5;10,9601551083915;3
"159";5;"Active.Developers";3187;"haar";5;8,13172798364529;3
