"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"LOC.Churn";3187;"haar";1;15208,4526497603;7
"2";2;"LOC.Churn";3187;"haar";1;7419,67145499044;7
"3";3;"LOC.Churn";3187;"haar";1;28400,2367595765;7
"4";4;"LOC.Churn";3187;"haar";1;21966,2721575601;7
"5";5;"LOC.Churn";3187;"haar";1;21288,8638611834;7
"6";6;"LOC.Churn";3187;"haar";1;31135,3257892061;7
"7";7;"LOC.Churn";3187;"haar";1;36700,9632639254;7
"8";8;"LOC.Churn";3187;"haar";1;33233,3116089865;7
"9";9;"LOC.Churn";3187;"haar";1;31484,6365391122;7
"10";10;"LOC.Churn";3187;"haar";1;35034,3125806687;7
"11";11;"LOC.Churn";3187;"haar";1;8529,12199467214;7
"12";12;"LOC.Churn";3187;"haar";1;1795,34411743264;7
"13";13;"LOC.Churn";3187;"haar";1;1701,29891553483;7
"14";14;"LOC.Churn";3187;"haar";1;12725,8007410143;7
"15";15;"LOC.Churn";3187;"haar";1;482,953931550412;7
"16";16;"LOC.Churn";3187;"haar";1;10470,1301090292;7
"17";17;"LOC.Churn";3187;"haar";1;17078,7500859987;7
"18";18;"LOC.Churn";3187;"haar";1;1559,87755929752;7
"19";19;"LOC.Churn";3187;"haar";1;24544,3834817662;7
"20";20;"LOC.Churn";3187;"haar";1;10259,4122882356;7
"21";21;"LOC.Churn";3187;"haar";1;555,07882323144;7
"22";22;"LOC.Churn";3187;"haar";1;9938,38580957692;7
"23";23;"LOC.Churn";3187;"haar";1;23451,1963980518;7
"24";24;"LOC.Churn";3187;"haar";1;10686,5047840723;7
"25";25;"LOC.Churn";3187;"haar";1;6843,37942832341;7
"26";26;"LOC.Churn";3187;"haar";1;7214,61048844634;7
"27";27;"LOC.Churn";3187;"haar";1;726,905771059771;7
"28";28;"LOC.Churn";3187;"haar";1;7635,33902325234;7
"29";29;"LOC.Churn";3187;"haar";1;5996,26550446192;7
"30";30;"LOC.Churn";3187;"haar";1;15289,0628228155;7
"31";31;"LOC.Churn";3187;"haar";1;11160,9734342485;7
