"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"LOC";19893;"haar";1;1438,96229971462;5
"2";2;"LOC";19893;"haar";1;5893,73502118987;5
"3";3;"LOC";19893;"haar";1;10752,9728215038;5
"4";4;"LOC";19893;"haar";1;17981,0183387927;5
"5";5;"LOC";19893;"haar";1;20111,5310705078;5
"6";6;"LOC";19893;"haar";1;20111,5310705078;5
"7";7;"LOC";19893;"haar";1;20568,3220511543;5
"8";8;"LOC";19893;"haar";1;20568,3220511543;5
"9";9;"LOC";19893;"haar";1;20568,3220511543;5
"10";10;"LOC";19893;"haar";1;20568,3220511543;5
"11";11;"LOC";19893;"haar";1;20619,2337393997;5
"12";12;"LOC";19893;"haar";1;20670,1454276452;5
"13";13;"LOC";19893;"haar";1;20779,0398719479;5
"14";14;"LOC";19893;"haar";1;20935,3104705901;5
"15";15;"LOC";19893;"haar";1;21068,9536522344;5
"16";16;"LOC";19893;"haar";1;21114,9155930115;5
"17";17;"LOC";19893;"haar";1;21525,0375260997;5
"18";18;"LOC";19893;"haar";1;21522,9162057561;5
"19";19;"LOC";19893;"haar";1;23794,1431869273;5
"20";20;"LOC";19893;"haar";1;26139,6163801231;5
"21";21;"LOC";19893;"haar";1;26213,8625921477;5
"22";22;"LOC";19893;"haar";1;26213,8625921477;5
"23";23;"LOC";19893;"haar";1;26308,6149008267;5
"24";24;"LOC";19893;"haar";1;26308,6149008267;5
"25";25;"LOC";19893;"haar";1;26308,6149008267;5
"26";26;"LOC";19893;"haar";1;26308,6149008267;5
"27";27;"LOC";19893;"haar";1;26318,5143957633;5
"28";28;"LOC";19893;"haar";1;26328,4138906999;5
"29";29;"LOC";19893;"haar";1;26324,1712500128;5
"30";1;"LOC";19893;"haar";2;11771;4
"31";2;"LOC";19893;"haar";2;26935,5;4
"32";3;"LOC";19893;"haar";2;28765;4
"33";4;"LOC";19893;"haar";2;29088;4
"34";5;"LOC";19893;"haar";2;29124;4
"35";6;"LOC";19893;"haar";2;29309;4
"36";7;"LOC";19893;"haar";2;29701,5;4
"37";8;"LOC";19893;"haar";2;30151;4
"38";9;"LOC";19893;"haar";2;32044;4
"39";10;"LOC";19893;"haar";2;37019,5;4
"40";11;"LOC";19893;"haar";2;37139;4
"41";12;"LOC";19893;"haar";2;37206;4
"42";13;"LOC";19893;"haar";2;37213;4
"43";14;"LOC";19893;"haar";2;37231;4
"44";1;"LOC";19893;"haar";3;27369,6286259971;3
"45";2;"LOC";19893;"haar";3;40908,2486119853;3
"46";3;"LOC";19893;"haar";3;41318,3705450735;3
"47";4;"LOC";19893;"haar";3;42322,1086209678;3
"48";5;"LOC";19893;"haar";3;48835,2691824771;3
"49";6;"LOC";19893;"haar";3;52569,8536473139;3
"50";7;"LOC";19893;"haar";3;52639,8572186513;3
"51";1;"LOC";19893;"haar";4;58143;2
"52";2;"LOC";19893;"haar";4;64458;2
"53";3;"LOC";19893;"haar";4;74394,5;2
