"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"LOC.Churn";155;"haar";1;-14725,4987182099;7
"2";2;"LOC.Churn";155;"haar";1;-4550,93924371662;7
"3";3;"LOC.Churn";155;"haar";1;-4643,57023205206;7
"4";4;"LOC.Churn";155;"haar";1;-6008,99342652328;7
"5";5;"LOC.Churn";155;"haar";1;2995,30432510621;7
"6";6;"LOC.Churn";155;"haar";1;21539,1796617234;7
"7";7;"LOC.Churn";155;"haar";1;2686,29866172769;7
"8";8;"LOC.Churn";155;"haar";1;-8167,08332270462;7
"9";9;"LOC.Churn";155;"haar";1;-4125,9680682235;7
"10";10;"LOC.Churn";155;"haar";1;1127,83531599254;7
"11";11;"LOC.Churn";155;"haar";1;-840,042856049618;7
"12";12;"LOC.Churn";155;"haar";1;309,712770159708;7
"13";13;"LOC.Churn";155;"haar";1;1992,62690938369;7
"14";14;"LOC.Churn";155;"haar";1;-6198,49804388128;7
"15";15;"LOC.Churn";155;"haar";1;13417,3511730147;7
"16";16;"LOC.Churn";155;"haar";1;-10670,241328105;7
"17";17;"LOC.Churn";155;"haar";1;-86,9741340859453;7
"18";18;"LOC.Churn";155;"haar";1;-361,331565186326;7
"19";19;"LOC.Churn";155;"haar";1;6742,97026539492;7
"20";20;"LOC.Churn";155;"haar";1;-416,485894118876;7
"21";21;"LOC.Churn";155;"haar";1;284,256926036992;7
"22";22;"LOC.Churn";155;"haar";1;-340,118361750729;7
"23";23;"LOC.Churn";155;"haar";1;94,0452018978108;7
"24";24;"LOC.Churn";155;"haar";1;59,39696961967;7
"25";25;"LOC.Churn";155;"haar";1;-25963,5467916076;7
"26";26;"LOC.Churn";155;"haar";1;909,3393206059;7
"27";27;"LOC.Churn";155;"haar";1;-185,969083452062;7
"28";28;"LOC.Churn";155;"haar";1;86,2670273047588;7
"29";29;"LOC.Churn";155;"haar";1;473,761543394987;7
"30";30;"LOC.Churn";155;"haar";1;86,2670273047588;7
"31";31;"LOC.Churn";155;"haar";1;-12,0208152801713;7
"32";32;"LOC.Churn";155;"haar";1;5229,05464687452;7
"33";33;"LOC.Churn";155;"haar";1;-908,632213824714;7
"34";34;"LOC.Churn";155;"haar";1;1281,98459429121;7
"35";35;"LOC.Churn";155;"haar";1;6636,19714143575;7
"36";36;"LOC.Churn";155;"haar";1;-10587,5098347062;7
"37";37;"LOC.Churn";155;"haar";1;-5140,6662992262;7
"38";38;"LOC.Churn";155;"haar";1;-1262,89271119917;7
"39";39;"LOC.Churn";155;"haar";1;58,6898628384834;7
"40";40;"LOC.Churn";155;"haar";1;16376,5930522804;7
"41";41;"LOC.Churn";155;"haar";1;-1069,85255993525;7
"42";42;"LOC.Churn";155;"haar";1;-11057,7358441952;7
"43";43;"LOC.Churn";155;"haar";1;2199,10208949016;7
"44";44;"LOC.Churn";155;"haar";1;-3819,08372518854;7
