"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"LOC";8630;"haar";1;20,5060966544102;7
"2";2;"LOC";8630;"haar";1;64,3467170879758;7
"3";3;"LOC";8630;"haar";1;292,035100630043;7
"4";4;"LOC";8630;"haar";1;935,502271509802;7
"5";5;"LOC";8630;"haar";1;1117,22871427474;7
"6";6;"LOC";8630;"haar";1;108,894444302727;7
"7";7;"LOC";8630;"haar";1;132,936074863072;7
"8";8;"LOC";8630;"haar";1;52,3259018078043;7
"9";9;"LOC";8630;"haar";1;820,243866176395;7
"10";10;"LOC";8630;"haar";1;1749,38217665552;7
"11";11;"LOC";8630;"haar";1;547,300648638389;7
"12";12;"LOC";8630;"haar";1;381,837661840735;7
"13";13;"LOC";8630;"haar";1;35,3553390593261;7
"14";14;"LOC";8630;"haar";1;0;7
"15";15;"LOC";8630;"haar";1;95,4594154601837;7
"16";16;"LOC";8630;"haar";1;340,11836175073;7
"17";17;"LOC";8630;"haar";1;149,906637611548;7
"18";18;"LOC";8630;"haar";1;291,327993848859;7
"19";19;"LOC";8630;"haar";1;239,002092041053;7
"20";20;"LOC";8630;"haar";1;209,303607231217;7
"21";21;"LOC";8630;"haar";1;484,368145112785;7
"22";22;"LOC";8630;"haar";1;26,8700576850897;7
"23";23;"LOC";8630;"haar";1;21,2132034355964;7
"24";24;"LOC";8630;"haar";1;0;7
"25";25;"LOC";8630;"haar";1;280,014285349873;7
"26";26;"LOC";8630;"haar";1;258,093975133088;7
"27";27;"LOC";8630;"haar";1;123,743686707647;7
"28";28;"LOC";8630;"haar";1;53,7401153701794;7
"29";29;"LOC";8630;"haar";1;710,642315092478;7
"30";30;"LOC";8630;"haar";1;837,92153570606;7
"31";31;"LOC";8630;"haar";1;43,8406204335624;7
"32";32;"LOC";8630;"haar";1;12,0208152801715;7
"33";33;"LOC";8630;"haar";1;370,523953341748;7
"34";34;"LOC";8630;"haar";1;24,041630560343;7
"35";35;"LOC";8630;"haar";1;72,831998462214;7
"36";36;"LOC";8630;"haar";1;0,707106781184848;7
"37";37;"LOC";8630;"haar";1;50,9116882454327;7
"38";38;"LOC";8630;"haar";1;1395,12167928106;7
"39";39;"LOC";8630;"haar";1;38,8908729652539;7
"40";40;"LOC";8630;"haar";1;228,395490323259;7
"41";41;"LOC";8630;"haar";1;195,161471607484;7
"42";42;"LOC";8630;"haar";1;381,13055505955;7
"43";43;"LOC";8630;"haar";1;1117,22871427474;7
"44";44;"LOC";8630;"haar";1;-318,198051533946;7
"45";45;"LOC";8630;"haar";1;117,379725676969;7
"46";46;"LOC";8630;"haar";1;28,2842712474594;7
"47";47;"LOC";8630;"haar";1;152,735064736291;7
"48";48;"LOC";8630;"haar";1;548,007755419574;7
"49";49;"LOC";8630;"haar";1;108,894444302729;7
"50";50;"LOC";8630;"haar";1;979,342891943372;7
"51";51;"LOC";8630;"haar";1;316,076731190384;7
"52";52;"LOC";8630;"haar";1;909,339320605897;7
"53";53;"LOC";8630;"haar";1;470,933116270244;7
"54";54;"LOC";8630;"haar";1;-134,350288425441;7
"55";55;"LOC";8630;"haar";1;0;7
"56";56;"LOC";8630;"haar";1;0;7
"57";57;"LOC";8630;"haar";1;388,201622871413;7
"58";58;"LOC";8630;"haar";1;669,630121783659;7
"59";59;"LOC";8630;"haar";1;9,19238815542485;7
"60";60;"LOC";8630;"haar";1;1,4142135623697;7
"61";61;"LOC";8630;"haar";1;4,94974746830849;7
"62";62;"LOC";8630;"haar";1;89,0954544295018;7
"63";63;"LOC";8630;"haar";1;149,906637611544;7
"64";64;"LOC";8630;"haar";1;0;7
"65";65;"LOC";8630;"haar";1;234,759451353937;7
"66";66;"LOC";8630;"haar";1;0;7
"67";67;"LOC";8630;"haar";1;4,24264068711636;7
"68";68;"LOC";8630;"haar";1;-4818,93271378632;7
"69";69;"LOC";8630;"haar";1;50,2045814642479;7
"70";70;"LOC";8630;"haar";1;9,19238815542485;7
"71";71;"LOC";8630;"haar";1;156,270598642222;7
"72";72;"LOC";8630;"haar";1;301,93459556665;7
"73";73;"LOC";8630;"haar";1;135,764501987818;7
"74";74;"LOC";8630;"haar";1;0;7
"75";75;"LOC";8630;"haar";1;86,97413408594;7
"76";76;"LOC";8630;"haar";1;3346,73639535593;7
"77";77;"LOC";8630;"haar";1;281,428498912246;7
"78";78;"LOC";8630;"haar";1;-1317,33993335054;7
"79";79;"LOC";8630;"haar";1;4692,36059995392;7
"80";80;"LOC";8630;"haar";1;1822,21417511773;7
"81";81;"LOC";8630;"haar";1;230,516810666813;7
"82";82;"LOC";8630;"haar";1;144,249783362058;7
"83";83;"LOC";8630;"haar";1;-161,927452891716;7
"84";84;"LOC";8630;"haar";1;463,862048458381;7
"85";85;"LOC";8630;"haar";1;44268,4200361838;7
"86";86;"LOC";8630;"haar";1;43,1335136523703;7
"87";87;"LOC";8630;"haar";1;53,7401153701794;7
"88";88;"LOC";8630;"haar";1;2362,44375594426;7
"89";89;"LOC";8630;"haar";1;47,376154339494;7
"90";90;"LOC";8630;"haar";1;152,027957955113;7
"91";91;"LOC";8630;"haar";1;14,8492424049182;7
"92";92;"LOC";8630;"haar";1;739,633693121126;7
"93";93;"LOC";8630;"haar";1;-5,65685424949334;7
"94";94;"LOC";8630;"haar";1;42,4264068711927;7
"95";95;"LOC";8630;"haar";1;261,629509039019;7
"96";96;"LOC";8630;"haar";1;22,6274169979588;7
"97";97;"LOC";8630;"haar";1;14,1421356237261;7
"98";98;"LOC";8630;"haar";1;3,53553390593152;7
"99";99;"LOC";8630;"haar";1;418,607214462434;7
"100";100;"LOC";8630;"haar";1;179,605122421388;7
"101";101;"LOC";8630;"haar";1;79,1959594928921;7
"102";102;"LOC";8630;"haar";1;48,7903679018782;7
"103";103;"LOC";8630;"haar";1;111,015764646276;7
"104";104;"LOC";8630;"haar";1;0;7
"105";105;"LOC";8630;"haar";1;34,6482322781376;7
"106";106;"LOC";8630;"haar";1;391,737156777337;7
"107";107;"LOC";8630;"haar";1;78,4888527117;7
"108";108;"LOC";8630;"haar";1;1368,95872837715;7
"109";109;"LOC";8630;"haar";1;53,7401153701794;7
"110";110;"LOC";8630;"haar";1;72,8319984622067;7
"111";111;"LOC";8630;"haar";1;48,7903679018636;7
"112";112;"LOC";8630;"haar";1;234,759451353937;7
"113";113;"LOC";8630;"haar";1;0;7
"114";114;"LOC";8630;"haar";1;0;7
"115";115;"LOC";8630;"haar";1;0;7
"116";116;"LOC";8630;"haar";1;0;7
"117";1;"LOC";8630;"haar";2;3116;6
"118";2;"LOC";8630;"haar";2;1345;6
"119";3;"LOC";8630;"haar";2;4505;6
"120";4;"LOC";8630;"haar";2;131;6
"121";5;"LOC";8630;"haar";2;1898;6
"122";6;"LOC";8630;"haar";2;968;6
"123";7;"LOC";8630;"haar";2;450,000000000004;6
"124";8;"LOC";8630;"haar";2;1180;6
"125";9;"LOC";8630;"haar";2;343;6
"126";10;"LOC";8630;"haar";2;5262;6
"127";11;"LOC";8630;"haar";2;511,5;6
"128";12;"LOC";8630;"haar";2;15;6
"129";13;"LOC";8630;"haar";2;7842,5;6
"130";14;"LOC";8630;"haar";2;125,5;6
"131";15;"LOC";8630;"haar";2;1312,99999999999;6
"132";16;"LOC";8630;"haar";2;2068,5;6
"133";17;"LOC";8630;"haar";2;865;6
"134";18;"LOC";8630;"haar";2;50;6
"135";19;"LOC";8630;"haar";2;3129,49999999999;6
"136";20;"LOC";8630;"haar";2;492,000000000007;6
"137";21;"LOC";8630;"haar";2;680,5;6
"138";22;"LOC";8630;"haar";2;1323,99999999999;6
"139";23;"LOC";8630;"haar";2;1054;6
"140";24;"LOC";8630;"haar";2;677,5;6
"141";25;"LOC";8630;"haar";2;771,5;6
"142";26;"LOC";8630;"haar";2;1112,5;6
