"";"X";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;1;"Commit.LOC.Churn";758;"haar";1;330347,560248294;2
"2";2;2;"Commit.LOC.Churn";758;"haar";1;226003,348082501;2
"3";3;3;"Commit.LOC.Churn";758;"haar";1;63030,7913681877;2
"4";1;1;"Commit.LOC.Churn";584;"haar";1;98,2878425849301;4
"5";2;2;"Commit.LOC.Churn";584;"haar";1;924522,317411538;4
"6";3;3;"Commit.LOC.Churn";584;"haar";1;342866,885809201;4
"7";4;4;"Commit.LOC.Churn";584;"haar";1;49006,7425769149;4
"8";5;5;"Commit.LOC.Churn";584;"haar";1;2951749,37581225;4
"9";6;6;"Commit.LOC.Churn";584;"haar";1;1204168,20012841;4
"10";7;7;"Commit.LOC.Churn";584;"haar";1;1531773,60027926;4
"11";8;8;"Commit.LOC.Churn";584;"haar";1;616435,185741778;4
"12";9;9;"Commit.LOC.Churn";584;"haar";1;456401,364810076;4
"13";10;10;"Commit.LOC.Churn";584;"haar";1;959659,160475478;4
"14";11;11;"Commit.LOC.Churn";584;"haar";1;452485,407455865;4
"15";12;1;"Commit.LOC.Churn";584;"haar";2;896179,5;3
"16";13;2;"Commit.LOC.Churn";584;"haar";2;2121855;3
"17";14;3;"Commit.LOC.Churn";584;"haar";2;1934603;3
"18";15;4;"Commit.LOC.Churn";584;"haar";2;758610;3
"19";16;5;"Commit.LOC.Churn";584;"haar";2;998537;3
"20";1;1;"Commit.LOC.Churn";3178;"haar";1;15171,6830971386;3
"21";2;2;"Commit.LOC.Churn";3178;"haar";1;138927,390620065;3
"22";3;3;"Commit.LOC.Churn";3178;"haar";1;206112,434327723;3
"23";4;4;"Commit.LOC.Churn";3178;"haar";1;227841,118606805;3
"24";5;5;"Commit.LOC.Churn";3178;"haar";1;74799,8766342566;3
"25";6;6;"Commit.LOC.Churn";3178;"haar";1;15054,3033714616;3
"26";7;1;"Commit.LOC.Churn";3178;"haar";2;108964,5;2
"27";8;2;"Commit.LOC.Churn";3178;"haar";2;306851,5;2
"28";9;3;"Commit.LOC.Churn";3178;"haar";2;63536,5;2
