"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel";"sequence"
"1";NA;"Commit.LOC.Churn";758;"haar";1;330347,560248294;2;1
"2";NA;"Commit.LOC.Churn";758;"haar";1;226003,348082501;2;2
"3";NA;"Commit.LOC.Churn";758;"haar";1;63030,7913681877;2;3
"4";NA;"Commit.LOC.Churn";584;"haar";1;98,2878425849301;4;1
"5";NA;"Commit.LOC.Churn";584;"haar";1;924522,317411538;4;2
"6";NA;"Commit.LOC.Churn";584;"haar";1;342866,885809201;4;3
"7";NA;"Commit.LOC.Churn";584;"haar";1;49006,7425769149;4;4
"8";NA;"Commit.LOC.Churn";584;"haar";1;2951749,37581225;4;5
"9";NA;"Commit.LOC.Churn";584;"haar";1;1204168,20012841;4;6
"10";NA;"Commit.LOC.Churn";584;"haar";1;1531773,60027926;4;7
"11";NA;"Commit.LOC.Churn";584;"haar";1;616435,185741778;4;8
"12";NA;"Commit.LOC.Churn";584;"haar";1;456401,364810076;4;9
"13";NA;"Commit.LOC.Churn";584;"haar";1;959659,160475478;4;10
"14";NA;"Commit.LOC.Churn";584;"haar";1;452485,407455865;4;11
"15";NA;"Commit.LOC.Churn";584;"haar";2;896179,5;3;1
"16";NA;"Commit.LOC.Churn";584;"haar";2;2121855;3;2
"17";NA;"Commit.LOC.Churn";584;"haar";2;1934603;3;3
"18";NA;"Commit.LOC.Churn";584;"haar";2;758610;3;4
"19";NA;"Commit.LOC.Churn";584;"haar";2;998537;3;5
"20";NA;"Commit.LOC.Churn";3178;"haar";1;15171,6830971386;3;1
"21";NA;"Commit.LOC.Churn";3178;"haar";1;138927,390620065;3;2
"22";NA;"Commit.LOC.Churn";3178;"haar";1;206112,434327723;3;3
"23";NA;"Commit.LOC.Churn";3178;"haar";1;227841,118606805;3;4
"24";NA;"Commit.LOC.Churn";3178;"haar";1;74799,8766342566;3;5
"25";NA;"Commit.LOC.Churn";3178;"haar";1;15054,3033714616;3;6
"26";NA;"Commit.LOC.Churn";3178;"haar";2;108964,5;2;1
"27";NA;"Commit.LOC.Churn";3178;"haar";2;306851,5;2;2
"28";NA;"Commit.LOC.Churn";3178;"haar";2;63536,5;2;3
"29";NA;"Commit.LOC.Churn";172;"haar";1;16964,1987874465;3;1
"30";NA;"Commit.LOC.Churn";172;"haar";1;97304,9641590808;3;2
"31";NA;"Commit.LOC.Churn";172;"haar";1;80848,4680405263;3;3
"32";NA;"Commit.LOC.Churn";172;"haar";1;214633,071041021;3;4
"33";NA;"Commit.LOC.Churn";172;"haar";1;157167,210040772;3;5
"34";NA;"Commit.LOC.Churn";172;"haar";1;275525,571502901;3;6
"35";NA;"Commit.LOC.Churn";172;"haar";1;69048,9771828664;3;7
"36";NA;"Commit.LOC.Churn";172;"haar";2;125973,5;2;1
"37";NA;"Commit.LOC.Churn";172;"haar";2;262902,5;2;2
"38";NA;"Commit.LOC.Churn";172;"haar";2;243651;2;3
"39";NA;"Commit.LOC.Churn";232;"haar";1;582082,524098173;3;1
"40";NA;"Commit.LOC.Churn";232;"haar";1;1082192,98748051;3;2
"41";NA;"Commit.LOC.Churn";232;"haar";1;375035,294605721;3;3
"42";NA;"Commit.LOC.Churn";232;"haar";1;221577,566739054;3;4
"43";NA;"Commit.LOC.Churn";232;"haar";1;112009,249673855;3;5
"44";NA;"Commit.LOC.Churn";244;"haar";1;520388,164546428;3;1
"45";NA;"Commit.LOC.Churn";244;"haar";1;566526,88201885;3;2
"46";NA;"Commit.LOC.Churn";244;"haar";1;448611,169401744;3;3
"47";NA;"Commit.LOC.Churn";244;"haar";1;230664,595984082;3;4
"48";NA;"Commit.LOC.Churn";244;"haar";1;124554,031078886;3;5
"49";NA;"Commit.LOC.Churn";244;"haar";1;124897,684974542;3;6
"50";NA;"Commit.LOC.Churn";244;"haar";2;768565;2;1
"51";NA;"Commit.LOC.Churn";244;"haar";2;480320,5;2;2
"52";NA;"Commit.LOC.Churn";244;"haar";2;176389;2;3
"53";NA;"Commit.LOC.Churn";126;"haar";1;633824,355704717;3;1
"54";NA;"Commit.LOC.Churn";126;"haar";1;956867,502903354;3;2
"55";NA;"Commit.LOC.Churn";126;"haar";1;257520,511533548;3;3
"56";NA;"Commit.LOC.Churn";126;"haar";1;58537,1277737471;3;4
"57";NA;"Commit.LOC.Churn";72;"haar";1;134802,129658622;4;1
"58";NA;"Commit.LOC.Churn";72;"haar";1;233060,980865524;4;2
"59";NA;"Commit.LOC.Churn";72;"haar";1;205010,761962635;4;3
"60";NA;"Commit.LOC.Churn";72;"haar";1;2021201,09441144;4;4
"61";NA;"Commit.LOC.Churn";72;"haar";1;1321961,58327237;4;5
"62";NA;"Commit.LOC.Churn";72;"haar";1;1760619,51762214;4;6
"63";NA;"Commit.LOC.Churn";72;"haar";1;1823211,19567921;4;7
"64";NA;"Commit.LOC.Churn";72;"haar";1;531332,056198852;4;8
