"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel";"sequence"
"1";NA;"LOC";36;"haar";1;376,180807591243;7;1
"2";NA;"LOC";36;"haar";1;376,180807591243;7;2
"3";NA;"LOC";36;"haar";1;376,180807591243;7;3
"4";NA;"LOC";36;"haar";1;376,180807591243;7;4
"5";NA;"LOC";36;"haar";1;2402,74884247189;7;5
"6";NA;"LOC";36;"haar";1;118248,052804264;7;6
"7";NA;"LOC";36;"haar";1;245004,014399764;7;7
"8";NA;"LOC";36;"haar";1;301907,018402189;7;8
"9";NA;"LOC";36;"haar";1;335291,65086235;7;9
"10";NA;"LOC";36;"haar";1;307077,383186226;7;10
"11";NA;"LOC";36;"haar";1;342619,398435786;7;11
"12";NA;"LOC";36;"haar";1;370744,570657481;7;12
"13";NA;"LOC";36;"haar";1;398877,521053769;7;13
"14";NA;"LOC";36;"haar";1;424334,072283266;7;14
"15";NA;"LOC";36;"haar";1;436977,848637663;7;15
"16";NA;"LOC";36;"haar";1;443949,921500162;7;16
"17";NA;"LOC";36;"haar";1;449857,091550194;7;17
"18";NA;"LOC";36;"haar";1;444034,774313904;7;18
"19";NA;"LOC";36;"haar";1;447967,702230864;7;19
"20";NA;"LOC";36;"haar";1;456974,828409618;7;20
"21";NA;"LOC";36;"haar";1;471887,003318061;7;21
"22";NA;"LOC";36;"haar";1;501359,213957917;7;22
"23";NA;"LOC";36;"haar";1;559815,731558608;7;23
"24";NA;"LOC";36;"haar";1;618853,490933436;7;24
"25";NA;"LOC";36;"haar";1;644841,786462385;7;25
"26";NA;"LOC";36;"haar";1;651622,940493964;7;26
"27";NA;"LOC";36;"haar";1;674726,240355672;7;27
"28";NA;"LOC";36;"haar";1;711114,662422313;7;28
"29";NA;"LOC";36;"haar";1;725870,566732114;7;29
"30";NA;"LOC";36;"haar";1;721869,75656416;7;30
"31";NA;"LOC";36;"haar";1;713112,239079165;7;31
"32";NA;"LOC";36;"haar";1;679097,574476967;7;32
"33";NA;"LOC";36;"haar";1;635131,796143131;7;33
"34";NA;"LOC";36;"haar";1;640098,514174185;7;34
"35";NA;"LOC";36;"haar";1;639938,708041637;7;35
"36";NA;"LOC";36;"haar";1;639954,264390823;7;36
"37";NA;"LOC";36;"haar";1;656429,145285689;7;37
"38";NA;"LOC";36;"haar";1;667722,347688019;7;38
"39";NA;"LOC";36;"haar";1;683935,599073845;7;39
"40";NA;"LOC";36;"haar";1;691376,483732271;7;40
"41";NA;"LOC";36;"haar";1;695044,953713067;7;41
"42";NA;"LOC";36;"haar";1;696331,180948046;7;42
"43";NA;"LOC";36;"haar";1;707490,740168732;7;43
"44";NA;"LOC";36;"haar";1;708068,446408961;7;44
"45";NA;"LOC";36;"haar";1;713094,561409635;7;45
"46";NA;"LOC";36;"haar";1;714438,06429389;7;46
"47";NA;"LOC";36;"haar";1;718636,157253794;7;47
"48";NA;"LOC";36;"haar";1;716159,869306079;7;48
"49";NA;"LOC";36;"haar";1;716282,905886005;7;49
"50";NA;"LOC";36;"haar";1;716127,342394144;7;50
"51";NA;"LOC";36;"haar";1;720837,380663628;7;51
"52";NA;"LOC";36;"haar";1;723359,63055212;7;52
"53";NA;"LOC";36;"haar";1;724185,531272546;7;53
"54";NA;"LOC";36;"haar";1;727922,590611117;7;54
"55";NA;"LOC";36;"haar";1;730044,618061458;7;55
"56";NA;"LOC";36;"haar";1;719451,451372502;7;56
"57";NA;"LOC";36;"haar";1;718461,501878841;7;57
"58";NA;"LOC";36;"haar";1;725309,831054633;7;58
"59";NA;"LOC";36;"haar";1;726480,092777496;7;59
"60";NA;"LOC";36;"haar";1;727252,960489333;7;60
"61";NA;"LOC";36;"haar";1;723011,734015777;7;61
"62";NA;"LOC";36;"haar";1;1353363,48831809;7;62
"63";NA;"LOC";36;"haar";1;2037065,74215414;7;63
"64";NA;"LOC";36;"haar";1;2112925,5718534;7;64
"65";NA;"LOC";36;"haar";1;2163245,41172297;7;65
"66";NA;"LOC";36;"haar";1;2180458,5120974;7;66
"67";NA;"LOC";36;"haar";1;2201403,01495614;7;67
"68";NA;"LOC";36;"haar";1;2221781,83238994;7;68
"69";NA;"LOC";36;"haar";1;2303245,4833301;7;69
"70";NA;"LOC";36;"haar";1;2414060,42965053;7;70
"71";NA;"LOC";36;"haar";1;2431641,93265795;7;71
"72";NA;"LOC";36;"haar";1;2449192,322967;7;72
"73";NA;"LOC";36;"haar";1;2335162,16211252;7;73
"74";NA;"LOC";36;"haar";1;2351137,11851308;7;74
"75";NA;"LOC";36;"haar";1;2357590,17499819;7;75
"76";NA;"LOC";36;"haar";1;2360420,72344328;7;76
"77";NA;"LOC";36;"haar";1;2360430,62293822;7;77
"78";NA;"LOC";36;"haar";1;2346437,68684532;7;78
"79";NA;"LOC";36;"haar";2;532;6;1
"80";NA;"LOC";36;"haar";2;532;6;2
"81";NA;"LOC";36;"haar";2;85313;6;3
"82";NA;"LOC";36;"haar";2;386724,5;6;4
"83";NA;"LOC";36;"haar";2;454223,5;6;5
"84";NA;"LOC";36;"haar";2;504424,5;6;6
"85";NA;"LOC";36;"haar";2;582098,5;6;7
"86";NA;"LOC";36;"haar";2;622910;6;8
"87";NA;"LOC";36;"haar";2;632077;6;9
"88";NA;"LOC";36;"haar";2;639891;6;10
"89";NA;"LOC";36;"haar";2;688189;6;11
"90";NA;"LOC";36;"haar";2;833445;6;12
"91";NA;"LOC";36;"haar";2;916739;6;13
"92";NA;"LOC";36;"haar";2;979937,5;6;14
"93";NA;"LOC";36;"haar";2;1023707;6;15
"94";NA;"LOC";36;"haar";2;984441;6;16
"95";NA;"LOC";36;"haar";2;901724;6;17
"96";NA;"LOC";36;"haar";2;905021;6;18
"97";NA;"LOC";36;"haar";2;936316,5;6;19
"98";NA;"LOC";36;"haar";2;972492,5;6;20
"99";NA;"LOC";36;"haar";2;983851,5;6;21
"100";NA;"LOC";36;"haar";2;1000951,5;6;22
"101";NA;"LOC";36;"haar";2;1009418;6;23
"102";NA;"LOC";36;"haar";2;1014554;6;24
