"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel";"sequence"
"1";NA;"LOC";3085;"haar";1;95631,9495147934;6;1
"2";NA;"LOC";3085;"haar";1;188313,849538477;6;2
"3";NA;"LOC";3085;"haar";1;246204,681714219;6;3
"4";NA;"LOC";3085;"haar";1;321899,048426677;6;4
"5";NA;"LOC";3085;"haar";1;382017,266963157;6;5
"6";NA;"LOC";3085;"haar";1;383688,867393882;6;6
"7";NA;"LOC";3085;"haar";1;384516,18232787;6;7
"8";NA;"LOC";3085;"haar";1;428243,665676446;6;8
"9";NA;"LOC";3085;"haar";1;210113,951602458;6;9
"10";NA;"LOC";3085;"haar";1;53648,1914886234;6;10
"11";NA;"LOC";3085;"haar";1;58658,7501401112;6;11
"12";NA;"LOC";3085;"haar";1;71307,4762419762;6;12
"13";NA;"LOC";3085;"haar";1;79736,1890737198;6;13
"14";NA;"LOC";3085;"haar";1;83925,089645469;6;14
"15";NA;"LOC";3085;"haar";1;88685,3324964168;6;15
"16";NA;"LOC";3085;"haar";1;90530,1740885325;6;16
"17";NA;"LOC";3085;"haar";1;90951,6097301197;6;17
"18";NA;"LOC";3085;"haar";1;92112,679064828;6;18
"19";NA;"LOC";3085;"haar";1;93833,776970236;6;19
"20";NA;"LOC";3085;"haar";1;93837,312504142;6;20
"21";NA;"LOC";3085;"haar";1;93887,5170856062;6;21
"22";NA;"LOC";3085;"haar";1;93910,8516093854;6;22
"23";NA;"LOC";3085;"haar";1;94098,2349063998;6;23
"24";NA;"LOC";3085;"haar";1;94424,2111325268;6;24
"25";NA;"LOC";3085;"haar";1;94709,175165345;6;25
"26";NA;"LOC";3085;"haar";1;95011,1097609116;6;26
"27";NA;"LOC";3085;"haar";1;96235,1115991455;6;27
"28";NA;"LOC";3085;"haar";1;97007,9793109825;6;28
"29";NA;"LOC";3085;"haar";1;97007,9793109825;6;29
"30";NA;"LOC";3085;"haar";1;97007,9793109825;6;30
"31";NA;"LOC";3085;"haar";1;96965,5529041113;6;31
"32";NA;"LOC";3085;"haar";1;96965,5529041113;6;32
"33";NA;"LOC";3085;"haar";1;96965,5529041113;6;33
"34";NA;"LOC";3085;"haar";1;96966,9671176736;6;34
"35";NA;"LOC";3085;"haar";1;97239,2032284304;6;35
"36";NA;"LOC";3085;"haar";1;97289,4078098947;6;36
"37";NA;"LOC";3085;"haar";1;97289,4078098947;6;37
"38";NA;"LOC";3085;"haar";1;97289,4078098947;6;38
"39";NA;"LOC";3085;"haar";1;97289,4078098947;6;39
"40";NA;"LOC";3085;"haar";1;97289,4078098947;6;40
"41";NA;"LOC";3085;"haar";1;97289,4078098947;6;41
"42";NA;"LOC";3085;"haar";1;97289,4078098947;6;42
"43";NA;"LOC";3085;"haar";1;97289,4078098947;6;43
"44";NA;"LOC";3085;"haar";2;307251;5;1
"45";NA;"LOC";3085;"haar";2;497744;5;2
"46";NA;"LOC";3085;"haar";2;543203;5;3
"47";NA;"LOC";3085;"haar";2;451387;5;4
"48";NA;"LOC";3085;"haar";2;79413;5;5
"49";NA;"LOC";3085;"haar";2;106804;5;6
"50";NA;"LOC";3085;"haar";2;122054;5;7
"51";NA;"LOC";3085;"haar";2;128327;5;8
"52";NA;"LOC";3085;"haar";2;131484;5;9
"53";NA;"LOC";3085;"haar";2;132741,5;5;10
"54";NA;"LOC";3085;"haar";2;132942,5;5;11
"55";NA;"LOC";3085;"haar";2;133737,5;5;12
"56";NA;"LOC";3085;"haar";2;135231,5;5;13
"57";NA;"LOC";3085;"haar";2;137190;5;14
"58";NA;"LOC";3085;"haar";2;137160;5;15
"59";NA;"LOC";3085;"haar";2;137130;5;16
"60";NA;"LOC";3085;"haar";2;137324,5;5;17
"61";NA;"LOC";3085;"haar";2;137588;5;18
"62";NA;"LOC";3085;"haar";2;137588;5;19
"63";NA;"LOC";3085;"haar";2;137588;5;20
"64";NA;"LOC";3085;"haar";2;137588;5;21
"65";NA;"LOC";3085;"haar";3;736060,682555793;4;1
"66";NA;"LOC";3085;"haar";3;375332,279453819;4;2
"67";NA;"LOC";3085;"haar";3;161827,043728791;4;3
"68";NA;"LOC";3085;"haar";3;183714,119926858;4;4
"69";NA;"LOC";3085;"haar";3;187866,958052767;4;5
"70";NA;"LOC";3085;"haar";3;190189,803828964;4;6
"71";NA;"LOC";3085;"haar";3;193994,745418529;4;7
"72";NA;"LOC";3085;"haar";3;194068,638077163;4;8
"73";NA;"LOC";3085;"haar";3;194578,815619789;4;9
"74";NA;"LOC";3085;"haar";3;194578,815619789;4;10
"75";NA;"LOC";3085;"haar";4;785873,5;3;1
"76";NA;"LOC";3085;"haar";4;244334,5;3;2
"77";NA;"LOC";3085;"haar";4;267326,5;3;3
"78";NA;"LOC";3085;"haar";4;274402,25;3;4
"79";NA;"LOC";3085;"haar";4;275176;3;5
"80";NA;"Commit.LOC.Churn";3085;"haar";1;83734,1708145486;6;1
"81";NA;"Commit.LOC.Churn";3085;"haar";1;64735,6258176284;6;2
"82";NA;"Commit.LOC.Churn";3085;"haar";1;62139,1297171114;6;3
"83";NA;"Commit.LOC.Churn";3085;"haar";1;347152,660009973;6;4
"84";NA;"Commit.LOC.Churn";3085;"haar";1;185680,583885338;6;5
"85";NA;"Commit.LOC.Churn";3085;"haar";1;99068,48847136;6;6
"86";NA;"Commit.LOC.Churn";3085;"haar";1;140384,73769609;6;7
"87";NA;"Commit.LOC.Churn";3085;"haar";1;54486,8201311106;6;8
"88";NA;"Commit.LOC.Churn";3085;"haar";1;273019,585070375;6;9
"89";NA;"Commit.LOC.Churn";3085;"haar";1;13422,300920483;6;10
"90";NA;"Commit.LOC.Churn";3085;"haar";1;15216,9379311345;6;11
"91";NA;"Commit.LOC.Churn";3085;"haar";1;8430,12704530602;6;12
"92";NA;"Commit.LOC.Churn";3085;"haar";1;22664,1865505912;6;13
"93";NA;"Commit.LOC.Churn";3085;"haar";1;7635,33902325234;6;14
"94";NA;"Commit.LOC.Churn";3085;"haar";1;2563,96918858242;6;15
"95";NA;"Commit.LOC.Churn";3085;"haar";1;1086,11601590254;6;16
"96";NA;"Commit.LOC.Churn";3085;"haar";1;451,841233178204;6;17
"97";NA;"Commit.LOC.Churn";3085;"haar";1;2011,71879247573;6;18
"98";NA;"Commit.LOC.Churn";3085;"haar";1;5945,35381621649;6;19
"99";NA;"Commit.LOC.Churn";3085;"haar";1;12,7279220613579;6;20
"100";NA;"Commit.LOC.Churn";3085;"haar";1;160,513239329346;6;21
"101";NA;"Commit.LOC.Churn";3085;"haar";1;96,1665222413705;6;22
"102";NA;"Commit.LOC.Churn";3085;"haar";1;160,513239329346;6;23
"103";NA;"Commit.LOC.Churn";3085;"haar";1;449,719912834644;6;24
"104";NA;"Commit.LOC.Churn";3085;"haar";1;938,330698634549;6;25
"105";NA;"Commit.LOC.Churn";3085;"haar";1;1044,39671581253;6;26
"106";NA;"Commit.LOC.Churn";3085;"haar";1;7519,37351113775;6;27
"107";NA;"Commit.LOC.Churn";3085;"haar";1;8,48528137423857;6;28
"108";NA;"Commit.LOC.Churn";3085;"haar";1;0;6;29
"109";NA;"Commit.LOC.Churn";3085;"haar";1;0;6;30
"110";NA;"Commit.LOC.Churn";3085;"haar";1;280,014285349873;6;31
"111";NA;"Commit.LOC.Churn";3085;"haar";1;0;6;32
"112";NA;"Commit.LOC.Churn";3085;"haar";1;0;6;33
"113";NA;"Commit.LOC.Churn";3085;"haar";1;5,65685424949238;6;34
"114";NA;"Commit.LOC.Churn";3085;"haar";1;158,391918985787;6;35
"115";NA;"Commit.LOC.Churn";3085;"haar";1;24,7487373415292;6;36
"116";NA;"Commit.LOC.Churn";3085;"haar";1;0;6;37
"117";NA;"Commit.LOC.Churn";3085;"haar";1;0;6;38
"118";NA;"Commit.LOC.Churn";3085;"haar";1;0;6;39
"119";NA;"Commit.LOC.Churn";3085;"haar";1;0;6;40
"120";NA;"Commit.LOC.Churn";3085;"haar";1;0;6;41
"121";NA;"Commit.LOC.Churn";3085;"haar";1;0;6;42
"122";NA;"Commit.LOC.Churn";3085;"haar";1;0;6;43
"123";NA;"Commit.LOC.Churn";3085;"haar";2;89714;5;1
"124";NA;"Commit.LOC.Churn";3085;"haar";2;376770;5;2
"125";NA;"Commit.LOC.Churn";3085;"haar";2;169319;5;3
"126";NA;"Commit.LOC.Churn";3085;"haar";2;231582;5;4
"127";NA;"Commit.LOC.Churn";3085;"haar";2;20251;5;5
"128";NA;"Commit.LOC.Churn";3085;"haar";2;21987;5;6
"129";NA;"Commit.LOC.Churn";3085;"haar";2;7212;5;7
"130";NA;"Commit.LOC.Churn";3085;"haar";2;1087,5;5;8
"131";NA;"Commit.LOC.Churn";3085;"haar";2;5626,5;5;9
"132";NA;"Commit.LOC.Churn";3085;"haar";2;122,5;5;10
"133";NA;"Commit.LOC.Churn";3085;"haar";2;181,5;5;11
"134";NA;"Commit.LOC.Churn";3085;"haar";2;981,5;5;12
"135";NA;"Commit.LOC.Churn";3085;"haar";2;6055,5;5;13
"136";NA;"Commit.LOC.Churn";3085;"haar";2;6;5;14
"137";NA;"Commit.LOC.Churn";3085;"haar";2;198;5;15
"138";NA;"Commit.LOC.Churn";3085;"haar";2;0;5;16
"139";NA;"Commit.LOC.Churn";3085;"haar";2;116;5;17
"140";NA;"Commit.LOC.Churn";3085;"haar";2;17,5;5;18
"141";NA;"Commit.LOC.Churn";3085;"haar";2;0;5;19
"142";NA;"Commit.LOC.Churn";3085;"haar";2;0;5;20
"143";NA;"Commit.LOC.Churn";3085;"haar";2;0;5;21
"144";NA;"Commit.LOC.Churn";3085;"haar";3;386143,23503138;4;1
"145";NA;"Commit.LOC.Churn";3085;"haar";3;178072,822026552;4;2
"146";NA;"Commit.LOC.Churn";3085;"haar";3;20646,810903866;4;3
"147";NA;"Commit.LOC.Churn";3085;"haar";3;4747,51492888648;4;4
"148";NA;"Commit.LOC.Churn";3085;"haar";3;214,96046148071;4;5
"149";NA;"Commit.LOC.Churn";3085;"haar";3;4975,91041920973;4;6
"150";NA;"Commit.LOC.Churn";3085;"haar";3;144,249783362056;4;7
"151";NA;"Commit.LOC.Churn";3085;"haar";3;82,0243866176395;4;8
"152";NA;"Commit.LOC.Churn";3085;"haar";3;12,3743686707646;4;9
"153";NA;"Commit.LOC.Churn";3085;"haar";3;0;4;10
"154";NA;"Commit.LOC.Churn";3085;"haar";4;398961;3;1
"155";NA;"Commit.LOC.Churn";3085;"haar";4;17956,5;3;2
"156";NA;"Commit.LOC.Churn";3085;"haar";4;3670,5;3;3
"157";NA;"Commit.LOC.Churn";3085;"haar";4;160;3;4
"158";NA;"Commit.LOC.Churn";3085;"haar";4;8,75;3;5
