"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel";"sequence"
"1";NA;"LOC";156;"haar";1;770,039284711936;6;1
"2";NA;"LOC";156;"haar";1;0;6;2
"3";NA;"LOC";156;"haar";1;15808,7863069875;6;3
"4";NA;"LOC";156;"haar";1;-557,907250356162;6;4
"5";NA;"LOC";156;"haar";1;1805,24361236929;6;5
"6";NA;"LOC";156;"haar";1;1158,24090758362;6;6
"7";NA;"LOC";156;"haar";1;36,7695526217576;6;7
"8";NA;"LOC";156;"haar";1;-12037,7858429197;6;8
"9";NA;"LOC";156;"haar";1;0;6;9
"10";NA;"LOC";156;"haar";1;124,450793488882;6;10
"11";NA;"LOC";156;"haar";1;-2754,18091272167;6;11
"12";NA;"LOC";156;"haar";1;2517,30014102417;6;12
"13";NA;"LOC";156;"haar";1;0;6;13
"14";NA;"LOC";156;"haar";1;1213,39523651614;6;14
"15";NA;"LOC";156;"haar";1;64,3467170880176;6;15
"16";NA;"LOC";156;"haar";1;5762,92026667041;6;16
"17";NA;"LOC";156;"haar";1;5743,12127679703;6;17
"18";NA;"LOC";156;"haar";1;5185,92113322229;6;18
"19";NA;"LOC";156;"haar";1;212,839141137199;6;19
"20";NA;"LOC";156;"haar";1;-33,9411254969891;6;20
"21";NA;"LOC";156;"haar";1;-21409,0720139851;6;21
"22";NA;"LOC";156;"haar";1;0;6;22
"23";NA;"LOC";156;"haar";1;3990,91067301692;6;23
"24";NA;"LOC";156;"haar";1;1322,99678759999;6;24
"25";NA;"LOC";156;"haar";1;1472,90342521155;6;25
"26";NA;"LOC";156;"haar";1;8033,44014106039;6;26
"27";NA;"LOC";156;"haar";1;15616,4532625049;6;27
"28";NA;"LOC";156;"haar";1;543,765114732552;6;28
"29";NA;"LOC";156;"haar";1;5669,58217155375;6;29
"30";NA;"LOC";156;"haar";1;2656,60017691785;6;30
"31";NA;"LOC";156;"haar";1;1434,71965902718;6;31
"32";NA;"LOC";156;"haar";1;9328,15265741292;6;32
"33";NA;"LOC";156;"haar";1;3013,68910141708;6;33
"34";NA;"LOC";156;"haar";1;959,543902070262;6;34
"35";NA;"LOC";156;"haar";1;6894,99822334992;6;35
"36";NA;"LOC";156;"haar";1;63815,6798953046;6;36
"37";NA;"LOC";156;"haar";2;51747,5;5;1
"38";NA;"LOC";156;"haar";2;-141011;5;2
"39";NA;"LOC";156;"haar";2;9915,49999999977;5;3
"40";NA;"LOC";156;"haar";2;17438,9999999998;5;4
"41";NA;"LOC";156;"haar";2;-16,0000000002328;5;5
"42";NA;"LOC";156;"haar";2;195073,5;5;6
"43";NA;"LOC";156;"haar";2;858;5;7
"44";NA;"LOC";156;"haar";2;10122,5;5;8
"45";NA;"LOC";156;"haar";2;8007;5;9
"46";NA;"LOC";156;"haar";2;-1766,50000000047;5;10
"47";NA;"LOC";156;"haar";2;-5245,5;5;11
"48";NA;"LOC";156;"haar";2;3231,49999999953;5;12
"49";NA;"LOC";156;"haar";2;15398;5;13
"50";NA;"LOC";156;"haar";2;15357;5;14
"51";NA;"LOC";156;"haar";2;6128,5;5;15
"52";NA;"LOC";156;"haar";2;7613,49999999953;5;16
"53";NA;"LOC";156;"haar";2;4455,5;5;17
"54";NA;"LOC";156;"haar";2;50983,9999999991;5;18
"55";NA;"LOC";156;"haar";3;-47342,5667673913;4;1
"56";NA;"LOC";156;"haar";3;20765,2512897141;4;2
"57";NA;"LOC";156;"haar";3;928850,16446579;4;3
"58";NA;"LOC";156;"haar";3;9316,48539552325;4;4
"59";NA;"LOC";156;"haar";3;15746,9144636332;4;5
"60";NA;"LOC";156;"haar";3;2573,86868351931;4;6
"61";NA;"LOC";156;"haar";3;78342,481608001;4;7
"62";NA;"LOC";156;"haar";3;346185,337933309;4;8
"63";NA;"LOC";156;"haar";3;50358,3771891529;4;9
"64";NA;"LOC";156;"haar";4;671878,499999999;3;1
"65";NA;"LOC";156;"haar";4;128070;3;2
"66";NA;"LOC";156;"haar";4;81597,9999999991;3;3
"67";NA;"LOC";156;"haar";4;320733,75;3;4
