"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"LOC";45;"haar";1;56,5685424949243;6
"2";2;"LOC";45;"haar";1;0;6
"3";3;"LOC";45;"haar";1;300,520382004283;6
"4";4;"LOC";45;"haar";1;125,15790027002;6
"5";5;"LOC";45;"haar";1;0;6
"6";6;"LOC";45;"haar";1;0;6
"7";7;"LOC";45;"haar";1;0;6
"8";8;"LOC";45;"haar";1;248,901586977663;6
"9";9;"LOC";45;"haar";1;17,6776695296612;6
"10";10;"LOC";45;"haar";1;0;6
"11";11;"LOC";45;"haar";1;0;6
"12";12;"LOC";45;"haar";1;2711,04739906922;6
"13";13;"LOC";45;"haar";1;352,139177030902;6
"14";14;"LOC";45;"haar";1;297,691954879538;6
"15";15;"LOC";45;"haar";1;171,119841047144;6
"16";16;"LOC";45;"haar";1;-20,5060966544115;6
"17";17;"LOC";45;"haar";1;33,2340187157679;6
"18";18;"LOC";45;"haar";1;16,2634559672915;6
"19";19;"LOC";45;"haar";1;-20,5060966544115;6
"20";20;"LOC";45;"haar";1;386,080302527855;6
"21";21;"LOC";45;"haar";1;0;6
"22";22;"LOC";45;"haar";1;945,401766446412;6
"23";23;"LOC";45;"haar";1;3179,15208821472;6
"24";24;"LOC";45;"haar";1;5542,30295094016;6
"25";25;"LOC";45;"haar";1;-873,27687476539;6
"26";26;"LOC";45;"haar";1;485,782358675155;6
"27";27;"LOC";45;"haar";1;27,5771644662746;6
"28";28;"LOC";45;"haar";1;119,50104602053;6
"29";29;"LOC";45;"haar";1;306,884343034959;6
"30";30;"LOC";45;"haar";1;0;6
"31";31;"LOC";45;"haar";1;2134,75537240219;6
"32";32;"LOC";45;"haar";1;0;6
"33";33;"LOC";45;"haar";1;3652,20652482852;6
"34";34;"LOC";45;"haar";1;2,12132034356182;6
"35";35;"LOC";45;"haar";1;0;6
"36";36;"LOC";45;"haar";1;931,966737603871;6
"37";37;"LOC";45;"haar";1;-106,773123959167;6
"38";38;"LOC";45;"haar";1;192,333044482737;6
"39";39;"LOC";45;"haar";1;0;6
"40";40;"LOC";45;"haar";1;0;6
"41";41;"LOC";45;"haar";1;0;6
"42";42;"LOC";45;"haar";1;7,07106781187031;6
"43";43;"LOC";45;"haar";1;0;6
"44";44;"LOC";45;"haar";1;0;6
"45";45;"LOC";45;"haar";1;0;6
"46";46;"LOC";45;"haar";1;0;6
"47";1;"LOC";45;"haar";2;180;5
"48";2;"LOC";45;"haar";2;12956;5
"49";3;"LOC";45;"haar";2;0;5
"50";4;"LOC";45;"haar";2;175,999999999993;5
"51";5;"LOC";45;"haar";2;21,4999999999927;5
"52";6;"LOC";45;"haar";2;1918;5
"53";7;"LOC";45;"haar";2;896,5;5
"54";8;"LOC";45;"haar";2;174,5;5
"55";9;"LOC";45;"haar";2;199,999999999993;5
"56";10;"LOC";45;"haar";2;622,499999999993;5
"57";11;"LOC";45;"haar";2;687,500000000007;5
"58";12;"LOC";45;"haar";2;5683;5
"59";13;"LOC";45;"haar";2;452,999999999993;5
"60";14;"LOC";45;"haar";2;-570;5
"61";15;"LOC";45;"haar";2;216,999999999993;5
"62";16;"LOC";45;"haar";2;1514,5;5
"63";17;"LOC";45;"haar";2;5345;5
"64";18;"LOC";45;"haar";2;647;5
"65";19;"LOC";45;"haar";2;60,5;5
"66";20;"LOC";45;"haar";2;41;5
"67";21;"LOC";45;"haar";2;5;5
"68";22;"LOC";45;"haar";2;26;5
"69";23;"LOC";45;"haar";2;0;5
"70";1;"LOC";45;"haar";3;9286,43335732293;4
"71";2;"LOC";45;"haar";3;4688,4715126574;4
"72";3;"LOC";45;"haar";3;6900,30152420892;4
"73";4;"LOC";45;"haar";3;393,504923730303;4
"74";5;"LOC";45;"haar";3;1712,61262403384;4
"75";6;"LOC";45;"haar";3;8873,48299710998;4
"76";7;"LOC";45;"haar";3;1684,32835278635;4
"77";8;"LOC";45;"haar";3;8502,60549037765;4
"78";9;"LOC";45;"haar";3;1331,12851558367;4
"79";10;"LOC";45;"haar";3;57,9827560572885;4
"80";11;"LOC";45;"haar";3;18,3847763108497;4
"81";1;"LOC";45;"haar";4;10134;3
"82";2;"LOC";45;"haar";4;2235,75000000001;3
"83";3;"LOC";45;"haar";4;8084,5;3
"84";4;"LOC";45;"haar";4;12952,5;3
"85";5;"LOC";45;"haar";4;99;3
