Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Age.Months;LOC;584;6;31;3080;5;2;4;0,003511531; 12021,52- 17817,68- 20278,41--54049,83;3,232657;10112,64
Age.Months;LOC;96;6;36;3180;6;14;4;0,002089603;29668,5- 4193,0-12825,5-10073,5;10,1287;-14449,88
Age.Months;LOC;59;5;1;733;4;1;4;0,004977666; 6695,948-14908,993-11386,894- 9765,852;0,4764444;-1077,278
Age.Months;LOC;372;5;1;192;6;3;4;0,004307729;15506,14-23513,42-19022,23-30782,13;7,762751;1816,534
Age.Months;LOC;64;7;12;63;6;10;4;0,002716784;4743,9794--176,7767-3366,5354-3716,5532;1,116477;95,58988
Age.Months;LOC;189;4;3;700;6;23;4;0,004901334; 92211,75- 97924,25-105480,25- 53483,75;32,54986;33687,11
Age.Months;LOC;639;5;6;74;6;36;4;0,001965884;41926,48-94909,64-53867,75-62333,23;3,428554;-61202,7
Age.Months;LOC;700;6;25;9;5;8;4;0,001251982;2216,5- 607,5-2118,0-3825,5;0,2733297;1512,792
Age.Months;LOC;124;5;4;192;6;26;4;0,00343757;4102,280-6156,779-6917,979-5314,968;0,6706378;-1674,594
Age.Months;LOC;52;6;35;579;6;23;4;NaN;   9,899495- 696,500179-3498,057247- 603,869191;0,2714373;9,899495
Age.Months;LOC;312;6;3;392;6;2;4;0,003247902; 582,0- 361,5- 847,5-2114,5;0,2379924;256,0693
Age.Months;LOC;15;5;8;630;4;7;4;0,004439528;431852,75- 31197,75-585179,75-777963,00;55,27111;-292679,5
Age.Months;LOC;43;5;13;3175;6;39;4;NaN; 5346,081- 9820,653-10206,026-10324,820;0,377453;5346,081
Age.Months;LOC;1237;6;49;82;6;41;4;0,0008589663; 7311,0- 9213,5-12817,5-13076,5;0,1810471;7159,809
Age.Months;LOC;165;6;38;156;5;14;4;0,003165029;1576,5- 709,5- 848,0- 551,0;0,0939481;133,7391
Age.Months;LOC;613;3;4;423;5;11;4;Inf;31604-    0-83374-71816;15,81782;8913,34
