"";"X";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;1;"Active.Developers";15;"haar";1;0,454568645048495;8
"2";2;2;"Active.Developers";15;"haar";1;0,606091526731326;8
"3";3;3;"Active.Developers";15;"haar";1;0,404061017820884;8
"4";4;4;"Active.Developers";15;"haar";1;0,303045763365663;8
"5";5;5;"Active.Developers";15;"haar";1;0,505076272276105;8
"6";6;6;"Active.Developers";15;"haar";1;0;8
"7";7;7;"Active.Developers";15;"haar";1;0;8
"8";8;8;"Active.Developers";15;"haar";1;0;8
"9";9;9;"Active.Developers";15;"haar";1;0,101015254455221;8
"10";10;10;"Active.Developers";15;"haar";1;0;8
"11";11;11;"Active.Developers";15;"haar";1;0;8
"12";12;12;"Active.Developers";15;"haar";1;0;8
"13";13;13;"Active.Developers";15;"haar";1;0;8
"14";14;14;"Active.Developers";15;"haar";1;0;8
"15";15;15;"Active.Developers";15;"haar";1;0;8
"16";16;16;"Active.Developers";15;"haar";1;0;8
"17";17;17;"Active.Developers";15;"haar";1;0;8
"18";18;18;"Active.Developers";15;"haar";1;0;8
"19";19;19;"Active.Developers";15;"haar";1;0;8
"20";20;20;"Active.Developers";15;"haar";1;0;8
"21";21;21;"Active.Developers";15;"haar";1;0;8
"22";22;22;"Active.Developers";15;"haar";1;0;8
"23";23;23;"Active.Developers";15;"haar";1;0;8
"24";24;24;"Active.Developers";15;"haar";1;0;8
"25";25;25;"Active.Developers";15;"haar";1;0;8
"26";26;26;"Active.Developers";15;"haar";1;0;8
"27";27;27;"Active.Developers";15;"haar";1;0;8
"28";28;28;"Active.Developers";15;"haar";1;0,101015254455221;8
"29";29;29;"Active.Developers";15;"haar";1;0,90913729009699;8
"30";30;30;"Active.Developers";15;"haar";1;0,202030508910442;8
"31";31;31;"Active.Developers";15;"haar";1;0,303045763365663;8
"32";32;32;"Active.Developers";15;"haar";1;0,707106781186547;8
"33";33;33;"Active.Developers";15;"haar";1;0,404061017820884;8
"34";34;34;"Active.Developers";15;"haar";1;0;8
"35";35;35;"Active.Developers";15;"haar";1;0;8
"36";36;36;"Active.Developers";15;"haar";1;0;8
"37";37;37;"Active.Developers";15;"haar";1;0;8
"38";38;38;"Active.Developers";15;"haar";1;0;8
"39";39;39;"Active.Developers";15;"haar";1;0;8
"40";40;40;"Active.Developers";15;"haar";1;0;8
"41";41;41;"Active.Developers";15;"haar";1;0;8
"42";42;42;"Active.Developers";15;"haar";1;0;8
"43";43;43;"Active.Developers";15;"haar";1;0;8
"44";44;44;"Active.Developers";15;"haar";1;0,202030508910442;8
"45";45;45;"Active.Developers";15;"haar";1;0,101015254455221;8
"46";46;46;"Active.Developers";15;"haar";1;0,404061017820884;8
