"";"X";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;1;"Relative.Date.Progress";15;"haar";1;0,117379725676967;8
"2";2;2;"Relative.Date.Progress";15;"haar";1;0,960251008851331;8
"3";3;3;"Relative.Date.Progress";15;"haar";1;1,35905923344054;8
"4";4;4;"Relative.Date.Progress";15;"haar";1;2,2026376233961;8
"5";5;5;"Relative.Date.Progress";15;"haar";1;2,88216724011637;8
"6";6;6;"Relative.Date.Progress";15;"haar";1;3,04621601335165;8
"7";7;7;"Relative.Date.Progress";15;"haar";1;3,04621601335165;8
"8";8;8;"Relative.Date.Progress";15;"haar";1;3,04621601335165;8
"9";9;9;"Relative.Date.Progress";15;"haar";1;4,26456099733607;8
"10";10;10;"Relative.Date.Progress";15;"haar";1;5,48290598132049;8
"11";11;11;"Relative.Date.Progress";15;"haar";1;5,48290598132049;8
"12";12;12;"Relative.Date.Progress";15;"haar";1;5,48290598132049;8
"13";13;13;"Relative.Date.Progress";15;"haar";1;5,48290598132049;8
"14";14;14;"Relative.Date.Progress";15;"haar";1;5,48290598132049;8
"15";15;15;"Relative.Date.Progress";15;"haar";1;5,48290598132049;8
"16";16;16;"Relative.Date.Progress";15;"haar";1;5,48290598132049;8
"17";17;17;"Relative.Date.Progress";15;"haar";1;5,48290598132049;8
"18";18;18;"Relative.Date.Progress";15;"haar";1;5,48290598132049;8
"19";19;19;"Relative.Date.Progress";15;"haar";1;5,48290598132049;8
"20";20;20;"Relative.Date.Progress";15;"haar";1;5,48290598132049;8
"21";21;21;"Relative.Date.Progress";15;"haar";1;5,48290598132049;8
"22";22;22;"Relative.Date.Progress";15;"haar";1;5,48290598132049;8
"23";23;23;"Relative.Date.Progress";15;"haar";1;5,48290598132049;8
"24";24;24;"Relative.Date.Progress";15;"haar";1;5,48290598132049;8
"25";25;25;"Relative.Date.Progress";15;"haar";1;5,48290598132049;8
"26";26;26;"Relative.Date.Progress";15;"haar";1;5,48290598132049;8
