"";"X";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;1;"Relative.LOC.Churn.Progress";15;"haar";1;0,92772409691675;8
"2";2;2;"Relative.LOC.Churn.Progress";15;"haar";1;2,71034029228804;8
"3";3;3;"Relative.LOC.Churn.Progress";15;"haar";1;5,97363808746395;8
"4";4;4;"Relative.LOC.Churn.Progress";15;"haar";1;6,48204786313708;8
"5";5;5;"Relative.LOC.Churn.Progress";15;"haar";1;11,1510739393119;8
"6";6;6;"Relative.LOC.Churn.Progress";15;"haar";1;12,3800255250141;8
"7";7;7;"Relative.LOC.Churn.Progress";15;"haar";1;12,3800255250141;8
"8";8;8;"Relative.LOC.Churn.Progress";15;"haar";1;12,3800255250141;8
"9";9;9;"Relative.LOC.Churn.Progress";15;"haar";1;12,4691209794436;8
"10";10;10;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"11";11;11;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"12";12;12;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"13";13;13;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"14";14;14;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"15";15;15;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"16";16;16;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"17";17;17;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"18";18;18;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"19";19;19;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"20";20;20;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"21";21;21;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"22";22;22;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"23";23;23;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"24";24;24;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"25";25;25;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"26";26;26;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"27";27;27;"Relative.LOC.Churn.Progress";15;"haar";1;12,5582164338731;8
"28";28;28;"Relative.LOC.Churn.Progress";15;"haar";1;12,5744798898404;8
"29";29;29;"Relative.LOC.Churn.Progress";15;"haar";1;22,6458017742804;8
"30";30;30;"Relative.LOC.Churn.Progress";15;"haar";1;24,1710311012998;8
"31";31;31;"Relative.LOC.Churn.Progress";15;"haar";1;29,8165716422931;8
"32";32;32;"Relative.LOC.Churn.Progress";15;"haar";1;37,8174848714189;8
"33";33;33;"Relative.LOC.Churn.Progress";15;"haar";1;41,2943289145132;8
"34";34;34;"Relative.LOC.Churn.Progress";15;"haar";1;41,3388766417279;8
"35";35;35;"Relative.LOC.Churn.Progress";15;"haar";1;41,3388766417279;8
"36";36;36;"Relative.LOC.Churn.Progress";15;"haar";1;41,3388766417279;8
"37";37;37;"Relative.LOC.Churn.Progress";15;"haar";1;41,3388766417279;8
"38";38;38;"Relative.LOC.Churn.Progress";15;"haar";1;41,3388766417279;8
"39";39;39;"Relative.LOC.Churn.Progress";15;"haar";1;41,3388766417279;8
"40";40;40;"Relative.LOC.Churn.Progress";15;"haar";1;41,3388766417279;8
"41";41;41;"Relative.LOC.Churn.Progress";15;"haar";1;41,3388766417279;8
"42";42;42;"Relative.LOC.Churn.Progress";15;"haar";1;41,3388766417279;8
"43";43;43;"Relative.LOC.Churn.Progress";15;"haar";1;41,3388766417279;8
"44";44;44;"Relative.LOC.Churn.Progress";15;"haar";1;41,9024407463336;8
"45";45;45;"Relative.LOC.Churn.Progress";15;"haar";1;43,4092852970421;8
"46";46;46;"Relative.LOC.Churn.Progress";15;"haar";1;44,2860977057135;8
"47";47;47;"Relative.LOC.Churn.Progress";15;"haar";1;44,2860977057135;8
"48";48;48;"Relative.LOC.Churn.Progress";15;"haar";1;44,2860977057135;8
"49";49;49;"Relative.LOC.Churn.Progress";15;"haar";1;44,2860977057135;8
"50";50;50;"Relative.LOC.Churn.Progress";15;"haar";1;44,2860977057135;8
"51";51;51;"Relative.LOC.Churn.Progress";15;"haar";1;44,2860977057135;8
"52";52;52;"Relative.LOC.Churn.Progress";15;"haar";1;44,2860977057135;8
"53";53;53;"Relative.LOC.Churn.Progress";15;"haar";1;44,2860977057135;8
"54";54;54;"Relative.LOC.Churn.Progress";15;"haar";1;52,7353166341115;8
"55";55;55;"Relative.LOC.Churn.Progress";15;"haar";1;58,3914637768227;8
"56";56;56;"Relative.LOC.Churn.Progress";15;"haar";1;62,1900414053568;8
"57";57;57;"Relative.LOC.Churn.Progress";15;"haar";1;69,9547809695663;8
"58";58;58;"Relative.LOC.Churn.Progress";15;"haar";1;70,5848131116035;8
"59";59;59;"Relative.LOC.Churn.Progress";15;"haar";1;70,6010765675708;8
"60";60;60;"Relative.LOC.Churn.Progress";15;"haar";1;70,6937075559063;8
"61";61;61;"Relative.LOC.Churn.Progress";15;"haar";1;70,6937075559063;8
"62";62;62;"Relative.LOC.Churn.Progress";15;"haar";1;70,6937075559063;8
"63";63;63;"Relative.LOC.Churn.Progress";15;"haar";1;70,6937075559063;8
"64";64;64;"Relative.LOC.Churn.Progress";15;"haar";1;70,6937075559063;8
"65";65;65;"Relative.LOC.Churn.Progress";15;"haar";1;70,6937075559063;8
"66";66;66;"Relative.LOC.Churn.Progress";15;"haar";1;71,1710046332072;8
"67";67;67;"Relative.LOC.Churn.Progress";15;"haar";1;71,6483017105081;8
"68";68;68;"Relative.LOC.Churn.Progress";15;"haar";1;77,6693159523116;8
"69";69;69;"Relative.LOC.Churn.Progress";15;"haar";1;80,8166482353729;8
"70";70;70;"Relative.LOC.Churn.Progress";15;"haar";1;80,8166482353729;8
"71";71;71;"Relative.LOC.Churn.Progress";15;"haar";1;80,8166482353729;8
"72";72;72;"Relative.LOC.Churn.Progress";15;"haar";1;80,8166482353729;8
"73";73;73;"Relative.LOC.Churn.Progress";15;"haar";1;80,8166482353729;8
"74";74;74;"Relative.LOC.Churn.Progress";15;"haar";1;80,8166482353729;8
"75";75;75;"Relative.LOC.Churn.Progress";15;"haar";1;80,8166482353729;8
"76";76;76;"Relative.LOC.Churn.Progress";15;"haar";1;80,9255426796756;8
"77";77;77;"Relative.LOC.Churn.Progress";15;"haar";1;92,355216690775;8
"78";78;78;"Relative.LOC.Churn.Progress";15;"haar";1;92,355216690775;8
"79";79;79;"Relative.LOC.Churn.Progress";15;"haar";1;92,355216690775;8
"80";80;80;"Relative.LOC.Churn.Progress";15;"haar";1;92,355216690775;8
"81";81;81;"Relative.LOC.Churn.Progress";15;"haar";1;93,8288272227677;8
"82";82;82;"Relative.LOC.Churn.Progress";15;"haar";1;94,254505505042;8
"83";83;83;"Relative.LOC.Churn.Progress";15;"haar";1;94,254505505042;8
"84";84;84;"Relative.LOC.Churn.Progress";15;"haar";1;94,2721831745717;8
"85";85;85;"Relative.LOC.Churn.Progress";15;"haar";1;94,2898608441014;8
"86";86;86;"Relative.LOC.Churn.Progress";15;"haar";1;94,2898608441014;8
"87";87;87;"Relative.LOC.Churn.Progress";15;"haar";1;94,2898608441014;8
"88";88;88;"Relative.LOC.Churn.Progress";15;"haar";1;94,2898608441014;8
