"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Active.Developers";339;"haar";1;0,0015954318831797;4
"2";2;"Active.Developers";339;"haar";1;0,000707106781186548;4
"3";3;"Active.Developers";339;"haar";1;0;4
"4";4;"Active.Developers";339;"haar";1;0,00212132034355964;4
"5";5;"Active.Developers";339;"haar";1;0,000707106781186548;4
"6";6;"Active.Developers";339;"haar";1;0,000707106781186548;4
"7";7;"Active.Developers";339;"haar";1;0,0014142135623731;4
"8";8;"Active.Developers";339;"haar";1;0,0014142135623731;4
"9";9;"Active.Developers";339;"haar";1;0,00158659282743847;4
"10";1;"Active.Developers";339;"haar";2;5e-04;3
"11";2;"Active.Developers";339;"haar";2;0,002;3
"12";3;"Active.Developers";339;"haar";2;0,0015;3
"13";4;"Active.Developers";339;"haar";2;0,00212189054726368;3
