"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Added";147;"haar";1;0,35638181771802;11
"2";2;"Commit.LOC.Added";147;"haar";1;0;11
"3";3;"Commit.LOC.Added";147;"haar";1;1,09672261762034;11
"4";4;"Commit.LOC.Added";147;"haar";1;0,371231060122937;11
"5";5;"Commit.LOC.Added";147;"haar";1;0,634274782724333;11
"6";6;"Commit.LOC.Added";147;"haar";1;0,478711290863293;11
"7";7;"Commit.LOC.Added";147;"haar";1;0;11
"8";8;"Commit.LOC.Added";147;"haar";1;0;11
"9";9;"Commit.LOC.Added";147;"haar";1;0;11
"10";10;"Commit.LOC.Added";147;"haar";1;0;11
"11";11;"Commit.LOC.Added";147;"haar";1;2,04212438406675;11
"12";12;"Commit.LOC.Added";147;"haar";1;0;11
"13";13;"Commit.LOC.Added";147;"haar";1;0;11
"14";14;"Commit.LOC.Added";147;"haar";1;0;11
"15";15;"Commit.LOC.Added";147;"haar";1;1,83352788361672;11
"16";16;"Commit.LOC.Added";147;"haar";1;0;11
"17";17;"Commit.LOC.Added";147;"haar";1;0;11
"18";18;"Commit.LOC.Added";147;"haar";1;0;11
"19";19;"Commit.LOC.Added";147;"haar";1;0;11
"20";20;"Commit.LOC.Added";147;"haar";1;0;11
"21";21;"Commit.LOC.Added";147;"haar";1;0;11
"22";22;"Commit.LOC.Added";147;"haar";1;0;11
"23";23;"Commit.LOC.Added";147;"haar";1;0;11
"24";24;"Commit.LOC.Added";147;"haar";1;0;11
"25";25;"Commit.LOC.Added";147;"haar";1;0;11
"26";26;"Commit.LOC.Added";147;"haar";1;0;11
"27";27;"Commit.LOC.Added";147;"haar";1;0;11
"28";28;"Commit.LOC.Added";147;"haar";1;0;11
"29";29;"Commit.LOC.Added";147;"haar";1;0;11
"30";30;"Commit.LOC.Added";147;"haar";1;0;11
"31";31;"Commit.LOC.Added";147;"haar";1;0;11
"32";32;"Commit.LOC.Added";147;"haar";1;0;11
"33";33;"Commit.LOC.Added";147;"haar";1;0;11
"34";34;"Commit.LOC.Added";147;"haar";1;0;11
"35";35;"Commit.LOC.Added";147;"haar";1;0;11
"36";36;"Commit.LOC.Added";147;"haar";1;0;11
"37";37;"Commit.LOC.Added";147;"haar";1;0;11
"38";38;"Commit.LOC.Added";147;"haar";1;0;11
"39";39;"Commit.LOC.Added";147;"haar";1;0;11
"40";40;"Commit.LOC.Added";147;"haar";1;0;11
"41";41;"Commit.LOC.Added";147;"haar";1;0;11
"42";42;"Commit.LOC.Added";147;"haar";1;0;11
"43";43;"Commit.LOC.Added";147;"haar";1;0;11
"44";44;"Commit.LOC.Added";147;"haar";1;0;11
"45";45;"Commit.LOC.Added";147;"haar";1;0;11
"46";46;"Commit.LOC.Added";147;"haar";1;14,4186143751749;11
"47";47;"Commit.LOC.Added";147;"haar";1;0;11
"48";48;"Commit.LOC.Added";147;"haar";1;0;11
"49";49;"Commit.LOC.Added";147;"haar";1;0;11
"50";50;"Commit.LOC.Added";147;"haar";1;0;11
"51";51;"Commit.LOC.Added";147;"haar";1;0;11
"52";52;"Commit.LOC.Added";147;"haar";1;0;11
"53";53;"Commit.LOC.Added";147;"haar";1;0;11
