"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Churn";351;"haar";1;0;8
"2";2;"Commit.LOC.Churn";351;"haar";1;0;8
"3";3;"Commit.LOC.Churn";351;"haar";1;0;8
"4";4;"Commit.LOC.Churn";351;"haar";1;0;8
"5";5;"Commit.LOC.Churn";351;"haar";1;0;8
"6";6;"Commit.LOC.Churn";351;"haar";1;0;8
"7";7;"Commit.LOC.Churn";351;"haar";1;0;8
"8";8;"Commit.LOC.Churn";351;"haar";1;0,815294118708089;8
"9";9;"Commit.LOC.Churn";351;"haar";1;0;8
"10";10;"Commit.LOC.Churn";351;"haar";1;0;8
"11";11;"Commit.LOC.Churn";351;"haar";1;0;8
"12";12;"Commit.LOC.Churn";351;"haar";1;0;8
"13";13;"Commit.LOC.Churn";351;"haar";1;0;8
"14";14;"Commit.LOC.Churn";351;"haar";1;0;8
"15";15;"Commit.LOC.Churn";351;"haar";1;0;8
"16";16;"Commit.LOC.Churn";351;"haar";1;0;8
"17";17;"Commit.LOC.Churn";351;"haar";1;0;8
"18";18;"Commit.LOC.Churn";351;"haar";1;0;8
"19";19;"Commit.LOC.Churn";351;"haar";1;0;8
"20";20;"Commit.LOC.Churn";351;"haar";1;0;8
"21";21;"Commit.LOC.Churn";351;"haar";1;0;8
"22";22;"Commit.LOC.Churn";351;"haar";1;0;8
"23";23;"Commit.LOC.Churn";351;"haar";1;0;8
"24";24;"Commit.LOC.Churn";351;"haar";1;0;8
"25";25;"Commit.LOC.Churn";351;"haar";1;0;8
"26";26;"Commit.LOC.Churn";351;"haar";1;0;8
"27";27;"Commit.LOC.Churn";351;"haar";1;0;8
"28";28;"Commit.LOC.Churn";351;"haar";1;0;8
"29";29;"Commit.LOC.Churn";351;"haar";1;0;8
"30";30;"Commit.LOC.Churn";351;"haar";1;0;8
"31";31;"Commit.LOC.Churn";351;"haar";1;0;8
"32";32;"Commit.LOC.Churn";351;"haar";1;0;8
"33";33;"Commit.LOC.Churn";351;"haar";1;0;8
"34";34;"Commit.LOC.Churn";351;"haar";1;0;8
"35";35;"Commit.LOC.Churn";351;"haar";1;0;8
"36";36;"Commit.LOC.Churn";351;"haar";1;0;8
"37";37;"Commit.LOC.Churn";351;"haar";1;0;8
"38";38;"Commit.LOC.Churn";351;"haar";1;0;8
"39";39;"Commit.LOC.Churn";351;"haar";1;3,36087853097966;8
"40";40;"Commit.LOC.Churn";351;"haar";1;0;8
"41";41;"Commit.LOC.Churn";351;"haar";1;0;8
"42";42;"Commit.LOC.Churn";351;"haar";1;0;8
"43";43;"Commit.LOC.Churn";351;"haar";1;0;8
"44";44;"Commit.LOC.Churn";351;"haar";1;0;8
"45";45;"Commit.LOC.Churn";351;"haar";1;0;8
"46";46;"Commit.LOC.Churn";351;"haar";1;0;8
"47";47;"Commit.LOC.Churn";351;"haar";1;0;8
"48";48;"Commit.LOC.Churn";351;"haar";1;0;8
"49";49;"Commit.LOC.Churn";351;"haar";1;0;8
"50";50;"Commit.LOC.Churn";351;"haar";1;0;8
"51";51;"Commit.LOC.Churn";351;"haar";1;0;8
"52";52;"Commit.LOC.Churn";351;"haar";1;0;8
"53";53;"Commit.LOC.Churn";351;"haar";1;0;8
"54";54;"Commit.LOC.Churn";351;"haar";1;0;8
"55";55;"Commit.LOC.Churn";351;"haar";1;0;8
"56";56;"Commit.LOC.Churn";351;"haar";1;0;8
"57";57;"Commit.LOC.Churn";351;"haar";1;0;8
"58";58;"Commit.LOC.Churn";351;"haar";1;0;8
"59";59;"Commit.LOC.Churn";351;"haar";1;0;8
"60";60;"Commit.LOC.Churn";351;"haar";1;0;8
"61";61;"Commit.LOC.Churn";351;"haar";1;0;8
"62";62;"Commit.LOC.Churn";351;"haar";1;0;8
"63";63;"Commit.LOC.Churn";351;"haar";1;0;8
"64";64;"Commit.LOC.Churn";351;"haar";1;0;8
"65";65;"Commit.LOC.Churn";351;"haar";1;0;8
"66";66;"Commit.LOC.Churn";351;"haar";1;0;8
"67";67;"Commit.LOC.Churn";351;"haar";1;0;8
"68";68;"Commit.LOC.Churn";351;"haar";1;3,22511402899184;8
"69";69;"Commit.LOC.Churn";351;"haar";1;0;8
"70";70;"Commit.LOC.Churn";351;"haar";1;0;8
"71";71;"Commit.LOC.Churn";351;"haar";1;0;8
"72";72;"Commit.LOC.Churn";351;"haar";1;0;8
"73";73;"Commit.LOC.Churn";351;"haar";1;0;8
"74";74;"Commit.LOC.Churn";351;"haar";1;0,596798123321446;8
"75";75;"Commit.LOC.Churn";351;"haar";1;0;8
"76";76;"Commit.LOC.Churn";351;"haar";1;0,11985459941112;8
"77";77;"Commit.LOC.Churn";351;"haar";1;0;8
"78";78;"Commit.LOC.Churn";351;"haar";1;0,161220346110533;8
"79";79;"Commit.LOC.Churn";351;"haar";1;0;8
"80";80;"Commit.LOC.Churn";351;"haar";1;0;8
"81";81;"Commit.LOC.Churn";351;"haar";1;0;8
"82";82;"Commit.LOC.Churn";351;"haar";1;0;8
"83";83;"Commit.LOC.Churn";351;"haar";1;0;8
"84";84;"Commit.LOC.Churn";351;"haar";1;0;8
"85";85;"Commit.LOC.Churn";351;"haar";1;0;8
"86";86;"Commit.LOC.Churn";351;"haar";1;0;8
"87";87;"Commit.LOC.Churn";351;"haar";1;0,983585532630488;8
"88";88;"Commit.LOC.Churn";351;"haar";1;0;8
"89";89;"Commit.LOC.Churn";351;"haar";1;0;8
"90";90;"Commit.LOC.Churn";351;"haar";1;0;8
"91";91;"Commit.LOC.Churn";351;"haar";1;0;8
"92";92;"Commit.LOC.Churn";351;"haar";1;0;8
"93";93;"Commit.LOC.Churn";351;"haar";1;0;8
"94";94;"Commit.LOC.Churn";351;"haar";1;0;8
"95";95;"Commit.LOC.Churn";351;"haar";1;0;8
"96";96;"Commit.LOC.Churn";351;"haar";1;0,985706852974047;8
"97";97;"Commit.LOC.Churn";351;"haar";1;0;8
"98";98;"Commit.LOC.Churn";351;"haar";1;0;8
"99";99;"Commit.LOC.Churn";351;"haar";1;0;8
"100";100;"Commit.LOC.Churn";351;"haar";1;0;8
"101";101;"Commit.LOC.Churn";351;"haar";1;0;8
"102";102;"Commit.LOC.Churn";351;"haar";1;0;8
"103";103;"Commit.LOC.Churn";351;"haar";1;0;8
"104";104;"Commit.LOC.Churn";351;"haar";1;0,84782103064267;8
"105";105;"Commit.LOC.Churn";351;"haar";1;0;8
"106";106;"Commit.LOC.Churn";351;"haar";1;0;8
"107";107;"Commit.LOC.Churn";351;"haar";1;0;8
"108";108;"Commit.LOC.Churn";351;"haar";1;0;8
"109";109;"Commit.LOC.Churn";351;"haar";1;0;8
"110";110;"Commit.LOC.Churn";351;"haar";1;0,171119841047144;8
"111";111;"Commit.LOC.Churn";351;"haar";1;0;8
"112";112;"Commit.LOC.Churn";351;"haar";1;0;8
"113";113;"Commit.LOC.Churn";351;"haar";1;0;8
"114";114;"Commit.LOC.Churn";351;"haar";1;0,498510280736516;8
"115";115;"Commit.LOC.Churn";351;"haar";1;0;8
"116";116;"Commit.LOC.Churn";351;"haar";1;0;8
"117";117;"Commit.LOC.Churn";351;"haar";1;0;8
"118";118;"Commit.LOC.Churn";351;"haar";1;0;8
"119";119;"Commit.LOC.Churn";351;"haar";1;0,249255140368258;8
"120";120;"Commit.LOC.Churn";351;"haar";1;0;8
"121";121;"Commit.LOC.Churn";351;"haar";1;0;8
"122";122;"Commit.LOC.Churn";351;"haar";1;0;8
"123";123;"Commit.LOC.Churn";351;"haar";1;1,30814754519511;8
"124";124;"Commit.LOC.Churn";351;"haar";1;0;8
"125";125;"Commit.LOC.Churn";351;"haar";1;0;8
"126";126;"Commit.LOC.Churn";351;"haar";1;0;8
"127";127;"Commit.LOC.Churn";351;"haar";1;1,39653589284343;8
"128";128;"Commit.LOC.Churn";351;"haar";1;0,424264068711928;8
"129";129;"Commit.LOC.Churn";351;"haar";1;0;8
"130";130;"Commit.LOC.Churn";351;"haar";1;0;8
"131";131;"Commit.LOC.Churn";351;"haar";1;0;8
"132";132;"Commit.LOC.Churn";351;"haar";1;1,14197745161627;8
"133";133;"Commit.LOC.Churn";351;"haar";1;1,12288556852424;8
"134";134;"Commit.LOC.Churn";351;"haar";1;1,52098668633226;8
"135";135;"Commit.LOC.Churn";351;"haar";1;1,57755522882719;8
"136";136;"Commit.LOC.Churn";351;"haar";1;1,29400540957138;8
"137";137;"Commit.LOC.Churn";351;"haar";1;1,30673333163274;8
"138";138;"Commit.LOC.Churn";351;"haar";1;0,321026478658693;8
"139";139;"Commit.LOC.Churn";351;"haar";1;2,33840212538391;8
"140";140;"Commit.LOC.Churn";351;"haar";1;0;8
"141";141;"Commit.LOC.Churn";351;"haar";1;3,10278455584657;8
"142";142;"Commit.LOC.Churn";351;"haar";1;1,56482730676583;8
"143";143;"Commit.LOC.Churn";351;"haar";1;0,836507322143686;8
"144";144;"Commit.LOC.Churn";351;"haar";1;0;8
"145";145;"Commit.LOC.Churn";351;"haar";1;0;8
"146";146;"Commit.LOC.Churn";351;"haar";1;0;8
"147";147;"Commit.LOC.Churn";351;"haar";1;0;8
"148";148;"Commit.LOC.Churn";351;"haar";1;0;8
"149";149;"Commit.LOC.Churn";351;"haar";1;0;8
"150";150;"Commit.LOC.Churn";351;"haar";1;0;8
"151";151;"Commit.LOC.Churn";351;"haar";1;11,2635039175205;8
"152";152;"Commit.LOC.Churn";351;"haar";1;0;8
"153";153;"Commit.LOC.Churn";351;"haar";1;0;8
"154";154;"Commit.LOC.Churn";351;"haar";1;0;8
"155";155;"Commit.LOC.Churn";351;"haar";1;0;8
"156";156;"Commit.LOC.Churn";351;"haar";1;0;8
"157";157;"Commit.LOC.Churn";351;"haar";1;0;8
"158";158;"Commit.LOC.Churn";351;"haar";1;0;8
"159";159;"Commit.LOC.Churn";351;"haar";1;11,5449324164328;8
"160";160;"Commit.LOC.Churn";351;"haar";1;1,45239732855717;8
"161";161;"Commit.LOC.Churn";351;"haar";1;1,66170093578839;8
"162";162;"Commit.LOC.Churn";351;"haar";1;1,56058466607871;8
"163";163;"Commit.LOC.Churn";351;"haar";1;1,31380439944461;8
"164";164;"Commit.LOC.Churn";351;"haar";1;1,07550941418474;8
"165";165;"Commit.LOC.Churn";351;"haar";1;1,74938217665552;8
"166";166;"Commit.LOC.Churn";351;"haar";1;1,4297699115592;8
"167";167;"Commit.LOC.Churn";351;"haar";1;1,33643181644257;8
"168";168;"Commit.LOC.Churn";351;"haar";1;1,21268812973493;8
"169";169;"Commit.LOC.Churn";351;"haar";1;0;8
"170";170;"Commit.LOC.Churn";351;"haar";1;0;8
"171";171;"Commit.LOC.Churn";351;"haar";1;3,6741268350453;8
"172";172;"Commit.LOC.Churn";351;"haar";1;0;8
"173";173;"Commit.LOC.Churn";351;"haar";1;3,45421662609628;8
"174";174;"Commit.LOC.Churn";351;"haar";1;1,28339880785358;8
"175";175;"Commit.LOC.Churn";351;"haar";1;1,68149992566161;8
"176";176;"Commit.LOC.Churn";351;"haar";1;0;8
