Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Cumulative.LOC.Churn;Commit.LOC.Churn;15;3;2;168;5;11;4;0,003937867;6,339743-5,689558-5,523388-5,812241;5,684699;-58,71842
Cumulative.LOC.Churn;Commit.LOC.Churn;15;4;7;18;5;18;4;0,003418482;4,04125-3,77000-4,16325-4,05650;0,684084;1,264125
Cumulative.LOC.Churn;Commit.LOC.Churn;15;4;4;18;6;40;4;0,002577047;3,94600-4,10900-3,93725-4,04125;0,4044155;2,819584
Cumulative.LOC.Churn;Commit.LOC.Churn;15;4;7;169;3;1;4;0,001031022;4,04125-3,77000-4,16325-4,05650;0,5269109;-7,781099
Cumulative.LOC.Churn;Commit.LOC.Churn;15;4;4;170;6;6;4;0,003917499;3,94600-4,10900-3,93725-4,04125;0,1094832;3,409041
Cumulative.LOC.Churn;Commit.LOC.Churn;15;5;11;15;5;15;4;0,0004386557;2,845398-2,804385-2,763727-2,910805;0,4444444;1,599004
Cumulative.LOC.Churn;Commit.LOC.Churn;15;5;22;168;5;24;4;0,000456356;2,730139-2,932018-2,795547-2,809335;1,182807;-10,53402
Cumulative.LOC.Churn;Commit.LOC.Churn;15;5;12;168;6;21;4;0,001852302;2,804385-2,763727-2,910805-2,804385;0,4869298;-1,100487
Cumulative.LOC.Churn;Commit.LOC.Churn;15;6;17;170;4;8;4;0,001717332;2,006-2,166-2,114-2,080;0,2641564;-0,8568059
Cumulative.LOC.Churn;Commit.LOC.Churn;17;6;26;137;6;5;4;0,002289713;3,78825-2,54150-5,06325-2,53950;8,267241;-20,32584
Cumulative.LOC.Churn;Commit.LOC.Churn;18;4;6;147;3;1;4;0,004029413;5,515610-5,713953-5,497578-5,460798;0,1640703;4,26862
Cumulative.LOC.Churn;Commit.LOC.Churn;18;5;3;18;6;23;4;0,003662941;4,29000-3,32125-4,63800-3,84400;1,545425;-0,2690807
Cumulative.LOC.Churn;Commit.LOC.Churn;18;5;12;139;6;17;4;0,004291208;3,89575-3,90450-4,13750-3,94325;0,018466;3,656474
Cumulative.LOC.Churn;Commit.LOC.Churn;18;5;11;140;5;15;4;0,001004303;4,01975-3,89575-3,90450-4,13750;0,1926981;1,850568
Cumulative.LOC.Churn;Commit.LOC.Churn;18;5;18;169;3;1;4;0,002632675;4,059625-3,663109-4,224000-4,095919;0,7702429;-13,22239
Cumulative.LOC.Churn;Commit.LOC.Churn;18;5;15;378;6;4;4;0,002301934;3,943250-4,033000-3,741750-4,059625;0,2505318;2,76421
Cumulative.LOC.Churn;Commit.LOC.Churn;18;6;23;18;5;3;4;0,003662941;2,950049-2,323199-3,186223-2,656247;0,6470711;0,1741143
Cumulative.LOC.Churn;Commit.LOC.Churn;18;6;35;138;6;13;4;0,000627343;2,633619-3,017401-2,723775-2,691403;0,3092609;-0,5377966
Cumulative.LOC.Churn;Commit.LOC.Churn;18;6;5;168;5;10;4;0,003121113;2,502804-3,173849-2,893127-2,804032;2,449032;-24,85394
Cumulative.LOC.Churn;Commit.LOC.Churn;18;6;20;169;6;53;4;0,004707009;3,088289-2,670389-2,734735-2,950049;0,6371238;-2,275895
Cumulative.LOC.Churn;Commit.LOC.Churn;126;5;2;140;6;31;4;0,004536848;10,470053- 7,405644- 8,991590- 9,112680;1,611019;-3,893939
Cumulative.LOC.Churn;Commit.LOC.Churn;126;6;13;168;6;26;4;0,003335238;5,082403-9,395250-7,644615-8,181875;17,38175;-131,6099
Cumulative.LOC.Churn;Commit.LOC.Churn;137;4;2;344;5;4;4;0,003357138;5,544438-6,522974-5,607116-6,354044;2,11347;-2,341447
Cumulative.LOC.Churn;Commit.LOC.Churn;137;4;1;385;6;17;4;0,00451174;5,936682-5,544438-6,522974-5,607116;5,245557;-1,818262
Cumulative.LOC.Churn;Commit.LOC.Churn;137;5;6;140;5;10;4;0,0034704;4,723702-4,501177-3,799771-4,129889;2,877247;-28,5491
Cumulative.LOC.Churn;Commit.LOC.Churn;137;6;10;139;6;20;4;0,001820599;3,198621-2,396008-3,180011-3,500313;0,07340068;2,053802
Cumulative.LOC.Churn;Commit.LOC.Churn;138;6;26;168;6;27;4;0,004449365;8,090397-7,287106-7,512848-7,220084;8,093606;-57,56696
Cumulative.LOC.Churn;Commit.LOC.Churn;139;4;1;169;4;2;4;0,002556124;32,79724-29,20616-31,93269-34,29430;8,450926;-100,3986
