"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Modified";170;"haar";1;0,0417193000900063;10
"2";2;"Commit.LOC.Modified";170;"haar";1;0;10
"3";3;"Commit.LOC.Modified";170;"haar";1;0;10
"4";4;"Commit.LOC.Modified";170;"haar";1;0;10
"5";5;"Commit.LOC.Modified";170;"haar";1;0;10
"6";6;"Commit.LOC.Modified";170;"haar";1;0;10
"7";7;"Commit.LOC.Modified";170;"haar";1;0;10
"8";8;"Commit.LOC.Modified";170;"haar";1;0;10
"9";9;"Commit.LOC.Modified";170;"haar";1;0;10
"10";10;"Commit.LOC.Modified";170;"haar";1;0,00989949493661166;10
"11";11;"Commit.LOC.Modified";170;"haar";1;0;10
"12";12;"Commit.LOC.Modified";170;"haar";1;0;10
"13";13;"Commit.LOC.Modified";170;"haar";1;0;10
"14";14;"Commit.LOC.Modified";170;"haar";1;0;10
"15";15;"Commit.LOC.Modified";170;"haar";1;0;10
"16";16;"Commit.LOC.Modified";170;"haar";1;0;10
"17";17;"Commit.LOC.Modified";170;"haar";1;0;10
"18";18;"Commit.LOC.Modified";170;"haar";1;0;10
"19";19;"Commit.LOC.Modified";170;"haar";1;0,00707106781186547;10
"20";20;"Commit.LOC.Modified";170;"haar";1;0,165462986797652;10
"21";21;"Commit.LOC.Modified";170;"haar";1;0,131521861300698;10
"22";22;"Commit.LOC.Modified";170;"haar";1;0,267993470069701;10
"23";23;"Commit.LOC.Modified";170;"haar";1;0,0883883476483184;10
"24";24;"Commit.LOC.Modified";170;"haar";1;0,207889393668845;10
"25";25;"Commit.LOC.Modified";170;"haar";1;0,260922402257836;10
"26";26;"Commit.LOC.Modified";170;"haar";1;0,142835569799683;10
"27";27;"Commit.LOC.Modified";170;"haar";1;0,522551911296859;10
"28";28;"Commit.LOC.Modified";170;"haar";1;0,187383297014435;10
"29";29;"Commit.LOC.Modified";170;"haar";1;0,0502045814642449;10
"30";30;"Commit.LOC.Modified";170;"haar";1;0,132936074863071;10
"31";31;"Commit.LOC.Modified";170;"haar";1;0,153442171517481;10
"32";32;"Commit.LOC.Modified";170;"haar";1;0,0332340187157677;10
"33";33;"Commit.LOC.Modified";170;"haar";1;0,132936074863071;10
"34";34;"Commit.LOC.Modified";170;"haar";1;0;10
"35";35;"Commit.LOC.Modified";170;"haar";1;0,217788888605457;10
"36";36;"Commit.LOC.Modified";170;"haar";1;0,210010714012405;10
"37";37;"Commit.LOC.Modified";170;"haar";1;0,161220346110533;10
"38";38;"Commit.LOC.Modified";170;"haar";1;0,132936074863071;10
"39";39;"Commit.LOC.Modified";170;"haar";1;0,195868578388674;10
"40";40;"Commit.LOC.Modified";170;"haar";1;0,0381837661840736;10
"41";41;"Commit.LOC.Modified";170;"haar";1;0,0339411254969543;10
"42";42;"Commit.LOC.Modified";170;"haar";1;0,0318198051533946;10
"43";43;"Commit.LOC.Modified";170;"haar";1;0;10
"44";44;"Commit.LOC.Modified";170;"haar";1;0,127986327394765;10
"45";45;"Commit.LOC.Modified";170;"haar";1;0;10
"46";46;"Commit.LOC.Modified";170;"haar";1;0,137885822331377;10
"47";47;"Commit.LOC.Modified";170;"haar";1;0,0841457069611991;10
"48";48;"Commit.LOC.Modified";170;"haar";1;0,0869741340859453;10
"49";49;"Commit.LOC.Modified";170;"haar";1;0,264457936163769;10
"50";50;"Commit.LOC.Modified";170;"haar";1;0,308298556597335;10
"51";51;"Commit.LOC.Modified";170;"haar";1;0,103944696834422;10
"52";52;"Commit.LOC.Modified";170;"haar";1;0,1576848122046;10
"53";53;"Commit.LOC.Modified";170;"haar";1;0,188797510576808;10
"54";54;"Commit.LOC.Modified";170;"haar";1;0,144249783362056;10
"55";55;"Commit.LOC.Modified";170;"haar";1;0,222738636073762;10
"56";56;"Commit.LOC.Modified";170;"haar";1;0,11879393923934;10
"57";57;"Commit.LOC.Modified";170;"haar";1;0,0707106781186548;10
"58";58;"Commit.LOC.Modified";170;"haar";1;0,202939646200539;10
"59";59;"Commit.LOC.Modified";170;"haar";1;0,10040916292849;10
"60";60;"Commit.LOC.Modified";170;"haar";1;0,352139177030901;10
"61";61;"Commit.LOC.Modified";170;"haar";1;0,550129075763134;10
"62";62;"Commit.LOC.Modified";170;"haar";1;0,286378246380552;10
"63";63;"Commit.LOC.Modified";170;"haar";1;0,338704148188356;10
"64";64;"Commit.LOC.Modified";170;"haar";1;0,111722871427475;10
"65";65;"Commit.LOC.Modified";170;"haar";1;0,114551298552221;10
"66";66;"Commit.LOC.Modified";170;"haar";1;0,138946482503157;10
"67";67;"Commit.LOC.Modified";170;"haar";1;0,35638181771802;10
"68";68;"Commit.LOC.Modified";170;"haar";1;0,236173664916307;10
"69";69;"Commit.LOC.Modified";170;"haar";1;0,0120208152801713;10
"70";70;"Commit.LOC.Modified";170;"haar";1;0,00212132034355964;10
"71";71;"Commit.LOC.Modified";170;"haar";1;0,380423448278363;10
"72";72;"Commit.LOC.Modified";170;"haar";1;0,279307178568686;10
"73";73;"Commit.LOC.Modified";170;"haar";1;0,745997654151808;10
"74";74;"Commit.LOC.Modified";170;"haar";1;0,410829039869384;10
"75";75;"Commit.LOC.Modified";170;"haar";1;0,311834090503267;10
"76";76;"Commit.LOC.Modified";170;"haar";1;0,270821897194448;10
"77";77;"Commit.LOC.Modified";170;"haar";1;0,311834090503267;10
"78";78;"Commit.LOC.Modified";170;"haar";1;0,248194480196478;10
"79";79;"Commit.LOC.Modified";170;"haar";1;0,407057803703056;10
"80";80;"Commit.LOC.Modified";170;"haar";1;0,642760064098572;10
"81";81;"Commit.LOC.Modified";170;"haar";1;0,670337228564847;10
"82";82;"Commit.LOC.Modified";170;"haar";1;0,761554003337912;10
"83";83;"Commit.LOC.Modified";170;"haar";1;0;10
"84";84;"Commit.LOC.Modified";170;"haar";1;0,956008368164212;10
"85";85;"Commit.LOC.Modified";170;"haar";1;0;10
"86";86;"Commit.LOC.Modified";170;"haar";1;0;10
"87";87;"Commit.LOC.Modified";170;"haar";1;1,10992194420248;10
"88";88;"Commit.LOC.Modified";170;"haar";1;0,474468650176173;10
"89";89;"Commit.LOC.Modified";170;"haar";1;0,649831131910437;10
"90";90;"Commit.LOC.Modified";170;"haar";1;0,129046987566545;10
"91";91;"Commit.LOC.Modified";170;"haar";1;0,667862354830694;10
"92";92;"Commit.LOC.Modified";170;"haar";1;0,25491199461775;10
"93";93;"Commit.LOC.Modified";170;"haar";1;0,431335136523794;10
