"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Removed";169;"haar";1;0;11
"2";2;"Commit.LOC.Removed";169;"haar";1;0;11
"3";3;"Commit.LOC.Removed";169;"haar";1;0;11
"4";4;"Commit.LOC.Removed";169;"haar";1;0;11
"5";5;"Commit.LOC.Removed";169;"haar";1;0;11
"6";6;"Commit.LOC.Removed";169;"haar";1;0;11
"7";7;"Commit.LOC.Removed";169;"haar";1;0;11
"8";8;"Commit.LOC.Removed";169;"haar";1;0;11
"9";9;"Commit.LOC.Removed";169;"haar";1;0;11
"10";10;"Commit.LOC.Removed";169;"haar";1;0;11
"11";11;"Commit.LOC.Removed";169;"haar";1;0;11
"12";12;"Commit.LOC.Removed";169;"haar";1;0;11
"13";13;"Commit.LOC.Removed";169;"haar";1;0;11
"14";14;"Commit.LOC.Removed";169;"haar";1;0;11
"15";15;"Commit.LOC.Removed";169;"haar";1;0;11
"16";16;"Commit.LOC.Removed";169;"haar";1;0;11
"17";17;"Commit.LOC.Removed";169;"haar";1;0;11
"18";18;"Commit.LOC.Removed";169;"haar";1;0;11
"19";19;"Commit.LOC.Removed";169;"haar";1;0;11
"20";20;"Commit.LOC.Removed";169;"haar";1;0;11
"21";21;"Commit.LOC.Removed";169;"haar";1;0;11
"22";22;"Commit.LOC.Removed";169;"haar";1;0;11
"23";23;"Commit.LOC.Removed";169;"haar";1;0;11
"24";24;"Commit.LOC.Removed";169;"haar";1;0;11
"25";25;"Commit.LOC.Removed";169;"haar";1;0;11
"26";26;"Commit.LOC.Removed";169;"haar";1;0;11
"27";27;"Commit.LOC.Removed";169;"haar";1;0;11
"28";28;"Commit.LOC.Removed";169;"haar";1;0;11
"29";29;"Commit.LOC.Removed";169;"haar";1;0,00282842712474619;11
"30";30;"Commit.LOC.Removed";169;"haar";1;0,00353553390593274;11
"31";31;"Commit.LOC.Removed";169;"haar";1;0,000707106781186548;11
"32";32;"Commit.LOC.Removed";169;"haar";1;0;11
"33";33;"Commit.LOC.Removed";169;"haar";1;0,00353553390593274;11
"34";34;"Commit.LOC.Removed";169;"haar";1;0,00565685424949238;11
"35";35;"Commit.LOC.Removed";169;"haar";1;0,00707106781186547;11
"36";36;"Commit.LOC.Removed";169;"haar";1;0;11
"37";37;"Commit.LOC.Removed";169;"haar";1;0;11
"38";38;"Commit.LOC.Removed";169;"haar";1;0;11
"39";39;"Commit.LOC.Removed";169;"haar";1;0;11
"40";40;"Commit.LOC.Removed";169;"haar";1;0;11
"41";41;"Commit.LOC.Removed";169;"haar";1;0,00919238815542512;11
"42";42;"Commit.LOC.Removed";169;"haar";1;0;11
"43";43;"Commit.LOC.Removed";169;"haar";1;0;11
"44";44;"Commit.LOC.Removed";169;"haar";1;0;11
"45";45;"Commit.LOC.Removed";169;"haar";1;0;11
"46";46;"Commit.LOC.Removed";169;"haar";1;0,0424264068711928;11
"47";47;"Commit.LOC.Removed";169;"haar";1;0,105358910396796;11
"48";48;"Commit.LOC.Removed";169;"haar";1;1,05995306499863;11
"49";49;"Commit.LOC.Removed";169;"haar";1;1,0825804819966;11
"50";50;"Commit.LOC.Removed";169;"haar";1;0,0685893577750951;11
"51";51;"Commit.LOC.Removed";169;"haar";1;0;11
"52";52;"Commit.LOC.Removed";169;"haar";1;0;11
"53";53;"Commit.LOC.Removed";169;"haar";1;0,0233345237791561;11
"54";54;"Commit.LOC.Removed";169;"haar";1;0;11
"55";55;"Commit.LOC.Removed";169;"haar";1;0;11
"56";56;"Commit.LOC.Removed";169;"haar";1;0,0106066017177982;11
"57";57;"Commit.LOC.Removed";169;"haar";1;0,49568185361177;11
"58";58;"Commit.LOC.Removed";169;"haar";1;0,0685893577750951;11
"59";59;"Commit.LOC.Removed";169;"haar";1;1,49199530830362;11
"60";60;"Commit.LOC.Removed";169;"haar";1;1,72746186643874;11
"61";61;"Commit.LOC.Removed";169;"haar";1;0,205060966544099;11
"62";62;"Commit.LOC.Removed";169;"haar";1;0,181019335983756;11
"63";63;"Commit.LOC.Removed";169;"haar";1;0,00212132034355964;11
"64";64;"Commit.LOC.Removed";169;"haar";1;0,0212132034355964;11
"65";65;"Commit.LOC.Removed";169;"haar";1;0;11
"66";66;"Commit.LOC.Removed";169;"haar";1;0;11
