"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commits";121;"haar";1;3,53553390593274;6
"2";2;"Commits";121;"haar";1;11,3137084989848;6
"3";3;"Commits";121;"haar";1;1,41421356237309;6
"4";4;"Commits";121;"haar";1;1,41421356237309;6
"5";5;"Commits";121;"haar";1;3,53553390593274;6
"6";6;"Commits";121;"haar";1;0,707106781186547;6
"7";7;"Commits";121;"haar";1;6,36396103067893;6
"8";8;"Commits";121;"haar";1;0,707106781186547;6
"9";9;"Commits";121;"haar";1;14,8492424049175;6
"10";10;"Commits";121;"haar";1;0,707106781186547;6
"11";11;"Commits";121;"haar";1;1,41421356237309;6
"12";12;"Commits";121;"haar";1;4,94974746830583;6
"13";13;"Commits";121;"haar";1;2,12132034355964;6
"14";14;"Commits";121;"haar";1;7,07106781186548;6
"15";15;"Commits";121;"haar";1;1,41421356237309;6
"16";16;"Commits";121;"haar";1;2,82842712474619;6
"17";17;"Commits";121;"haar";1;89,8025612106915;6
"18";18;"Commits";121;"haar";1;98,9949493661167;6
"19";19;"Commits";121;"haar";1;0,707106781186547;6
"20";20;"Commits";121;"haar";1;73,5391052434009;6
"21";21;"Commits";121;"haar";1;92,6309883354377;6
"22";22;"Commits";121;"haar";1;0,707106781186547;6
"23";23;"Commits";121;"haar";1;127,986327394765;6
"24";24;"Commits";121;"haar";1;48,7903679018718;6
"25";25;"Commits";121;"haar";1;185,261976670875;6
"26";26;"Commits";121;"haar";1;25,4558441227157;6
"27";27;"Commits";121;"haar";1;0,707106781186547;6
"28";28;"Commits";121;"haar";1;14,1421356237309;6
"29";29;"Commits";121;"haar";1;0,707106781186547;6
"30";30;"Commits";121;"haar";1;15,556349186104;6
"31";31;"Commits";121;"haar";1;70,0035713374682;6
"32";32;"Commits";121;"haar";1;156,977705423414;6
"33";1;"Commits";121;"haar";2;10,5;5
"34";2;"Commits";121;"haar";2;2;5
"35";3;"Commits";121;"haar";2;3;5
"36";4;"Commits";121;"haar";2;5;5
"37";5;"Commits";121;"haar";2;11;5
"38";6;"Commits";121;"haar";2;4,5;5
"39";7;"Commits";121;"haar";2;6,5;5
"40";8;"Commits";121;"haar";2;3;5
"41";9;"Commits";121;"haar";2;133,5;5
"42";10;"Commits";121;"haar";2;52,5;5
"43";11;"Commits";121;"haar";2;66;5
"44";12;"Commits";121;"haar";2;125;5
"45";13;"Commits";121;"haar";2;149;5
"46";14;"Commits";121;"haar";2;10,5;5
"47";15;"Commits";121;"haar";2;11,5;5
"48";16;"Commits";121;"haar";2;160,5;5
"49";1;"Commits";121;"haar";3;8,83883476483184;4
"50";2;"Commits";121;"haar";3;5,65685424949238;4
"51";3;"Commits";121;"haar";3;10,9601551083915;4
"52";4;"Commits";121;"haar";3;6,7175144212722;4
"53";5;"Commits";121;"haar";3;131,521861300698;4
"54";6;"Commits";121;"haar";3;135,057395206631;4
"55";7;"Commits";121;"haar";3;112,783531599254;4
"56";8;"Commits";121;"haar";3;121,622366364086;4
"57";1;"Commits";121;"haar";4;10,25;3
"58";2;"Commits";121;"haar";4;12,5;3
"59";3;"Commits";121;"haar";4;188,5;3
"60";4;"Commits";121;"haar";4;165,75;3
