Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Cumulative.LOC.Churn;Commits;17;5;2;17;6;7;4;5,329071e-15;0,8838835-1,0606602-1,2374369-1,0606602;0,7071068;0,5303301
Cumulative.LOC.Churn;Commits;17;5;2;17;6;7;5;5,329071e-15;0,8838835-1,0606602-1,2374369-1,0606602-1,0606602;0,7071068;0,5303301
Cumulative.LOC.Churn;Commits;17;5;2;17;6;29;4;7,105427e-15;0,8838835-1,0606602-1,2374369-1,0606602;0,7071068;0,7071068
Cumulative.LOC.Churn;Commits;17;5;3;17;6;8;4;0;1,060660-1,237437-1,060660-1,060660;0,7071068;0,5303301
Cumulative.LOC.Churn;Commits;17;5;4;17;6;2;4;0;1,237437-1,060660-1,060660-1,237437;0,7071068;0,7071068
Cumulative.LOC.Churn;Commits;17;5;10;17;6;5;4;4,440892e-15;1,0606602-1,4142136-0,7071068-1,0606602;1,414214;1,021405e-14
Cumulative.LOC.Churn;Commits;17;5;2;344;6;13;4;7,771561e-15;0,8838835-1,0606602-1,2374369-1,0606602;0,5;0,5303301
Cumulative.LOC.Churn;Commits;17;5;2;344;6;21;4;NaN;0,8838835-1,0606602-1,2374369-1,0606602;0,5;0,8838835
Cumulative.LOC.Churn;Commits;17;5;2;344;6;21;5;NaN;0,8838835-1,0606602-1,2374369-1,0606602-1,0606602;0,5;0,8838835
Cumulative.LOC.Churn;Commits;17;5;3;344;6;22;4;1,110223e-16;1,060660-1,237437-1,060660-1,060660;0,5;0,8838835
Cumulative.LOC.Churn;Commits;17;5;4;369;4;5;4;0;1,237437-1,060660-1,060660-1,237437;0,08838835;0,9722718
Cumulative.LOC.Churn;Commits;17;5;12;369;4;7;4;8,881784e-16;0,7071068-1,0606602-0,8838835-0,8838835;0,1767767;0,5303301
Cumulative.LOC.Churn;Commits;17;5;2;369;5;14;4;NaN;0,8838835-1,0606602-1,2374369-1,0606602;0,125;0,8838835
Cumulative.LOC.Churn;Commits;17;5;2;369;5;14;5;NaN;0,8838835-1,0606602-1,2374369-1,0606602-1,0606602;0,125;0,8838835
Cumulative.LOC.Churn;Commits;17;5;3;369;5;15;4;6,661338e-16;1,060660-1,237437-1,060660-1,060660;0,125;0,8838835
Cumulative.LOC.Churn;Commits;17;5;3;371;5;15;4;0;1,060660-1,237437-1,060660-1,060660;0,08838835;0,9722718
