Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Cumulative.LOC.Churn;Cumulative.Developers;15;3;1;15;4;2;4;1,110223e-16; 6,540738-11,313708-11,313708-11,313708;1,735626;-2,571297
Cumulative.LOC.Churn;Cumulative.Developers;15;3;1;15;4;2;5;1,110223e-16; 6,540738-11,313708-11,313708-11,313708-11,313708;1,735626;-2,571297
Cumulative.LOC.Churn;Cumulative.Developers;15;3;1;15;4;2;6;1,110223e-16; 6,540738-11,313708-11,313708-11,313708-11,313708-11,313708;1,735626;-2,571297
Cumulative.LOC.Churn;Cumulative.Developers;15;3;1;15;4;2;7;1,110223e-16; 6,540738-11,313708-11,313708-11,313708-11,313708-11,313708-11,313708;1,735626;-2,571297
Cumulative.LOC.Churn;Cumulative.Developers;15;3;1;15;5;5;4;2,220446e-16; 6,540738-11,313708-11,313708-11,313708;4,5;-14,14214
Cumulative.LOC.Churn;Cumulative.Developers;15;3;1;15;5;5;5;2,220446e-16; 6,540738-11,313708-11,313708-11,313708-11,313708;4,5;-14,14214
Cumulative.LOC.Churn;Cumulative.Developers;15;3;1;15;5;5;6;2,220446e-16; 6,540738-11,313708-11,313708-11,313708-11,313708-11,313708;4,5;-14,14214
Cumulative.LOC.Churn;Cumulative.Developers;15;3;1;15;5;5;7;2,220446e-16; 6,540738-11,313708-11,313708-11,313708-11,313708-11,313708-11,313708;4,5;-14,14214
Cumulative.LOC.Churn;Cumulative.Developers;15;3;1;15;6;9;4;0; 6,540738-11,313708-11,313708-11,313708;3,181981;-1,414214
Cumulative.LOC.Churn;Cumulative.Developers;15;3;1;15;6;9;5;0; 6,540738-11,313708-11,313708-11,313708-11,313708;3,181981;-1,414214
Cumulative.LOC.Churn;Cumulative.Developers;15;3;1;15;6;9;6;0; 6,540738-11,313708-11,313708-11,313708-11,313708-11,313708;3,181981;-1,414214
Cumulative.LOC.Churn;Cumulative.Developers;15;3;1;15;6;9;7;0; 6,540738-11,313708-11,313708-11,313708-11,313708-11,313708-11,313708;3,181981;-1,414214
Cumulative.LOC.Churn;Cumulative.Developers;15;3;1;17;4;1;4;4,440892e-16; 6,540738-11,313708-11,313708-11,313708;3,818377;-202,5154
Cumulative.LOC.Churn;Cumulative.Developers;15;3;1;17;4;1;5;4,440892e-16; 6,540738-11,313708-11,313708-11,313708-11,313708;3,818377;-202,5154
Cumulative.LOC.Churn;Cumulative.Developers;15;3;1;17;4;1;6;4,440892e-16; 6,540738-11,313708-11,313708-11,313708-11,313708-11,313708;3,818377;-202,5154
Cumulative.LOC.Churn;Cumulative.Developers;15;3;1;17;5;1;4;8,881784e-16; 6,540738-11,313708-11,313708-11,313708;2,7;-95,60084
