"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Churn";339;"haar";1;2583,06107167446;4
"2";2;"Cumulative.LOC.Churn";339;"haar";1;5115,21045510348;4
"3";3;"Cumulative.LOC.Churn";339;"haar";1;6768,42610951763;4
"4";4;"Cumulative.LOC.Churn";339;"haar";1;11074,7064069437;4
"5";5;"Cumulative.LOC.Churn";339;"haar";1;14079,9102269865;4
"6";6;"Cumulative.LOC.Churn";339;"haar";1;15534,4288758873;4
"7";7;"Cumulative.LOC.Churn";339;"haar";1;20228,9107961847;4
"8";8;"Cumulative.LOC.Churn";339;"haar";1;22613,2748623458;4
"9";9;"Cumulative.LOC.Churn";339;"haar";1;25752,8289708141;4
"10";1;"Cumulative.LOC.Churn";339;"haar";2;8403;3
"11";2;"Cumulative.LOC.Churn";339;"haar";2;17787;3
"12";3;"Cumulative.LOC.Churn";339;"haar";2;25288,5;3
"13";4;"Cumulative.LOC.Churn";339;"haar";2;34200;3
