"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Modified";139;"haar";1;0;13
"2";2;"Cumulative.LOC.Modified";139;"haar";1;0;13
"3";3;"Cumulative.LOC.Modified";139;"haar";1;0;13
"4";4;"Cumulative.LOC.Modified";139;"haar";1;35,3553390593274;13
"5";5;"Cumulative.LOC.Modified";139;"haar";1;45,254833995939;13
"6";6;"Cumulative.LOC.Modified";139;"haar";1;45,254833995939;13
"7";7;"Cumulative.LOC.Modified";139;"haar";1;46,6690475583121;13
"8";8;"Cumulative.LOC.Modified";139;"haar";1;46,6690475583121;13
"9";9;"Cumulative.LOC.Modified";139;"haar";1;74,2462120245875;13
"10";10;"Cumulative.LOC.Modified";139;"haar";1;101,823376490863;13
"11";11;"Cumulative.LOC.Modified";139;"haar";1;101,823376490863;13
"12";12;"Cumulative.LOC.Modified";139;"haar";1;704,985460842988;13
"13";13;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"14";14;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"15";15;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"16";16;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"17";17;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"18";18;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"19";19;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"20";20;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"21";21;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"22";22;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"23";23;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"24";24;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"25";25;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"26";26;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"27";27;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"28";28;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"29";29;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"30";30;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"31";31;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"32";32;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"33";33;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"34";34;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"35";35;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"36";36;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"37";37;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"38";38;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"39";39;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"40";40;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"41";41;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"42";42;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"43";43;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"44";44;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"45";45;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"46";46;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"47";47;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"48";48;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"49";49;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"50";50;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"51";51;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"52";52;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"53";53;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"54";54;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"55";55;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"56";56;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"57";57;"Cumulative.LOC.Modified";139;"haar";1;978,635785162182;13
"58";58;"Cumulative.LOC.Modified";139;"haar";1;1291,88408922782;13
"59";59;"Cumulative.LOC.Modified";139;"haar";1;1467,95367774327;13
"60";60;"Cumulative.LOC.Modified";139;"haar";1;1604,42528651228;13
"61";61;"Cumulative.LOC.Modified";139;"haar";1;2165,16096399321;13
"62";62;"Cumulative.LOC.Modified";139;"haar";1;2583,06107167446;13
"63";63;"Cumulative.LOC.Modified";139;"haar";1;2888,53120114705;13
"64";64;"Cumulative.LOC.Modified";139;"haar";1;3165,71705937217;13
"65";65;"Cumulative.LOC.Modified";139;"haar";1;3753,32279453819;13
"66";66;"Cumulative.LOC.Modified";139;"haar";1;4167,68736831351;13
"67";67;"Cumulative.LOC.Modified";139;"haar";1;4362,14173313981;13
"68";68;"Cumulative.LOC.Modified";139;"haar";1;4581,34483530764;13
"69";69;"Cumulative.LOC.Modified";139;"haar";1;4915,80634280888;13
"70";70;"Cumulative.LOC.Modified";139;"haar";1;5244,61099606062;13
"71";71;"Cumulative.LOC.Modified";139;"haar";1;5606,64966802813;13
"72";72;"Cumulative.LOC.Modified";139;"haar";1;6086,7751724538;13
"73";73;"Cumulative.LOC.Modified";139;"haar";1;6413,45850536198;13
"74";74;"Cumulative.LOC.Modified";139;"haar";1;6873,07791313324;13
"75";75;"Cumulative.LOC.Modified";139;"haar";1;7452,19836692502;13
"76";76;"Cumulative.LOC.Modified";139;"haar";1;7872,21979494983;13
"77";77;"Cumulative.LOC.Modified";139;"haar";1;8031,31882071681;13
"78";78;"Cumulative.LOC.Modified";139;"haar";1;8553,16362523248;13
"79";79;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"80";80;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"81";81;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"82";82;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"83";83;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"84";84;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"85";85;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"86";86;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"87";87;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"88";88;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"89";89;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"90";90;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"91";91;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"92";92;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"93";93;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"94";94;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"95";95;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"96";96;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"97";97;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"98";98;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"99";99;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"100";100;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"101";101;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"102";102;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"103";103;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"104";104;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"105";105;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"106";106;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"107";107;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"108";108;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"109";109;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"110";110;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"111";111;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"112";112;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"113";113;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"114";114;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"115";115;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"116";116;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"117";117;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"118";118;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"119";119;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"120";120;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"121";121;"Cumulative.LOC.Modified";139;"haar";1;9072,1800026234;13
"122";122;"Cumulative.LOC.Modified";139;"haar";1;9212,18714529834;13
"123";123;"Cumulative.LOC.Modified";139;"haar";1;9804,74262793267;13
"124";124;"Cumulative.LOC.Modified";139;"haar";1;10373,9635867878;13
"125";125;"Cumulative.LOC.Modified";139;"haar";1;10723,9814434752;13
"126";126;"Cumulative.LOC.Modified";139;"haar";1;11067,6353391318;13
"127";127;"Cumulative.LOC.Modified";139;"haar";1;11548,4679503387;13
"128";128;"Cumulative.LOC.Modified";139;"haar";1;11699,7888015126;13
"129";129;"Cumulative.LOC.Modified";139;"haar";1;11699,7888015126;13
"130";130;"Cumulative.LOC.Modified";139;"haar";1;11699,7888015126;13
"131";131;"Cumulative.LOC.Modified";139;"haar";1;11788,8842559421;13
"132";132;"Cumulative.LOC.Modified";139;"haar";1;12023,6437072961;13
"133";133;"Cumulative.LOC.Modified";139;"haar";1;12541,2458711246;13
"134";134;"Cumulative.LOC.Modified";139;"haar";1;12541,2458711246;13
"135";135;"Cumulative.LOC.Modified";139;"haar";1;12549,7311524988;13
"136";136;"Cumulative.LOC.Modified";139;"haar";1;12648,726101865;13
"137";137;"Cumulative.LOC.Modified";139;"haar";1;12805,7038072884;13
"138";138;"Cumulative.LOC.Modified";139;"haar";1;13040,4632586423;13
"139";139;"Cumulative.LOC.Modified";139;"haar";1;13363,6110576446;13
"140";140;"Cumulative.LOC.Modified";139;"haar";1;13473,9197155097;13
"141";141;"Cumulative.LOC.Modified";139;"haar";1;13860,0000180375;13
"142";142;"Cumulative.LOC.Modified";139;"haar";1;14443,3631125164;13
"143";143;"Cumulative.LOC.Modified";139;"haar";1;15289,7699295967;13
"144";144;"Cumulative.LOC.Modified";139;"haar";1;16615,5951443215;13
"145";145;"Cumulative.LOC.Modified";139;"haar";1;17039,8592130334;13
"146";146;"Cumulative.LOC.Modified";139;"haar";1;17442,2029715286;13
"147";147;"Cumulative.LOC.Modified";139;"haar";1;17824,7477401505;13
"148";148;"Cumulative.LOC.Modified";139;"haar";1;18520,5408128381;13
"149";149;"Cumulative.LOC.Modified";139;"haar";1;18718,5307115703;13
"150";150;"Cumulative.LOC.Modified";139;"haar";1;18718,5307115703;13
"151";151;"Cumulative.LOC.Modified";139;"haar";1;18718,5307115703;13
"152";152;"Cumulative.LOC.Modified";139;"haar";1;18718,5307115703;13
"153";153;"Cumulative.LOC.Modified";139;"haar";1;21689,7934061162;13
