"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Removed";146;"haar";1;0;11
"2";2;"Cumulative.LOC.Removed";146;"haar";1;0;11
"3";3;"Cumulative.LOC.Removed";146;"haar";1;0;11
"4";4;"Cumulative.LOC.Removed";146;"haar";1;70,0035713374682;11
"5";5;"Cumulative.LOC.Removed";146;"haar";1;465,276262020748;11
"6";6;"Cumulative.LOC.Removed";146;"haar";1;977,221571599809;11
"7";7;"Cumulative.LOC.Removed";146;"haar";1;977,221571599809;11
"8";8;"Cumulative.LOC.Removed";146;"haar";1;977,221571599809;11
"9";9;"Cumulative.LOC.Removed";146;"haar";1;977,221571599809;11
"10";10;"Cumulative.LOC.Removed";146;"haar";1;977,221571599809;11
"11";11;"Cumulative.LOC.Removed";146;"haar";1;977,221571599809;11
"12";12;"Cumulative.LOC.Removed";146;"haar";1;977,221571599809;11
"13";13;"Cumulative.LOC.Removed";146;"haar";1;977,221571599809;11
"14";14;"Cumulative.LOC.Removed";146;"haar";1;977,221571599809;11
"15";15;"Cumulative.LOC.Removed";146;"haar";1;977,221571599809;11
"16";16;"Cumulative.LOC.Removed";146;"haar";1;1059,95306499863;11
"17";17;"Cumulative.LOC.Removed";146;"haar";1;1209,152595829;11
"18";18;"Cumulative.LOC.Removed";146;"haar";1;1617,15320857363;11
"19";19;"Cumulative.LOC.Removed";146;"haar";1;1890,09642611164;11
"20";20;"Cumulative.LOC.Removed";146;"haar";1;1892,2177464552;11
"21";21;"Cumulative.LOC.Removed";146;"haar";1;1892,2177464552;11
"22";22;"Cumulative.LOC.Removed";146;"haar";1;2119,90612999727;11
"23";23;"Cumulative.LOC.Removed";146;"haar";1;2491,84429690139;11
"24";24;"Cumulative.LOC.Removed";146;"haar";1;3051,16576081995;11
"25";25;"Cumulative.LOC.Removed";146;"haar";1;3884,84465583889;11
"26";26;"Cumulative.LOC.Removed";146;"haar";1;4869,13729525057;11
"27";27;"Cumulative.LOC.Removed";146;"haar";1;4876,20836306243;11
"28";28;"Cumulative.LOC.Removed";146;"haar";1;4876,20836306243;11
"29";29;"Cumulative.LOC.Removed";146;"haar";1;5123,69573647772;11
"30";30;"Cumulative.LOC.Removed";146;"haar";1;5832,21673122664;11
"31";31;"Cumulative.LOC.Removed";146;"haar";1;5837,16647869495;11
"32";32;"Cumulative.LOC.Removed";146;"haar";1;6134,85843357449;11
"33";33;"Cumulative.LOC.Removed";146;"haar";1;6411,33718501843;11
"34";34;"Cumulative.LOC.Removed";146;"haar";1;6866,00684532138;11
"35";35;"Cumulative.LOC.Removed";146;"haar";1;7120,56528654853;11
"36";36;"Cumulative.LOC.Removed";146;"haar";1;7129,05056792277;11
"37";37;"Cumulative.LOC.Removed";146;"haar";1;7129,05056792277;11
"38";38;"Cumulative.LOC.Removed";146;"haar";1;7129,05056792277;11
"39";39;"Cumulative.LOC.Removed";146;"haar";1;7877,16954241814;11
"40";40;"Cumulative.LOC.Removed";146;"haar";1;7877,16954241814;11
"41";41;"Cumulative.LOC.Removed";146;"haar";1;8251,22902966582;11
"42";42;"Cumulative.LOC.Removed";146;"haar";1;8625,28851691351;11
"43";43;"Cumulative.LOC.Removed";146;"haar";1;8625,28851691351;11
"44";44;"Cumulative.LOC.Removed";146;"haar";1;9072,18000262341;11
"45";45;"Cumulative.LOC.Removed";146;"haar";1;9700,09082431706;11
"46";46;"Cumulative.LOC.Removed";146;"haar";1;10917,7287015203;11
"47";47;"Cumulative.LOC.Removed";146;"haar";1;11267,0394514264;11
"48";48;"Cumulative.LOC.Removed";146;"haar";1;11545,6395232139;11
"49";49;"Cumulative.LOC.Removed";146;"haar";1;11576,7522215862;11
"50";50;"Cumulative.LOC.Removed";146;"haar";1;11704,0314421997;11
"51";51;"Cumulative.LOC.Removed";146;"haar";1;11710,3954032304;11
"52";52;"Cumulative.LOC.Removed";146;"haar";1;11716,7593642611;11
"53";53;"Cumulative.LOC.Removed";146;"haar";1;11716,7593642611;11
"54";54;"Cumulative.LOC.Removed";146;"haar";1;11737,9725676967;11
"55";55;"Cumulative.LOC.Removed";146;"haar";1;11737,9725676967;11
