"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Files";355;"haar";1;2,96065609282807;11
"2";2;"Files";355;"haar";1;5,65685424949238;11
"3";3;"Files";355;"haar";1;5,65685424949238;11
"4";4;"Files";355;"haar";1;5,65685424949238;11
"5";5;"Files";355;"haar";1;5,65685424949238;11
"6";6;"Files";355;"haar";1;24,1844661301423;11
"7";7;"Files";355;"haar";1;52,3259018078045;11
"8";8;"Files";355;"haar";1;52,3259018078045;11
"9";9;"Files";355;"haar";1;52,3259018078045;11
"10";10;"Files";355;"haar";1;52,3259018078045;11
"11";11;"Files";355;"haar";1;54,8163318911435;11
"12";12;"Files";355;"haar";1;60,2242845536583;11
"13";13;"Files";355;"haar";1;67,1023122142598;11
"14";14;"Files";355;"haar";1;67,8822509939086;11
"15";15;"Files";355;"haar";1;67,8822509939086;11
"16";16;"Files";355;"haar";1;69,2639376443471;11
"17";17;"Files";355;"haar";1;69,2964645562816;11
"18";18;"Files";355;"haar";1;69,2964645562816;11
"19";19;"Files";355;"haar";1;69,2964645562816;11
"20";20;"Files";355;"haar";1;69,2964645562816;11
"21";21;"Files";355;"haar";1;70,0806459766175;11
"22";22;"Files";355;"haar";1;70,7106781186547;11
"23";23;"Files";355;"haar";1;70,7106781186547;11
"24";24;"Files";355;"haar";1;70,7106781186547;11
"25";25;"Files";355;"haar";1;70,7106781186547;11
"26";26;"Files";355;"haar";1;70,8266436307693;11
"27";27;"Files";355;"haar";1;72,1248916810278;11
"28";28;"Files";355;"haar";1;72,1248916810278;11
"29";29;"Files";355;"haar";1;72,1248916810278;11
"30";30;"Files";355;"haar";1;72,1248916810278;11
"31";31;"Files";355;"haar";1;72,1248916810278;11
"32";32;"Files";355;"haar";1;72,7994715502798;11
"33";33;"Files";355;"haar";1;73,5391052434009;11
"34";34;"Files";355;"haar";1;73,5391052434009;11
"35";35;"Files";355;"haar";1;73,5391052434009;11
"36";36;"Files";355;"haar";1;73,5391052434009;11
"37";37;"Files";355;"haar";1;73,5391052434009;11
"38";38;"Files";355;"haar";1;74,2667181212419;11
"39";39;"Files";355;"haar";1;74,953318805774;11
"40";40;"Files";355;"haar";1;74,953318805774;11
"41";41;"Files";355;"haar";1;74,953318805774;11
"42";42;"Files";355;"haar";1;74,953318805774;11
"43";43;"Files";355;"haar";1;75,0303934449234;11
"44";44;"Files";355;"haar";1;76,3675323681471;11
"45";45;"Files";355;"haar";1;76,3675323681471;11
"46";46;"Files";355;"haar";1;76,3675323681471;11
"47";47;"Files";355;"haar";1;76,3675323681471;11
"48";48;"Files";355;"haar";1;76,4658202107321;11
"49";49;"Files";355;"haar";1;77,7817459305202;11
"50";50;"Files";355;"haar";1;77,7817459305202;11
"51";51;"Files";355;"haar";1;77,7817459305202;11
"52";52;"Files";355;"haar";1;77,7817459305202;11
"53";53;"Files";355;"haar";1;77,7817459305202;11
"54";54;"Files";355;"haar";1;79,0184756908155;11
"55";55;"Files";355;"haar";1;79,1959594928933;11
"56";56;"Files";355;"haar";1;79,1959594928933;11
"57";57;"Files";355;"haar";1;79,1959594928933;11
"58";58;"Files";355;"haar";1;79,1959594928933;11
"59";59;"Files";355;"haar";1;80,2559125578919;11
"60";60;"Files";355;"haar";1;80,6101730552664;11
"61";61;"Files";355;"haar";1;80,6101730552664;11
"62";62;"Files";355;"haar";1;80,6101730552664;11
"63";63;"Files";355;"haar";1;80,6101730552664;11
"64";64;"Files";355;"haar";1;81,6595195185473;11
"65";65;"Files";355;"haar";1;82,0243866176395;11
"66";66;"Files";355;"haar";1;82,0243866176395;11
"67";67;"Files";355;"haar";1;82,0243866176395;11
"68";68;"Files";355;"haar";1;82,0243866176395;11
"69";69;"Files";355;"haar";1;87,9096363574551;11
"70";70;"Files";355;"haar";1;91,9238815542512;11
"71";71;"Files";355;"haar";1;91,9238815542512;11
"72";72;"Files";355;"haar";1;91,9238815542512;11
"73";73;"Files";355;"haar";1;94,3506720272834;11
"74";74;"Files";355;"haar";1;96,1665222413705;11
"75";75;"Files";355;"haar";1;96,6989736476039;11
"76";76;"Files";355;"haar";1;97,8444866331261;11
"77";77;"Files";355;"haar";1;98,9949493661166;11
"78";78;"Files";355;"haar";1;100,241578621349;11
"79";79;"Files";355;"haar";1;100,40916292849;11
"80";80;"Files";355;"haar";1;104,079047122848;11
"81";81;"Files";355;"haar";1;107,480230740355;11
"82";82;"Files";355;"haar";1;107,480230740355;11
"83";83;"Files";355;"haar";1;108,071372009427;11
"84";84;"Files";355;"haar";1;110,308657865101;11
"85";85;"Files";355;"haar";1;110,308657865101;11
"86";86;"Files";355;"haar";1;110,464928463744;11
"87";87;"Files";355;"haar";1;111,722871427475;11
"88";88;"Files";355;"haar";1;112,596855409021;11
"89";89;"Files";355;"haar";1;113,137084989848;11
"90";90;"Files";355;"haar";1;116,183301003199;11
"91";91;"Files";355;"haar";1;117,379725676967;11
"92";92;"Files";355;"haar";1;118,72817830869;11
"93";93;"Files";355;"haar";1;120,208152801713;11
"94";94;"Files";355;"haar";1;121,552362792749;11
"95";95;"Files";355;"haar";1;121,622366364086;11
"96";96;"Files";355;"haar";1;121,882581659563;11
"97";97;"Files";355;"haar";1;123,036579926459;11
"98";98;"Files";355;"haar";1;123,036579926459;11
"99";99;"Files";355;"haar";1;123,502563295261;11
"100";100;"Files";355;"haar";1;124,450793488832;11
"101";101;"Files";355;"haar";1;124,450793488832;11
"102";102;"Files";355;"haar";1;125,044763185029;11
"103";103;"Files";355;"haar";1;125,865007051205;11
"104";104;"Files";355;"haar";1;128,299575698831;11
"105";105;"Files";355;"haar";1;129,042037819077;11
"106";106;"Files";355;"haar";1;130,107647738325;11
"107";107;"Files";355;"haar";1;130,107647738325;11
"108";108;"Files";355;"haar";1;130,483121439135;11
"109";109;"Files";355;"haar";1;131,521861300698;11
"110";110;"Files";355;"haar";1;131,521861300698;11
"111";111;"Files";355;"haar";1;131,753085218146;11
"112";112;"Files";355;"haar";1;132,936074863071;11
"113";113;"Files";355;"haar";1;132,936074863071;11
"114";114;"Files";355;"haar";1;132,936074863071;11
"115";115;"Files";355;"haar";1;134,312811766041;11
"116";116;"Files";355;"haar";1;134,350288425444;11
"117";117;"Files";355;"haar";1;135,016383013322;11
"118";118;"Files";355;"haar";1;135,764501987817;11
"119";119;"Files";355;"haar";1;135,992190371359;11
"120";120;"Files";355;"haar";1;137,17871555019;11
"121";121;"Files";355;"haar";1;137,17871555019;11
"122";122;"Files";355;"haar";1;137,36327042008;11
"123";123;"Files";355;"haar";1;138,592929112563;11
"124";124;"Files";355;"haar";1;139,509339500981;11
"125";125;"Files";355;"haar";1;140,007142674936;11
"126";126;"Files";355;"haar";1;140,007142674936;11
"127";127;"Files";355;"haar";1;140,320390979002;11
"128";128;"Files";355;"haar";1;141,421356237309;11
"129";129;"Files";355;"haar";1;141,421356237309;11
"130";130;"Files";355;"haar";1;141,421356237309;11
"131";131;"Files";355;"haar";1;142,156747289744;11
"132";132;"Files";355;"haar";1;142,835569799683;11
"133";133;"Files";355;"haar";1;142,835569799683;11
"134";134;"Files";355;"haar";1;142,835569799683;11
"135";135;"Files";355;"haar";1;143,588638521646;11
"136";136;"Files";355;"haar";1;144,249783362056;11
"137";137;"Files";355;"haar";1;144,782234768289;11
"138";138;"Files";355;"haar";1;145,663996924429;11
"139";139;"Files";355;"haar";1;146,216954427317;11
"140";140;"Files";355;"haar";1;147,078210486802;11
"141";141;"Files";355;"haar";1;147,078210486802;11
"142";142;"Files";355;"haar";1;147,078210486802;11
"143";143;"Files";355;"haar";1;147,936638119162;11
"144";144;"Files";355;"haar";1;148,492424049175;11
"145";145;"Files";355;"haar";1;148,492424049175;11
"146";146;"Files";355;"haar";1;149,870575165708;11
"147";147;"Files";355;"haar";1;149,906637611548;11
"148";148;"Files";355;"haar";1;149,939871630264;11
"149";149;"Files";355;"haar";1;151,320851173921;11
"150";150;"Files";355;"haar";1;151,320851173921;11
"151";151;"Files";355;"haar";1;153,706629453645;11
"152";152;"Files";355;"haar";1;156,422626600182;11
"153";153;"Files";355;"haar";1;156,977705423414;11
