Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Cumulative.LOC.Churn;Files;15;3;2;18;6;38;4;0,004454217;300,9749-425,4948-543,7411-638,4871;2,366476;-2375,058
Cumulative.LOC.Churn;Files;15;3;3;18;6;12;4;0,004370302;425,4948-543,7411-638,4871-723,9287;3,854987;-1037,446
Cumulative.LOC.Churn;Files;15;3;4;18;6;4;4;0,004449009;543,7411-638,4871-723,9287-832,2686;3,067878;169,3288
Cumulative.LOC.Churn;Files;15;3;3;137;6;15;4;0,001219677;425,4948-543,7411-638,4871-723,9287;0,2053097;-1278,961
Cumulative.LOC.Churn;Files;15;3;3;137;6;15;5;0,002120095;425,4948-543,7411-638,4871-723,9287-832,2686;0,2053097;-1278,961
Cumulative.LOC.Churn;Files;15;3;4;137;6;16;4;0,00284597;543,7411-638,4871-723,9287-832,2686;0,205737;-1282,754
Cumulative.LOC.Churn;Files;15;3;4;368;6;1;4;0,002433004;543,7411-638,4871-723,9287-832,2686;1,187086;193,8225
Cumulative.LOC.Churn;Files;15;3;3;371;5;14;4;0,004689077;425,4948-543,7411-638,4871-723,9287;8,372308;-1274,619
Cumulative.LOC.Churn;Files;15;3;4;385;6;28;4;0,001012327;543,7411-638,4871-723,9287-832,2686;1,066363;-1863,902
Cumulative.LOC.Churn;Files;15;4;6;15;6;37;4;0,003650954;337,0598-374,5398-394,4262-429,5688;4,604423;-661,4738
Cumulative.LOC.Churn;Files;15;4;10;15;6;22;4;0,003101498;473,3884-489,9405-533,8492-571,2375;1,899051;222,1962
Cumulative.LOC.Churn;Files;15;4;11;15;6;7;4;0,001095461;489,9405-533,8492-571,2375-605,7680;24,61253;-476,5196
Cumulative.LOC.Churn;Files;15;4;11;18;6;39;4;0,0006766371;489,9405-533,8492-571,2375-605,7680;0,8971257;-571,7429
Cumulative.LOC.Churn;Files;15;4;11;126;6;30;4;0,004990687;489,9405-533,8492-571,2375-605,7680;0,09834302;-508,2729
Cumulative.LOC.Churn;Files;15;4;11;126;6;31;4;0,0002252303;489,9405-533,8492-571,2375-605,7680;0,115927;-738,5151
Cumulative.LOC.Churn;Files;15;4;6;137;5;10;4;0,004874831;337,0598-374,5398-394,4262-429,5688;0,01958422;12,72925
