"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"LOC";140;"haar";1;133303,770389288;11
"2";2;"LOC";140;"haar";1;133303,770389288;11
"3";3;"LOC";140;"haar";1;133303,770389288;11
"4";4;"LOC";140;"haar";1;133303,770389288;11
"5";5;"LOC";140;"haar";1;133303,770389288;11
"6";6;"LOC";140;"haar";1;133303,770389288;11
"7";7;"LOC";140;"haar";1;133303,770389288;11
"8";8;"LOC";140;"haar";1;133303,770389288;11
"9";9;"LOC";140;"haar";1;133303,770389288;11
"10";10;"LOC";140;"haar";1;133303,770389288;11
"11";11;"LOC";140;"haar";1;133303,770389288;11
"12";12;"LOC";140;"haar";1;133303,770389288;11
"13";13;"LOC";140;"haar";1;133303,770389288;11
"14";14;"LOC";140;"haar";1;133303,770389288;11
"15";15;"LOC";140;"haar";1;133303,770389288;11
"16";16;"LOC";140;"haar";1;133303,770389288;11
"17";17;"LOC";140;"haar";1;133303,770389288;11
"18";18;"LOC";140;"haar";1;133303,770389288;11
"19";19;"LOC";140;"haar";1;133303,770389288;11
"20";20;"LOC";140;"haar";1;133303,770389288;11
"21";21;"LOC";140;"haar";1;133303,770389288;11
"22";22;"LOC";140;"haar";1;133303,770389288;11
"23";23;"LOC";140;"haar";1;133303,770389288;11
"24";24;"LOC";140;"haar";1;133303,770389288;11
"25";25;"LOC";140;"haar";1;133303,770389288;11
"26";26;"LOC";140;"haar";1;133303,770389288;11
"27";27;"LOC";140;"haar";1;133303,770389288;11
"28";28;"LOC";140;"haar";1;133303,770389288;11
"29";29;"LOC";140;"haar";1;133303,770389288;11
"30";30;"LOC";140;"haar";1;133303,770389288;11
"31";31;"LOC";140;"haar";1;133303,770389288;11
"32";32;"LOC";140;"haar";1;133303,770389288;11
"33";33;"LOC";140;"haar";1;133303,770389288;11
"34";34;"LOC";140;"haar";1;133303,770389288;11
"35";35;"LOC";140;"haar";1;133303,770389288;11
"36";36;"LOC";140;"haar";1;133303,770389288;11
"37";37;"LOC";140;"haar";1;133303,770389288;11
"38";38;"LOC";140;"haar";1;133303,770389288;11
"39";39;"LOC";140;"haar";1;133303,770389288;11
"40";40;"LOC";140;"haar";1;133303,770389288;11
"41";41;"LOC";140;"haar";1;133303,770389288;11
"42";42;"LOC";140;"haar";1;133303,770389288;11
"43";43;"LOC";140;"haar";1;133303,770389288;11
"44";44;"LOC";140;"haar";1;133303,770389288;11
"45";45;"LOC";140;"haar";1;133303,770389288;11
"46";46;"LOC";140;"haar";1;133303,770389288;11
"47";47;"LOC";140;"haar";1;133303,770389288;11
"48";48;"LOC";140;"haar";1;133757,674252947;11
"49";49;"LOC";140;"haar";1;134668,101103782;11
"50";50;"LOC";140;"haar";1;134706,670243162;11
"51";51;"LOC";140;"haar";1;137415,95836056;11
"52";52;"LOC";140;"haar";1;141330,846569318;11
"53";53;"LOC";140;"haar";1;141330,846569318;11
"54";54;"LOC";140;"haar";1;141330,846569318;11
"55";55;"LOC";140;"haar";1;141325,533368964;11
"56";56;"LOC";140;"haar";1;140513,431130266;11
"57";57;"LOC";140;"haar";1;140513,431130266;11
"58";58;"LOC";140;"haar";1;141148,243314144;11
"59";59;"LOC";140;"haar";1;142238,41388033;11
"60";60;"LOC";140;"haar";1;143239,001795514;11
"61";61;"LOC";140;"haar";1;144105,457918268;11
"62";62;"LOC";140;"haar";1;144324,547883351;11
"63";63;"LOC";140;"haar";1;144713,158921049;11
"64";64;"LOC";140;"haar";1;145118,739814388;11
"65";65;"LOC";140;"haar";1;145832,77199939;11
"66";66;"LOC";140;"haar";1;147204,755730577;11
"67";67;"LOC";140;"haar";1;148316,649324187;11
"68";68;"LOC";140;"haar";1;149672,842653844;11
"69";69;"LOC";140;"haar";1;150479,012973754;11
"70";70;"LOC";140;"haar";1;152195,306088584;11
"71";71;"LOC";140;"haar";1;153034,198481901;11
"72";72;"LOC";140;"haar";1;153039,120652204;11
"73";73;"LOC";140;"haar";1;153039,120652204;11
"74";74;"LOC";140;"haar";1;154991,111549087;11
"75";75;"LOC";140;"haar";1;162702,4419239;11
"76";76;"LOC";140;"haar";1;162702,4419239;11
"77";77;"LOC";140;"haar";1;162702,550111237;11
"78";78;"LOC";140;"haar";1;162955,995566391;11
"79";79;"LOC";140;"haar";1;163282,846483606;11
"80";80;"LOC";140;"haar";1;164281,93179688;11
"81";81;"LOC";140;"haar";1;165672,267777466;11
"82";82;"LOC";140;"haar";1;166806,587969749;11
"83";83;"LOC";140;"haar";1;167541,277572256;11
"84";84;"LOC";140;"haar";1;169431,479357278;11
"85";85;"LOC";140;"haar";1;170226,693057614;11
"86";86;"LOC";140;"haar";1;170709,470919576;11
"87";87;"LOC";140;"haar";1;172584,694768759;11
"88";88;"LOC";140;"haar";1;172771,642487996;11
"89";89;"LOC";140;"haar";1;173500,142077741;11
"90";90;"LOC";140;"haar";1;173413,30087973;11
"91";91;"LOC";140;"haar";1;174145,036897212;11
"92";92;"LOC";140;"haar";1;175241,289288823;11
"93";93;"LOC";140;"haar";1;176290,709291209;11
"94";94;"LOC";140;"haar";1;178335,029948938;11
"95";95;"LOC";140;"haar";1;180056,663841286;11
"96";96;"LOC";140;"haar";1;180436,272702552;11
"97";97;"LOC";140;"haar";1;179953,018957727;11
"98";98;"LOC";140;"haar";1;181005,029799359;11
"99";99;"LOC";140;"haar";1;181361,47030694;11
"100";100;"LOC";140;"haar";1;182098,812266983;11
"101";101;"LOC";140;"haar";1;183021,250033604;11
"102";102;"LOC";140;"haar";1;183367,941659993;11
"103";103;"LOC";140;"haar";1;183533,881236761;11
"104";104;"LOC";140;"haar";1;184150,519362149;11
"105";105;"LOC";140;"haar";1;184868,634381705;11
"106";106;"LOC";140;"haar";1;184969,521548817;11
"107";107;"LOC";140;"haar";1;187098,45531109;11
"108";108;"LOC";140;"haar";1;187872,564702435;11
"109";109;"LOC";140;"haar";1;189144,972242482;11
"110";110;"LOC";140;"haar";1;189361,781788195;11
"111";111;"LOC";140;"haar";1;189361,781788195;11
"112";112;"LOC";140;"haar";1;189910,253405663;11
"113";113;"LOC";140;"haar";1;198984,090866582;11
"114";114;"LOC";140;"haar";1;198984,090866582;11
"115";115;"LOC";140;"haar";1;198984,090866582;11
"116";116;"LOC";140;"haar";1;199098,469631079;11
"117";117;"LOC";140;"haar";1;199182,080765314;11
"118";118;"LOC";140;"haar";1;199182,080765314;11
"119";119;"LOC";140;"haar";1;200096,200127761;11
"120";120;"LOC";140;"haar";1;208804,3898437;11
"121";121;"LOC";140;"haar";1;208804,3898437;11
"122";122;"LOC";140;"haar";1;208804,3898437;11
"123";123;"LOC";140;"haar";1;208844,129244803;11
"124";124;"LOC";140;"haar";1;208863,78681332;11
"125";125;"LOC";140;"haar";1;208863,78681332;11
"126";126;"LOC";140;"haar";1;210518,823974803;11
"127";127;"LOC";140;"haar";1;218486,095891707;11
"128";128;"LOC";140;"haar";1;218486,095891707;11
"129";129;"LOC";140;"haar";1;218486,095891707;11
"130";130;"LOC";140;"haar";1;218728,355624689;11
"131";131;"LOC";140;"haar";1;219641,429176206;11
"132";132;"LOC";140;"haar";1;219669,792643413;11
"133";133;"LOC";140;"haar";1;219669,792643413;11
"134";134;"LOC";140;"haar";1;221317,871167062;11
"135";135;"LOC";140;"haar";1;229335,942342233;11
"136";136;"LOC";140;"haar";1;229335,942342233;11
"137";137;"LOC";140;"haar";1;229335,942342233;11
"138";138;"LOC";140;"haar";1;229336,985324735;11
"139";139;"LOC";140;"haar";1;229337,356555795;11
"140";140;"LOC";140;"haar";1;229337,356555795;11
"141";141;"LOC";140;"haar";1;229337,356555795;11
"142";142;"LOC";140;"haar";1;229337,356555795;11
"143";143;"LOC";140;"haar";1;229337,356555795;11
"144";144;"LOC";140;"haar";1;229337,356555795;11
"145";145;"LOC";140;"haar";1;229337,356555795;11
"146";146;"LOC";140;"haar";1;229337,356555795;11
"147";147;"LOC";140;"haar";1;229337,356555795;11
"148";148;"LOC";140;"haar";1;229337,356555795;11
"149";149;"LOC";140;"haar";1;229337,356555795;11
"150";150;"LOC";140;"haar";1;229337,356555795;11
"151";151;"LOC";140;"haar";1;229337,356555795;11
"152";152;"LOC";140;"haar";1;229337,356555795;11
"153";153;"LOC";140;"haar";1;229337,356555795;11
"154";154;"LOC";140;"haar";1;229337,356555795;11
"155";155;"LOC";140;"haar";1;229337,356555795;11
"156";156;"LOC";140;"haar";1;229337,356555795;11
"157";157;"LOC";140;"haar";1;229337,356555795;11
"158";158;"LOC";140;"haar";1;229337,356555795;11
"159";159;"LOC";140;"haar";1;229337,356555795;11
"160";160;"LOC";140;"haar";1;229337,356555795;11
"161";161;"LOC";140;"haar";1;229337,356555795;11
"162";162;"LOC";140;"haar";1;229337,356555795;11
"163";163;"LOC";140;"haar";1;229337,356555795;11
"164";164;"LOC";140;"haar";1;229337,356555795;11
"165";165;"LOC";140;"haar";1;229337,356555795;11
"166";166;"LOC";140;"haar";1;229337,356555795;11
"167";167;"LOC";140;"haar";1;229337,356555795;11
"168";168;"LOC";140;"haar";1;229337,356555795;11
"169";169;"LOC";140;"haar";1;229337,356555795;11
"170";170;"LOC";140;"haar";1;243025,201528458;11
"171";171;"LOC";140;"haar";1;283439,51059794;11
"172";172;"LOC";140;"haar";1;283439,51059794;11
"173";173;"LOC";140;"haar";1;283439,51059794;11
"174";174;"LOC";140;"haar";1;283439,51059794;11
"175";175;"LOC";140;"haar";1;283439,51059794;11
"176";176;"LOC";140;"haar";1;283439,51059794;11
"177";177;"LOC";140;"haar";1;283439,51059794;11
"178";178;"LOC";140;"haar";1;283439,51059794;11
"179";179;"LOC";140;"haar";1;283439,51059794;11
"180";180;"LOC";140;"haar";1;283439,51059794;11
"181";181;"LOC";140;"haar";1;283439,51059794;11
"182";182;"LOC";140;"haar";1;283439,51059794;11
"183";183;"LOC";140;"haar";1;283439,51059794;11
"184";184;"LOC";140;"haar";1;283439,51059794;11
"185";185;"LOC";140;"haar";1;283439,51059794;11
"186";186;"LOC";140;"haar";1;283439,51059794;11
"187";187;"LOC";140;"haar";1;283439,51059794;11
"188";188;"LOC";140;"haar";1;283439,51059794;11
"189";189;"LOC";140;"haar";1;283439,51059794;11
"190";190;"LOC";140;"haar";1;283439,51059794;11
"191";191;"LOC";140;"haar";1;283439,51059794;11
"192";192;"LOC";140;"haar";1;283439,51059794;11
"193";193;"LOC";140;"haar";1;283439,51059794;11
"194";194;"LOC";140;"haar";1;283439,51059794;11
"195";195;"LOC";140;"haar";1;283439,51059794;11
"196";196;"LOC";140;"haar";1;283439,51059794;11
"197";197;"LOC";140;"haar";1;283439,51059794;11
"198";198;"LOC";140;"haar";1;283439,51059794;11
"199";199;"LOC";140;"haar";1;283439,51059794;11
"200";200;"LOC";140;"haar";1;283439,51059794;11
"201";201;"LOC";140;"haar";1;283439,51059794;11
