"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.Date.Progress";368;"haar";1;0;10
"2";2;"Relative.Date.Progress";368;"haar";1;0;10
"3";3;"Relative.Date.Progress";368;"haar";1;0;10
"4";4;"Relative.Date.Progress";368;"haar";1;0;10
"5";5;"Relative.Date.Progress";368;"haar";1;0;10
"6";6;"Relative.Date.Progress";368;"haar";1;0;10
"7";7;"Relative.Date.Progress";368;"haar";1;0;10
"8";8;"Relative.Date.Progress";368;"haar";1;0;10
"9";9;"Relative.Date.Progress";368;"haar";1;0;10
"10";10;"Relative.Date.Progress";368;"haar";1;0;10
"11";11;"Relative.Date.Progress";368;"haar";1;0;10
"12";12;"Relative.Date.Progress";368;"haar";1;0;10
"13";13;"Relative.Date.Progress";368;"haar";1;0;10
"14";14;"Relative.Date.Progress";368;"haar";1;0;10
"15";15;"Relative.Date.Progress";368;"haar";1;0;10
"16";16;"Relative.Date.Progress";368;"haar";1;0;10
"17";17;"Relative.Date.Progress";368;"haar";1;0;10
"18";18;"Relative.Date.Progress";368;"haar";1;0;10
"19";19;"Relative.Date.Progress";368;"haar";1;0;10
"20";20;"Relative.Date.Progress";368;"haar";1;0;10
"21";21;"Relative.Date.Progress";368;"haar";1;0;10
"22";22;"Relative.Date.Progress";368;"haar";1;0;10
"23";23;"Relative.Date.Progress";368;"haar";1;0;10
"24";24;"Relative.Date.Progress";368;"haar";1;0;10
"25";25;"Relative.Date.Progress";368;"haar";1;0;10
"26";26;"Relative.Date.Progress";368;"haar";1;0;10
"27";27;"Relative.Date.Progress";368;"haar";1;0;10
"28";28;"Relative.Date.Progress";368;"haar";1;0;10
"29";29;"Relative.Date.Progress";368;"haar";1;0;10
"30";30;"Relative.Date.Progress";368;"haar";1;0;10
"31";31;"Relative.Date.Progress";368;"haar";1;0;10
"32";32;"Relative.Date.Progress";368;"haar";1;0;10
"33";33;"Relative.Date.Progress";368;"haar";1;0;10
"34";34;"Relative.Date.Progress";368;"haar";1;0;10
"35";35;"Relative.Date.Progress";368;"haar";1;0;10
"36";36;"Relative.Date.Progress";368;"haar";1;0;10
"37";37;"Relative.Date.Progress";368;"haar";1;0;10
"38";38;"Relative.Date.Progress";368;"haar";1;0;10
"39";39;"Relative.Date.Progress";368;"haar";1;0;10
"40";40;"Relative.Date.Progress";368;"haar";1;0;10
"41";41;"Relative.Date.Progress";368;"haar";1;0;10
"42";42;"Relative.Date.Progress";368;"haar";1;0;10
"43";43;"Relative.Date.Progress";368;"haar";1;0;10
"44";44;"Relative.Date.Progress";368;"haar";1;0;10
"45";45;"Relative.Date.Progress";368;"haar";1;0;10
"46";46;"Relative.Date.Progress";368;"haar";1;0;10
"47";47;"Relative.Date.Progress";368;"haar";1;0;10
"48";48;"Relative.Date.Progress";368;"haar";1;0;10
"49";49;"Relative.Date.Progress";368;"haar";1;0;10
"50";50;"Relative.Date.Progress";368;"haar";1;0;10
"51";51;"Relative.Date.Progress";368;"haar";1;0;10
"52";52;"Relative.Date.Progress";368;"haar";1;0;10
"53";53;"Relative.Date.Progress";368;"haar";1;0,812465691583343;10
"54";54;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"55";55;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"56";56;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"57";57;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"58";58;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"59";59;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"60";60;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"61";61;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"62";62;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"63";63;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"64";64;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"65";65;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"66";66;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"67";67;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"68";68;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"69";69;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"70";70;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"71";71;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"72";72;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"73";73;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"74";74;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"75";75;"Relative.Date.Progress";368;"haar";1;1,62493138316669;10
"76";76;"Relative.Date.Progress";368;"haar";1;3,25127697989575;10
"77";77;"Relative.Date.Progress";368;"haar";1;3,25127697989575;10
"78";78;"Relative.Date.Progress";368;"haar";1;3,25127697989575;10
"79";79;"Relative.Date.Progress";368;"haar";1;3,25127697989575;10
"80";80;"Relative.Date.Progress";368;"haar";1;3,25127697989575;10
"81";81;"Relative.Date.Progress";368;"haar";1;3,25127697989575;10
"82";82;"Relative.Date.Progress";368;"haar";1;3,25127697989575;10
"83";83;"Relative.Date.Progress";368;"haar";1;3,25127697989575;10
"84";84;"Relative.Date.Progress";368;"haar";1;3,25127697989575;10
"85";85;"Relative.Date.Progress";368;"haar";1;3,25127697989575;10
"86";86;"Relative.Date.Progress";368;"haar";1;3,25127697989575;10
"87";87;"Relative.Date.Progress";368;"haar";1;3,25127697989575;10
"88";88;"Relative.Date.Progress";368;"haar";1;3,25127697989575;10
"89";89;"Relative.Date.Progress";368;"haar";1;3,25127697989575;10
"90";90;"Relative.Date.Progress";368;"haar";1;3,25127697989575;10
"91";91;"Relative.Date.Progress";368;"haar";1;3,25127697989575;10
"92";92;"Relative.Date.Progress";368;"haar";1;6,50255395979149;10
"93";93;"Relative.Date.Progress";368;"haar";1;6,50255395979149;10
"94";94;"Relative.Date.Progress";368;"haar";1;6,50255395979149;10
