"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.LOC.Churn.Progress";387;"haar";1;0,436991990773286;9
"2";2;"Relative.LOC.Churn.Progress";387;"haar";1;1,08753022946491;9
"3";3;"Relative.LOC.Churn.Progress";387;"haar";1;1,08753022946491;9
"4";4;"Relative.LOC.Churn.Progress";387;"haar";1;1,64048773235279;9
"5";5;"Relative.LOC.Churn.Progress";387;"haar";1;2,19344523524067;9
"6";6;"Relative.LOC.Churn.Progress";387;"haar";1;2,19344523524067;9
"7";7;"Relative.LOC.Churn.Progress";387;"haar";1;2,19344523524067;9
"8";8;"Relative.LOC.Churn.Progress";387;"haar";1;2,94014999617366;9
"9";9;"Relative.LOC.Churn.Progress";387;"haar";1;3,68685475710666;9
"10";10;"Relative.LOC.Churn.Progress";387;"haar";1;3,68685475710666;9
"11";11;"Relative.LOC.Churn.Progress";387;"haar";1;3,68685475710666;9
"12";12;"Relative.LOC.Churn.Progress";387;"haar";1;3,68685475710666;9
"13";13;"Relative.LOC.Churn.Progress";387;"haar";1;3,68685475710666;9
"14";14;"Relative.LOC.Churn.Progress";387;"haar";1;3,68685475710666;9
"15";15;"Relative.LOC.Churn.Progress";387;"haar";1;6,39648794261351;9
"16";16;"Relative.LOC.Churn.Progress";387;"haar";1;6,39648794261351;9
"17";17;"Relative.LOC.Churn.Progress";387;"haar";1;6,39648794261351;9
"18";18;"Relative.LOC.Churn.Progress";387;"haar";1;6,39648794261351;9
"19";19;"Relative.LOC.Churn.Progress";387;"haar";1;6,39648794261351;9
"20";20;"Relative.LOC.Churn.Progress";387;"haar";1;6,39648794261351;9
"21";21;"Relative.LOC.Churn.Progress";387;"haar";1;6,39648794261351;9
"22";22;"Relative.LOC.Churn.Progress";387;"haar";1;9,20935871817359;9
"23";23;"Relative.LOC.Churn.Progress";387;"haar";1;9,20935871817359;9
"24";24;"Relative.LOC.Churn.Progress";387;"haar";1;9,20935871817359;9
"25";25;"Relative.LOC.Churn.Progress";387;"haar";1;9,88605990776912;9
"26";26;"Relative.LOC.Churn.Progress";387;"haar";1;10,5627610973646;9
"27";27;"Relative.LOC.Churn.Progress";387;"haar";1;10,5627610973646;9
"28";28;"Relative.LOC.Churn.Progress";387;"haar";1;10,5627610973646;9
"29";29;"Relative.LOC.Churn.Progress";387;"haar";1;10,5627610973646;9
"30";30;"Relative.LOC.Churn.Progress";387;"haar";1;12,4578072709446;9
"31";31;"Relative.LOC.Churn.Progress";387;"haar";1;12,4578072709446;9
"32";32;"Relative.LOC.Churn.Progress";387;"haar";1;12,4578072709446;9
"33";33;"Relative.LOC.Churn.Progress";387;"haar";1;12,4578072709446;9
"34";34;"Relative.LOC.Churn.Progress";387;"haar";1;12,4578072709446;9
"35";35;"Relative.LOC.Churn.Progress";387;"haar";1;14,4263925497679;9
"36";36;"Relative.LOC.Churn.Progress";387;"haar";1;14,4263925497679;9
"37";37;"Relative.LOC.Churn.Progress";387;"haar";1;15,3527024331223;9
"38";38;"Relative.LOC.Churn.Progress";387;"haar";1;15,3527024331223;9
"39";39;"Relative.LOC.Churn.Progress";387;"haar";1;15,3527024331223;9
"40";40;"Relative.LOC.Churn.Progress";387;"haar";1;16,5222570492049;9
"41";41;"Relative.LOC.Churn.Progress";387;"haar";1;16,5222570492049;9
"42";42;"Relative.LOC.Churn.Progress";387;"haar";1;16,5222570492049;9
"43";43;"Relative.LOC.Churn.Progress";387;"haar";1;17,201079559144;9
"44";44;"Relative.LOC.Churn.Progress";387;"haar";1;17,879902069083;9
"45";45;"Relative.LOC.Churn.Progress";387;"haar";1;17,879902069083;9
"46";46;"Relative.LOC.Churn.Progress";387;"haar";1;18,8542952135581;9
"47";47;"Relative.LOC.Churn.Progress";387;"haar";1;18,8542952135581;9
"48";48;"Relative.LOC.Churn.Progress";387;"haar";1;18,8542952135581;9
"49";49;"Relative.LOC.Churn.Progress";387;"haar";1;20,0988031484464;9
"50";50;"Relative.LOC.Churn.Progress";387;"haar";1;20,0988031484464;9
"51";51;"Relative.LOC.Churn.Progress";387;"haar";1;20,0988031484464;9
"52";52;"Relative.LOC.Churn.Progress";387;"haar";1;20,8356084144428;9
"53";53;"Relative.LOC.Churn.Progress";387;"haar";1;21,5724136804392;9
"54";54;"Relative.LOC.Churn.Progress";387;"haar";1;21,5724136804392;9
"55";55;"Relative.LOC.Churn.Progress";387;"haar";1;22,1260782901083;9
"56";56;"Relative.LOC.Churn.Progress";387;"haar";1;22,6797428997773;9
"57";57;"Relative.LOC.Churn.Progress";387;"haar";1;23,4377613692093;9
"58";58;"Relative.LOC.Churn.Progress";387;"haar";1;23,4377613692093;9
"59";59;"Relative.LOC.Churn.Progress";387;"haar";1;23,4377613692093;9
"60";60;"Relative.LOC.Churn.Progress";387;"haar";1;23,4377613692093;9
"61";61;"Relative.LOC.Churn.Progress";387;"haar";1;24,3428580491281;9
"62";62;"Relative.LOC.Churn.Progress";387;"haar";1;25,2479547290469;9
"63";63;"Relative.LOC.Churn.Progress";387;"haar";1;25,2479547290469;9
"64";64;"Relative.LOC.Churn.Progress";387;"haar";1;25,2479547290469;9
"65";65;"Relative.LOC.Churn.Progress";387;"haar";1;25,2479547290469;9
"66";66;"Relative.LOC.Churn.Progress";387;"haar";1;26,2428539701763;9
"67";67;"Relative.LOC.Churn.Progress";387;"haar";1;27,2377532113058;9
"68";68;"Relative.LOC.Churn.Progress";387;"haar";1;27,2377532113058;9
"69";69;"Relative.LOC.Churn.Progress";387;"haar";1;27,8076812769422;9
"70";70;"Relative.LOC.Churn.Progress";387;"haar";1;28,3776093425785;9
"71";71;"Relative.LOC.Churn.Progress";387;"haar";1;28,3776093425785;9
"72";72;"Relative.LOC.Churn.Progress";387;"haar";1;29,0062272710534;9
"73";73;"Relative.LOC.Churn.Progress";387;"haar";1;29,6348451995282;9
"74";74;"Relative.LOC.Churn.Progress";387;"haar";1;29,6348451995282;9
"75";75;"Relative.LOC.Churn.Progress";387;"haar";1;29,6348451995282;9
"76";76;"Relative.LOC.Churn.Progress";387;"haar";1;31,0943135958972;9
"77";77;"Relative.LOC.Churn.Progress";387;"haar";1;31,0943135958972;9
"78";78;"Relative.LOC.Churn.Progress";387;"haar";1;31,0943135958972;9
"79";79;"Relative.LOC.Churn.Progress";387;"haar";1;31,0943135958972;9
"80";80;"Relative.LOC.Churn.Progress";387;"haar";1;32,7743993079965;9
"81";81;"Relative.LOC.Churn.Progress";387;"haar";1;32,7743993079965;9
"82";82;"Relative.LOC.Churn.Progress";387;"haar";1;32,7743993079965;9
"83";83;"Relative.LOC.Churn.Progress";387;"haar";1;32,7743993079965;9
"84";84;"Relative.LOC.Churn.Progress";387;"haar";1;33,6476761827619;9
"85";85;"Relative.LOC.Churn.Progress";387;"haar";1;34,5209530575272;9
"86";86;"Relative.LOC.Churn.Progress";387;"haar";1;34,5209530575272;9
"87";87;"Relative.LOC.Churn.Progress";387;"haar";1;34,5209530575272;9
"88";88;"Relative.LOC.Churn.Progress";387;"haar";1;35,3157410795809;9
"89";89;"Relative.LOC.Churn.Progress";387;"haar";1;36,1105291016346;9
"90";90;"Relative.LOC.Churn.Progress";387;"haar";1;36,1105291016346;9
"91";91;"Relative.LOC.Churn.Progress";387;"haar";1;36,1105291016346;9
"92";92;"Relative.LOC.Churn.Progress";387;"haar";1;36,1105291016346;9
"93";93;"Relative.LOC.Churn.Progress";387;"haar";1;37,0983572749522;9
"94";94;"Relative.LOC.Churn.Progress";387;"haar";1;38,0861854482698;9
"95";95;"Relative.LOC.Churn.Progress";387;"haar";1;38,0861854482698;9
"96";96;"Relative.LOC.Churn.Progress";387;"haar";1;38,0861854482698;9
"97";97;"Relative.LOC.Churn.Progress";387;"haar";1;38,0861854482698;9
"98";98;"Relative.LOC.Churn.Progress";387;"haar";1;38,0861854482698;9
"99";99;"Relative.LOC.Churn.Progress";387;"haar";1;40,3234713039441;9
"100";100;"Relative.LOC.Churn.Progress";387;"haar";1;40,3234713039441;9
"101";101;"Relative.LOC.Churn.Progress";387;"haar";1;40,3234713039441;9
"102";102;"Relative.LOC.Churn.Progress";387;"haar";1;40,3234713039441;9
"103";103;"Relative.LOC.Churn.Progress";387;"haar";1;40,3234713039441;9
"104";104;"Relative.LOC.Churn.Progress";387;"haar";1;42,4744901323135;9
"105";105;"Relative.LOC.Churn.Progress";387;"haar";1;42,4744901323135;9
"106";106;"Relative.LOC.Churn.Progress";387;"haar";1;42,4744901323135;9
"107";107;"Relative.LOC.Churn.Progress";387;"haar";1;42,4744901323135;9
"108";108;"Relative.LOC.Churn.Progress";387;"haar";1;43,302512173083;9
"109";109;"Relative.LOC.Churn.Progress";387;"haar";1;44,1305342138524;9
"110";110;"Relative.LOC.Churn.Progress";387;"haar";1;44,1305342138524;9
"111";111;"Relative.LOC.Churn.Progress";387;"haar";1;44,7725871711698;9
"112";112;"Relative.LOC.Churn.Progress";387;"haar";1;45,4146401284872;9
"113";113;"Relative.LOC.Churn.Progress";387;"haar";1;45,4146401284872;9
"114";114;"Relative.LOC.Churn.Progress";387;"haar";1;45,4146401284872;9
"115";115;"Relative.LOC.Churn.Progress";387;"haar";1;45,4146401284872;9
"116";116;"Relative.LOC.Churn.Progress";387;"haar";1;47,2078629255763;9
"117";117;"Relative.LOC.Churn.Progress";387;"haar";1;47,2078629255763;9
"118";118;"Relative.LOC.Churn.Progress";387;"haar";1;47,2078629255763;9
"119";119;"Relative.LOC.Churn.Progress";387;"haar";1;47,2078629255763;9
"120";120;"Relative.LOC.Churn.Progress";387;"haar";1;48,9020907732992;9
"121";121;"Relative.LOC.Churn.Progress";387;"haar";1;48,9020907732992;9
"122";122;"Relative.LOC.Churn.Progress";387;"haar";1;48,9020907732992;9
"123";123;"Relative.LOC.Churn.Progress";387;"haar";1;48,9020907732992;9
"124";124;"Relative.LOC.Churn.Progress";387;"haar";1;48,9020907732992;9
"125";125;"Relative.LOC.Churn.Progress";387;"haar";1;50,8310780723762;9
"126";126;"Relative.LOC.Churn.Progress";387;"haar";1;50,8310780723762;9
"127";127;"Relative.LOC.Churn.Progress";387;"haar";1;50,8310780723762;9
"128";128;"Relative.LOC.Churn.Progress";387;"haar";1;50,8310780723762;9
"129";129;"Relative.LOC.Churn.Progress";387;"haar";1;50,8310780723762;9
"130";130;"Relative.LOC.Churn.Progress";387;"haar";1;50,8310780723762;9
"131";131;"Relative.LOC.Churn.Progress";387;"haar";1;50,8310780723762;9
"132";132;"Relative.LOC.Churn.Progress";387;"haar";1;50,8310780723762;9
"133";133;"Relative.LOC.Churn.Progress";387;"haar";1;50,8310780723762;9
"134";134;"Relative.LOC.Churn.Progress";387;"haar";1;50,8310780723762;9
"135";135;"Relative.LOC.Churn.Progress";387;"haar";1;50,8310780723762;9
"136";136;"Relative.LOC.Churn.Progress";387;"haar";1;50,8310780723762;9
"137";137;"Relative.LOC.Churn.Progress";387;"haar";1;50,8310780723762;9
"138";138;"Relative.LOC.Churn.Progress";387;"haar";1;56,0565971853447;9
"139";139;"Relative.LOC.Churn.Progress";387;"haar";1;56,0565971853447;9
"140";140;"Relative.LOC.Churn.Progress";387;"haar";1;56,0565971853447;9
"141";141;"Relative.LOC.Churn.Progress";387;"haar";1;56,0565971853447;9
"142";142;"Relative.LOC.Churn.Progress";387;"haar";1;56,0565971853447;9
"143";143;"Relative.LOC.Churn.Progress";387;"haar";1;56,0565971853447;9
"144";144;"Relative.LOC.Churn.Progress";387;"haar";1;56,0565971853447;9
"145";145;"Relative.LOC.Churn.Progress";387;"haar";1;56,0565971853447;9
"146";146;"Relative.LOC.Churn.Progress";387;"haar";1;56,0565971853447;9
"147";147;"Relative.LOC.Churn.Progress";387;"haar";1;56,0565971853447;9
"148";148;"Relative.LOC.Churn.Progress";387;"haar";1;56,0565971853447;9
"149";149;"Relative.LOC.Churn.Progress";387;"haar";1;56,0565971853447;9
"150";150;"Relative.LOC.Churn.Progress";387;"haar";1;56,0565971853447;9
"151";151;"Relative.LOC.Churn.Progress";387;"haar";1;56,0565971853447;9
"152";152;"Relative.LOC.Churn.Progress";387;"haar";1;56,0565971853447;9
"153";153;"Relative.LOC.Churn.Progress";387;"haar";1;59,2025152548437;9
"154";154;"Relative.LOC.Churn.Progress";387;"haar";1;62,3484333243426;9
"155";155;"Relative.LOC.Churn.Progress";387;"haar";1;62,3484333243426;9
"156";156;"Relative.LOC.Churn.Progress";387;"haar";1;62,3484333243426;9
"157";157;"Relative.LOC.Churn.Progress";387;"haar";1;62,3484333243426;9
"158";158;"Relative.LOC.Churn.Progress";387;"haar";1;62,3484333243426;9
"159";159;"Relative.LOC.Churn.Progress";387;"haar";1;62,3484333243426;9
"160";160;"Relative.LOC.Churn.Progress";387;"haar";1;62,3484333243426;9
"161";161;"Relative.LOC.Churn.Progress";387;"haar";1;62,3484333243426;9
"162";162;"Relative.LOC.Churn.Progress";387;"haar";1;65,91649414221;9
"163";163;"Relative.LOC.Churn.Progress";387;"haar";1;65,91649414221;9
"164";164;"Relative.LOC.Churn.Progress";387;"haar";1;65,91649414221;9
"165";165;"Relative.LOC.Churn.Progress";387;"haar";1;67,0874629718549;9
"166";166;"Relative.LOC.Churn.Progress";387;"haar";1;67,3526280147998;9
"167";167;"Relative.LOC.Churn.Progress";387;"haar";1;67,6177930577448;9
"168";168;"Relative.LOC.Churn.Progress";387;"haar";1;67,6177930577448;9
"169";169;"Relative.LOC.Churn.Progress";387;"haar";1;67,6177930577448;9
"170";170;"Relative.LOC.Churn.Progress";387;"haar";1;67,6177930577448;9
"171";171;"Relative.LOC.Churn.Progress";387;"haar";1;67,6177930577448;9
"172";172;"Relative.LOC.Churn.Progress";387;"haar";1;67,6177930577448;9
"173";173;"Relative.LOC.Churn.Progress";387;"haar";1;67,6177930577448;9
"174";174;"Relative.LOC.Churn.Progress";387;"haar";1;67,6177930577448;9
"175";175;"Relative.LOC.Churn.Progress";387;"haar";1;67,6177930577448;9
"176";176;"Relative.LOC.Churn.Progress";387;"haar";1;67,6177930577448;9
"177";177;"Relative.LOC.Churn.Progress";387;"haar";1;67,6177930577448;9
"178";178;"Relative.LOC.Churn.Progress";387;"haar";1;67,6177930577448;9
"179";179;"Relative.LOC.Churn.Progress";387;"haar";1;67,6177930577448;9
"180";180;"Relative.LOC.Churn.Progress";387;"haar";1;67,6177930577448;9
