Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;15;4;2;4;0;323,1522-565,6854-565,6854-565,6854;1,696111;-112,7588
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;15;4;2;5;0;323,1522-565,6854-565,6854-565,6854-565,6854;1,696111;-112,7588
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;15;4;2;6;0;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;1,696111;-112,7588
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;15;4;2;7;0;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;1,696111;-112,7588
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;15;5;5;4;2,220446e-16;323,1522-565,6854-565,6854-565,6854;3,988879;-562,54
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;15;5;5;5;2,220446e-16;323,1522-565,6854-565,6854-565,6854-565,6854;3,988879;-562,54
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;15;5;5;6;2,220446e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;3,988879;-562,54
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;15;5;5;7;2,220446e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;3,988879;-562,54
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;15;6;9;4;0;323,1522-565,6854-565,6854-565,6854;2,820564;1,572719
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;15;6;9;5;0;323,1522-565,6854-565,6854-565,6854-565,6854;2,820564;1,572719
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;15;6;9;6;0;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;2,820564;1,572719
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;15;6;9;7;0;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;2,820564;1,572719
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;17;4;1;4;2,220446e-15;323,1522-565,6854-565,6854-565,6854;16,3171;-9587,209
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;17;4;1;5;2,220446e-15;323,1522-565,6854-565,6854-565,6854-565,6854;16,3171;-9587,209
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;17;4;1;6;2,220446e-15;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;16,3171;-9587,209
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;17;5;1;4;6,661338e-16;323,1522-565,6854-565,6854-565,6854;11,53794;-4510,762
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;17;5;1;5;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854;11,53794;-4510,762
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;17;5;1;6;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;11,53794;-4510,762
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;17;5;1;7;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;11,53794;-4510,762
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;17;5;13;4;8,881784e-16;323,1522-565,6854-565,6854-565,6854;4,992681;-2258,601
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;17;6;2;4;4,440892e-16;323,1522-565,6854-565,6854-565,6854;8,158552;-1972,538
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;17;6;2;5;4,440892e-16;323,1522-565,6854-565,6854-565,6854-565,6854;8,158552;-1972,538
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;17;6;2;6;4,440892e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;8,158552;-1972,538
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;17;6;2;7;4,440892e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;8,158552;-1972,538
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;17;6;27;4;6,661338e-16;323,1522-565,6854-565,6854-565,6854;13,41829;-4801,631
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;17;6;27;5;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854;13,41829;-4801,631
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;17;6;27;6;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;13,41829;-4801,631
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;17;6;27;7;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;13,41829;-4801,631
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;3;2;4;0;323,1522-565,6854-565,6854-565,6854;1,858622;-921,2119
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;4;4;4;6,661338e-16;323,1522-565,6854-565,6854-565,6854;10,58172;-5420,239
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;4;4;5;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854;10,58172;-5420,239
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;4;4;6;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;10,58172;-5420,239
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;4;4;7;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;10,58172;-5420,239
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;5;4;4;2,220446e-16;323,1522-565,6854-565,6854-565,6854;4,046475;-590,4572
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;5;8;4;6,661338e-16;323,1522-565,6854-565,6854-565,6854;7,482406;-2427,277
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;5;8;5;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854;7,482406;-2427,277
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;5;8;6;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;7,482406;-2427,277
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;5;8;7;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;7,482406;-2427,277
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;6;3;4;0;323,1522-565,6854-565,6854-565,6854;8,144479;-421,5712
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;6;3;5;0;323,1522-565,6854-565,6854-565,6854-565,6854;8,144479;-421,5712
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;6;3;6;0;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;8,144479;-421,5712
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;6;9;4;2,220446e-15;323,1522-565,6854-565,6854-565,6854;61,4043;-11839,93
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;6;9;5;2,220446e-15;323,1522-565,6854-565,6854-565,6854-565,6854;61,4043;-11839,93
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;6;9;6;2,220446e-15;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;61,4043;-11839,93
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;6;9;7;2,220446e-15;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;61,4043;-11839,93
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;6;16;4;0;323,1522-565,6854-565,6854-565,6854;5,29086;-930,7958
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;6;16;5;0;323,1522-565,6854-565,6854-565,6854-565,6854;5,29086;-930,7958
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;6;16;6;0;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;5,29086;-930,7958
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;18;6;16;7;0;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;5,29086;-930,7958
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;121;4;1;4;0;323,1522-565,6854-565,6854-565,6854;126,8487;8,137824
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;121;5;2;4;0;323,1522-565,6854-565,6854-565,6854;383,7794;-627,1008
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;121;5;2;5;0;323,1522-565,6854-565,6854-565,6854-565,6854;383,7794;-627,1008
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;121;5;2;6;0;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;383,7794;-627,1008
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;121;5;2;7;0;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;383,7794;-627,1008
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;121;6;3;4;0;323,1522-565,6854-565,6854-565,6854;271,373;-30,70771
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;121;6;3;5;0;323,1522-565,6854-565,6854-565,6854-565,6854;271,373;-30,70771
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;121;6;3;6;0;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;271,373;-30,70771
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;121;6;3;7;0;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;271,373;-30,70771
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;126;5;5;4;2,220446e-15;323,1522-565,6854-565,6854-565,6854;45,20187;-15620,66
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;126;6;4;4;0,004572259;323,1522-565,6854-565,6854-565,6854;2,766182;-30,63975
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;126;6;11;4;3,552714e-15;323,1522-565,6854-565,6854-565,6854;105,571;-26165,73
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;126;6;11;5;3,552714e-15;323,1522-565,6854-565,6854-565,6854-565,6854;105,571;-26165,73
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;126;6;11;6;3,552714e-15;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;105,571;-26165,73
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;126;6;11;7;3,552714e-15;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;105,571;-26165,73
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;163;6;44;4;6,661338e-16;323,1522-565,6854-565,6854-565,6854;38,97656;-3844,009
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;163;6;44;5;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854;38,97656;-3844,009
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;163;6;44;6;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;38,97656;-3844,009
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;344;4;5;4;0;323,1522-565,6854-565,6854-565,6854;3,190671;-1239,231
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;344;4;5;5;0;323,1522-565,6854-565,6854-565,6854-565,6854;3,190671;-1239,231
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;344;5;3;4;2,220446e-16;323,1522-565,6854-565,6854-565,6854;4,546696;-646,773
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;344;5;3;5;2,220446e-16;323,1522-565,6854-565,6854-565,6854-565,6854;4,546696;-646,773
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;344;5;3;6;2,220446e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;4,546696;-646,773
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;344;5;9;4;0;323,1522-565,6854-565,6854-565,6854;2,256145;-336,7727
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;344;5;9;5;0;323,1522-565,6854-565,6854-565,6854-565,6854;2,256145;-336,7727
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;344;5;9;6;0;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;2,256145;-336,7727
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;344;5;9;7;0;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;2,256145;-336,7727
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;344;6;5;4;2,220446e-16;323,1522-565,6854-565,6854-565,6854;3,215;-40,54377
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;344;6;5;5;2,220446e-16;323,1522-565,6854-565,6854-565,6854-565,6854;3,215;-40,54377
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;344;6;5;6;2,220446e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;3,215;-40,54377
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;344;6;5;7;2,220446e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;3,215;-40,54377
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;344;6;18;4;1,110223e-16;323,1522-565,6854-565,6854-565,6854;4,199965;-622,2442
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;344;6;18;5;1,110223e-16;323,1522-565,6854-565,6854-565,6854-565,6854;4,199965;-622,2442
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;344;6;18;6;1,110223e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;4,199965;-622,2442
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;344;6;18;7;1,110223e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;4,199965;-622,2442
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;378;3;2;4;2,220446e-15;323,1522-565,6854-565,6854-565,6854;1,435363;-8620,638
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;378;3;2;5;2,220446e-15;323,1522-565,6854-565,6854-565,6854-565,6854;1,435363;-8620,638
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;378;4;3;4;6,661338e-16;323,1522-565,6854-565,6854-565,6854;1,014955;-4027,476
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;378;4;3;5;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854;1,014955;-4027,476
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;378;4;3;6;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;1,014955;-4027,476
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;378;4;3;7;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;1,014955;-4027,476
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;378;5;5;4;4,440892e-16;323,1522-565,6854-565,6854-565,6854;0,7176815;-1730,895
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;378;5;5;5;4,440892e-16;323,1522-565,6854-565,6854-565,6854-565,6854;0,7176815;-1730,895
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;378;5;5;6;4,440892e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;0,7176815;-1730,895
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;378;5;5;7;4,440892e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;0,7176815;-1730,895
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;378;6;10;4;6,661338e-16;323,1522-565,6854-565,6854-565,6854;1,376248;-2548,409
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;378;6;10;5;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854;1,376248;-2548,409
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;378;6;10;6;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;1,376248;-2548,409
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;378;6;10;7;6,661338e-16;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;1,376248;-2548,409
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;379;3;2;4;0;323,1522-565,6854-565,6854-565,6854;2,572581;51,16922
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;379;4;4;4;0;323,1522-565,6854-565,6854-565,6854;5,238431;-175,1405
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;379;4;4;5;0;323,1522-565,6854-565,6854-565,6854-565,6854;5,238431;-175,1405
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;379;4;4;6;0;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854;5,238431;-175,1405
Cumulative.LOC.Churn;Relative.Team.Size;15;3;1;379;4;4;7;0;323,1522-565,6854-565,6854-565,6854-565,6854-565,6854-565,6854;5,238431;-175,1405
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;3;1;4;0;257,0063-400,0000-400,0000-400,0000;0,5895842;66,4808
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;3;1;5;0;257,0063-400,0000-400,0000-400,0000-400,0000;0,5895842;66,4808
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;3;1;6;0;257,0063-400,0000-400,0000-400,0000-400,0000-400,0000;0,5895842;66,4808
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;3;1;7;0;257,0063-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000;0,5895842;66,4808
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;5;5;4;0;257,0063-400,0000-400,0000-400,0000;2,35178;-265,1839
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;5;5;5;0;257,0063-400,0000-400,0000-400,0000-400,0000;2,35178;-265,1839
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;5;5;6;0;257,0063-400,0000-400,0000-400,0000-400,0000-400,0000;2,35178;-265,1839
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;5;5;7;0;257,0063-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000;2,35178;-265,1839
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;5;5;8;0;257,0063-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000;2,35178;-265,1839
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;5;5;9;0;257,0063-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000;2,35178;-265,1839
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;5;5;10;0;257,0063-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000;2,35178;-265,1839
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;5;5;11;0;257,0063-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000;2,35178;-265,1839
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;5;5;12;0;257,0063-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000;2,35178;-265,1839
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;5;5;13;0;257,0063-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000;2,35178;-265,1839
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;6;9;4;0;257,0063-400,0000-400,0000-400,0000;1,66296;67,40805
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;6;9;5;0;257,0063-400,0000-400,0000-400,0000-400,0000;1,66296;67,40805
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;6;9;6;0;257,0063-400,0000-400,0000-400,0000-400,0000-400,0000;1,66296;67,40805
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;6;9;7;0;257,0063-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000;1,66296;67,40805
Cumulative.LOC.Churn;Relative.Team.Size;15;4;2;15;6;9;8;0;257,0063-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000-400,0000;1,66296;67,40805
