Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Cumulative.LOC.Churn;Active.Developers;15;6;17;344;6;9;4;2,220446e-16;5e-04-4e-03-5e-04-5e-04;1,237437;0,001375
Cumulative.LOC.Churn;Active.Developers;15;6;17;371;6;13;4;Inf;5e-04-4e-03-5e-04-5e-04;2,474874;0,004
Cumulative.LOC.Churn;Active.Developers;17;6;10;139;6;28;4;3,330669e-16;-0,00075- 0,00075--0,00075- 0,00075;2,4;0,00225
Cumulative.LOC.Churn;Active.Developers;17;6;11;139;6;27;4;3,330669e-16; 0,00075--0,00075- 0,00075--0,00075;2,4;0,00225
Cumulative.LOC.Churn;Active.Developers;17;6;10;344;6;24;4;2,220446e-16;-0,00075- 0,00075--0,00075- 0,00075;1,06066;0
Cumulative.LOC.Churn;Active.Developers;17;6;8;371;6;5;4;7,105427e-15;-0,00075- 0,00150--0,00075- 0,00075;0,5303301;1,734723e-18
Cumulative.LOC.Churn;Active.Developers;17;6;8;371;6;26;4;4,662937e-15;-0,00075- 0,00150--0,00075- 0,00075;0,5303301;1,734723e-18
Cumulative.LOC.Churn;Active.Developers;17;6;11;371;6;4;4;7,105427e-15; 0,00075--0,00075- 0,00075--0,00075;0,3535534;-0,00025
Cumulative.LOC.Churn;Active.Developers;17;6;8;378;5;15;4;Inf;-0,00075- 0,00150--0,00075- 0,00075;1,846154;0,0015
Cumulative.LOC.Churn;Active.Developers;18;6;3;169;6;40;4;5,329071e-15; 0,0007071068- 0,0003535534--0,0003535534- 0,0007071068;0,05892557;0,0006481812
Cumulative.LOC.Churn;Active.Developers;18;6;10;385;5;1;4;NaN; 0,003181981- 0,000000000--0,004242641--0,003181981;2,12132;-0,00212132
Cumulative.LOC.Churn;Active.Developers;18;6;16;378;6;29;4;2,220446e-15;-0,003535534- 0,001767767- 0,001767767--0,001767767;3,076923;1,734723e-18
Cumulative.LOC.Churn;Active.Developers;121;6;10;344;6;12;4;NaN;-0,002121320- 0,000000000--0,002121320--0,004242641;3;0
Cumulative.LOC.Churn;Active.Developers;139;6;28;344;6;24;4;3,330669e-16;-0,001250--0,000625--0,001250--0,000625;0,4419417;-0,0009375
Cumulative.LOC.Churn;Active.Developers;139;6;29;344;6;22;4;1,110223e-14;-0,000625--0,001250--0,000625- 0,000625;0,8838835;3,469447e-18
Cumulative.LOC.Churn;Active.Developers;139;6;29;368;6;8;4;8,104628e-15;-0,000625--0,001250--0,000625- 0,000625;1,767767;-0,001875
Cumulative.LOC.Churn;Active.Developers;139;6;27;371;6;4;4;7,327472e-15;-0,000625--0,001250--0,000625--0,001250;0,1473139;-0,001041667
Cumulative.LOC.Churn;Active.Developers;147;7;18;367;4;2;4;NaN; 0,000000000--0,003889087- 0,003889087- 0,003889087;5,5;0
Cumulative.LOC.Churn;Active.Developers;169;6;38;368;6;6;4;NaN;-0,005--0,011- 0,001--0,005;16,97056;-0,011
