"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Modified";121;"haar";1;0;6
"2";2;"Commit.LOC.Modified";121;"haar";1;0;6
"3";3;"Commit.LOC.Modified";121;"haar";1;0;6
"4";4;"Commit.LOC.Modified";121;"haar";1;0;6
"5";5;"Commit.LOC.Modified";121;"haar";1;0;6
"6";6;"Commit.LOC.Modified";121;"haar";1;0;6
"7";7;"Commit.LOC.Modified";121;"haar";1;0;6
"8";8;"Commit.LOC.Modified";121;"haar";1;0;6
"9";9;"Commit.LOC.Modified";121;"haar";1;0;6
"10";10;"Commit.LOC.Modified";121;"haar";1;0;6
"11";11;"Commit.LOC.Modified";121;"haar";1;0;6
"12";12;"Commit.LOC.Modified";121;"haar";1;0;6
"13";13;"Commit.LOC.Modified";121;"haar";1;0;6
"14";14;"Commit.LOC.Modified";121;"haar";1;0;6
"15";15;"Commit.LOC.Modified";121;"haar";1;0;6
"16";16;"Commit.LOC.Modified";121;"haar";1;0;6
"17";17;"Commit.LOC.Modified";121;"haar";1;0;6
"18";18;"Commit.LOC.Modified";121;"haar";1;0;6
"19";19;"Commit.LOC.Modified";121;"haar";1;0;6
"20";20;"Commit.LOC.Modified";121;"haar";1;0;6
"21";21;"Commit.LOC.Modified";121;"haar";1;0;6
"22";22;"Commit.LOC.Modified";121;"haar";1;0;6
"23";23;"Commit.LOC.Modified";121;"haar";1;0;6
"24";24;"Commit.LOC.Modified";121;"haar";1;0;6
"25";25;"Commit.LOC.Modified";121;"haar";1;0;6
"26";26;"Commit.LOC.Modified";121;"haar";1;0;6
"27";27;"Commit.LOC.Modified";121;"haar";1;0;6
"28";28;"Commit.LOC.Modified";121;"haar";1;0;6
"29";29;"Commit.LOC.Modified";121;"haar";1;0;6
"30";30;"Commit.LOC.Modified";121;"haar";1;0;6
"31";31;"Commit.LOC.Modified";121;"haar";1;0;6
"32";32;"Commit.LOC.Modified";121;"haar";1;0;6
"33";1;"Commit.LOC.Modified";121;"haar";2;0;5
"34";2;"Commit.LOC.Modified";121;"haar";2;0;5
"35";3;"Commit.LOC.Modified";121;"haar";2;0;5
"36";4;"Commit.LOC.Modified";121;"haar";2;0;5
"37";5;"Commit.LOC.Modified";121;"haar";2;0;5
"38";6;"Commit.LOC.Modified";121;"haar";2;0;5
"39";7;"Commit.LOC.Modified";121;"haar";2;0;5
"40";8;"Commit.LOC.Modified";121;"haar";2;0;5
"41";9;"Commit.LOC.Modified";121;"haar";2;0;5
"42";10;"Commit.LOC.Modified";121;"haar";2;0;5
"43";11;"Commit.LOC.Modified";121;"haar";2;0;5
"44";12;"Commit.LOC.Modified";121;"haar";2;0;5
"45";13;"Commit.LOC.Modified";121;"haar";2;0;5
"46";14;"Commit.LOC.Modified";121;"haar";2;0;5
"47";15;"Commit.LOC.Modified";121;"haar";2;0;5
"48";16;"Commit.LOC.Modified";121;"haar";2;0;5
"49";1;"Commit.LOC.Modified";121;"haar";3;0;4
"50";2;"Commit.LOC.Modified";121;"haar";3;0;4
"51";3;"Commit.LOC.Modified";121;"haar";3;0;4
"52";4;"Commit.LOC.Modified";121;"haar";3;0;4
"53";5;"Commit.LOC.Modified";121;"haar";3;0;4
"54";6;"Commit.LOC.Modified";121;"haar";3;0;4
"55";7;"Commit.LOC.Modified";121;"haar";3;0;4
"56";8;"Commit.LOC.Modified";121;"haar";3;0;4
"57";1;"Commit.LOC.Modified";121;"haar";4;0;3
"58";2;"Commit.LOC.Modified";121;"haar";4;0;3
"59";3;"Commit.LOC.Modified";121;"haar";4;0;3
"60";4;"Commit.LOC.Modified";121;"haar";4;0;3
